osmid,name,highway,oneway,reversed,length,lanes,maxspeed,access,geometry,junction
37574006,Corso Roma,residential,True,False,62.541000000000004,,,yes,"LINESTRING (10.7653977 43.8853293, 10.766057 43.8851664, 10.7661359 43.8851469)",
198044520,Viale Dante Alighieri,unclassified,True,False,151.29000000000002,,,yes,"LINESTRING (10.7653977 43.8853293, 10.7654275 43.8853928, 10.7660032 43.886618)",
46135494,Via Carlo Rosselli,unclassified,True,False,94.391,,,yes,"LINESTRING (10.7708574 43.8861522, 10.7697407 43.8864221)",
184984050,Viale IV Novembre,residential,True,False,68.261,,,yes,"LINESTRING (10.7708574 43.8861522, 10.7711094 43.8867386)",
40713501,Via Giuseppe Mazzini,residential,True,False,60.635,,,yes,"LINESTRING (10.7694114 43.8831365, 10.7693793 43.8831454, 10.7687057 43.8833331)",
41594086,Via Cavour,residential,True,False,73.5,,,yes,"LINESTRING (10.7697075 43.8837621, 10.7694114 43.8831365)",
"[40713501, 184984045, 175130983]","['Via Giuseppe Mazzini', 'Corso Roma']",residential,True,False,210.117,,,yes,"LINESTRING (10.7697075 43.8837621, 10.7699939 43.8836404, 10.7703217 43.8834919, 10.7705569 43.8833863, 10.7706628 43.8833387, 10.7701381 43.8829731, 10.7700718 43.8829705, 10.7700154 43.8829683, 10.7694114 43.8831365)",
41594088,Viale IV Novembre,residential,True,False,205.206,,,yes,"LINESTRING (10.7697075 43.8837621, 10.7697364 43.8838219, 10.7705387 43.8854805, 10.7705504 43.8855047)",
40713505,Via Giuseppe Garibaldi,residential,True,False,28.222,,,,"LINESTRING (10.7691023 43.8824672, 10.7694432 43.8824036)",
41594087,Via Cavour,residential,True,False,78.43799999999999,,,,"LINESTRING (10.7691023 43.8824672, 10.7692716 43.8828328, 10.7694114 43.8831365)",
37574006,Corso Roma,residential,True,False,4.014,,,yes,"LINESTRING (10.7661359 43.8851469, 10.7661823 43.8851333)",
40713497,Viale Giovanni Amendola,unclassified,True,False,61.766,,,yes,"LINESTRING (10.7667554 43.8864338, 10.7674852 43.8862552)",
46135493,Via Sicilia,unclassified,True,False,151.465,,,yes,"LINESTRING (10.7667554 43.8864338, 10.7661359 43.8851469)",
198044516,Via Sicilia,residential,True,False,74.852,,,yes,"LINESTRING (10.7667554 43.8864338, 10.7670562 43.8870711)",
392446415,Via Daniele Manin,secondary,False,False,6.549,2,50,yes,"LINESTRING (10.7650447 43.8827095, 10.7649659 43.8827251)",
392446415,Via Daniele Manin,secondary,False,True,61.909000000000006,2,50,yes,"LINESTRING (10.7650447 43.8827095, 10.7651031 43.8826984, 10.7657914 43.8825669)",
40713501,Via Giuseppe Mazzini,residential,True,False,67.034,,,yes,"LINESTRING (10.7657266 43.8841628, 10.7649464 43.8843801)",
198044519,Via Ezio Cosimini,unclassified,True,False,111.61099999999999,,,yes,"LINESTRING (10.7657266 43.8841628, 10.7657152 43.8841392, 10.7652698 43.8832146)",
46135494,Via Carlo Rosselli,unclassified,True,False,64.274,,,yes,"LINESTRING (10.7670562 43.8870711, 10.7662958 43.8872549)",
198044516,Via Sicilia,residential,True,False,69.565,,,yes,"LINESTRING (10.7670562 43.8870711, 10.7673361 43.8876633)",
40713501,Via Giuseppe Mazzini,residential,True,False,50.672,,,yes,"LINESTRING (10.7677305 43.8836047, 10.7671407 43.8837689)",
143590842,Via Paolo Savi,unclassified,True,False,52.018,,,yes,"LINESTRING (10.7677305 43.8836047, 10.7675025 43.8831667)",
46135499,Via Giovanni Bovio,unclassified,True,False,54.786,,,yes,"LINESTRING (10.7681795 43.8843945, 10.7684031 43.8848601)",
37574006,Corso Roma,residential,True,False,43.872,,,yes,"LINESTRING (10.7681795 43.8843945, 10.7685716 43.8842248, 10.768649 43.8841916)",
143590842,Via Paolo Savi,unclassified,True,False,94.91000000000001,,,yes,"LINESTRING (10.7681795 43.8843945, 10.7681483 43.8843369, 10.7677305 43.8836047)",
40713506,Via Giovanni Bovio,residential,True,False,75.539,,,yes,"LINESTRING (10.7688955 43.8859099, 10.769198 43.8865533)",
40713497,Viale Giovanni Amendola,unclassified,True,False,45.222,,,yes,"LINESTRING (10.7688955 43.8859099, 10.7693667 43.8857945, 10.7694298 43.8857791)",
40713506,Via Giovanni Bovio,residential,True,False,69.419,,,yes,"LINESTRING (10.769198 43.8865533, 10.7694906 43.8871409)",
46135494,Via Carlo Rosselli,unclassified,True,False,103.684,,,yes,"LINESTRING (10.769198 43.8865533, 10.7679714 43.8868499)",
40713505,Via Giuseppe Garibaldi,residential,True,False,41.025,,,,"LINESTRING (10.7673177 43.8828093, 10.7678124 43.8827145)",
143590842,Via Paolo Savi,unclassified,True,False,57.712,,,yes,"LINESTRING (10.7673177 43.8828093, 10.7670613 43.8823243)",
40713505,Via Giuseppe Garibaldi,residential,True,False,62.758,,,,"LINESTRING (10.7652698 43.8832146, 10.766022 43.8830577)",
338351258,Via Ezio Cosimini,unclassified,True,False,58.991,,,,"LINESTRING (10.7652698 43.8832146, 10.7650648 43.8827547, 10.7650447 43.8827095)",
47258905,Via Paolo Savi,residential,False,True,39.478,,,,"LINESTRING (10.7668875 43.8819921, 10.7670613 43.8823243)",
342751884,,secondary,False,False,4.946,2,50,yes,"LINESTRING (10.770527 43.8816656, 10.7704672 43.8816766)",
"[169242897, 169242894]","['Via Giuseppe Garibaldi', 'Via Don Minzoni']",residential,True,False,89.429,,,,"LINESTRING (10.770527 43.8816656, 10.770537 43.8816977, 10.770603 43.8818916, 10.7706981 43.8821743, 10.7703546 43.8822367, 10.7703203 43.8822429)",
"[342751884, 180151157]",Via Enrico Toti,secondary,False,True,78.375,2,50,yes,"LINESTRING (10.770527 43.8816656, 10.7706405 43.8816446, 10.7709107 43.8815948, 10.770977 43.8815829, 10.7710078 43.881577, 10.7712108 43.88154, 10.7713208 43.8815199, 10.7714747 43.8814918)",
40713519,Via Felice Cavallotti,residential,True,False,163.448,,,yes,"LINESTRING (10.7752067 43.8843716, 10.7753266 43.8846896, 10.7756805 43.8858011)",
41594089,Viale Alessandro Manzoni,residential,True,False,104.08099999999999,,,yes,"LINESTRING (10.7752067 43.8843716, 10.7761455 43.884212, 10.7764707 43.8841567)",
41594089,Viale Alessandro Manzoni,residential,True,False,54.762,,,yes,"LINESTRING (10.7732637 43.8847475, 10.7733891 43.8846789, 10.7734596 43.884638, 10.7738826 43.8845637)",
178673435,Viale Giuseppe Verdi,residential,True,False,201.54000000000002,,,yes,"LINESTRING (10.7732637 43.8847475, 10.7734089 43.8848433, 10.7735513 43.8849361, 10.773824 43.885113, 10.7743192 43.8854434, 10.7751184 43.8859715)",
40713505,Via Giuseppe Garibaldi,residential,True,False,14.015,,,,"LINESTRING (10.7678124 43.8827145, 10.7679814 43.8826821)",
338351268,Via Vincenzo Gioberti,unclassified,True,False,37.745,,,,"LINESTRING (10.7678124 43.8827145, 10.7679851 43.8830303)",
40713501,Via Giuseppe Mazzini,residential,True,False,42.471,,,yes,"LINESTRING (10.7682248 43.883467, 10.7677305 43.8836047)",
143590839,Via Vincenzo Gioberti,unclassified,False,True,87.494,,,yes,"LINESTRING (10.7682248 43.883467, 10.7684167 43.8838264, 10.768649 43.8841916)",
180151157,Via Enrico Toti,secondary,False,False,71.966,2,50,yes,"LINESTRING (10.7733242 43.881154, 10.773272 43.8811641, 10.7727743 43.8812548, 10.7725222 43.8813008, 10.7724539 43.8813133)",
180151157,Via Enrico Toti,secondary,False,True,89.71100000000001,2,50,yes,"LINESTRING (10.7733242 43.881154, 10.7733963 43.8811414, 10.7740522 43.8810218, 10.7741096 43.8810184, 10.7741671 43.8810324, 10.7743047 43.8811091, 10.7743672 43.8811407)",
40713518,Corso Giacomo Matteotti,residential,True,False,114.571,,,yes,"LINESTRING (10.7734709 43.8816308, 10.7732525 43.8817699, 10.7731576 43.8818303, 10.7729358 43.8819716, 10.7726999 43.8821153, 10.7723894 43.8823045)",
61843648,Via Alfonso Scannavini,residential,True,False,93.571,,,,"LINESTRING (10.7736414 43.8827458, 10.7724822 43.8828461)",
41594015,Via delle Saline,residential,True,False,57.659,,,yes,"LINESTRING (10.7736414 43.8827458, 10.7735932 43.8823389, 10.7735779 43.8822293)",
41594015,Via delle Saline,residential,True,False,96.703,,,yes,"LINESTRING (10.7738826 43.8845637, 10.7737719 43.8836977)",
41594089,Viale Alessandro Manzoni,residential,True,False,108.245,,,yes,"LINESTRING (10.7738826 43.8845637, 10.7752067 43.8843716)",
37574006,Corso Roma,residential,True,False,38.332,,,yes,"LINESTRING (10.768649 43.8841916, 10.7690717 43.8840303)",
40713510,Via Giacomo Puccini,residential,True,False,187.5,,,yes,"LINESTRING (10.768649 43.8841916, 10.7686933 43.8842563, 10.7687966 43.8844074, 10.7694116 43.8857397, 10.7694298 43.8857791)",
143590839,Via Vincenzo Gioberti,unclassified,False,False,87.494,,,yes,"LINESTRING (10.768649 43.8841916, 10.7684167 43.8838264, 10.7682248 43.883467)",
40713497,Viale Giovanni Amendola,unclassified,True,False,94.855,,,yes,"LINESTRING (10.7694298 43.8857791, 10.7695104 43.8857595, 10.7704549 43.8855302, 10.7704926 43.8855189, 10.7705504 43.8855047)",
40713510,Via Giacomo Puccini,residential,True,False,75.71499999999999,,,yes,"LINESTRING (10.7694298 43.8857791, 10.7694619 43.8858456, 10.7697407 43.8864221)",
40713510,Via Giacomo Puccini,residential,True,False,68.773,,,yes,"LINESTRING (10.7697407 43.8864221, 10.7700021 43.8870112)",
46135494,Via Carlo Rosselli,unclassified,True,False,45.874,,,yes,"LINESTRING (10.7697407 43.8864221, 10.769198 43.8865533)",
40713514,Viale San Francesco d'Assisi,residential,True,False,13.309,,,yes,"LINESTRING (10.7680129 43.8874981, 10.7678556 43.8875365)",
342751882,Via Daniele Manin,secondary,False,True,105.28999999999999,2,50,yes,"LINESTRING (10.7657914 43.8825669, 10.7658594 43.8825539, 10.7661686 43.8824948, 10.7662902 43.8824716, 10.7664635 43.8824385, 10.7666222 43.8824082, 10.7667716 43.8823797, 10.7670613 43.8823243)",
392446415,Via Daniele Manin,secondary,False,False,61.909000000000006,2,50,yes,"LINESTRING (10.7657914 43.8825669, 10.7651031 43.8826984, 10.7650447 43.8827095)",
392446417,Viale Ferdinando Martini,unclassified,False,False,43.351,,,yes,"LINESTRING (10.7657914 43.8825669, 10.7657808 43.8825449, 10.765614 43.8821986)",
392446417,Viale Ferdinando Martini,unclassified,False,True,43.351,,,yes,"LINESTRING (10.765614 43.8821986, 10.7657808 43.8825449, 10.7657914 43.8825669)",
40713501,Via Giuseppe Mazzini,residential,True,False,60.352,,,yes,"LINESTRING (10.766429 43.8839671, 10.7657266 43.8841628)",
40713515,Viale Ferdinando Martini,unclassified,True,False,106.252,,,yes,"LINESTRING (10.766429 43.8839671, 10.766022 43.8830577)",
40713515,Viale Ferdinando Martini,unclassified,True,False,57.619,,,yes,"LINESTRING (10.766022 43.8830577, 10.7657914 43.8825669)",
40713505,Via Giuseppe Garibaldi,residential,True,False,55.448,,,,"LINESTRING (10.766022 43.8830577, 10.7663996 43.8829853, 10.7666906 43.8829295)",
198044518,Viale San Francesco d'Assisi,residential,True,False,93.773,,,yes,"LINESTRING (10.7700021 43.8870112, 10.7711094 43.8867386)",
40713514,Viale San Francesco d'Assisi,residential,True,False,105.307,,,yes,"LINESTRING (10.7694906 43.8871409, 10.7682445 43.8874415)",
198044518,Viale San Francesco d'Assisi,residential,True,False,43.454,,,yes,"LINESTRING (10.7694906 43.8871409, 10.7700021 43.8870112)",
40713498,Via della Torretta,residential,True,False,148.53199999999998,,,yes,"LINESTRING (10.7720821 43.8865041, 10.7720655 43.8873483, 10.7720642 43.8874147, 10.7715098 43.8875598)",
184984050,Viale IV Novembre,residential,True,False,96.787,,,yes,"LINESTRING (10.7711094 43.8867386, 10.7715098 43.8875598)",
198044518,Viale San Francesco d'Assisi,residential,True,False,82.197,,,yes,"LINESTRING (10.7711094 43.8867386, 10.7720821 43.8865041)",
40713519,Via Felice Cavallotti,residential,True,False,74.024,,,yes,"LINESTRING (10.7738892 43.8814001, 10.7742259 43.88202)",
40713518,Corso Giacomo Matteotti,residential,True,False,42.223,,,yes,"LINESTRING (10.7738892 43.8814001, 10.7735538 43.8815891, 10.7734709 43.8816308)",
40713514,Viale San Francesco d'Assisi,residential,True,False,19.598,,,yes,"LINESTRING (10.7682445 43.8874415, 10.7680129 43.8874981)",
40713517,,residential,True,False,69.328,,,,"LINESTRING (10.7679714 43.8868499, 10.7680967 43.8871235, 10.7682445 43.8874415)",
46135494,Via Carlo Rosselli,unclassified,True,False,15.373000000000001,,,yes,"LINESTRING (10.7679714 43.8868499, 10.7678677 43.8868749, 10.7677895 43.8868938)",
40713514,Viale San Francesco d'Assisi,residential,True,False,43.955,,,yes,"LINESTRING (10.7678556 43.8875365, 10.7673361 43.8876633)",
40713516,,unclassified,False,False,39.235,,,,"LINESTRING (10.7678556 43.8875365, 10.7677044 43.8872009)",
46135494,Via Carlo Rosselli,unclassified,True,False,43.117,,,yes,"LINESTRING (10.7675663 43.8869478, 10.7670562 43.8870711)",
143590843,Viale Antonio Balducci,unclassified,True,False,75.08,,,yes,"LINESTRING (10.7674852 43.8862552, 10.7677895 43.8868938)",
40713497,Viale Giovanni Amendola,unclassified,True,False,119.366,,,yes,"LINESTRING (10.7674852 43.8862552, 10.7675693 43.8862346, 10.7688955 43.8859099)",
46135494,Via Carlo Rosselli,unclassified,True,False,18.868000000000002,,,yes,"LINESTRING (10.7677895 43.8868938, 10.767716 43.8869116, 10.7675663 43.8869478)",
687910668,Viale Giuseppe Verdi,unclassified,False,False,5.325,,,yes,"LINESTRING (10.7759886 43.8866681, 10.776008 43.8867139)",
40713519,Via Felice Cavallotti,residential,True,False,48.799,,,yes,"LINESTRING (10.7742259 43.88202, 10.7744584 43.8824256)",
136339588,Via Arcibaldo Giannini,residential,True,False,108.69,,,,"LINESTRING (10.7742259 43.88202, 10.7754895 43.8816651)",
40713477,Via Montebello,residential,True,False,87.874,,50,yes,"LINESTRING (10.7747758 43.883024, 10.773684 43.8830967)",
40713519,Via Felice Cavallotti,residential,True,False,22.177,,,yes,"LINESTRING (10.7747758 43.883024, 10.77484 43.883218)",
40713463,Viale Alessandro Bicchierai,residential,True,False,36.895,1,50,yes,"LINESTRING (10.7759615 43.8828375, 10.7760857 43.883157)",
40713477,Via Montebello,residential,True,False,52.276,,50,yes,"LINESTRING (10.7759615 43.8828375, 10.775336 43.8829708)",
41594330,,unclassified,True,False,44.132,,50,yes,"LINESTRING (10.7759615 43.8828375, 10.7764858 43.8827162)",
41594015,Via delle Saline,residential,True,False,39.167,,,yes,"LINESTRING (10.773684 43.8830967, 10.7736414 43.8827458)",
40713477,Via Montebello,residential,True,False,10.108,,50,yes,"LINESTRING (10.775336 43.8829708, 10.7752124 43.8829889)",
40713463,Viale Alessandro Bicchierai,residential,True,False,65.199,1,50,yes,"LINESTRING (10.7764707 43.8841567, 10.7765163 43.8842695, 10.776698 43.8847197)",
294696712,Corso Giacomo Matteotti,secondary,False,False,52.399,2,50,yes,"LINESTRING (10.7762598 43.8807524, 10.7756117 43.8808144)",
294696712,Corso Giacomo Matteotti,secondary,False,True,6.42,2,50,yes,"LINESTRING (10.7762598 43.8807524, 10.7763392 43.8807448)",
41594329,Via Trieste,unclassified,True,False,29.994,,50,yes,"LINESTRING (10.7762598 43.8807524, 10.7762867 43.8808118, 10.7763694 43.8810103)",
294696712,Corso Giacomo Matteotti,secondary,False,True,5.567,2,50,yes,"LINESTRING (10.7753215 43.8808518, 10.7753889 43.8808397)",
40713463,Viale Alessandro Bicchierai,residential,True,False,32.518,1,50,yes,"LINESTRING (10.7753215 43.8808518, 10.7753062 43.8809355, 10.775276 43.8810564, 10.7752993 43.8811399)",
184984036,Corso Giacomo Matteotti,secondary,False,False,61.312,2,50,yes,"LINESTRING (10.7753215 43.8808518, 10.7751171 43.8808962, 10.7749377 43.880936, 10.7746007 43.8810348)",
41731668,Via Francesco Redi,unclassified,True,False,42.781,,,,"LINESTRING (10.7765848 43.8815292, 10.7760712 43.881634)",
41594329,Via Trieste,unclassified,True,False,123.328,,50,yes,"LINESTRING (10.7765848 43.8815292, 10.7766438 43.8816803, 10.7769363 43.8824331, 10.7770014 43.8825969)",
41731669,Via Francesco Redi,unclassified,True,False,35.17100000000001,,,,"LINESTRING (10.7770093 43.881449, 10.7768134 43.881486, 10.7766557 43.8815158, 10.7765848 43.8815292)",
41731670,Via Montenero,unclassified,True,False,85.526,,,,"LINESTRING (10.7770093 43.881449, 10.7767487 43.8807714, 10.7767223 43.8807082)",
136339588,Via Arcibaldo Giannini,residential,True,False,56.911,,,,"LINESTRING (10.7735779 43.8822293, 10.7742259 43.88202)",
41594015,Via delle Saline,residential,True,False,67.567,,,yes,"LINESTRING (10.7735779 43.8822293, 10.7735284 43.8817362, 10.7734709 43.8816308)",
40713463,Viale Alessandro Bicchierai,residential,True,False,126.387,1,50,yes,"LINESTRING (10.7755192 43.8817465, 10.7759615 43.8828375)",
294696712,Corso Giacomo Matteotti,secondary,False,False,30.973000000000003,2,50,yes,"LINESTRING (10.7767223 43.8807082, 10.7765423 43.8807254, 10.7763392 43.8807448)",
"[901941883, 41594084, 40713518]","['Via Solferino', 'Corso Giacomo Matteotti']",residential,True,False,122.109,,,yes,"LINESTRING (10.7723894 43.8823045, 10.7722439 43.8824056, 10.7719803 43.8826005, 10.7719409 43.8825562, 10.7718428 43.882445, 10.7717441 43.8821471, 10.7717202 43.8820891, 10.7716693 43.8819653)",
40740342,Via San Martino,residential,True,False,60.681,,,yes,"LINESTRING (10.7723894 43.8823045, 10.7724053 43.882397, 10.7724822 43.8828461)",
40740342,Via San Martino,residential,True,False,21.819000000000003,,,yes,"LINESTRING (10.7725749 43.8833622, 10.7725319 43.8833954, 10.7725003 43.8834197, 10.7724446 43.8834626, 10.7723876 43.8835046)",
40740343,Via Palestro,residential,True,False,92.048,,,,"LINESTRING (10.7737212 43.8833106, 10.7725749 43.8833622)",
41594015,Via delle Saline,residential,True,False,23.971,,,yes,"LINESTRING (10.7737212 43.8833106, 10.773684 43.8830967)",
338351259,Via Palestro,residential,True,False,90.255,,50,yes,"LINESTRING (10.7737212 43.8833106, 10.77484 43.883218)",
40713519,Via Felice Cavallotti,residential,True,False,131.598,,,yes,"LINESTRING (10.77484 43.883218, 10.7752067 43.8843716)",
338351259,Via Palestro,residential,True,False,47.179,,50,yes,"LINESTRING (10.77484 43.883218, 10.7754274 43.8831901)",
40713463,Viale Alessandro Bicchierai,residential,True,False,115.364,1,50,yes,"LINESTRING (10.7760857 43.883157, 10.7761803 43.8834026, 10.7764707 43.8841567)",
40740344,Via Trento,unclassified,False,False,124.839,,,,"LINESTRING (10.7760712 43.881634, 10.7764858 43.8827162)",
41731668,Via Francesco Redi,unclassified,True,False,45.975,,,,"LINESTRING (10.7760712 43.881634, 10.7755192 43.8817465)",
40740344,Via Trento,unclassified,False,True,124.839,,,,"LINESTRING (10.7764858 43.8827162, 10.7760712 43.881634)",
41594330,,unclassified,True,False,43.400000000000006,,50,yes,"LINESTRING (10.7764858 43.8827162, 10.7769403 43.882611, 10.7770014 43.8825969)",
41594016,Via Ricasoli,residential,True,False,58.24,,,,"LINESTRING (10.7700889 43.8817464, 10.7701049 43.8817798, 10.7703203 43.8822429)",
"[342751882, 342751884]",Via Daniele Manin,secondary,False,False,28.229,2,50,yes,"LINESTRING (10.7700889 43.8817464, 10.7700262 43.8817583, 10.7697483 43.8818111)",
342751884,,secondary,False,True,31.297000000000004,2,50,yes,"LINESTRING (10.7700889 43.8817464, 10.7703372 43.8817006, 10.7704672 43.8816766)",
169242894,Via Giuseppe Garibaldi,residential,True,False,72.53699999999999,,,,"LINESTRING (10.7703203 43.8822429, 10.7699963 43.8822984, 10.769751 43.882346, 10.7694432 43.8824036)",
294696712,Corso Giacomo Matteotti,secondary,False,False,9.207,2,50,yes,"LINESTRING (10.775502 43.8808252, 10.7753889 43.8808397)",
294696712,Corso Giacomo Matteotti,secondary,False,True,8.874,2,50,yes,"LINESTRING (10.775502 43.8808252, 10.7756117 43.8808144)",
160916486,,unclassified,False,True,10.643,,,,"LINESTRING (10.7754519 43.8796957, 10.7753215 43.8797138)",
178673431,Via Nazario Sauro,tertiary,True,False,29.743,,,,"LINESTRING (10.7754519 43.8796957, 10.7755003 43.8799201, 10.7755098 43.8799599)",
136353836,Via Pietro Grocco,unclassified,False,True,49.677,,,,"LINESTRING (10.7756805 43.8858011, 10.7752414 43.8858962, 10.7751184 43.8859715)",
41594329,Via Trieste,unclassified,True,False,60.226,,50,yes,"LINESTRING (10.7763694 43.8810103, 10.7765848 43.8815292)",
41731672,Via Gorizia,residential,True,False,58.471,,,,"LINESTRING (10.7763694 43.8810103, 10.775667 43.8811524)",
40713463,Viale Alessandro Bicchierai,residential,True,False,51.053,1,50,yes,"LINESTRING (10.7753273 43.8812211, 10.7754895 43.8816651)",
42368557,Viale Dante Alighieri,residential,True,False,74.601,,,yes,"LINESTRING (10.7662958 43.8872549, 10.7660032 43.886618)",
46135494,Via Carlo Rosselli,unclassified,True,False,67.09,,,yes,"LINESTRING (10.7662958 43.8872549, 10.7655021 43.8874468)",
61843595,Via Piero Castellacci,residential,False,False,82.583,,,,"LINESTRING (10.7674386 43.8814883, 10.7664448 43.8816845)",
61843689,Via Piero Castellacci,residential,False,False,25.579,,,,"LINESTRING (10.7674386 43.8814883, 10.7675413 43.8817061)",
61843689,Via Piero Castellacci,residential,False,True,58.919,,,,"LINESTRING (10.7674386 43.8814883, 10.7673726 43.8813418, 10.7678774 43.8812476)",
61843657,Via Cividale,unclassified,False,False,187.276,,,,"LINESTRING (10.7753683 43.8799811, 10.7730911 43.8803585)",
61843657,Via Cividale,unclassified,False,True,11.583,,,,"LINESTRING (10.7753683 43.8799811, 10.7755098 43.8799599)",
61843668,Via Nazario Sauro,tertiary,True,False,29.959,,,,"LINESTRING (10.7753683 43.8799811, 10.7753631 43.8799487, 10.7753215 43.8797138)",
61843613,Via Nizza,residential,True,False,118.427,,,yes,"LINESTRING (10.76729 43.8858453, 10.7686946 43.8855144)",
143590843,Viale Antonio Balducci,unclassified,True,False,48.18899999999999,,,yes,"LINESTRING (10.76729 43.8858453, 10.7674638 43.8862103, 10.7674852 43.8862552)",
61843638,Via Indipendenza,residential,False,True,191.299,,,,"LINESTRING (10.7729946 43.8800968, 10.7753215 43.8797138)",
184758464,Via del Salsero,unclassified,True,False,29.912,,,,"LINESTRING (10.7729946 43.8800968, 10.7730786 43.8803589)",
37574006,Corso Roma,residential,True,False,59.903999999999996,,,yes,"LINESTRING (10.7675381 43.8846711, 10.767587 43.8846499, 10.768117 43.8844198, 10.7681795 43.8843945)",
61843661,Via Ruggiero Leoncavallo,residential,True,False,105.56099999999999,,,yes,"LINESTRING (10.7675381 43.8846711, 10.7674461 43.8845181, 10.7674254 43.884474, 10.7673134 43.8841081, 10.7671597 43.8838058, 10.7671407 43.8837689)",
40713505,Via Giuseppe Garibaldi,residential,True,False,58.949,,,,"LINESTRING (10.7683915 43.8826035, 10.7691023 43.8824672)",
61843579,Via Ugolino da Montecatini,residential,True,False,57.33,,,,"LINESTRING (10.7683915 43.8826035, 10.7681943 43.8821079)",
338351263,Via Ugolino da Montecatini,residential,True,False,84.946,,,yes,"LINESTRING (10.7683915 43.8826035, 10.7687057 43.8833331)",
61843689,Via Piero Castellacci,residential,False,True,149.289,,,,"LINESTRING (10.7678774 43.8812476, 10.769679 43.8809066)",
61843662,Via del Giglio,residential,False,True,75.848,,,,"LINESTRING (10.7678774 43.8812476, 10.7678358 43.8811617, 10.7686058 43.8809582)",
61843689,Via Piero Castellacci,residential,False,False,58.919,,,,"LINESTRING (10.7678774 43.8812476, 10.7673726 43.8813418, 10.7674386 43.8814883)",
40713505,Via Giuseppe Garibaldi,residential,True,False,34.01,,,,"LINESTRING (10.7679814 43.8826821, 10.7683915 43.8826035)",
