osmid,name,highway,width,oneway,reversed,length,geometry,lanes,bridge
44849204,Via Generale Armando Diaz,unclassified,,False,False,43.205,"LINESTRING (8.9762726 45.5527263, 8.9766212 45.552424)",,
44849204,Via Generale Armando Diaz,unclassified,,False,True,95.24499999999999,"LINESTRING (8.9762726 45.5527263, 8.9755461 45.5533562, 8.9755022 45.5533916)",,
44849036,Via Giulio Cesare Lampugnani,unclassified,,True,False,78.487,"LINESTRING (8.9763277 45.554782, 8.9767986 45.5541579)",,
44849104,Via Galileo Galilei,residential,,False,True,53.841,"LINESTRING (8.9763277 45.554782, 8.9757247 45.554545)",,
47132458,Via Galileo Galilei,residential,,True,False,65.433,"LINESTRING (8.9763277 45.554782, 8.9770631 45.5550668)",,
44849044,Via Roma,unclassified,,False,False,132.098,"LINESTRING (8.9767986 45.5541579, 8.9755022 45.5533916)",,
44849046,Via Vittorio Veneto,unclassified,,True,False,44.983,"LINESTRING (8.9770631 45.5550668, 8.9767799 45.5554194)",,
44849036,Via Giulio Cesare Lampugnani,unclassified,,True,False,55.313,"LINESTRING (8.975975 45.5552138, 8.9763277 45.554782)",,
44849093,Largo Paolo Caccia Dominioni,residential,,False,True,57.224,"LINESTRING (8.975975 45.5552138, 8.9753257 45.5549727)",,
44849046,Via Vittorio Veneto,unclassified,,True,False,64.626,"LINESTRING (8.9767799 45.5554194, 8.9763829 45.5559298)",,
529221253,Viale Eugenio Villoresi,unclassified,,False,False,65.533,"LINESTRING (8.9763829 45.5559298, 8.9756419 45.5556503)",,
529221253,Viale Eugenio Villoresi,unclassified,,False,True,19.798,"LINESTRING (8.9763829 45.5559298, 8.9766037 45.5560181)",,
529221253,Viale Eugenio Villoresi,unclassified,,False,False,19.798,"LINESTRING (8.9766037 45.5560181, 8.9763829 45.5559298)",,
"[44849097, 44849235]","['Via Agostino Terzaghi', 'Via Alberto da Giussano']",residential,,True,False,289.84,"LINESTRING (8.9766078 45.5573888, 8.9772704 45.556705, 8.9751046 45.5558469, 8.9750576 45.5558283)",,
32446337,Via Piave,residential,,True,False,89.973,"LINESTRING (8.976286 45.5572019, 8.9755926 45.5578492)",,
44849090,Via Legnano,unclassified,,True,False,32.552,"LINESTRING (8.976286 45.5572019, 8.9766078 45.5573888)",,
"[44849073, 349541798]","['Via Brera', 'Piazza Italia']",residential,,False,False,209.53500000000003,"LINESTRING (8.9736248 45.5546808, 8.9738723 45.5546217, 8.9740083 45.5545497, 8.9744219 45.5543614, 8.9745465 45.554287, 8.9747959 45.5539807, 8.9754472 45.5534358, 8.9755022 45.5533916)",,
349541788,Piazza Italia,residential,10,False,True,30.831999999999997,"LINESTRING (8.9736248 45.5546808, 8.9732792 45.5546002, 8.9732491 45.5545932)",,
"[44849072, 349541791]","['Via della Croce', 'Piazza Italia']",residential,,False,True,75.341,"LINESTRING (8.9736248 45.5546808, 8.9738617 45.5547879, 8.9740322 45.5548756, 8.9744268 45.5550596)",,
349541788,Piazza Italia,residential,10,False,False,16.324,"LINESTRING (8.9730502 45.5545468, 8.9732491 45.5545932)",,
44849214,Via Prepositurale,residential,5,False,True,46.085,"LINESTRING (8.9730502 45.5545468, 8.9729928 45.5546298, 8.9728722 45.5548222, 8.9728131 45.5549264)",,
"[349541788, 44849238]","['Via Enrico Rondanini', 'Piazza Italia']",residential,10,False,True,17.679000000000002,"LINESTRING (8.9730502 45.5545468, 8.9730248 45.5545409, 8.972835 45.5544961)",,
349541788,Piazza Italia,residential,10,False,True,16.324,"LINESTRING (8.9732491 45.5545932, 8.9730502 45.5545468)",,
44849109,Vicolo Pace,residential,,False,False,59.229,"LINESTRING (8.9732491 45.5545932, 8.9732692 45.5545501, 8.9735232 45.5540964)",,
349541788,Piazza Italia,residential,10,False,False,30.831999999999997,"LINESTRING (8.9732491 45.5545932, 8.9732792 45.5546002, 8.9736248 45.5546808)",,
44849076,Via Monte Rosa,residential,,False,True,108.112,"LINESTRING (8.9700108 45.5497542, 8.968969 45.5503969)",,
