osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,name,lanes,ref,bridge
"[6381010, 6381011]",unclassified,,,False,"[False, True]",727.6589999999998,"LINESTRING (6.8767183 53.0836195, 6.8769003 53.0835367, 6.8771396 53.0834234, 6.8779396 53.0827844, 6.8791627 53.0817818, 6.8802374 53.0809131, 6.8802916 53.0808775, 6.8804183 53.0808647, 6.8805266 53.0809147, 6.8811152 53.0813742, 6.8815145 53.0817725, 6.8818569 53.0821749, 6.8820846 53.0825211, 6.8823128 53.0829155, 6.8822952 53.0830197, 6.8818058 53.0834247)","['Poolsterweg', 'Orionweg']",,,
6381068,secondary,50,,False,True,109.615,"LINESTRING (6.8726331 53.0837244, 6.874158 53.0833599)",Dalweg 12,,,
"[6380968, 6380965, 6380966, 6380967]",unclassified,,,False,"[False, True]",230.28699999999998,"LINESTRING (6.8726331 53.0837244, 6.872673 53.0837862, 6.8726761 53.083791, 6.8727576 53.0839168, 6.872963 53.084207, 6.873043 53.0842366, 6.87445 53.08391, 6.87447 53.08384, 6.87441 53.08376, 6.8742156 53.0834344, 6.874158 53.0833599)",,,,
6381068,secondary,50,,False,False,59.159000000000006,"LINESTRING (6.8726331 53.0837244, 6.8719379 53.0839054, 6.871821 53.0839368)",Dalweg 12,,,
"[6381048, 182353225]",secondary,50,,False,True,52.84,"LINESTRING (6.8699893 53.0843658, 6.8703422 53.0842821, 6.8704594 53.0842554, 6.8704983 53.0842518, 6.8705366 53.0842511, 6.8705598 53.0842518, 6.8706237 53.0842543, 6.8707409 53.0842734)",C.W. Lubbersstraat,,,
"[30851937, 6381164, 6381029]",secondary,80,,False,True,125.876,"LINESTRING (6.8813275 53.0777557, 6.8816235 53.077498, 6.8816485 53.0774754, 6.8821576 53.0770514, 6.8824362 53.0768408)",Dalweg 12,,,yes
755629429,secondary,80,roundabout,True,False,33.592000000000006,"LINESTRING (6.8813275 53.0777557, 6.8813868 53.0777913, 6.8814239 53.0778365, 6.8814351 53.0778864, 6.881419 53.0779358, 6.8813775 53.0779795, 6.8813148 53.0780129)",,,,
755629427,secondary,80,roundabout,True,False,25.093000000000004,"LINESTRING (6.8809851 53.077778, 6.881043 53.0777492, 6.8811122 53.0777316, 6.8811869 53.0777268, 6.8812607 53.077735, 6.8813275 53.0777557)",,,,
755629425,secondary,80,roundabout,True,False,20.308,"LINESTRING (6.8824459 53.0765852, 6.8825164 53.0765682, 6.8825922 53.0765647, 6.8826663 53.076575, 6.8827318 53.0765981)",,,,
30851936,trunk_link,100,,True,False,386.71600000000007,"LINESTRING (6.8827644 53.0768123, 6.8828027 53.0768722, 6.88287 53.0769396, 6.8829337 53.0769966, 6.8830779 53.0771483, 6.8831345 53.0773344, 6.8831428 53.0774729, 6.8831072 53.077676, 6.8830563 53.0779292, 6.8830246 53.0780994, 6.8830253 53.0784385, 6.8830692 53.0787118, 6.88323 53.0791019, 6.8835238 53.079657, 6.8837472 53.0801753)",,1,N33,
755629425,secondary,80,roundabout,True,False,24.124999999999996,"LINESTRING (6.8827644 53.0768123, 6.8827102 53.076841, 6.8826446 53.0768592, 6.8825731 53.0768654, 6.8825017 53.0768591, 6.8824362 53.0768408)",,,,
"[30851937, 6381164, 6381029]",secondary,80,,False,False,125.87599999999999,"LINESTRING (6.8824362 53.0768408, 6.8821576 53.0770514, 6.8816485 53.0774754, 6.8816235 53.077498, 6.8813275 53.0777557)",Dalweg 12,,,yes
755629430,secondary,80,roundabout,True,False,33.807,"LINESTRING (6.8824362 53.0768408, 6.8823743 53.0768064, 6.8823351 53.0767615, 6.8823228 53.0767114, 6.8823389 53.0766616, 6.8823815 53.0766179, 6.8824459 53.0765852)",,,,
221311129,tertiary,,,False,False,88.422,"LINESTRING (6.8716382 53.0841058, 6.8716457 53.0841997, 6.8716895 53.0847433, 6.8717659 53.0848934)",Industrieweg,,,
221311130,secondary,50,roundabout,True,False,17.625999999999998,"LINESTRING (6.8716382 53.0841058, 6.8715854 53.0841051, 6.8715345 53.0840966, 6.8714886 53.084081, 6.8714504 53.0840591, 6.8714223 53.0840323)",,,,
221311129,tertiary,,,False,True,88.422,"LINESTRING (6.8717659 53.0848934, 6.8716895 53.0847433, 6.8716457 53.0841997, 6.8716382 53.0841058)",Industrieweg,,,
221359278,secondary,50,,False,False,54.717999999999996,"LINESTRING (6.8714223 53.0840323, 6.8711372 53.0840974, 6.8710203 53.0841253, 6.8709165 53.0841497, 6.8708628 53.0841668, 6.8708279 53.0841884, 6.8707409 53.0842734)",Dalweg 12,,,
755629423,secondary,50,roundabout,True,False,46.583000000000006,"LINESTRING (6.8714223 53.0840323, 6.8714025 53.0839873, 6.8714106 53.083941, 6.8714454 53.0838994, 6.8715026 53.083868, 6.8715745 53.0838507, 6.871652 53.0838499, 6.8717249 53.0838657, 6.8717838 53.083896, 6.871821 53.0839368)",,,,
6381068,secondary,50,,False,True,59.159000000000006,"LINESTRING (6.871821 53.0839368, 6.8719379 53.0839054, 6.8726331 53.0837244)",Dalweg 12,,,
221311130,secondary,50,roundabout,True,False,25.614,"LINESTRING (6.871821 53.0839368, 6.8718318 53.0839746, 6.8718236 53.0840127, 6.8717971 53.0840477, 6.8717547 53.0840764, 6.8717001 53.0840964, 6.8716382 53.0841058)",,,,
6380961,unclassified,,,False,False,119.995,"LINESTRING (6.8752627 53.0830064, 6.8753815 53.0830398, 6.8758218 53.0831736, 6.87656 53.0834966, 6.8767183 53.0836195)",Adriaan Tripweg,,,
481439342,secondary,80,roundabout,True,False,25.331,"LINESTRING (6.8752627 53.0830064, 6.8752422 53.0830335, 6.8751929 53.0830597, 6.8751283 53.0830741, 6.8750662 53.083074, 6.8749929 53.0830559, 6.8749579 53.0830315)",,,,
6381068,secondary,50,,False,False,64.74000000000001,"LINESTRING (6.8749579 53.0830315, 6.8748389 53.0830844, 6.8744703 53.0832396, 6.8743047 53.0833067, 6.874158 53.0833599)",Dalweg 12,,,
755629424,secondary,80,roundabout,True,False,33.323,"LINESTRING (6.8749579 53.0830315, 6.8749331 53.0830142, 6.8749236 53.0830004, 6.874914 53.0829626, 6.8749266 53.082925, 6.874945 53.0829039, 6.874989 53.0828762, 6.8750224 53.0828645, 6.8750927 53.0828549, 6.8751414 53.082858, 6.8751824 53.0828697)",,,,
30851930,secondary,80,,False,True,10.699,"LINESTRING (6.8751824 53.0828697, 6.8752699 53.0827891)",Dalweg 12,,,
481439342,secondary,80,roundabout,True,False,18.008,"LINESTRING (6.8751824 53.0828697, 6.8752093 53.0828775, 6.8752597 53.082913, 6.8752769 53.0829403, 6.8752785 53.0829855, 6.8752627 53.0830064)",,,,
"[6381048, 182353225]",secondary,50,,False,False,52.84,"LINESTRING (6.8707409 53.0842734, 6.8706237 53.0842543, 6.8705598 53.0842518, 6.8705366 53.0842511, 6.8704983 53.0842518, 6.8704594 53.0842554, 6.8703422 53.0842821, 6.8699893 53.0843658)",C.W. Lubbersstraat,,,
221359278,secondary,50,,False,True,54.718,"LINESTRING (6.8707409 53.0842734, 6.8708279 53.0841884, 6.8708628 53.0841668, 6.8709165 53.0841497, 6.8710203 53.0841253, 6.8711372 53.0840974, 6.8714223 53.0840323)",Dalweg 12,,,
