osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width
"[6586881, 6587143]",Zuidpolderlaan,residential,30,False,False,49.737,"LINESTRING (5.060138 52.5084651, 5.060162 52.5085615, 5.0601872 52.5086049, 5.0603816 52.5087593, 5.060518 52.5088303)",,
"[280291490, 6587204]",Zuidpolderlaan,tertiary,50,False,True,55.486000000000004,"LINESTRING (5.060138 52.5084651, 5.0599436 52.5084748, 5.0598239 52.5084527, 5.0596889 52.5084059, 5.059566 52.5083639, 5.0593924 52.5082994)",,
280291492,Dijkgraaf de Ruiterlaan,tertiary,50,False,False,155.57,"LINESTRING (5.060138 52.5084651, 5.0602528 52.5084358, 5.0603357 52.5084018, 5.0604502 52.5083346, 5.0605813 52.5082656, 5.0619069 52.5078377, 5.0621292 52.5077805)",,
6586823,Beemsterstraat,residential,30,False,False,42.039,"LINESTRING (5.0563421 52.5086187, 5.0561634 52.5088707, 5.0560959 52.5089658)",,
6586914,Langemeerstraat,residential,30,False,False,62.045,"LINESTRING (5.0563421 52.5086187, 5.0566233 52.5086911, 5.057182 52.5088423)",,
6586914,Langemeerstraat,residential,30,False,True,63.211,"LINESTRING (5.0563421 52.5086187, 5.0559815 52.5085272, 5.0559084 52.5085087, 5.05548 52.5084)",,
113704745,Schermerstraat,residential,30,False,False,27.419,"LINESTRING (5.0550079 52.5086985, 5.0548564 52.5089272)",,
113704745,Schermerstraat,residential,30,False,True,42.734,"LINESTRING (5.0550079 52.5086985, 5.0550754 52.508599, 5.055249 52.5083433)",,
280291488,Wormerstraat,residential,30,False,False,79.408,"LINESTRING (5.0550079 52.5086985, 5.055688 52.5088632, 5.0557283 52.5088733, 5.0560959 52.5089658)",,
6586767,Schermerstraat,residential,30,False,True,27.004,"LINESTRING (5.0543648 52.5088137, 5.05422 52.50904)",,
6586908,Schermerstraat,residential,30,False,False,35.584,"LINESTRING (5.0543648 52.5088137, 5.0548564 52.5089272)",,
"[6586784, 6586908]","['Schermerstraat', 'Zijpemeerhof']",residential,30,False,True,86.214,"LINESTRING (5.0543648 52.5088137, 5.0540006 52.5087186, 5.0537501 52.5086532, 5.0535389 52.508598, 5.0535189 52.5085698, 5.0535065 52.5085523, 5.0536055 52.5083842)",,
"[6586883, 6586796]",Spinnekopmolen,residential,30,False,"[False, True]",80.156,"LINESTRING (5.0617671 52.5088411, 5.0619488 52.5087799, 5.0621299 52.5087212, 5.062198 52.5088243, 5.0620417 52.508951, 5.0617671 52.5088411)",,
"[6586883, 6586796]",Spinnekopmolen,residential,30,False,"[False, True]",80.156,"LINESTRING (5.0617671 52.5088411, 5.0620417 52.508951, 5.062198 52.5088243, 5.0621299 52.5087212, 5.0619488 52.5087799, 5.0617671 52.5088411)",,
6586796,Spinnekopmolen,residential,30,False,True,52.102000000000004,"LINESTRING (5.0617671 52.5088411, 5.06162 52.50889, 5.06143 52.50905, 5.0612717 52.509189)",,
