osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,width
746710132,,East 4th Street,unclassified,False,False,72.906,2,"LINESTRING (-81.6897134 41.4976782, -81.6892994 41.4972398, -81.6892079 41.4971429)",,
746710132,,East 4th Street,unclassified,False,True,72.447,2,"LINESTRING (-81.6897134 41.4976782, -81.6897434 41.4977298, -81.6898111 41.4979668, -81.6898557 41.4981237, -81.6898804 41.498195, -81.6899435 41.498304)",,
"[11809360, 671586718]",,Huron Road East,tertiary,False,False,115.80599999999998,"['4', '2']","LINESTRING (-81.6892079 41.4971429, -81.6890428 41.4972262, -81.688825 41.4973432, -81.688481 41.497522, -81.6882751 41.497621, -81.6880619 41.4977325)",25 mph,
11809360,,Huron Road East,tertiary,False,True,110.89200000000001,2,"LINESTRING (-81.6892079 41.4971429, -81.6893395 41.497069, -81.6897497 41.4968501, -81.689973 41.496731, -81.6900742 41.4966733, -81.6903028 41.4965774)",25 mph,
746710132,,East 4th Street,unclassified,False,True,72.906,2,"LINESTRING (-81.6892079 41.4971429, -81.6892994 41.4972398, -81.6897134 41.4976782)",,
996192590,,West Prospect Avenue,tertiary,False,True,132.462,6,"LINESTRING (-81.6947854 41.4977566, -81.69637 41.4978591)",25,
425386283,,West Prospect Avenue,tertiary,False,False,135.726,6,"LINESTRING (-81.6947854 41.4977566, -81.6946277 41.4977457, -81.6931628 41.4976429)",25,
1053591849,,West Huron Road,tertiary,False,False,134.918,6,"LINESTRING (-81.6948913 41.4968329, -81.6932779 41.4967237)",25 mph,
1053591849,,West Huron Road,tertiary,False,True,146.541,6,"LINESTRING (-81.6948913 41.4968329, -81.6966431 41.4969563)",25 mph,
"[11794081, 565423194]",,West 3rd Street,residential,True,False,103.091,,"LINESTRING (-81.6948913 41.4968329, -81.6948771 41.4969483, -81.6947967 41.4976376, -81.6947854 41.4977566)",,
"[11803905, 1229679172]",,West Lakeside Avenue,tertiary,False,True,176.777,6,"LINESTRING (-81.6983852 41.5020735, -81.6982457 41.5021439, -81.6973767 41.5025826, -81.6967625 41.5028926, -81.696625 41.5029621)",,
55552346,,West 3rd Street,tertiary,False,True,103.89299999999999,3,"LINESTRING (-81.6983852 41.5020735, -81.6984777 41.5021758, -81.6989997 41.5027535, -81.6990844 41.5028473)",,
"[996190384, 651637636, 996190383]",,West 3rd Street,tertiary,False,False,218.55900000000003,"['4', '5']","LINESTRING (-81.6983852 41.5020735, -81.6982877 41.5019641, -81.6978888 41.5015164, -81.6975326 41.5011166, -81.6973955 41.5009625, -81.6972283 41.5007744, -81.6970171 41.5005382, -81.6969298 41.5004379)",,
"[1092600875, 1092600876, 651637637]",,West Lakeside Avenue,tertiary,False,False,80.22800000000001,,"LINESTRING (-81.6983852 41.5020735, -81.6985209 41.5020033, -81.6989861 41.5017627, -81.6990359 41.5017359, -81.6991801 41.501666)",,
222026606,,West 3rd Street,tertiary,False,True,103.233,4,"LINESTRING (-81.6954327 41.4987652, -81.6955462 41.4989081, -81.6959599 41.4993654, -81.6961215 41.4995367)",,
"[571352988, 222026886]",US 6;US 20;US 42;SR 3,West Superior Avenue,primary,False,True,111.88399999999999,7,"LINESTRING (-81.6954327 41.4987652, -81.6955581 41.4987028, -81.6957661 41.4985962, -81.6962632 41.498346, -81.6963364 41.4983098, -81.6965482 41.4982045)",25 mph,
"[49685449, 996192591]",US 6;US 20;US 42;SR 3,West Superior Avenue,primary,False,False,95.803,"['7', '6']","LINESTRING (-81.6954327 41.4987652, -81.6953173 41.4988241, -81.694964 41.4990045, -81.6946145 41.499183, -81.6944822 41.4992505)",25 mph,
222026884,,Ontario Street,tertiary,False,False,132.755,,"LINESTRING (-81.6942834 41.5003293, -81.6943511 41.5004059, -81.6950741 41.5012244, -81.695163 41.501325)",,
222940832,US 6;US 20,Rockwell Avenue,primary,True,False,76.483,3,"LINESTRING (-81.6942834 41.5003293, -81.6944507 41.5002465, -81.6949159 41.5000163, -81.6949437 41.5000015, -81.6949942 41.4999745, -81.695014 41.4999549, -81.6950249 41.4999329)",25 mph,
49685457,US 422;SR 8;SR 14;SR 43;SR 87,Ontario Street,primary,False,True,150.414,6,"LINESTRING (-81.6931177 41.4990263, -81.6930186 41.4989095, -81.6925402 41.4983795, -81.6922578 41.4980651, -81.6921098 41.4979039)",25 mph,
414493436,US 6;US 20,South Roadway,primary,True,False,70.456,3,"LINESTRING (-81.6931177 41.4990263, -81.6929505 41.4991119, -81.6925665 41.4993103, -81.6924235 41.4993819, -81.6924195 41.4993841)",25 mph,
"[425386283, 11811366]",,West Prospect Avenue,tertiary,False,True,97.219,"['5', '6']","LINESTRING (-81.6921098 41.4979039, -81.6922459 41.4978329, -81.6923499 41.4977798, -81.6926135 41.4976496, -81.6926631 41.4976306, -81.6927015 41.4976212, -81.6927477 41.4976158, -81.6927939 41.4976151, -81.6929991 41.4976317, -81.6931628 41.4976429)",25,
49685457,US 422;SR 8;SR 14;SR 43;SR 87,Ontario Street,primary,False,False,150.41400000000002,6,"LINESTRING (-81.6921098 41.4979039, -81.6922578 41.4980651, -81.6925402 41.4983795, -81.6930186 41.4989095, -81.6931177 41.4990263)",25 mph,
"[746710131, 690557371]",,Prospect Avenue East,tertiary,False,True,105.597,"['4', '3']","LINESTRING (-81.6921098 41.4979039, -81.6919922 41.4979554, -81.69195 41.4979706, -81.6919059 41.4979833, -81.6916937 41.4980199, -81.6915156 41.4980491, -81.6908934 41.4981533)",,
"[690557376, 222069488]",US 422;SR 8;SR 14;SR 43;SR 87,Ontario Street,primary,False,True,215.341,"['7', '6']","LINESTRING (-81.6921098 41.4979039, -81.6919895 41.4977761, -81.691641 41.4973859, -81.6915177 41.4972586, -81.6914107 41.4971433, -81.6913463 41.497073, -81.6912931 41.4970305, -81.691232 41.4969967, -81.6911268 41.4969481, -81.6905829 41.4966948, -81.6903028 41.4965774)",,
