osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref
10128471,Talon Circle,residential,False,True,124.097,"LINESTRING (-112.0081661 40.6497679, -112.0076927 40.6497668, -112.0075778 40.6498225, -112.007535 40.6499106, -112.007536 40.6504089, -112.0075371 40.6504701)",,,
10128500,4520 West,residential,False,False,80.439,"LINESTRING (-111.9988114 40.6571299, -111.998811 40.6564065)",,,
10144983,5175 South,residential,False,False,198.64,"LINESTRING (-111.9988114 40.6571299, -112.0011662 40.6571257)",,,
10128500,4520 West,residential,False,False,84.921,"LINESTRING (-111.998811 40.6564065, -111.9988057 40.6556428)",,,
10128500,4520 West,residential,False,True,80.439,"LINESTRING (-111.998811 40.6564065, -111.9988114 40.6571299)",,,
10130248,5215 South,tertiary,False,False,199.081,"LINESTRING (-111.998811 40.6564065, -112.001171 40.6564104)",,,
10128500,4520 West,residential,False,False,78.294,"LINESTRING (-111.9988057 40.6556428, -111.9987997 40.6549387)",,,
10128500,4520 West,residential,False,True,84.921,"LINESTRING (-111.9988057 40.6556428, -111.998811 40.6564065)",,,
10132167,5255 South,residential,False,False,199.276,"LINESTRING (-111.9988057 40.6556428, -112.001168 40.6556443)",,,
10128500,4520 West,residential,False,True,78.294,"LINESTRING (-111.9987997 40.6549387, -111.9988057 40.6556428)",,,
10146509,5295 South,residential,False,False,200.212,"LINESTRING (-111.9987997 40.6549387, -112.001173 40.6549255)",2,25 mph,
10135681,South Morning Breeze Drive,residential,False,True,70.721,"LINESTRING (-112.009123 40.6504273, -112.009118 40.6509971, -112.009118 40.6510633)",,,
684280450,South Northwest Avenue,residential,False,True,80.289,"LINESTRING (-112.0001245 40.6491605, -112.0006796 40.649747)",,,
10151251,5615 South,residential,False,True,78.65299999999999,"LINESTRING (-112.0001245 40.6491605, -112.000039 40.6491605, -111.9991922 40.6491605)",2,25 mph,
923236909,West 5615 South,residential,False,False,48.162,"LINESTRING (-112.0001245 40.6491605, -112.0002357 40.6491525, -112.000316 40.6491407, -112.0003467 40.6491364, -112.0005308 40.6490915, -112.0006766 40.6490568)",,,
"[38446081, 10150341]",5500 South,residential,False,False,165.051,"LINESTRING (-112.0000873 40.6512589, -112.0009982 40.6512648, -112.0011434 40.6512606, -112.001759 40.6508979, -112.001863 40.6508513)",2,25 mph,
10130248,5215 South,tertiary,False,True,199.081,"LINESTRING (-112.001171 40.6564104, -111.998811 40.6564065)",,,
10130248,5215 South,tertiary,False,False,200.886,"LINESTRING (-112.001171 40.6564104, -112.001299 40.6564104, -112.0035524 40.6564095)",,,
38445650,4620 West,tertiary,False,False,85.188,"LINESTRING (-112.001171 40.6564104, -112.00117 40.6563055, -112.0011699 40.6562724, -112.001168 40.6556443)",2,25 mph,
38445650,4620 West,tertiary,False,True,79.53899999999999,"LINESTRING (-112.001171 40.6564104, -112.0011701 40.6565448, -112.0011662 40.6571257)",2,25 mph,
10130248,5215 South,tertiary,False,False,46.548,"LINESTRING (-112.0035524 40.6564095, -112.0041042 40.65641)",,,
10130248,5215 South,tertiary,False,True,200.886,"LINESTRING (-112.0035524 40.6564095, -112.001299 40.6564104, -112.001171 40.6564104)",,,
10130372,4720 West,residential,False,True,79.837,"LINESTRING (-112.0035524 40.6564095, -112.0035454 40.6565044, -112.0035028 40.6571265)",,,
10130248,5215 South,tertiary,False,False,75.761,"LINESTRING (-112.0041042 40.65641, -112.0050023 40.6564136)",,,
10130248,5215 South,tertiary,False,True,46.548,"LINESTRING (-112.0041042 40.65641, -112.0035524 40.6564095)",,,
10141512,Sarbo Street,residential,False,False,86.839,"LINESTRING (-112.0041042 40.65641, -112.0040531 40.65563)",,,
10130248,5215 South,tertiary,False,False,78.603,"LINESTRING (-112.0050023 40.6564136, -112.0059341 40.6564129)",,,
10130248,5215 South,tertiary,False,True,75.761,"LINESTRING (-112.0050023 40.6564136, -112.0041042 40.65641)",,,
10148899,4780 West,residential,False,False,162.792,"LINESTRING (-112.0050023 40.6564136, -112.0049886 40.6554086, -112.0049031 40.6552013, -112.004745 40.6549914)",,,
10130248,5215 South,tertiary,False,True,78.603,"LINESTRING (-112.0059341 40.6564129, -112.0050023 40.6564136)",,,
10137150,4820 West,residential,False,True,80.167,"LINESTRING (-112.0059341 40.6564129, -112.0059224 40.6571338)",,,
10142909,South Pieper Boulevard,tertiary,False,True,145.745,"LINESTRING (-112.0059341 40.6564129, -112.0061622 40.6564235, -112.0063072 40.6564413, -112.0066343 40.6565084, -112.0068657 40.6565822, -112.007081 40.6566831, -112.0072713 40.6567939, -112.0074688 40.656933)",3,,
"[684280451, 10143766]","['South Northwest Avenue', '4820 West']",tertiary,False,False,222.342,"LINESTRING (-112.0059341 40.6564129, -112.0059328 40.6562762, -112.0059271 40.6556559, -112.0059245 40.6553905, -112.0059274 40.6551336, -112.0059205 40.6549868, -112.0058405 40.6547192, -112.0055948 40.6544855)",2,,
10144984,5175 South,residential,False,False,204.107,"LINESTRING (-112.0035028 40.6571265, -112.0059224 40.6571338)",,,
10130372,4720 West,residential,False,False,79.837,"LINESTRING (-112.0035028 40.6571265, -112.0035454 40.6565044, -112.0035524 40.6564095)",,,
10135681,South Morning Breeze Drive,residential,False,False,72.457,"LINESTRING (-112.0091239 40.6517149, -112.009118 40.6511393, -112.009118 40.6510633)",,,
10135681,South Morning Breeze Drive,residential,False,True,71.56099999999999,"LINESTRING (-112.0091239 40.6517149, -112.009132 40.6522938, -112.0091349 40.6523584)",,,
10137149,4820 West,residential,False,True,30.490000000000002,"LINESTRING (-112.0060754 40.6527869, -112.006074 40.6529275, -112.0060746 40.6530611)",,,
684280448,5415 South,primary,False,False,185.264,"LINESTRING (-112.0060754 40.6527869, -112.005887 40.6527878, -112.0040582 40.652797, -112.0038794 40.6528002)",,40 mph,UT 173
"[10140723, 989157812, 989157813]",5415 South,primary,False,True,260.52599999999995,"LINESTRING (-112.0060754 40.6527869, -112.006278 40.6527881, -112.0069307 40.652792, -112.0073592 40.6527927, -112.0075583 40.6528052, -112.0077999 40.6528422, -112.0083214 40.6529723, -112.0085543 40.6530052, -112.0087991 40.6530163, -112.0091261 40.6530204)",5,40 mph,UT 173
1188470288,Cougar Lane,secondary,False,False,188.854,"LINESTRING (-112.0060754 40.6527869, -112.006073 40.6526264, -112.0060705 40.6522339, -112.0060456 40.652022, -112.0059798 40.6518317, -112.00584 40.6516239, -112.0056734 40.6513449, -112.0056007 40.6511565)",3,,
10140026,West Niagara Way,residential,False,True,109.133,"LINESTRING (-112.0056007 40.6511565, -112.005769 40.6511233, -112.005798 40.651118, -112.0060182 40.6510348, -112.0062864 40.6510077, -112.00677 40.6510364, -112.006858 40.6510416)",,,
1188470288,Cougar Lane,secondary,False,True,188.85400000000004,"LINESTRING (-112.0056007 40.6511565, -112.0056734 40.6513449, -112.00584 40.6516239, -112.0059798 40.6518317, -112.0060456 40.652022, -112.0060705 40.6522339, -112.006073 40.6526264, -112.0060754 40.6527869)",3,,
10132167,5255 South,residential,False,False,128.988,"LINESTRING (-112.001168 40.6556443, -112.002697 40.655656)",,,
10132167,5255 South,residential,False,True,199.276,"LINESTRING (-112.001168 40.6556443, -111.9988057 40.6556428)",,,
38445650,4620 West,tertiary,False,False,79.928,"LINESTRING (-112.001168 40.6556443, -112.001173 40.6549255)",2,25 mph,
38445650,4620 West,tertiary,False,True,85.18799999999999,"LINESTRING (-112.001168 40.6556443, -112.0011699 40.6562724, -112.00117 40.6563055, -112.001171 40.6564104)",2,25 mph,
10132167,5255 South,residential,False,False,114.433,"LINESTRING (-112.002697 40.655656, -112.0040531 40.65563)",,,
10132167,5255 South,residential,False,True,128.988,"LINESTRING (-112.002697 40.655656, -112.001168 40.6556443)",,,
10144356,Hoffman Street,residential,False,False,282.209,"LINESTRING (-112.002697 40.655656, -112.00286 40.6552653, -112.0050516 40.6539369)",,,
10132167,5255 South,residential,False,True,114.433,"LINESTRING (-112.0040531 40.65563, -112.002697 40.655656)",,,
10141512,Sarbo Street,residential,False,True,86.839,"LINESTRING (-112.0040531 40.65563, -112.0041042 40.65641)",,,
"[10141512, 10140035]",Sarbo Street,residential,False,False,95.45100000000001,"LINESTRING (-112.0040531 40.65563, -112.0041363 40.6553893, -112.004745 40.6549914)",,,
10142909,South Pieper Boulevard,tertiary,False,False,145.745,"LINESTRING (-112.0074688 40.656933, -112.0072713 40.6567939, -112.007081 40.6566831, -112.0068657 40.6565822, -112.0066343 40.6565084, -112.0063072 40.6564413, -112.0061622 40.6564235, -112.0059341 40.6564129)",3,,
10133401,Beau Circle,residential,False,True,52.921,"LINESTRING (-112.0081616 40.6504306, -112.0079999 40.6504503, -112.0075371 40.6504701)",,,
10135681,South Morning Breeze Drive,residential,False,False,70.721,"LINESTRING (-112.009118 40.6510633, -112.009118 40.6509971, -112.009123 40.6504273)",,,
