osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,junction,lanes
16254741,Sycamore Drive,residential,False,True,177.784,"LINESTRING (-83.888838 36.864267, -83.888195 36.863207, -83.887945 36.862837)",,,,
16253760,Walnut Street,residential,False,True,56.589,"LINESTRING (-83.890003 36.863781, -83.889869 36.86385, -83.889441 36.864018)",,,,
16253764,West Knox Street,residential,False,False,27.722,"LINESTRING (-83.889883 36.8659071, -83.889606 36.8660213)",,,,
16254741,Sycamore Drive,residential,False,False,81.362,"LINESTRING (-83.889883 36.8659071, -83.8899884 36.8659767, -83.890205 36.866062, -83.890681 36.86626)",,,,
16254741,Sycamore Drive,residential,False,True,49.625,"LINESTRING (-83.889883 36.8659071, -83.889781 36.865785, -83.8895919 36.8655266)",,,,
16253764,West Knox Street,residential,False,True,63.696999999999996,"LINESTRING (-83.888973 36.866289, -83.889449 36.866086, -83.889606 36.8660213)",,,,
16255312,Court Square,secondary,True,False,35.861999999999995,"LINESTRING (-83.888973 36.866289, -83.888876 36.866121, -83.888832 36.86606, -83.888806 36.866034, -83.888773 36.866013)",KY 6,,roundabout,
109677400,South Main Street,secondary,False,False,65.483,"LINESTRING (-83.8881144 36.8655171, -83.8884277 36.86605)",KY 6,,,
638353361,Daniel Boone Drive,secondary,False,False,84.9,"LINESTRING (-83.8881144 36.8655171, -83.8872559 36.8658506)",KY 11,,,
16253870,Daniel Boone Drive,secondary,False,True,124.045,"LINESTRING (-83.8881144 36.8655171, -83.888589 36.865324, -83.8887792 36.8652335, -83.8889473 36.8651536, -83.8891041 36.8650791, -83.889167 36.865044, -83.889196 36.865018, -83.889216 36.864983, -83.8892168 36.8649075)",KY 459,,,
1131804563,South Main Street,secondary,False,True,333.25600000000003,"LINESTRING (-83.8881144 36.8655171, -83.88811 36.865505, -83.887366 36.864252, -83.887242 36.864026, -83.887203 36.863913, -83.887199 36.863799, -83.887224 36.863686, -83.887272 36.863576, -83.887629 36.863001, -83.887678 36.862901, -83.887695 36.862808, -83.887687 36.862764)",KY 11,,,
109677432,Daniel Boone Drive,secondary,False,False,35.907,"LINESTRING (-83.884856 36.86667, -83.8844691 36.866762)",KY 11,,,
638353361,Daniel Boone Drive,secondary,False,True,34.272,"LINESTRING (-83.884856 36.86667, -83.885224 36.8665788)",KY 11,,,
16254035,Cumberland Avenue,secondary,False,True,33.34,"LINESTRING (-83.884856 36.86667, -83.884758 36.866631, -83.884638 36.866576, -83.884532 36.86652)",KY 2421,,,
109677438,Cumberland Avenue,tertiary,False,False,39.453,"LINESTRING (-83.884856 36.86667, -83.885021 36.866729, -83.885265 36.866807)",,,,
16255228,North Broadway,residential,False,False,130.429,"LINESTRING (-83.88364 36.866954, -83.883937 36.867457, -83.884243 36.868023)",,,,
109677432,Daniel Boone Drive,secondary,False,True,76.786,"LINESTRING (-83.88364 36.866954, -83.884023 36.866868, -83.8844691 36.866762)",KY 11,,,
16254024,Harding Street,residential,False,True,168.935,"LINESTRING (-83.886226 36.870021, -83.885776 36.868545)",,,,
16254339,Johnson Lane,residential,False,True,189.59,"LINESTRING (-83.886226 36.870021, -83.887762 36.868839)",,,,
16254339,Johnson Lane,residential,False,False,127.56200000000001,"LINESTRING (-83.886226 36.870021, -83.885499 36.870561, -83.885189 36.870813)",,,,
16254035,Cumberland Avenue,secondary,False,False,33.34,"LINESTRING (-83.884532 36.86652, -83.884638 36.866576, -83.884758 36.866631, -83.884856 36.86667)",KY 2421,,,
788070596,,secondary_link,True,False,28.467000000000002,"LINESTRING (-83.884532 36.86652, -83.8845424 36.8666334, -83.8845263 36.8666806, -83.8844691 36.866762)",,,,1
109677438,Cumberland Avenue,tertiary,False,False,109.847,"LINESTRING (-83.885265 36.866807, -83.8853615 36.8668335, -83.885502 36.866872, -83.8855881 36.8668936, -83.885877 36.866966, -83.886019 36.867015, -83.886091 36.867048, -83.88615 36.867086, -83.886196 36.867132, -83.88623 36.867193, -83.886267 36.867285)",,,,
109677438,Cumberland Avenue,tertiary,False,True,39.453,"LINESTRING (-83.885265 36.866807, -83.885021 36.866729, -83.884856 36.86667)",,,,
860868321,,secondary_link,True,False,26.573999999999998,"LINESTRING (-83.885265 36.866807, -83.8852233 36.8667444, -83.8852099 36.8667101, -83.8852099 36.8666564, -83.885224 36.8665788)",,,,
16254339,Johnson Lane,residential,False,True,127.56200000000001,"LINESTRING (-83.885189 36.870813, -83.885499 36.870561, -83.886226 36.870021)",,,,
109677412,North Broadway,residential,False,True,209.85299999999998,"LINESTRING (-83.885189 36.870813, -83.885077 36.870489, -83.884618 36.868982)",,,,
16254741,Sycamore Drive,residential,False,False,177.784,"LINESTRING (-83.887945 36.862837, -83.888195 36.863207, -83.888838 36.864267)",,,,
16254741,Sycamore Drive,residential,False,True,76.502,"LINESTRING (-83.8895919 36.8655266, -83.8892168 36.8649075)",,,,
16254741,Sycamore Drive,residential,False,False,49.625,"LINESTRING (-83.8895919 36.8655266, -83.889781 36.865785, -83.889883 36.8659071)",,,,
16254821,Black Street,residential,False,False,96.11399999999999,"LINESTRING (-83.8895919 36.8655266, -83.8894294 36.8655957, -83.889279 36.8656596, -83.8891063 36.865733, -83.8888126 36.8658578, -83.888773 36.866013)",,,,
"[16254821, 16255774]","['Clark Street', 'Black Street']",residential,False,True,174.992,"LINESTRING (-83.8895919 36.8655266, -83.8900228 36.8653328, -83.890317 36.865204, -83.890405 36.865159, -83.89043 36.865138, -83.89044 36.865121, -83.890444 36.865084, -83.89039 36.864964, -83.8902401 36.8647181, -83.890176 36.864613, -83.890068 36.864407)",,,,
16254741,Sycamore Drive,residential,False,False,187.36200000000002,"LINESTRING (-83.891994 36.866892, -83.89245 36.867449, -83.892814 36.86785, -83.893213 36.868265)",,,,
16254741,Sycamore Drive,residential,False,True,137.08499999999998,"LINESTRING (-83.891994 36.866892, -83.891899 36.86681, -83.891752 36.866717, -83.8914107 36.8665713, -83.890681 36.86626)",,,,
16255474,Wall Street,residential,False,True,247.16700000000003,"LINESTRING (-83.891994 36.866892, -83.891709 36.867028, -83.890158 36.867723, -83.889564 36.867969)",,,,
638353362,North Main Street,secondary,False,True,129.802,"LINESTRING (-83.890481 36.869584, -83.891084 36.870647)",KY 6,,,
16254763,Corgi Lane,residential,False,False,119.92099999999999,"LINESTRING (-83.890481 36.869584, -83.890015 36.869745, -83.889252 36.870027)",,,,
638353362,North Main Street,secondary,False,False,197.244,"LINESTRING (-83.890481 36.869584, -83.890281 36.86922, -83.889564 36.867969)",KY 6,,,
16254821,Black Street,residential,False,True,96.11399999999999,"LINESTRING (-83.888773 36.866013, -83.8888126 36.8658578, -83.8891063 36.865733, -83.889279 36.8656596, -83.8894294 36.8655957, -83.8895919 36.8655266)",,,,
16255312,Court Square,secondary,True,False,32.34,"LINESTRING (-83.888773 36.866013, -83.888733 36.865997, -83.888692 36.86599, -83.888649 36.865991, -83.888605 36.865998, -83.888485 36.86603, -83.8884277 36.86605)",KY 6,,roundabout,
109677400,South Main Street,secondary,False,True,65.483,"LINESTRING (-83.8884277 36.86605, -83.8881144 36.8655171)",KY 6,,,
109677422,Court Square,secondary,True,False,62.76999999999999,"LINESTRING (-83.8884277 36.86605, -83.888298 36.866114, -83.888245 36.866173, -83.888225 36.866201, -83.888224 36.866206, -83.888218 36.866238, -83.888227 36.866297, -83.888256 36.86636, -83.888331 36.866523)",KY 6,,roundabout,
16255050,Hinkle Street,residential,False,False,82.171,"LINESTRING (-83.887687 36.862764, -83.888509 36.862427)",,,,
1131804563,South Main Street,secondary,False,False,333.25600000000003,"LINESTRING (-83.887687 36.862764, -83.887695 36.862808, -83.887678 36.862901, -83.887629 36.863001, -83.887272 36.863576, -83.887224 36.863686, -83.887199 36.863799, -83.887203 36.863913, -83.887242 36.864026, -83.887366 36.864252, -83.88811 36.865505, -83.8881144 36.8655171)",KY 11,,,
638353362,North Main Street,secondary,False,True,63.374,"LINESTRING (-83.888831 36.866737, -83.889149 36.867247)",KY 6,,,
16255312,Court Square,secondary,True,False,63.456999999999994,"LINESTRING (-83.888831 36.866737, -83.889 36.866657, -83.889039 36.866633, -83.889068 36.866605, -83.889084 36.866574, -83.889091 36.86654, -83.889087 36.866506, -83.889076 36.866474, -83.888973 36.866289)",KY 6,,roundabout,
638353362,North Main Street,secondary,False,False,88.364,"LINESTRING (-83.889564 36.867969, -83.889149 36.867247)",KY 6,,,
16255474,Wall Street,residential,False,False,247.16700000000003,"LINESTRING (-83.889564 36.867969, -83.890158 36.867723, -83.891709 36.867028, -83.891994 36.866892)",,,,
638353362,North Main Street,secondary,False,True,197.244,"LINESTRING (-83.889564 36.867969, -83.890281 36.86922, -83.890481 36.869584)",KY 6,,,
16255050,Hinkle Street,residential,False,True,83.951,"LINESTRING (-83.889349 36.862083, -83.888509 36.862427)",,,,
109677409,North Broadway,residential,False,False,52.195,"LINESTRING (-83.884243 36.868023, -83.884444 36.868464)",,,,
16255228,North Broadway,residential,False,True,130.429,"LINESTRING (-83.884243 36.868023, -83.883937 36.867457, -83.88364 36.866954)",,,,
109677423,Knox Street,residential,False,True,197.874,"LINESTRING (-83.884243 36.868023, -83.884749 36.867843, -83.8855398 36.8675523, -83.8857468 36.8674762, -83.886267 36.867285)",,,,
109677409,North Broadway,residential,False,True,52.195,"LINESTRING (-83.884444 36.868464, -83.884243 36.868023)",,,,
16255313,Steele Street,residential,False,False,201.93900000000002,"LINESTRING (-83.884444 36.868464, -83.884857 36.868301, -83.8857717 36.8679632, -83.885886 36.867921, -83.8860232 36.8678666, -83.886492 36.867681)",,,,
109677409,North Broadway,residential,False,False,59.672000000000004,"LINESTRING (-83.884444 36.868464, -83.884501 36.868608, -83.884548 36.868745, -83.884618 36.868982)",,,,
