osmid,oneway,lanes,ref,highway,reversed,length,bridge,maxspeed,geometry,name
27320127,True,,,trunk_link,False,54.29899999999999,,15 mph,"LINESTRING (-74.0708789 40.9493977, -74.070786 40.9493062, -74.0707602 40.9492743, -74.0707423 40.9492441, -74.0707388 40.9492079, -74.0707402 40.9491774, -74.07075 40.9491405, -74.070773 40.949098, -74.0707984 40.9490665, -74.0708358 40.9490399, -74.0709223 40.9490001)",
1035911612,True,2,,tertiary,False,39.479,,,"LINESTRING (-74.0701077 40.948806, -74.0699946 40.9487725, -74.0698511 40.9487215, -74.0696735 40.9486705)",East Midland Avenue
45237408,False,,,trunk_link,True,52.641,,15 mph,"LINESTRING (-74.0713847 40.9496773, -74.0708789 40.9493977)",
"[45237434, 911282556, 911282557]",True,,,trunk_link,False,153.021,,15 mph,"LINESTRING (-74.0720807 40.9488367, -74.0720498 40.9492688, -74.0720284 40.9495679, -74.0719989 40.949651, -74.071948 40.9497239, -74.0718621 40.9497786, -74.0717575 40.9497969, -74.0716556 40.9497847, -74.0715376 40.9497462, -74.0713847 40.9496773)",
45237481,True,2,,tertiary,False,66.26599999999999,,,"LINESTRING (-74.0696735 40.9486705, -74.0697983 40.9487975, -74.0702556 40.9490665)",East Midland Avenue
534173553,False,,,unclassified,True,288.885,,,"LINESTRING (-74.0696735 40.9486705, -74.0697957 40.9484925, -74.0698237 40.9484517, -74.0698719 40.9483626, -74.0698919 40.9483108, -74.0700226 40.94801, -74.0700636 40.9478787, -74.070065 40.947822, -74.0700603 40.9478037, -74.070054 40.9477795, -74.070048 40.947756, -74.0700186 40.9477166, -74.069975 40.9476796, -74.0695657 40.9474712, -74.069503 40.9474292, -74.0694861 40.9474019, -74.0694762 40.947386, -74.0694807 40.9473191, -74.069503 40.9472692, -74.0700764 40.9466182, -74.0701803 40.9464954)",Sette Drive
45237474,True,1,,tertiary,False,84.023,,,"LINESTRING (-74.0710699 40.948931, -74.0708999 40.9488558, -74.0708424 40.9488406, -74.070782 40.9488316, -74.0707145 40.9488294, -74.0706068 40.9488318, -74.0704249 40.9488422, -74.0703261 40.9488446, -74.0702194 40.9488282, -74.0701077 40.948806)",East Midland Avenue
967509552,True,2,,tertiary,False,73.886,,25 mph,"LINESTRING (-74.0710699 40.948931, -74.0709605 40.9489162, -74.0708699 40.9489094, -74.0707884 40.9489103, -74.0706856 40.9489126, -74.070598 40.9489202, -74.0705199 40.9489319, -74.0704398 40.9489522, -74.0703832 40.9489758, -74.0703369 40.9490002, -74.0703026 40.9490247, -74.0702556 40.9490665)",East Midland Avenue
55807770,True,2,,tertiary,False,31.15,,25 mph,"LINESTRING (-74.0709223 40.9490001, -74.0710154 40.9490029, -74.071291 40.9490288)",East Midland Avenue
534173553,False,,,unclassified,False,288.885,,,"LINESTRING (-74.0701803 40.9464954, -74.0700764 40.9466182, -74.069503 40.9472692, -74.0694807 40.9473191, -74.0694762 40.947386, -74.0694861 40.9474019, -74.069503 40.9474292, -74.0695657 40.9474712, -74.069975 40.9476796, -74.0700186 40.9477166, -74.070048 40.947756, -74.070054 40.9477795, -74.0700603 40.9478037, -74.070065 40.947822, -74.0700636 40.9478787, -74.0700226 40.94801, -74.0698919 40.9483108, -74.0698719 40.9483626, -74.0698237 40.9484517, -74.0697957 40.9484925, -74.0696735 40.9486705)",Sette Drive
