osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction
311177222,Hohman Avenue,secondary,False,True,95.125,"LINESTRING (-87.5217126 41.6185346, -87.5212289 41.6193099)",5,,
17415746,Fayette Street,tertiary,False,False,388.29200000000003,"LINESTRING (-87.5217126 41.6185346, -87.5210667 41.6182908, -87.520905 41.6182297, -87.5206014 41.6181151, -87.5203043 41.6180029, -87.5202005 41.6179637, -87.5198404 41.6178311, -87.5193731 41.6176539, -87.5175368 41.6169699)",,,
"[435365105, 435365101]",Hohman Avenue,secondary,False,False,34.578,"LINESTRING (-87.5217126 41.6185346, -87.5218674 41.6182861, -87.5218867 41.6182522)",5,,
17419168,Condit Street,residential,True,False,230.24599999999998,"LINESTRING (-87.5220122 41.6129677, -87.5217501 41.6129654, -87.5215266 41.6129635, -87.52137 41.6129621, -87.520679 41.6129631, -87.5192427 41.6129653)",,,
"[435365104, 435365097]",Hohman Avenue,secondary,False,True,97.098,"LINESTRING (-87.5220122 41.6129677, -87.5220178 41.6134848, -87.5220169 41.6138409)",5,,
435365105,Hohman Avenue,secondary,False,True,103.551,"LINESTRING (-87.5220461 41.6159064, -87.5220592 41.6168376)",,,
"[435365105, 435365103]",Hohman Avenue,secondary,False,False,116.851,"LINESTRING (-87.5220461 41.6159064, -87.5220391 41.6154155, -87.5220366 41.6152345, -87.5220353 41.6151408, -87.5220311 41.6148556)",5,,
"[976554153, 976554154, 17411681]","['Clinton Street', 'Lyman Avenue']",residential,False,"[False, True]",314.85499999999996,"LINESTRING (-87.5220461 41.6159064, -87.5219426 41.6159204, -87.5217803 41.6159195, -87.5215641 41.6159184, -87.5206255 41.6159134, -87.5206169 41.6159133, -87.5197844 41.6159088, -87.5197097 41.6159084, -87.5195675 41.6159154, -87.5195179 41.6159264, -87.5194844 41.6159475, -87.5194602 41.6159776, -87.5194415 41.6160257, -87.5194468 41.6160869, -87.5195247 41.6163911, -87.5196369 41.6168325)",,,
"[976554154, 161493147]",Clinton Street,residential,False,True,257.28,"LINESTRING (-87.5220461 41.6159064, -87.5222041 41.6158893, -87.5227713 41.6158895, -87.5228372 41.6158895, -87.5233648 41.6158899, -87.5242834 41.6158942, -87.5251393 41.6158914)",,,
161493167,Rimbach Street,residential,False,False,145.917,"LINESTRING (-87.5234658 41.6188251, -87.5232741 41.6187556, -87.5229797 41.6186489, -87.5229229 41.6186283, -87.5225882 41.6185106, -87.5223591 41.6184252, -87.522194 41.6183679, -87.5218867 41.6182522)",2,20 mph,
161493167,Rimbach Street,residential,False,True,62.532,"LINESTRING (-87.5234658 41.6188251, -87.5241089 41.6190574, -87.5241431 41.6190698)",2,20 mph,
426297169,Ann Avenue,residential,False,True,52.574,"LINESTRING (-87.5234658 41.6188251, -87.523666 41.618521, -87.5237451 41.6184009)",,,
17424558,Willow Court,tertiary,False,True,162.82,"LINESTRING (-87.5201921 41.6206157, -87.5202198 41.6206545, -87.5202551 41.6206949, -87.5203021 41.620736, -87.5203691 41.6207881, -87.5204375 41.6208282, -87.5211028 41.6210909, -87.5213256 41.6211762, -87.521839 41.6213726)",,,
