osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,junction
35558170,False,,Ђуре Ђаковића,residential,,True,162.76600000000002,"LINESTRING (22.0966215 44.0785728, 22.0967434 44.0786001, 22.0968727 44.0786239, 22.0970832 44.0786477, 22.097367 44.0786858, 22.0977186 44.0787211, 22.098178 44.0787857, 22.0983711 44.0788177, 22.0986207 44.0788488)",
35558154,False,,,residential,,True,60.731,"LINESTRING (22.0943609 44.0806228, 22.0951199 44.080591)",
35558164,False,,Иве Лоле Рибара,residential,,True,43.053,"LINESTRING (22.0962484 44.0820331, 22.0962163 44.0816466)",
35785332,False,,,residential,,True,120.352,"LINESTRING (22.0962484 44.0820331, 22.0977543 44.0819973)",
34562851,False,,Др Драгише Мишовића,unclassified,,False,61.689,"LINESTRING (22.0943477 44.0818219, 22.0942009 44.0816992, 22.0940666 44.0815928, 22.093949 44.0815158, 22.0938214 44.0814166)",
60754770,False,,Доситеја Обрадовића,residential,,False,81.172,"LINESTRING (22.0943477 44.0818219, 22.0943789 44.0817627, 22.0944208 44.0817083, 22.0944669 44.0816603, 22.0945343 44.0816206, 22.0946036 44.0815905, 22.0947756 44.0815746, 22.0951936 44.081556)",
34562852,False,,Војске Југославије,residential,,False,107.465,"LINESTRING (22.0951936 44.081556, 22.0951199 44.080591)",
60754770,False,,Доситеја Обрадовића,residential,,True,81.172,"LINESTRING (22.0951936 44.081556, 22.0947756 44.0815746, 22.0946036 44.0815905, 22.0945343 44.0816206, 22.0944669 44.0816603, 22.0944208 44.0817083, 22.0943789 44.0817627, 22.0943477 44.0818219)",
34562851,False,,Др Драгише Мишовића,unclassified,,True,61.68899999999999,"LINESTRING (22.0938214 44.0814166, 22.093949 44.0815158, 22.0940666 44.0815928, 22.0942009 44.0816992, 22.0943477 44.0818219)",
35558167,False,,Бранислава Нушића,residential,,False,77.904,"LINESTRING (22.0938214 44.0814166, 22.0936367 44.0817887, 22.0935589 44.0818964, 22.0934827 44.0819833, 22.0933785 44.0820156)",
35558167,False,,Бранислава Нушића,residential,,True,77.904,"LINESTRING (22.0933785 44.0820156, 22.0934827 44.0819833, 22.0935589 44.0818964, 22.0936367 44.0817887, 22.0938214 44.0814166)",
34386147,False,,,residential,,False,73.60199999999999,"LINESTRING (22.0965668 44.0792244, 22.0965642 44.0790361, 22.0965793 44.0789323, 22.0966114 44.0787839, 22.0966388 44.0786596, 22.0966477 44.0786219, 22.0966447 44.0785939, 22.0966215 44.0785728)",
34386147,False,,,residential,,True,39.825,"LINESTRING (22.0965668 44.0792244, 22.0965802 44.0794389, 22.096585 44.0795823)",
140681445,False,,Шистекова,unclassified,,False,38.369,"LINESTRING (22.096585 44.0795823, 22.0961055 44.0796027)",
34386147,False,,,residential,,False,39.825,"LINESTRING (22.096585 44.0795823, 22.0965802 44.0794389, 22.0965668 44.0792244)",
140681445,False,,Шистекова,unclassified,,True,83.863,"LINESTRING (22.096585 44.0795823, 22.0970707 44.0795689, 22.0976339 44.07955)",
449752607,False,4,Моше Пијаде,tertiary,,False,31.318,"LINESTRING (22.098835 44.0775544, 22.099095 44.0777652)",
35558172,False,,Моше Пијаде,residential,,True,229.72600000000003,"LINESTRING (22.098835 44.0775544, 22.0987247 44.0776208, 22.0986585 44.0776241, 22.098549 44.077628, 22.0983957 44.0776478, 22.0982432 44.0776731, 22.0979845 44.0777219, 22.0973723 44.0778653, 22.0967855 44.0780038, 22.0963827 44.0780996, 22.0961682 44.0781569, 22.0961095 44.0781699)",
"[448149633, 454867610, 449752607]",False,4,Моше Пијаде,tertiary,,True,263.647,"LINESTRING (22.098835 44.0775544, 22.0987635 44.0774907, 22.0986451 44.0773842, 22.0985169 44.0772659, 22.0983786 44.0771307, 22.0982996 44.0770429, 22.0982463 44.076983, 22.0981923 44.0768958, 22.0981115 44.0767366, 22.0980946 44.0766528, 22.0980817 44.07654, 22.0980838 44.0764256, 22.098097 44.0763476, 22.0981198 44.0762729, 22.0981711 44.0761195, 22.0983016 44.0757561, 22.0983069 44.0757432, 22.0983781 44.0755467, 22.0984375 44.0753741)",
35785329,False,,Кестенова,residential,,False,77.119,"LINESTRING (22.0977002 44.0808699, 22.0976618 44.0801769)",
34562854,False,,,residential,,False,71.044,"LINESTRING (22.0977002 44.0808699, 22.0984718 44.0808678, 22.0985896 44.0808675)",
34562854,False,,,residential,,True,122.70400000000001,"LINESTRING (22.0977002 44.0808699, 22.0966552 44.0808934, 22.0961649 44.0809065)",
