osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref
171066839,,Rruga Mentor Permeti,residential,30,False,True,2.306,"LINESTRING (20.3503416 40.2332846, 20.3503146 40.2332869)",,
171066838,,Rruga Kasem Trebeshina,residential,30,False,False,86.80900000000001,"LINESTRING (20.3503416 40.2332846, 20.3503573 40.2332143, 20.3503987 40.2331175, 20.3504502 40.2330309, 20.3505199 40.2329684, 20.350625 40.2329659, 20.3506601 40.232974, 20.350769 40.2330042, 20.350992 40.2330914, 20.3510447 40.2330977, 20.3510463 40.2330966)",,
171066839,,Rruga Mentor Permeti,residential,30,False,False,21.051,"LINESTRING (20.3503416 40.2332846, 20.3504481 40.2333226, 20.3505113 40.2333444, 20.3505512 40.2333797)",,
543084564,,Rruga Androkli Kostallari,living_street,,False,False,17.802,"LINESTRING (20.3514326 40.2334775, 20.3515638 40.2336024)",,
543074188,,Rruga Androkli Kostallari,living_street,,False,False,53.799,"LINESTRING (20.3514326 40.2334775, 20.3511107 40.2331905, 20.3510463 40.2330966)",,
543074191,,Rruga Mete ALipostivani,living_street,,False,True,76.19000000000001,"LINESTRING (20.3514326 40.2334775, 20.351359 40.2334737, 20.3511763 40.2334737, 20.3509201 40.2334562, 20.3506739 40.2333923, 20.3505512 40.2333797)",,
543084564,,Rruga Androkli Kostallari,living_street,,False,True,19.014,"LINESTRING (20.3516948 40.2337411, 20.3515638 40.2336024)",,
233770331,1,Rruga Sami Frasheri,tertiary,40,True,False,29.766,"LINESTRING (20.3516948 40.2337411, 20.3517524 40.2336803, 20.351844 40.2336159, 20.3519537 40.2335658)",,
"[756766635, 172699037, 543074246]",,Rruga Vangjel Gjika,residential,,False,"[False, True]",176.00400000000002,"LINESTRING (20.3508147 40.2298107, 20.3508175 40.22973, 20.3507772 40.2295942, 20.3506988 40.2294867, 20.3506543 40.2294537, 20.3505938 40.2294299, 20.3505735 40.2294298, 20.3505257 40.229469, 20.350477 40.2295009, 20.3503561 40.2294977, 20.3501237 40.2294456, 20.3500512 40.2294145, 20.3497711 40.2292509, 20.3497453 40.2292872, 20.3495905 40.22945, 20.3494841 40.2295993)",,
"[543074250, 543074252]",,Rruga Baba Alushi,residential,30,False,True,116.137,"LINESTRING (20.3508147 40.2298107, 20.3502937 40.229755, 20.349999 40.2297271, 20.3497607 40.2296928, 20.3494841 40.2295993)",,
543074252,,Rruga Baba Alushi,residential,30,False,False,154.09,"LINESTRING (20.3508147 40.2298107, 20.3517287 40.2298848, 20.3526163 40.2299781)",,
171066839,,Rruga Mentor Permeti,residential,30,False,True,21.051,"LINESTRING (20.3505512 40.2333797, 20.3505113 40.2333444, 20.3504481 40.2333226, 20.3503416 40.2332846)",,
174429910,,Rruga Dhosi Liperi,residential,30,False,False,271.961,"LINESTRING (20.3505512 40.2333797, 20.350559 40.233427, 20.3504879 40.2336844, 20.3504563 40.2337895, 20.3504669 40.2338457, 20.3504856 40.2339672, 20.3504848 40.2340643, 20.3504752 40.2341489, 20.350427 40.2342667, 20.3504086 40.2343199, 20.3504179 40.2343898, 20.3504636 40.2344556, 20.3504893 40.2345326, 20.3504922 40.2346049, 20.350507 40.2347434, 20.3505148 40.2348188, 20.3505388 40.2348615, 20.3505828 40.2348931, 20.3506172 40.2349352, 20.3506282 40.234991, 20.3506048 40.2352034, 20.3505809 40.2352768, 20.3505488 40.2353732, 20.3505245 40.2354709, 20.3505656 40.23554, 20.3506789 40.2356155, 20.3507429 40.2356299, 20.3508039 40.2356437)",,
