osmid,name,highway,oneway,reversed,length,geometry,ref,junction
105667874,Rua do Ramal,residential,False,True,154.754,"LINESTRING (-8.4387382 40.6307971, -8.4386662 40.6306305, -8.4384861 40.6303333, -8.4384321 40.6302208, -8.4384546 40.6301127, -8.4385176 40.6299821, -8.4387022 40.629793, -8.4388598 40.629649, -8.4389162 40.6295603)",,
390499115,Travessa do Chão das Pedras,residential,False,True,197.83899999999997,"LINESTRING (-8.4387382 40.6307971, -8.4388417 40.6308478, -8.4389866 40.6308806, -8.4391211 40.6309111, -8.4392657 40.6309552, -8.4393696 40.6310116, -8.4395017 40.631094, -8.4396256 40.6311842, -8.4397113 40.6312448, -8.4398127 40.6313121, -8.4399305 40.6313616, -8.4399925 40.6313819, -8.4401062 40.6314112, -8.4402388 40.6314506, -8.4403218 40.6314979, -8.4404107 40.6315847, -8.4404911 40.6316633, -8.440557 40.6317277, -8.4406022 40.6317951)",,
105667874,Rua do Ramal,residential,False,True,120.99300000000001,"LINESTRING (-8.4389003 40.6318765, -8.4388733 40.6317876, -8.4388463 40.631576, -8.4387788 40.6312744, -8.4387472 40.6309682, -8.4387382 40.6307971)",,
367817470,Rua SR da Saúde,residential,False,True,146.62099999999998,"LINESTRING (-8.4389003 40.6318765, -8.4389712 40.6318673, -8.4392292 40.6318889, -8.4395187 40.6319162, -8.4397355 40.6319439, -8.4400922 40.6319214, -8.4406022 40.6317951)",,
163799400,Rua Ponte da Sardanita,tertiary,False,True,93.571,"LINESTRING (-8.4393006 40.6251717, -8.4384163 40.6246641)",EM 575-1,
154250317,Rua Ponte da Sardanita,tertiary,True,False,23.284000000000002,"LINESTRING (-8.4393006 40.6251717, -8.4393601 40.6252295, -8.4394016 40.6253052, -8.4394263 40.6253559)",,
154250297,Rua Ponte da Sardanita,tertiary,True,False,29.883,"LINESTRING (-8.4395848 40.625332, -8.4393006 40.6251717)",,
154250310,,tertiary,True,False,14.657,"LINESTRING (-8.4395848 40.625332, -8.4395434 40.625322, -8.4395001 40.6253229, -8.4394595 40.6253346, -8.4394263 40.6253559)",,roundabout
154250310,,tertiary,True,False,3.8529999999999998,"LINESTRING (-8.439621 40.6253529, -8.4396041 40.6253412, -8.4395848 40.625332)",,roundabout
154250310,,tertiary,True,False,18.538,"LINESTRING (-8.4394263 40.6253559, -8.439404 40.6253846, -8.4393956 40.6254173, -8.4394021 40.6254503, -8.4394227 40.6254798, -8.4394551 40.6255023)",,roundabout
154250310,,tertiary,True,False,9.120000000000001,"LINESTRING (-8.4394551 40.6255023, -8.4394878 40.6255138, -8.4395234 40.625518, -8.4395591 40.6255146)",,roundabout
154250310,,tertiary,True,False,22.349000000000004,"LINESTRING (-8.4395591 40.6255146, -8.4395991 40.6255006, -8.4396307 40.6254771, -8.43965 40.625447, -8.4396549 40.6254137, -8.4396449 40.6253811, -8.439621 40.6253529)",,roundabout
