osmid,name,highway,width,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction
87368173,Rua de Medeiros Correia,residential,,True,False,47.712999999999994,"LINESTRING (-25.5199656 37.8234294, -25.5198308 37.8234963, -25.5195125 37.823666)",,,,,
235514221,Rua Do Conde Jacome Correia,residential,,True,False,70.14699999999999,"LINESTRING (-25.5202649 37.8238349, -25.5205885 37.8243565, -25.5206178 37.8244008)",,,,,
584535473,Rua Sousa e Silva,secondary,,True,False,45.422000000000004,"LINESTRING (-25.5202649 37.8238349, -25.5206824 37.8236907, -25.5207388 37.8236714)",1,,50,,
382480532,Rua da Praca,residential,,False,False,88.058,"LINESTRING (-25.5215915 37.8246161, -25.5222253 37.8252297)",,,,,
33454611,Rua da Praca,residential,,False,True,31.7,"LINESTRING (-25.5215915 37.8246161, -25.5215615 37.824579, -25.5213819 37.8243841)",,,,,
584535476,,residential,,False,True,3.199,"LINESTRING (-25.5215105 37.825525, -25.521513 37.8254963)",,,,,
51301535,,residential,,False,True,59.174,"LINESTRING (-25.5215105 37.825525, -25.5214953 37.8259227, -25.5214956 37.8260171, -25.5214839 37.8260559)",,,,,
169002012,Rua do Castelo,residential,,False,True,180.697,"LINESTRING (-25.5216297 37.8261358, -25.5217422 37.8260028, -25.5220644 37.8256351, -25.5227827 37.8248636, -25.5228187 37.8248105)",,,,,
488935563,Rua Do Conde Jacome Correia,residential,,False,True,15.673,"LINESTRING (-25.5216297 37.8261358, -25.5215973 37.8261234, -25.5215584 37.8261054, -25.5214839 37.8260559)",,,,,
235330796,Rua de São Vicente,residential,,True,False,72.909,"LINESTRING (-25.5190522 37.8201696, -25.5198546 37.8200018)",,,,,
947872241,Rua Gonçalo Bezerra,residential,,False,True,33.271,"LINESTRING (-25.5190522 37.8201696, -25.5189662 37.8198782)",,,,,
87216207,Rua Gonçalo Bezerra,residential,,True,False,192.065,"LINESTRING (-25.5190522 37.8201696, -25.5191166 37.8203105, -25.519213 37.8204884, -25.5193417 37.8207172, -25.5195241 37.820946, -25.5197065 37.821124, -25.5202343 37.8216019)",,,,,
235330796,Rua de São Vicente,residential,,True,False,80.974,"LINESTRING (-25.5198546 37.8200018, -25.5207472 37.8198198)",,,,,
947872241,Rua Gonçalo Bezerra,residential,,False,False,33.271,"LINESTRING (-25.5189662 37.8198782, -25.5190522 37.8201696)",,,,,
235514221,Rua Do Conde Jacome Correia,residential,,True,False,7.226,"LINESTRING (-25.5206178 37.8244008, -25.520652 37.8244599)",,,,,
87368178,,residential,,True,False,105.40299999999999,"LINESTRING (-25.5206178 37.8244008, -25.520495 37.8244025, -25.5200543 37.8243246, -25.519668 37.8243021, -25.5194298 37.824297)",,,,,
488935563,Rua Do Conde Jacome Correia,residential,,False,False,60.51,"LINESTRING (-25.5211749 37.8255102, -25.5212 37.8255631, -25.5213184 37.8258104, -25.521375 37.8259285, -25.5214253 37.826017)",,,,,
49520010,Rua Nossa Senhora da Conceicao,primary,,True,False,67.67299999999999,"LINESTRING (-25.5239922 37.8209503, -25.5235568 37.8210857, -25.5233444 37.8211647, -25.5232827 37.8211868)",1,ER 1-1ª,50,,
