osmid,oneway,lanes,highway,reversed,length,geometry,ref,junction,name,bridge,maxspeed,tunnel
"[40610464, 1092492724]",True,,residential,False,18.701999999999998,"LINESTRING (-9.3032207 38.7700725, -9.3032452 38.7701036, -9.3032777 38.7701266, -9.3033162 38.7701442, -9.3033924 38.7701642)",,,Rua Nova do Zambujal,,,
54894235,False,,residential,False,29.002,"LINESTRING (-9.3007613 38.7712316, -9.3006072 38.7710001)",,,Avenida Cidade de Londres,,,
54894235,False,,residential,True,86.352,"LINESTRING (-9.3007613 38.7712316, -9.3008255 38.7713299, -9.3012136 38.7719235)",,,Avenida Cidade de Londres,,,
39325019,False,2,tertiary,False,94.17500000000001,"LINESTRING (-9.2970603 38.7728175, -9.2968969 38.772796, -9.2961885 38.7727029, -9.2959891 38.7726767)",,,Rua Joaquim Guilherme da Costa Caldas,,,
39325143,False,,tertiary,True,80.081,"LINESTRING (-9.2970603 38.7728175, -9.2970656 38.7729783, -9.2970679 38.7730472, -9.2970893 38.7732068, -9.2971229 38.7735357)",,,Avenida dos Bombeiros Voluntários,,,
40860553,False,,residential,False,25.522000000000002,"LINESTRING (-9.2970603 38.7728175, -9.2970718 38.7727369, -9.297093 38.7725894)",,,Largo da República,,,
763501808,True,,tertiary,False,64.426,"LINESTRING (-9.3054166 38.7693505, -9.3050878 38.7688309)",,,Estrada de Paço de Arcos,,,
39325143,False,,tertiary,False,80.081,"LINESTRING (-9.2971229 38.7735357, -9.2970893 38.7732068, -9.2970679 38.7730472, -9.2970656 38.7729783, -9.2970603 38.7728175)",,,Avenida dos Bombeiros Voluntários,,,
39325143,False,,tertiary,True,52.115,"LINESTRING (-9.2971229 38.7735357, -9.2971598 38.7736878, -9.297257 38.7739924)",,,Avenida dos Bombeiros Voluntários,,,
40719513,True,1,residential,False,60.901,"LINESTRING (-9.2964232 38.7735846, -9.2971229 38.7735357)",,,Rua Soldados da Paz,,,
414211021,False,,residential,True,63.078,"LINESTRING (-9.2964232 38.7735846, -9.296487 38.7732652, -9.2961785 38.773224)",,,Rua Daniel Lopes,,,
40719513,True,1,residential,False,37.395,"LINESTRING (-9.2960791 38.7737874, -9.2964232 38.7735846)",,,Rua Soldados da Paz,,,
916422682,False,,residential,False,67.45,"LINESTRING (-9.2960791 38.7737874, -9.2956693 38.7736622, -9.2953395 38.7736048)",,,Rua Carlos Charbel,,,
916422682,False,,residential,True,80.574,"LINESTRING (-9.2960791 38.7737874, -9.2962905 38.7740233, -9.2963232 38.7741241, -9.2963983 38.774356, -9.2963808 38.7744487)",,,Rua Carlos Charbel,,,
414211021,False,,residential,False,11.284,"LINESTRING (-9.2960502 38.7732069, -9.2961785 38.773224)",,,Rua Daniel Lopes,,,
40719514,False,,residential,False,64.89500000000001,"LINESTRING (-9.2960502 38.7732069, -9.295983 38.7734407, -9.296108 38.773462, -9.2961785 38.773224)",,,Rua Daniel Lopes,,,
"[146795832, 414211019]",False,,residential,True,59.541,"LINESTRING (-9.2960502 38.7732069, -9.2957314 38.7731637, -9.2957506 38.7728809)",,,"['Rua Daniel Lopes', 'Rua Isidro Amadeu Gomes da Silva']",,,
414211021,False,,residential,True,11.284,"LINESTRING (-9.2961785 38.773224, -9.2960502 38.7732069)",,,Rua Daniel Lopes,,,
40719514,False,,residential,True,64.895,"LINESTRING (-9.2961785 38.773224, -9.296108 38.773462, -9.295983 38.7734407, -9.2960502 38.7732069)",,,Rua Daniel Lopes,,,
414211021,False,,residential,False,63.078,"LINESTRING (-9.2961785 38.773224, -9.296487 38.7732652, -9.2964232 38.7735846)",,,Rua Daniel Lopes,,,
916420912,False,1,residential,False,10.402,"LINESTRING (-9.2953356 38.7735113, -9.2953395 38.7736048)",,,Rua Gonçalo Domingos da Silva,,50,
916420911,True,1,residential,False,11.158,"LINESTRING (-9.2952881 38.7744032, -9.2952842 38.7745035)",,,Rua Gonçalo Domingos da Silva,,50,
916422683,False,2,residential,True,95.259,"LINESTRING (-9.2952842 38.7745035, -9.2953622 38.7744996, -9.2955697 38.7744892, -9.2963808 38.7744487)",,,Rua Freixo Capitão,,,
916420912,False,1,residential,True,10.402,"LINESTRING (-9.2953395 38.7736048, -9.2953356 38.7735113)",,,Rua Gonçalo Domingos da Silva,,50,
916420911,True,1,residential,False,88.89,"LINESTRING (-9.2953395 38.7736048, -9.2953095 38.7740702, -9.2952881 38.7744032)",,,Rua Gonçalo Domingos da Silva,,50,
916422682,False,,residential,True,67.45,"LINESTRING (-9.2953395 38.7736048, -9.2956693 38.7736622, -9.2960791 38.7737874)",,,Rua Carlos Charbel,,,
39325019,False,2,tertiary,True,48.861000000000004,"LINESTRING (-9.2954319 38.7726106, -9.2955671 38.7726266, -9.2959891 38.7726767)",,,Rua Joaquim Guilherme da Costa Caldas,,,
40719531,True,1,residential,False,100.501,"LINESTRING (-9.2954319 38.7726106, -9.2954243 38.7726815, -9.2953356 38.7735113)",,,Rua Gonçalo Domingos da Silva,,50,
39325143,False,,tertiary,False,27.185,"LINESTRING (-9.29732 38.7742319, -9.297257 38.7739924)",,,Avenida dos Bombeiros Voluntários,,,
40719532,True,1,residential,False,59.721,"LINESTRING (-9.29732 38.7742319, -9.2966546 38.774371)",,,Rua Freixo Capitão,,,
916422682,False,,residential,False,80.574,"LINESTRING (-9.2963808 38.7744487, -9.2963983 38.774356, -9.2963232 38.7741241, -9.2962905 38.7740233, -9.2960791 38.7737874)",,,Rua Carlos Charbel,,,
916422683,False,2,residential,False,95.259,"LINESTRING (-9.2963808 38.7744487, -9.2955697 38.7744892, -9.2953622 38.7744996, -9.2952842 38.7745035)",,,Rua Freixo Capitão,,,
40860545,True,,unclassified,False,10.57,"LINESTRING (-9.3027344 38.7747418, -9.3027728 38.7747522, -9.3028131 38.774756, -9.3028536 38.774753)",,roundabout,,,,
1068242573,True,,unclassified,False,15.204999999999998,"LINESTRING (-9.3025352 38.7747509, -9.3025793 38.7747456, -9.3026448 38.7747379, -9.3027086 38.7747303)",,,Alameda Cidade de Bona,,,
40860545,True,,unclassified,False,2.576,"LINESTRING (-9.3027086 38.7747303, -9.3027344 38.7747418)",,roundabout,,,,
40860545,True,,unclassified,False,8.397,"LINESTRING (-9.3026518 38.7745321, -9.3026378 38.7745548, -9.3026289 38.774579, -9.3026253 38.774604)",,roundabout,,,,
40860540,True,,residential,False,14.68,"LINESTRING (-9.3040782 38.7735332, -9.3042339 38.7735851)",,roundabout,,,,
40860538,False,,residential,False,50.05,"LINESTRING (-9.3009033 38.7732465, -9.3008907 38.7727965)",,,Rua Cidade de Praga,,,
40860566,False,,residential,False,43.809,"LINESTRING (-9.3009033 38.7732465, -9.3003985 38.7732648)",,,Rua Cidade de Paris,,,
40860566,False,,residential,True,35.938,"LINESTRING (-9.3009033 38.7732465, -9.3012124 38.77324, -9.3012975 38.7731916)",,,Rua Cidade de Paris,,,
40860538,False,,residential,True,50.05,"LINESTRING (-9.3008907 38.7727965, -9.3009033 38.7732465)",,,Rua Cidade de Praga,,,
167920746,True,,residential,False,21.452,"LINESTRING (-9.3041398 38.7733252, -9.3039333 38.7732189)",,,Avenida dos Missionários,,,
40860540,True,,residential,False,20.429000000000002,"LINESTRING (-9.3041398 38.7733252, -9.3040842 38.7733346, -9.3040472 38.7733494, -9.3040199 38.7733694, -9.304003 38.7734005, -9.3039958 38.7734441)",,roundabout,,,,
146927470,False,2,residential,True,178.55999999999997,"LINESTRING (-9.3030438 38.7728342, -9.3025186 38.7725853, -9.3024397 38.7725288, -9.3023294 38.7724499, -9.3017803 38.7719411, -9.3015644 38.771741)",,,Avenida dos Missionários,,,
167920747,True,,residential,False,74.778,"LINESTRING (-9.3030438 38.7728342, -9.3031101 38.7728827, -9.3035465 38.7730846, -9.3036839 38.7731554, -9.3037514 38.7732124)",,,Avenida dos Missionários,,,
40860540,True,,residential,False,2.677,"LINESTRING (-9.3039958 38.7734441, -9.3040019 38.7734677)",,roundabout,,,,
927267500,True,,residential,False,9.483,"LINESTRING (-9.3005317 38.7700636, -9.3005579 38.7701464)",,,,,,
40860541,False,2,residential,True,41.359,"LINESTRING (-9.3005317 38.7700636, -9.3003249 38.7698651, -9.3002856 38.7697836, -9.3002725 38.7697563)",,,Rua Doutor José António José de Almeida,,50,
146927470,False,2,residential,True,56.112,"LINESTRING (-9.3015644 38.771741, -9.3012665 38.771293)",,,Avenida dos Missionários,,,
236050867,False,,residential,False,133.88500000000002,"LINESTRING (-9.3015644 38.771741, -9.3019685 38.7715733, -9.3018186 38.7713478, -9.3017788 38.7712879, -9.3017708 38.7712759, -9.3017004 38.7711701, -9.3016792 38.7711382, -9.3012665 38.771293)",,,Rua Padre Anchieta,,,
146927470,False,2,residential,False,178.56,"LINESTRING (-9.3015644 38.771741, -9.3017803 38.7719411, -9.3023294 38.7724499, -9.3024397 38.7725288, -9.3025186 38.7725853, -9.3030438 38.7728342)",,,Avenida dos Missionários,,,
54894261,True,1,residential,False,113.60800000000002,"LINESTRING (-9.3045417 38.7746266, -9.3045323 38.7744398, -9.3045516 38.7739266, -9.3045337 38.773828, -9.3044401 38.7736186)",,,Avenida dos Missionários,,,
40860545,True,,unclassified,False,19.158,"LINESTRING (-9.3028974 38.7747416, -9.3029433 38.7747177, -9.3029785 38.7746844, -9.3029999 38.7746447, -9.3030058 38.7746019)",,roundabout,,,,
167920760,True,,residential,False,22.573,"LINESTRING (-9.3028974 38.7747416, -9.3030554 38.774728, -9.3031536 38.7747478)",,,Rua dos Moinhos da Barroca,,,
40860545,True,,unclassified,False,11.747,"LINESTRING (-9.3027552 38.7744669, -9.3027144 38.774482, -9.3026793 38.7745041, -9.3026518 38.7745321)",,roundabout,,,,
40860554,True,,residential,False,23.112,"LINESTRING (-9.2999023 38.7717489, -9.3001049 38.7716138)",,,Rua da Padeirinha,,,
40860546,False,,residential,False,35.864,"LINESTRING (-9.2999023 38.7717489, -9.2997707 38.7716253, -9.2996503 38.7714934)",,,Praceta Manuel António Vieira,,,
40860546,False,,residential,True,35.864,"LINESTRING (-9.2996503 38.7714934, -9.2997707 38.7716253, -9.2999023 38.7717489)",,,Praceta Manuel António Vieira,,,
40860548,True,,residential,False,49.652,"LINESTRING (-9.2991075 38.7721694, -9.2987846 38.7718006)",,,Rua Cândido dos Reis,,,
40860554,True,,residential,False,19.215,"LINESTRING (-9.2991075 38.7721694, -9.2992641 38.772089, -9.2992959 38.7720793)",,,Rua da Padeirinha,,,
40860548,True,,residential,False,25.397,"LINESTRING (-9.2987846 38.7718006, -9.2986429 38.7716007)",,,Rua Cândido dos Reis,,,
