osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,width,name,junction
"[1008746736, 408455357]",True,1,primary,90,False,606.5519999999999,"LINESTRING (-8.7479059 37.0996545, -8.7477384 37.0996408, -8.7475948 37.0996243, -8.7474637 37.0995993, -8.7472402 37.0995389, -8.747069 37.0994848, -8.7469012 37.0994244, -8.7467245 37.0993578, -8.746471 37.0992515, -8.7462407 37.0991386, -8.7459966 37.0990065, -8.7455377 37.0987479, -8.7451309 37.0985001, -8.7447232 37.0982702, -8.7445182 37.0981544, -8.7443039 37.0980423, -8.7440916 37.0979438, -8.7438775 37.0978506, -8.7436619 37.0977757, -8.7434341 37.097703, -8.7431537 37.0976244, -8.7428403 37.0975598, -8.7425118 37.0975031, -8.7422313 37.0974666, -8.7419948 37.0974483, -8.7417848 37.0974463)",,,
284296615,True,1,unclassified,,False,37.66,"LINESTRING (-8.7477873 37.1000774, -8.7479521 37.0999921, -8.7480108 37.0999635, -8.7481527 37.0999056)",,,
284302810,False,2,unclassified,,True,203.233,"LINESTRING (-8.7477873 37.1000774, -8.747487 37.100186, -8.7465934 37.1004939, -8.7462113 37.1006588, -8.7457286 37.1008756)",4.5,,
61918333,False,1,unclassified,,False,189.297,"LINESTRING (-8.7416927 37.0973574, -8.7422933 37.0969843, -8.7429402 37.0965672, -8.7433873 37.0963239)",4,,
1008744334,True,1,unclassified,,False,13.001000000000001,"LINESTRING (-8.7416927 37.0973574, -8.7416413 37.0974026, -8.7415949 37.0974445)",,,
300140592,False,,residential,,False,105.142,"LINESTRING (-8.7442085 37.0931783, -8.7430516 37.0933845)",,,
61943844,False,1,unclassified,,True,359.868,"LINESTRING (-8.7442085 37.0931783, -8.7441629 37.0935192, -8.743974 37.0939409, -8.7437723 37.0943599, -8.7436612 37.094594, -8.7435635 37.0949792, -8.7434901 37.0954519, -8.7434486 37.0958786, -8.7433894 37.0961565, -8.7433873 37.0963239)",4,,
300140592,False,,residential,,False,89.181,"LINESTRING (-8.7430516 37.0933845, -8.7421656 37.0937637)",,,
300140592,False,,residential,,True,105.142,"LINESTRING (-8.7430516 37.0933845, -8.7442085 37.0931783)",,,
300140592,False,,residential,,True,89.181,"LINESTRING (-8.7421656 37.0937637, -8.7430516 37.0933845)",,,
402248118,True,1,primary,,False,645.9609999999999,"LINESTRING (-8.7413374 37.0974971, -8.7416901 37.0974846, -8.7419923 37.0974932, -8.742224 37.0975112, -8.7425013 37.0975472, -8.7428273 37.0976035, -8.7431373 37.0976674, -8.7434143 37.0977451, -8.7436402 37.0978171, -8.7438527 37.097891, -8.744064 37.0979829, -8.7442743 37.0980806, -8.7444864 37.0981915, -8.7446907 37.0983069, -8.7450975 37.0985363, -8.7455043 37.0987841, -8.7459646 37.0990434, -8.7462101 37.0991763, -8.7464431 37.0992906, -8.7466994 37.099398, -8.7468776 37.0994652, -8.747047 37.0995262, -8.7472208 37.0995811, -8.7474469 37.0996422, -8.7476645 37.0996922, -8.7477986 37.0997245, -8.74784 37.0997444, -8.7478767 37.0997677)",,,
1008746737,True,1,primary,90,False,16.843,"LINESTRING (-8.7417848 37.0974463, -8.7415949 37.0974445)",,,
1008746738,True,1,unclassified,,False,12.883,"LINESTRING (-8.7417848 37.0974463, -8.7417483 37.0974171, -8.7417315 37.0974036, -8.7416927 37.0973574)",,,
284302810,False,2,unclassified,,False,203.233,"LINESTRING (-8.7457286 37.1008756, -8.7462113 37.1006588, -8.7465934 37.1004939, -8.747487 37.100186, -8.7477873 37.1000774)",4.5,,
1241119782,False,,residential,,False,104.145,"LINESTRING (-8.7457286 37.1008756, -8.7458805 37.1009575, -8.7461549 37.1010499, -8.7462616 37.1011441, -8.746578 37.1012663, -8.7466905 37.1013808)",,,
1241119782,False,,residential,,True,104.145,"LINESTRING (-8.7466905 37.1013808, -8.746578 37.1012663, -8.7462616 37.1011441, -8.7461549 37.1010499, -8.7458805 37.1009575, -8.7457286 37.1008756)",,,
