osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed
158390847,False,,,residential,False,65.628,"LINESTRING (111.8994705 -8.0742263, 111.8994557 -8.0743657, 111.8994594 -8.0743799, 111.8994685 -8.074389, 111.8994796 -8.0743935, 111.8998752 -8.074517)",
158390869,False,,,residential,True,109.964,"LINESTRING (111.8994705 -8.0742263, 111.8995446 -8.0736658, 111.8996316 -8.073251)",
158390850,False,,,residential,False,25.456,"LINESTRING (111.8999095 -8.0742906, 111.8998752 -8.074517)",
158390869,False,,,residential,True,48.857,"LINESTRING (111.8999095 -8.0742906, 111.8994705 -8.0742263)",
158390869,False,,,residential,False,49.693,"LINESTRING (111.8999095 -8.0742906, 111.9003429 -8.0743765, 111.9003515 -8.0743802)",
158409592,False,,Jalan Ki Mangun Sarkoro,primary,True,52.661,"LINESTRING (111.9021557 -8.0746471, 111.902078 -8.0741798)",
158390869,False,,,residential,True,203.832,"LINESTRING (111.9021557 -8.0746471, 111.9015066 -8.0746262, 111.9014671 -8.0746292, 111.9014124 -8.0746445, 111.9013722 -8.0746484, 111.90099 -8.0746066, 111.9008518 -8.074581, 111.9007378 -8.0745418, 111.9003515 -8.0743802)",
158409592,False,,Jalan Ki Mangun Sarkoro,primary,False,107.327,"LINESTRING (111.9021557 -8.0746471, 111.9022375 -8.0751689, 111.902312 -8.0755998)",
158390868,False,,,residential,True,119.10000000000001,"LINESTRING (111.902312 -8.0755998, 111.9019853 -8.0755934, 111.9018767 -8.0755855, 111.9017566 -8.0755652, 111.9014476 -8.0754909, 111.9012423 -8.0754703)",
158409592,False,,Jalan Ki Mangun Sarkoro,primary,False,124.46799999999999,"LINESTRING (111.902312 -8.0755998, 111.9023428 -8.075872, 111.9024647 -8.0767088)",
158409592,False,,Jalan Ki Mangun Sarkoro,primary,True,107.327,"LINESTRING (111.902312 -8.0755998, 111.9022375 -8.0751689, 111.9021557 -8.0746471)",
96322098,False,,,residential,False,43.258,"LINESTRING (111.8990457 -8.0762219, 111.8994239 -8.0763274)",
96322098,False,,,residential,True,91.85300000000001,"LINESTRING (111.8990457 -8.0762219, 111.8989081 -8.0761901, 111.8988811 -8.0761747, 111.898865 -8.0761588, 111.8988512 -8.0761386, 111.8987205 -8.0759208, 111.8987061 -8.0759042, 111.8986873 -8.0758893, 111.8986615 -8.0758783, 111.8986323 -8.0758717, 111.8983786 -8.0758531)",
158390844,False,,,residential,False,65.666,"LINESTRING (111.8990457 -8.0762219, 111.8990068 -8.0763938, 111.8989559 -8.0766063, 111.8988996 -8.0767942)",
96322118,False,,,tertiary,True,24.055,"LINESTRING (111.8971507 -8.0767105, 111.8971883 -8.0764974)",
158481061,False,,,residential,True,222.37300000000002,"LINESTRING (111.8971507 -8.0767105, 111.8962026 -8.0764131, 111.8955736 -8.0762033, 111.8952356 -8.0760761)",
158390860,False,,,residential,True,88.018,"LINESTRING (111.9004571 -8.0713508, 111.9004473 -8.0705593)",
158390854,False,,,residential,True,158.245,"LINESTRING (111.9004571 -8.0713508, 111.9001092 -8.0713508, 111.8997685 -8.071313, 111.8997219 -8.0713267, 111.8996988 -8.0713608, 111.8996469 -8.0720088)",
"[158390860, 158390861]",False,,,residential,False,230.741,"LINESTRING (111.9004571 -8.0713508, 111.9004651 -8.0720897, 111.9018089 -8.0722127)",
96322098,False,,,residential,False,18.241,"LINESTRING (111.9002921 -8.0765458, 111.9004564 -8.076567)",
96322098,False,,,residential,True,47.723,"LINESTRING (111.9002921 -8.0765458, 111.9001535 -8.0765233, 111.9000147 -8.0764947, 111.8998685 -8.0764563)",
"[681797041, 158390850]",False,,,residential,True,57.402,"LINESTRING (111.8997448 -8.0750167, 111.8998254 -8.0747297, 111.8998752 -8.074517)",
"[681797064, 158239694]",False,,,residential,"[False, True]",200.33100000000002,"LINESTRING (111.8974217 -8.0701591, 111.8970063 -8.07006, 111.8965343 -8.0698738, 111.896393 -8.0698268, 111.8961603 -8.0705173)",
96377516,False,,,residential,True,208.737,"LINESTRING (111.903937 -8.0745489, 111.902078 -8.0741798)",
681797097,False,,,residential,False,106.948,"LINESTRING (111.903937 -8.0745489, 111.9038462 -8.0749469, 111.9038435 -8.0749635, 111.9038284 -8.0749897, 111.9037584 -8.0750482, 111.9037417 -8.0750714, 111.9037363 -8.0750873, 111.9036826 -8.0754543)",
681797097,False,,,residential,True,106.94800000000001,"LINESTRING (111.9036826 -8.0754543, 111.9037363 -8.0750873, 111.9037417 -8.0750714, 111.9037584 -8.0750482, 111.9038284 -8.0749897, 111.9038435 -8.0749635, 111.9038462 -8.0749469, 111.903937 -8.0745489)",
158390854,False,,,residential,True,65.336,"LINESTRING (111.8996469 -8.0720088, 111.8994969 -8.0725773)",
158390854,False,,,residential,False,158.245,"LINESTRING (111.8996469 -8.0720088, 111.8996988 -8.0713608, 111.8997219 -8.0713267, 111.8997685 -8.071313, 111.9001092 -8.0713508, 111.9004571 -8.0713508)",
681797168,False,,,residential,False,78.549,"LINESTRING (111.8996469 -8.0720088, 111.899324 -8.0719901, 111.8993187 -8.0719298, 111.8993138 -8.0716042)",
681797168,False,,,residential,True,78.549,"LINESTRING (111.8993138 -8.0716042, 111.8993187 -8.0719298, 111.899324 -8.0719901, 111.8996469 -8.0720088)",
158315744,False,,Gang IV,residential,True,45.473,"LINESTRING (111.9036257 -8.0688402, 111.9032132 -8.0688193)",
96322118,False,,,tertiary,False,24.055,"LINESTRING (111.8971883 -8.0764974, 111.8971507 -8.0767105)",
96322118,False,,,tertiary,True,84.248,"LINESTRING (111.8971883 -8.0764974, 111.8973003 -8.0757479)",
681797218,False,,,residential,False,48.044,"LINESTRING (111.8971883 -8.0764974, 111.8976182 -8.0765717)",
681797218,False,,,residential,True,47.852,"LINESTRING (111.8980464 -8.0766456, 111.8976182 -8.0765717)",
681797356,False,,,residential,False,90.504,"LINESTRING (111.8980464 -8.0766456, 111.8981437 -8.0758374)",
97027848,False,,,residential,False,114.081,"LINESTRING (111.9002055 -8.0686666, 111.9012324 -8.0685294)",
97027848,False,,,residential,True,28.254,"LINESTRING (111.9002055 -8.0686666, 111.8999494 -8.068683)",
681797352,False,,,residential,False,53.363,"LINESTRING (111.9002055 -8.0686666, 111.900135 -8.0691414)",
96322098,False,,,residential,False,25.92,"LINESTRING (111.8981437 -8.0758374, 111.8983786 -8.0758531)",
96322098,False,,,residential,True,93.384,"LINESTRING (111.8981437 -8.0758374, 111.8973003 -8.0757479)",
681797356,False,,,residential,True,90.504,"LINESTRING (111.8981437 -8.0758374, 111.8980464 -8.0766456)",
96322118,False,,,tertiary,False,52.519,"LINESTRING (111.8973774 -8.0752818, 111.8973003 -8.0757479)",
96322118,False,,,tertiary,True,223.72699999999998,"LINESTRING (111.8973774 -8.0752818, 111.8974967 -8.0744838, 111.8975638 -8.0740987, 111.8976107 -8.0737986, 111.8976919 -8.0732941)",
681797464,False,,,residential,True,203.96800000000002,"LINESTRING (111.8973774 -8.0752818, 111.8969227 -8.0752048, 111.8968034 -8.0751776, 111.8966009 -8.0751397, 111.896283 -8.075092, 111.896272 -8.0750843, 111.8962652 -8.0750744, 111.8962622 -8.0750607, 111.8962623 -8.0749613, 111.896253 -8.0749395, 111.8962354 -8.0749244, 111.8961709 -8.0749012, 111.8961609 -8.0748861, 111.8961606 -8.0748746, 111.8962113 -8.0745834, 111.8962122 -8.0745649, 111.8962027 -8.0745435, 111.8961308 -8.0744549)",
