osmid,oneway,highway,reversed,length,geometry,name,lanes,bridge,junction
1068570133,False,secondary,False,13.566,"LINESTRING (114.5921844 -3.3169687, 114.5920623 -3.3169636)",Jalan AS Musaffa,2,,
"[286643181, 703371430, 703371429]",True,primary,False,377.67900000000003,"LINESTRING (114.5921844 -3.3169687, 114.5921849 -3.317021, 114.5922019 -3.3172098, 114.5922072 -3.3172516, 114.5922288 -3.3174135, 114.5922664 -3.3176179, 114.5923096 -3.3178178, 114.592463 -3.3185042, 114.5926119 -3.3192087, 114.5926289 -3.3193287, 114.5926545 -3.319509, 114.5927336 -3.3200455, 114.59273 -3.3202472, 114.5927288 -3.3203135)",Jalan Jenderal Sudirman,2,yes,
"[782059612, 1068570134]",False,primary,True,217.59700000000004,"LINESTRING (114.5921844 -3.3169687, 114.5922207 -3.3166878, 114.5922411 -3.3165295, 114.5923134 -3.3160131, 114.5923405 -3.3158192, 114.5923806 -3.315533, 114.5924472 -3.3150295)",Jalan Jenderal Sudirman,2,,
558907732,True,trunk,False,12.795,"LINESTRING (114.5926143 -3.3203003, 114.5927288 -3.3203135)",,,,
"[726170083, 703371428, 703371427]",True,secondary,False,377.21099999999996,"LINESTRING (114.5926143 -3.3203003, 114.5926291 -3.3200625, 114.59263 -3.3200481, 114.5925706 -3.3195166, 114.592544 -3.3192789, 114.5921887 -3.3176547, 114.592184 -3.317631, 114.5921603 -3.3175253, 114.5921093 -3.317298, 114.5920949 -3.3172173, 114.5920729 -3.3170344, 114.5920711 -3.3170242, 114.5920677 -3.3169992, 114.5920623 -3.3169636)",Jalan Jenderal Sudirman,2,yes,
1154876469,True,trunk,False,12.323,"LINESTRING (114.5927173 -3.3204066, 114.592607 -3.3203941)",,,,
1258055717,True,trunk,False,75.771,"LINESTRING (114.5927173 -3.3204066, 114.5926789 -3.320557, 114.5926589 -3.3206055, 114.592478 -3.3210435)",Jalan Lambung Mangkurat,,,
802880883,True,trunk,False,20.292,"LINESTRING (114.5915597 -3.3230668, 114.5916343 -3.3229002)",Jalan Lambung Mangkurat,2,,
286643183,True,trunk_link,False,15.856000000000002,"LINESTRING (114.5915597 -3.3230668, 114.5916133 -3.3230292, 114.5916503 -3.3230147, 114.591685 -3.3230003)",,,,
549263053,False,primary,False,111.723,"LINESTRING (114.5944559 -3.3206407, 114.5945514 -3.3206204, 114.5949373 -3.320535, 114.5951124 -3.3205062, 114.5952639 -3.3204828, 114.5954463 -3.3204714)",Jalan Veteran,,,
