osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,junction,bridge,width
32854271,,Námestie Svätej Trojice,tertiary,50,False,True,39.525999999999996,1421,"LINESTRING (17.5754451 47.8918455, 17.5753482 47.8917311, 17.5751857 47.8915355)",,,
"[293116554, 172945539, 1093578308, 337320206]",,Cintorinská,residential,,False,"[False, True]",71.518,,"LINESTRING (17.5754451 47.8918455, 17.5753667 47.8918741, 17.574994 47.892063, 17.574869 47.8920969, 17.57481 47.8921008, 17.5746024 47.8921147)",,yes,
337320207,,Námestie Svätej Trojice,tertiary,50,False,False,70.864,1421,"LINESTRING (17.5754451 47.8918455, 17.5755689 47.8919592, 17.5756485 47.8920279, 17.5757175 47.892074, 17.5758496 47.8921509, 17.575922 47.8921867, 17.5760651 47.8922535, 17.5761267 47.8922811)",,,
95636297,,Zdravotnícka,residential,,False,True,245.503,,"LINESTRING (17.5746024 47.8921147, 17.5744544 47.8921949, 17.5742412 47.8923351, 17.5740159 47.8924731, 17.5735552 47.8927487, 17.5726257 47.8932927, 17.5721839 47.8929753)",,,
172945546,,Cintorinská,residential,,False,False,112.595,,"LINESTRING (17.5746024 47.8921147, 17.5744947 47.8920857, 17.5731442 47.8918538)",,,
"[293116554, 172945539, 1093578308, 337320206]",,Cintorinská,residential,,False,"[False, True]",71.518,,"LINESTRING (17.5746024 47.8921147, 17.57481 47.8921008, 17.574869 47.8920969, 17.574994 47.892063, 17.5753667 47.8918741, 17.5754451 47.8918455)",,yes,
95635627,,Bratislavská,secondary,,False,False,318.39300000000003,506,"LINESTRING (17.576402 47.893771, 17.5762895 47.8938945, 17.5761396 47.8940459, 17.5750177 47.8951316, 17.5739675 47.8961231)",,,
"[632369826, 95635627, 95635629]",2,Bratislavská,secondary,50,False,"[False, True]",114.68500000000002,506,"LINESTRING (17.576402 47.893771, 17.5765286 47.8935129, 17.5765627 47.8933788, 17.5765811 47.8933007, 17.5765933 47.8932329, 17.5766133 47.8931116, 17.576635 47.8929041, 17.5766393 47.8927719, 17.5766386 47.8927579)",,yes,
172945824,,Mlynársky Rad,residential,,False,True,234.04200000000003,,"LINESTRING (17.576402 47.893771, 17.5768913 47.8940281, 17.5779004 47.8945645, 17.5781264 47.8946717, 17.5783779 47.8947725, 17.5790115 47.8948962)",,,
95635938,2,Športová,secondary,50,False,False,84.326,507,"LINESTRING (17.5804465 47.8943381, 17.580612 47.8944045, 17.5810869 47.8946334, 17.5813546 47.894788)",,,
172945556,,Mlynársky Rad,residential,,False,False,40.059,,"LINESTRING (17.5804465 47.8943381, 17.5803856 47.8944435, 17.5801151 47.8946115)",,,
"[1126200769, 1126200770, 363809150]",2,Športová,secondary,50,False,True,31.029,507,"LINESTRING (17.5804465 47.8943381, 17.5803271 47.8942902, 17.5801553 47.894218, 17.5800914 47.8941926)",,yes,
172945556,,Mlynársky Rad,residential,,False,False,28.288,,"LINESTRING (17.5801151 47.8946115, 17.5798016 47.8947548)",,,
172945556,,Mlynársky Rad,residential,,False,True,40.059,,"LINESTRING (17.5801151 47.8946115, 17.5803856 47.8944435, 17.5804465 47.8943381)",,,
363809145,,,residential,,False,False,95.349,,"LINESTRING (17.5801151 47.8946115, 17.581137 47.8948013, 17.5813546 47.894788)",,,
172945553,,Podzáhradná,residential,,False,False,355.57400000000007,,"LINESTRING (17.5790115 47.8948962, 17.5784965 47.8953997, 17.5781513 47.8957696, 17.5777871 47.8964346, 17.5775959 47.8965842, 17.5770792 47.896903, 17.5761977 47.8974038)",,,
172945556,,Mlynársky Rad,residential,,False,True,61.119,,"LINESTRING (17.5790115 47.8948962, 17.579344 47.8948563, 17.5798016 47.8947548)",,,
172945824,,Mlynársky Rad,residential,,False,False,234.04200000000003,,"LINESTRING (17.5790115 47.8948962, 17.5783779 47.8947725, 17.5781264 47.8946717, 17.5779004 47.8945645, 17.5768913 47.8940281, 17.576402 47.893771)",,,
172945528,,Poľná,residential,,False,False,66.881,,"LINESTRING (17.5795384 47.8953298, 17.5798016 47.8947548)",,,
172945528,,Poľná,residential,,False,True,321.776,,"LINESTRING (17.5795384 47.8953298, 17.5792987 47.89597, 17.5792601 47.8961853, 17.5788183 47.8969552, 17.5793293 47.8973475, 17.5794044 47.8974052, 17.5799752 47.8978602)",,,
172945538,,Jabloňová,residential,,False,True,208.45999999999998,,"LINESTRING (17.5795384 47.8953298, 17.5809975 47.8961717, 17.5816577 47.8965527)",,,
172945544,,Družstevnícka,residential,,False,False,31.925,,"LINESTRING (17.5816577 47.8965527, 17.581378 47.8967701)",,,
172945544,,Družstevnícka,residential,,False,True,130.617,,"LINESTRING (17.5816577 47.8965527, 17.5827994 47.8956617)",,,
172945538,,Jabloňová,residential,,False,False,208.45999999999998,,"LINESTRING (17.5816577 47.8965527, 17.5809975 47.8961717, 17.5795384 47.8953298)",,,
30879504,,Pastuchovská cesta,tertiary,50,False,True,62.949000000000005,1427,"LINESTRING (17.5846929 47.8968034, 17.5845468 47.8967944, 17.5842478 47.8967007, 17.5840697 47.8966181, 17.5839243 47.8965907)",,,
37674455,,Novomestská,residential,,False,True,11.411,,"LINESTRING (17.5761977 47.8974038, 17.5760819 47.8973367)",,,
172945553,,Podzáhradná,residential,,False,True,355.57400000000007,,"LINESTRING (17.5761977 47.8974038, 17.5770792 47.896903, 17.5775959 47.8965842, 17.5777871 47.8964346, 17.5781513 47.8957696, 17.5784965 47.8953997, 17.5790115 47.8948962)",,,
172945544,,Družstevnícka,residential,,False,True,74.172,,"LINESTRING (17.5799752 47.8978602, 17.5806252 47.8973552)",,,
172945528,,Poľná,residential,,False,False,321.776,,"LINESTRING (17.5799752 47.8978602, 17.5794044 47.8974052, 17.5793293 47.8973475, 17.5788183 47.8969552, 17.5792601 47.8961853, 17.5792987 47.89597, 17.5795384 47.8953298)",,,
172945528,,Poľná,residential,,False,True,123.13999999999999,,"LINESTRING (17.5799752 47.8978602, 17.5801495 47.8980697, 17.5810058 47.8987201)",,,
172945547,,Pasienky,residential,,False,True,228.33800000000002,,"LINESTRING (17.5733843 47.8983067, 17.5740351 47.8980512, 17.5750417 47.8976736, 17.5760819 47.8973367)",,,
172945528,,Poľná,residential,,False,True,110.497,,"LINESTRING (17.5810058 47.8987201, 17.582119 47.8993762)",,,
172945528,,Poľná,residential,,False,False,123.13999999999999,,"LINESTRING (17.5810058 47.8987201, 17.5801495 47.8980697, 17.5799752 47.8978602)",,,
37674460,,Pažitná,residential,,False,True,88.217,,"LINESTRING (17.582119 47.8993762, 17.5830071 47.8988519)",,,
172945528,,Poľná,residential,,False,False,110.497,,"LINESTRING (17.582119 47.8993762, 17.5810058 47.8987201)",,,
172946227,,Budovateľská,residential,,False,True,83.757,,"LINESTRING (17.5737322 47.893565, 17.5745382 47.8940897)",,,
172946231,,Budovateľská,residential,,False,True,18.196,,"LINESTRING (17.5746719 47.8939528, 17.5745382 47.8940897)",,,
172946228,,Budovateľská,residential,,False,True,99.234,,"LINESTRING (17.5729905 47.8940497, 17.5739338 47.8946793)",,,
172946227,,Budovateľská,residential,,False,False,83.757,,"LINESTRING (17.5745382 47.8940897, 17.5737322 47.893565)",,,
172946231,,Budovateľská,residential,,False,False,18.196,,"LINESTRING (17.5745382 47.8940897, 17.5746719 47.8939528)",,,
172946231,,Budovateľská,residential,,False,True,79.554,,"LINESTRING (17.5745382 47.8940897, 17.5739338 47.8946793)",,,
172946228,,Budovateľská,residential,,False,False,99.234,,"LINESTRING (17.5739338 47.8946793, 17.5729905 47.8940497)",,,
172946231,,Budovateľská,residential,,False,False,79.554,,"LINESTRING (17.5739338 47.8946793, 17.5745382 47.8940897)",,,
