osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,width
393488077,False,,улица Шестакова,residential,True,23.989,"LINESTRING (29.4865956 46.8213634, 29.4867007 46.8215668)",,
276790974,False,2,улица Шестакова,residential,False,102.19,"LINESTRING (29.4865956 46.8213634, 29.4865576 46.8212967, 29.4864457 46.8211007, 29.4861072 46.8205073)",50,
87502094,False,,улица Кавриаго,residential,False,136.821,"LINESTRING (29.4759582 46.8185441, 29.4760327 46.8185274, 29.47767 46.8181675)",,
133021420,False,,Коммунистическая улица,secondary,False,214.30999999999997,"LINESTRING (29.4759582 46.8185441, 29.4759884 46.8186247, 29.4762348 46.8192143, 29.4764426 46.819718, 29.4766752 46.8202911, 29.4767198 46.8203996)",,
276790974,False,2,улица Шестакова,residential,False,183.828,"LINESTRING (29.4858575 46.8200695, 29.4851624 46.8184862)",50,
276790974,False,2,улица Шестакова,residential,True,52.257,"LINESTRING (29.4858575 46.8200695, 29.4861072 46.8205073)",50,
680056528,False,,Московская улица,residential,False,108.301,"LINESTRING (29.4858575 46.8200695, 29.4871593 46.8196757)",50,7
680056528,False,,Московская улица,residential,True,90.622,"LINESTRING (29.4858575 46.8200695, 29.4847739 46.8204077)",50,7
680056527,False,,улица Сергея Лазо,tertiary,False,12.015,"LINESTRING (29.4824906 46.8243959, 29.4823489 46.8244436)",60,
"[492733881, 680056527]",False,,улица Сергея Лазо,tertiary,True,107.34100000000001,"LINESTRING (29.4824906 46.8243959, 29.4828438 46.824291, 29.4833491 46.8241408, 29.4837817 46.8240068)",60,
276790974,False,2,улица Шестакова,residential,True,183.828,"LINESTRING (29.4851624 46.8184862, 29.4858575 46.8200695)",50,
1076586881,False,,Комсомольская улица,residential,False,82.357,"LINESTRING (29.4851624 46.8184862, 29.4861939 46.8182619)",,
1076586881,False,,Комсомольская улица,residential,True,134.53,"LINESTRING (29.4851624 46.8184862, 29.4834926 46.8188838)",,
87502094,False,,улица Кавриаго,residential,True,119.588,"LINESTRING (29.4808969 46.8174337, 29.4794061 46.8177741)",,
41851869,False,,улица Кирова,residential,False,144.334,"LINESTRING (29.4772606 46.8260126, 29.477238 46.8259617, 29.4772102 46.8258988, 29.476991 46.8254042, 29.4768946 46.8251869, 29.4768371 46.8250571, 29.4768328 46.8250474, 29.4767573 46.8248776, 29.4767097 46.8247705)",,
680056523,False,,улица Сергея Лазо,residential,True,144.954,"LINESTRING (29.4772606 46.8260126, 29.4773459 46.8259863, 29.4788043 46.8255366, 29.4789168 46.8255019, 29.4789976 46.825477)",60,
87497002,False,,улица Ленина,residential,False,143.598,"LINESTRING (29.4784013 46.8242331, 29.4801031 46.8236747)",,
87497002,False,,улица Ленина,residential,True,141.899,"LINESTRING (29.4784013 46.8242331, 29.4767097 46.8247705)",,
680056521,False,,Коммунистическая улица,secondary,False,145.566,"LINESTRING (29.4784013 46.8242331, 29.4789976 46.825477)",,
680056521,False,,Коммунистическая улица,secondary,True,225.25900000000001,"LINESTRING (29.4784013 46.8242331, 29.4782711 46.823947, 29.478197 46.823784, 29.4781586 46.8236972, 29.4777337 46.8227523, 29.4775291 46.8222972)",,
680056521,False,,Коммунистическая улица,secondary,True,145.566,"LINESTRING (29.4789976 46.825477, 29.4784013 46.8242331)",,
