osmid,oneway,highway,reversed,length,geometry,bridge
96772038,False,residential,False,197.46599999999998,"LINESTRING (40.2853562 21.3710904, 40.2853578 21.3711395, 40.2852666 21.3715941, 40.2848482 21.3723135, 40.2845799 21.3726831)",
96772038,False,residential,True,156.52100000000002,"LINESTRING (40.2853562 21.3710904, 40.2853417 21.3706599, 40.2855241 21.3701754, 40.2855885 21.3697158)",
758539429,False,residential,False,205.44799999999998,"LINESTRING (40.2826313 21.3695406, 40.2831901 21.3692743, 40.2834189 21.3688359, 40.2837136 21.3687458, 40.2842285 21.3686619)",
"[758647992, 1092825704]",False,residential,"[False, True]",437.75399999999996,"LINESTRING (40.2826313 21.3695406, 40.2825013 21.3696216, 40.2824248 21.3697166, 40.282259 21.3701038, 40.2821213 21.3703104, 40.2819504 21.3705812, 40.2818534 21.3709114, 40.2818381 21.3712345, 40.2817361 21.3716787, 40.2818534 21.372225, 40.2817386 21.3724483, 40.2816456 21.3725618, 40.2811964 21.373034)",
96746773,False,residential,True,29.466,"LINESTRING (40.2842285 21.3686619, 40.28436 21.3684269)",
96746773,False,residential,False,30.217,"LINESTRING (40.2842285 21.3686619, 40.2841616 21.3687816, 40.2841467 21.3689177)",
758539429,False,residential,True,205.448,"LINESTRING (40.2842285 21.3686619, 40.2837136 21.3687458, 40.2834189 21.3688359, 40.2831901 21.3692743, 40.2826313 21.3695406)",
758647987,False,residential,False,163.976,"LINESTRING (40.2841467 21.3689177, 40.285674 21.3693072)",
96746773,False,residential,False,236.49599999999998,"LINESTRING (40.2841467 21.3689177, 40.2841195 21.3691665, 40.2841347 21.3700156, 40.2840287 21.370422, 40.283877 21.370786, 40.2838479 21.3710032)",
96746773,False,residential,True,30.217,"LINESTRING (40.2841467 21.3689177, 40.2841616 21.3687816, 40.2842285 21.3686619)",
96772038,False,residential,False,46.289,"LINESTRING (40.285674 21.3693072, 40.2855885 21.3697158)",
758647987,False,residential,True,163.976,"LINESTRING (40.285674 21.3693072, 40.2841467 21.3689177)",
96772038,False,residential,True,92.16099999999999,"LINESTRING (40.285674 21.3693072, 40.2858299 21.3685618, 40.2858316 21.3684924)",
758647988,False,residential,False,77.028,"LINESTRING (40.2836613 21.3681892, 40.28436 21.3684269)",
96772038,False,residential,False,92.16099999999999,"LINESTRING (40.2858316 21.3684924, 40.2858299 21.3685618, 40.285674 21.3693072)",
96772038,False,residential,True,101.231,"LINESTRING (40.2858316 21.3684924, 40.2858406 21.3681172, 40.2859425 21.3678424, 40.2861142 21.3676576)",
758647988,False,residential,True,160.28199999999998,"LINESTRING (40.2858316 21.3684924, 40.2853392 21.3686556, 40.2851298 21.3686741, 40.2848724 21.3686056, 40.28436 21.3684269)",
758647989,False,residential,False,113.549,"LINESTRING (40.2837999 21.3671589, 40.2839358 21.3673513, 40.2843772 21.3674883, 40.2847516 21.3675677)",
96772041,False,residential,False,241.19099999999997,"LINESTRING (40.2869161 21.3681162, 40.2869671 21.3683819, 40.2866774 21.3689265, 40.2864253 21.3691213, 40.2860927 21.3692911, 40.2855885 21.3697158)",
96772041,False,residential,True,225.62699999999998,"LINESTRING (40.2869161 21.3681162, 40.2868866 21.3679623, 40.2869081 21.3678524, 40.287128 21.3675676, 40.2870798 21.3674527, 40.2870905 21.3673129, 40.2871602 21.3669382, 40.2873212 21.3668233, 40.2873802 21.3667034, 40.2874445 21.3664286, 40.2874494 21.3662642)",
758647989,False,residential,True,109.056,"LINESTRING (40.2869161 21.3681162, 40.2868248 21.3680944, 40.2867229 21.3679679, 40.2865729 21.3677254, 40.2863211 21.3676174, 40.2861142 21.3676576)",
758647991,False,residential,True,32.329,"LINESTRING (40.2842767 21.3721633, 40.284065 21.372377)",
758647990,False,residential,True,204.312,"LINESTRING (40.2842767 21.3721633, 40.2833074 21.3714791, 40.2834553 21.371263, 40.2838479 21.3710032)",
758647991,False,residential,False,131.844,"LINESTRING (40.2842767 21.3721633, 40.284468 21.3719922, 40.2847052 21.3721633, 40.2844476 21.3725671, 40.2844782 21.3726526, 40.2845799 21.3726831)",
758647991,False,residential,False,32.329,"LINESTRING (40.284065 21.372377, 40.2842767 21.3721633)",
1066368357,False,residential,True,30.032999999999998,"LINESTRING (40.2868143 21.3665834, 40.286589 21.3665535, 40.2865273 21.3665625)",
1092825699,False,residential,True,12.287,"LINESTRING (40.280341 21.3724797, 40.2802227 21.3724883)",
"[1092825698, 1092825699]",False,residential,"[False, True]",201.664,"LINESTRING (40.280341 21.3724797, 40.2807753 21.3720949, 40.2808142 21.3720799, 40.2808611 21.3720836, 40.2808946 21.3721024, 40.2811374 21.3723646, 40.2811387 21.3723958, 40.2811213 21.3724171, 40.2810878 21.3724321, 40.280341 21.3724797)",
"[1092825698, 1092825699]",False,residential,"[False, True]",201.664,"LINESTRING (40.280341 21.3724797, 40.2810878 21.3724321, 40.2811213 21.3724171, 40.2811387 21.3723958, 40.2811374 21.3723646, 40.2808946 21.3721024, 40.2808611 21.3720836, 40.2808142 21.3720799, 40.2807753 21.3720949, 40.280341 21.3724797)",
1092825697,False,residential,False,65.031,"LINESTRING (40.2802227 21.3724883, 40.2802469 21.3730727)",
1092825699,False,residential,False,12.287,"LINESTRING (40.2802227 21.3724883, 40.280341 21.3724797)",
1092825704,False,residential,True,69.076,"LINESTRING (40.2809134 21.3730466, 40.2802469 21.3730727)",
1092825704,False,residential,False,29.338,"LINESTRING (40.2809134 21.3730466, 40.281018 21.3730415, 40.2811964 21.373034)",
"[1092825704, 758647992]",False,residential,"[False, True]",437.75399999999996,"LINESTRING (40.2811964 21.373034, 40.2816456 21.3725618, 40.2817386 21.3724483, 40.2818534 21.372225, 40.2817361 21.3716787, 40.2818381 21.3712345, 40.2818534 21.3709114, 40.2819504 21.3705812, 40.2821213 21.3703104, 40.282259 21.3701038, 40.2824248 21.3697166, 40.2825013 21.3696216, 40.2826313 21.3695406)",
1092825704,False,residential,True,29.338,"LINESTRING (40.2811964 21.373034, 40.281018 21.3730415, 40.2809134 21.3730466)",
1092825697,False,residential,True,65.031,"LINESTRING (40.2802469 21.3730727, 40.2802227 21.3724883)",
1092825704,False,residential,False,69.076,"LINESTRING (40.2802469 21.3730727, 40.2809134 21.3730466)",
1066368357,False,residential,False,30.032999999999998,"LINESTRING (40.2865273 21.3665625, 40.286589 21.3665535, 40.2868143 21.3665834)",
1066368357,False,residential,True,42.999,"LINESTRING (40.2865273 21.3665625, 40.2865031 21.366566, 40.2864522 21.3665934, 40.2864039 21.3666284, 40.2863315 21.3666809, 40.2861946 21.3667883)",
1094408482,False,residential,True,142.735,"LINESTRING (40.2865273 21.3665625, 40.2865461 21.3664148, 40.2865501 21.3662512, 40.2865233 21.366205, 40.2864897 21.3661813, 40.2863543 21.3661501, 40.2862751 21.3661263, 40.2861652 21.3660402, 40.2858634 21.3657716, 40.285778 21.3656449)",
96772049,False,residential,False,201.389,"LINESTRING (40.285778 21.3656449, 40.2860766 21.3654994, 40.2862536 21.3653595, 40.2863878 21.3653296, 40.286538 21.3653496, 40.2870798 21.3655494, 40.2875755 21.3654689)",
96772049,False,residential,True,62.464,"LINESTRING (40.285778 21.3656449, 40.2857279 21.3656693, 40.2854704 21.365939, 40.2853487 21.3660345)",
1094408482,False,residential,False,142.73499999999999,"LINESTRING (40.285778 21.3656449, 40.2858634 21.3657716, 40.2861652 21.3660402, 40.2862751 21.3661263, 40.2863543 21.3661501, 40.2864897 21.3661813, 40.2865233 21.366205, 40.2865501 21.3662512, 40.2865461 21.3664148, 40.2865273 21.3665625)",
