osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,width
483966286,Calle 3,residential,False,True,78.716,,,"LINESTRING (-72.1098452 6.997836, -72.1095615 6.9984855)",
483966292,Carrera 7,residential,False,False,35.716,,,"LINESTRING (-72.1093204 6.9993234, -72.1089968 6.9993262)",
483966286,Calle 3,residential,False,False,96.97200000000001,,,"LINESTRING (-72.1093204 6.9993234, -72.1094409 6.9988421, -72.1095615 6.9984855)",
483966292,Carrera 7,residential,False,True,89.026,,,"LINESTRING (-72.1093204 6.9993234, -72.1097598 6.9994269, -72.1100922 6.9995507)",
483966284,Carrera 9,residential,False,False,108.727,,,"LINESTRING (-72.1115173 6.9987562, -72.1106616 6.9982717)",
483966330,Calle 5,residential,False,True,67.892,,,"LINESTRING (-72.1115173 6.9987562, -72.1117968 6.9982123)",
483966330,Calle 5,residential,False,False,85.598,,,"LINESTRING (-72.1115173 6.9987562, -72.1113945 6.9991106, -72.1112119 6.9994616)",
483966288,Carrera 8,residential,False,True,10.52,,,"LINESTRING (-72.1088031 6.9981821, -72.1088974 6.9981959)",
483966309,Diagonal 2,residential,True,False,128.998,,,"LINESTRING (-72.1088031 6.9981821, -72.1089189 6.9993365)",
483966288,Carrera 8,residential,False,False,108.986,,,"LINESTRING (-72.1112119 6.9994616, -72.1103628 6.9989612)",
483966330,Calle 5,residential,False,False,74.888,,,"LINESTRING (-72.1112119 6.9994616, -72.1110586 6.9997961, -72.1110475 7.0001019)",
483966330,Calle 5,residential,False,True,85.598,,,"LINESTRING (-72.1112119 6.9994616, -72.1113945 6.9991106, -72.1115173 6.9987562)",
483966289,Calle 4,residential,False,True,68.105,,,"LINESTRING (-72.1109294 6.9977199, -72.1106616 6.9982717)",
833911354,Carrera 10,residential,False,True,110.557,,,"LINESTRING (-72.1109294 6.9977199, -72.111478 6.9979921, -72.1117968 6.9982123)",
483966290,Carrera 5A,residential,False,False,45.496,,,"LINESTRING (-72.1083873 6.9993683, -72.1081322 6.9990469)",
483966290,Carrera 5A,residential,False,True,96.525,,,"LINESTRING (-72.1083873 6.9993683, -72.108604 7.0002093)",
483966292,Carrera 7,residential,False,True,58.777,,,"LINESTRING (-72.1083873 6.9993683, -72.1089189 6.9993365)",
"[483966292, 871906654]","['Carrera 7', 'Carrera 5']",residential,False,"[False, True]",191.987,1,,"LINESTRING (-72.1083873 6.9993683, -72.1076572 6.9994682, -72.1081771 7.000319)",3
483966292,Carrera 7,residential,False,False,121.953,,,"LINESTRING (-72.1110475 7.0001019, -72.1100922 6.9995507)",
483966330,Calle 5,residential,False,False,112.863,,,"LINESTRING (-72.1110475 7.0001019, -72.1110383 7.0007906, -72.111003 7.0008775, -72.1108635 7.0009174, -72.1107907 7.0009684)",
483966330,Calle 5,residential,False,True,74.888,,,"LINESTRING (-72.1110475 7.0001019, -72.1110586 6.9997961, -72.1112119 6.9994616)",
483966288,Carrera 8,residential,False,False,10.52,,,"LINESTRING (-72.1088974 6.9981959, -72.1088031 6.9981821)",
483966288,Carrera 8,residential,False,True,80.057,,,"LINESTRING (-72.1088974 6.9981959, -72.1095615 6.9984855)",
833911359,Pamplona - Saravena,primary,False,False,36.929,2,66,"LINESTRING (-72.1089386 7.0002069, -72.108604 7.0002093)",
833911361,Pamplona - Saravena,primary,False,True,8.843,2,66,"LINESTRING (-72.1089386 7.0002069, -72.1090166 7.0002251)",
483966311,Carrera 3,residential,False,False,78.414,,,"LINESTRING (-72.1071806 7.0020722, -72.1067446 7.0015154)",
483966311,Carrera 3,residential,False,True,80.531,,,"LINESTRING (-72.1071806 7.0020722, -72.1076532 7.002624)",
483966324,Calle 3,residential,False,False,103.216,,,"LINESTRING (-72.1071806 7.0020722, -72.1064601 7.002664)",
483966324,Calle 3,residential,False,True,90.803,,,"LINESTRING (-72.1071806 7.0020722, -72.1078296 7.0015703)",
483966313,Carrera 2,residential,False,False,81.006,,,"LINESTRING (-72.1069131 7.0032372, -72.1064601 7.002664)",
483966313,Carrera 2,residential,False,True,14.5,,,"LINESTRING (-72.1069131 7.0032372, -72.1069962 7.0033382)",
483966325,Calle 4,residential,False,True,106.4,,,"LINESTRING (-72.1069131 7.0032372, -72.1076532 7.002624)",
483966313,Carrera 2,residential,False,False,66.977,,,"LINESTRING (-72.1073695 7.0038131, -72.1069962 7.0033382)",
483966313,Carrera 2,residential,False,True,45.018,,,"LINESTRING (-72.1073695 7.0038131, -72.1076433 7.0041132)",
871906655,Calle 5,residential,False,False,49.969,,,"LINESTRING (-72.1073695 7.0038131, -72.1070324 7.0041131)",
871906655,Calle 5,residential,False,True,109.978,,,"LINESTRING (-72.1073695 7.0038131, -72.1081182 7.0031604)",
483966311,Carrera 3,residential,False,False,93.732,,,"LINESTRING (-72.1067446 7.0015154, -72.1062488 7.000831)",
483966311,Carrera 3,residential,False,True,78.414,,,"LINESTRING (-72.1067446 7.0015154, -72.1071806 7.0020722)",
483966322,Calle 2,residential,False,False,103.65,,,"LINESTRING (-72.1067446 7.0015154, -72.1060292 7.0021193)",
483966322,Calle 2,residential,False,True,89.737,,,"LINESTRING (-72.1067446 7.0015154, -72.1073895 7.0010239)",
483966328,Calle 5,residential,False,False,118.43,,,"LINESTRING (-72.109574 7.0019887, -72.1087497 7.0026706)",
483966328,Calle 5,residential,False,True,141.823,,,"LINESTRING (-72.109574 7.0019887, -72.1105709 7.0011839)",
833911355,Carrera 5,residential,False,True,52.994,,,"LINESTRING (-72.109574 7.0019887, -72.1098905 7.0023471)",
483966316,Carrera 5,residential,True,False,78.165,,,"LINESTRING (-72.109574 7.0019887, -72.1095262 7.0018697, -72.1091559 7.0014277)",
483966320,Carrera 4,residential,False,True,56.946,,,"LINESTRING (-72.1070611 7.0006289, -72.1073895 7.0010239)",
833911360,Pamplona - Saravena,primary,False,True,127.898,2,66,"LINESTRING (-72.1070611 7.0006289, -72.1081771 7.000319)",
833911360,Pamplona - Saravena,primary,False,False,92.424,2,66,"LINESTRING (-72.1070611 7.0006289, -72.1066212 7.0007384, -72.1062488 7.000831)",
483966320,Carrera 4,residential,False,False,81.185,,,"LINESTRING (-72.1087497 7.0026706, -72.1082849 7.0021047)",
483966328,Calle 5,residential,False,False,88.452,,,"LINESTRING (-72.1087497 7.0026706, -72.1081182 7.0031604)",
483966328,Calle 5,residential,False,True,118.43,,,"LINESTRING (-72.1087497 7.0026706, -72.109574 7.0019887)",
483966322,Calle 2,residential,False,True,113.941,,,"LINESTRING (-72.1052164 7.0027511, -72.1060292 7.0021193)",
833911361,Pamplona - Saravena,primary,False,False,77.488,2,66,"LINESTRING (-72.1107907 7.0009684, -72.1101708 7.0006412)",
483966328,Calle 5,residential,False,False,34.271,,,"LINESTRING (-72.1107907 7.0009684, -72.1107253 7.0010532, -72.1105709 7.0011839)",
483966330,Calle 5,residential,False,True,112.863,,,"LINESTRING (-72.1107907 7.0009684, -72.1108635 7.0009174, -72.111003 7.0008775, -72.1110383 7.0007906, -72.1110475 7.0001019)",
483966330,Calle 5,residential,False,False,67.892,,,"LINESTRING (-72.1117968 6.9982123, -72.1115173 6.9987562)",
833911354,Carrera 10,residential,False,True,37.321,,,"LINESTRING (-72.1117968 6.9982123, -72.1120991 6.9983627)",
833911354,Carrera 10,residential,False,False,110.557,,,"LINESTRING (-72.1117968 6.9982123, -72.111478 6.9979921, -72.1109294 6.9977199)",
483966324,Calle 3,residential,False,True,119.984,,,"LINESTRING (-72.1056246 7.0033544, -72.1064601 7.002664)",
537477802,,residential,False,False,150.361,,,"LINESTRING (-72.1056246 7.0033544, -72.1059347 7.0038167, -72.1060826 7.0039819, -72.1061769 7.0042643, -72.1063142 7.004507)",
