osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry
784944128,False,,,Calle Netzahualcóyotl,residential,,False,22.95,"LINESTRING (-99.2685304 19.0297788, -99.2687487 19.0297817)"
784944128,False,,,Calle Netzahualcóyotl,residential,,True,28.293,"LINESTRING (-99.2685304 19.0297788, -99.2682613 19.0297735)"
842863749,False,2,MEX 106,Calle Zempoala,primary,60,False,92.999,"LINESTRING (-99.2685304 19.0297788, -99.2689011 19.0305382)"
842863749,False,2,MEX 106,Calle Zempoala,primary,60,True,65.089,"LINESTRING (-99.2685304 19.0297788, -99.2682351 19.0292643)"
"[842876848, 113603478]",False,2,,Calle Hidalgo,tertiary,,False,253.31900000000002,"LINESTRING (-99.2651267 19.0268535, -99.2651251 19.0266425, -99.2650875 19.0265361, -99.2647818 19.0261658, -99.2647442 19.0260974, -99.2646691 19.0257525, -99.2645431 19.0254127, -99.264527 19.025291, -99.2645377 19.0251921, -99.2646906 19.0247408)"
113603478,False,2,,Calle Hidalgo,tertiary,,True,92.14500000000001,"LINESTRING (-99.2651267 19.0268535, -99.2650312 19.0272232, -99.2650312 19.027312, -99.2650661 19.0273804, -99.2652833 19.0275757)"
843189895,False,,,Calle Aldama,residential,,False,137.49900000000002,"LINESTRING (-99.2651267 19.0268535, -99.2653718 19.0268555, -99.2661497 19.0267338, -99.2664233 19.0267136)"
843189895,False,,,Calle Aldama,residential,,True,186.133,"LINESTRING (-99.2651267 19.0268535, -99.2643713 19.0268305, -99.2638671 19.0268277, -99.2636606 19.0268023, -99.263371 19.0267199)"
113603497,False,,,Calle Rayón,residential,,True,48.053,"LINESTRING (-99.2701665 19.0274161, -99.2702012 19.027847)"
113603492,False,,,Calle Benito Juárez,residential,,False,80.58,"LINESTRING (-99.2701665 19.0274161, -99.2699853 19.0274121, -99.2697492 19.0274109, -99.2694005 19.0274286)"
113603492,False,,,Calle Benito Juárez,residential,,True,83.584,"LINESTRING (-99.2701665 19.0274161, -99.2706062 19.027421, -99.2709616 19.0274198)"
113603496,False,,,Victoria,residential,,False,59.704,"LINESTRING (-99.2686039 19.0280246, -99.268538 19.0274913)"
898024147,False,1,,Calle Morelos,residential,,True,59.042,"LINESTRING (-99.2686039 19.0280246, -99.2680444 19.027978)"
113603496,False,,,Victoria,residential,,True,66.265,"LINESTRING (-99.2686039 19.0280246, -99.268612 19.0282527, -99.2686012 19.0283668, -99.2685905 19.0284479, -99.2685664 19.0286178)"
113603492,False,,,Calle Benito Juárez,residential,,False,34.523,"LINESTRING (-99.268538 19.0274913, -99.2682096 19.0274945)"
113603492,False,,,Calle Benito Juárez,residential,,True,21.109,"LINESTRING (-99.268538 19.0274913, -99.268738 19.0274743)"
113603496,False,,,Victoria,residential,,True,59.704,"LINESTRING (-99.268538 19.0274913, -99.2686039 19.0280246)"
114576602,False,2,MEX 106,Calle Lázaro Cárdenas,primary,,True,15.81,"LINESTRING (-99.2670187 19.0289399, -99.2668712 19.0289677)"
842858577,False,,,Calle Matamoros,residential,,False,93.484,"LINESTRING (-99.2670187 19.0289399, -99.2669845 19.02978)"
114576602,False,2,MEX 106,Calle Lázaro Cárdenas,primary,,False,75.771,"LINESTRING (-99.2670187 19.0289399, -99.267287 19.0289018, -99.2675418 19.0288942, -99.2677362 19.0289019)"
843193027,False,2,MEX 106,Calle Lázaro Cárdenas,primary,,False,27.607,"LINESTRING (-99.265388 19.0294775, -99.2654389 19.0293582, -99.2654845 19.0292466)"
843193027,False,2,MEX 106,Calle Lázaro Cárdenas,primary,,True,89.35400000000001,"LINESTRING (-99.265388 19.0294775, -99.2652208 19.0298465, -99.2651466 19.0299972, -99.2650339 19.0302077)"
898020050,False,1,,Calle Hidalgo,residential,,True,50.288,"LINESTRING (-99.265388 19.0294775, -99.2654228 19.029769, -99.2654397 19.0299271)"
785196899,False,,,,residential,,False,54.397,"LINESTRING (-99.2662892 19.0258666, -99.265801 19.0257044)"
113603487,False,,,Calle Matamoros,residential,,False,27.918,"LINESTRING (-99.2662892 19.0258666, -99.2662489 19.0257627, -99.2662376 19.0256227)"
113603487,False,,,Calle Matamoros,residential,,True,96.403,"LINESTRING (-99.2662892 19.0258666, -99.266375 19.0260492, -99.2663938 19.0261227, -99.2664233 19.0267136)"
113603490,False,,,Calle Venustiano Carranza,residential,,True,56.687,"LINESTRING (-99.2682351 19.0292643, -99.2682613 19.0297735)"
842863749,False,2,MEX 106,Calle Zempoala,primary,60,False,65.089,"LINESTRING (-99.2682351 19.0292643, -99.2685304 19.0297788)"
842863749,False,2,MEX 106,Calle Zempoala,primary,60,True,58.483999999999995,"LINESTRING (-99.2682351 19.0292643, -99.2681721 19.0291478, -99.2680782 19.0290565, -99.2678323 19.0289236)"
113603487,False,,,Calle Matamoros,residential,,False,73.828,"LINESTRING (-99.2668712 19.0289677, -99.2668795 19.0283038)"
114576602,False,2,MEX 106,Calle Lázaro Cárdenas,primary,,False,15.81,"LINESTRING (-99.2668712 19.0289677, -99.2670187 19.0289399)"
114576602,False,2,MEX 106,Calle Lázaro Cárdenas,primary,,True,54.773,"LINESTRING (-99.2668712 19.0289677, -99.266367 19.029092)"
901163180,False,,,,residential,,False,30.265,"LINESTRING (-99.2658064 19.0319268, -99.2658721 19.0321918)"
113603486,False,,,Calle Hidalgo,residential,,False,87.747,"LINESTRING (-99.2658064 19.0319268, -99.2657393 19.0318152, -99.2656535 19.0314552, -99.2655063 19.0311988)"
113603486,False,,,Calle Hidalgo,residential,,True,20.43,"LINESTRING (-99.2658064 19.0319268, -99.2658788 19.0319801, -99.2659794 19.0319991)"
113603486,False,,,Calle Hidalgo,residential,,False,56.327,"LINESTRING (-99.2655063 19.0311988, -99.265489 19.0306925)"
113603499,False,,,Calle Allende,residential,,True,91.055,"LINESTRING (-99.2655063 19.0311988, -99.2646423 19.0312574)"
113603486,False,,,Calle Hidalgo,residential,,True,87.747,"LINESTRING (-99.2655063 19.0311988, -99.2656535 19.0314552, -99.2657393 19.0318152, -99.2658064 19.0319268)"
113603499,False,,,Calle Allende,residential,,False,91.055,"LINESTRING (-99.2646423 19.0312574, -99.2655063 19.0311988)"
843193027,False,2,MEX 106,Calle Lázaro Cárdenas,primary,,False,123.767,"LINESTRING (-99.2646423 19.0312574, -99.2650339 19.0302077)"
149605928,False,,,Calle Iturbide,residential,,True,189.534,"LINESTRING (-99.2646423 19.0312574, -99.2640629 19.0311763, -99.2640133 19.0311496, -99.2639704 19.0311129, -99.2639383 19.031085, -99.2628855 19.0309785)"
113603497,False,,,Calle Rayón,residential,,False,88.874,"LINESTRING (-99.2704358 19.030502, -99.2703607 19.0297059)"
113603501,False,,,Calle Allende,residential,,False,62.966,"LINESTRING (-99.2704358 19.030502, -99.271034 19.0304726)"
842880161,False,,,Privada Rayón,residential,,True,129.886,"LINESTRING (-99.2704358 19.030502, -99.2705404 19.0316659)"
113603501,False,,,Calle Allende,residential,,True,161.382,"LINESTRING (-99.2704358 19.030502, -99.2695615 19.0305297, -99.2689011 19.0305382)"
113603501,False,,,Calle Allende,residential,,False,152.343,"LINESTRING (-99.2668622 19.0306088, -99.2683089 19.0305274)"
113603501,False,,,Calle Allende,residential,,True,33.385,"LINESTRING (-99.2668622 19.0306088, -99.2665455 19.0306313)"
842858577,False,,,Calle Matamoros,residential,,False,64.379,"LINESTRING (-99.2668622 19.0306088, -99.2667425 19.0309531, -99.2667317 19.0310343, -99.2667492 19.031168)"
842858577,False,,,Calle Matamoros,residential,,True,86.91,"LINESTRING (-99.2668622 19.0306088, -99.2669678 19.0303142, -99.2669919 19.0301798, -99.2669764 19.0298459)"
113603490,False,,,Calle Venustiano Carranza,residential,,False,83.979,"LINESTRING (-99.2683089 19.0305274, -99.2682613 19.0297735)"
113603501,False,,,Calle Allende,residential,,False,49.37,"LINESTRING (-99.2683089 19.0305274, -99.2687783 19.0305424)"
113603501,False,,,Calle Allende,residential,,True,152.343,"LINESTRING (-99.2683089 19.0305274, -99.2668622 19.0306088)"
113603490,False,,,Calle Venustiano Carranza,residential,,True,100.724,"LINESTRING (-99.2683089 19.0305274, -99.2684135 19.0313664, -99.2684177 19.0314273)"
113603471,False,,,Calle Cuauhtémoc,residential,,True,32.13,"LINESTRING (-99.2683892 19.0289748, -99.268693 19.0290066)"
113603471,False,,,Calle Cuauhtémoc,residential,,False,58.86,"LINESTRING (-99.2683892 19.0289748, -99.268003 19.0289299, -99.2678323 19.0289236)"
"[843187800, 843187801]",False,,,,residential,,False,54.034000000000006,"LINESTRING (-99.2683892 19.0289748, -99.2684256 19.0286356, -99.2684363 19.0286178, -99.2684604 19.0286102, -99.2685664 19.0286178)"
"[113603498, 784936723]",False,,,Privada Corregidora,residential,,False,95.048,"LINESTRING (-99.2676197 19.0294675, -99.2675069 19.0297855, -99.2674937 19.0298121, -99.2674774 19.0298273, -99.2669845 19.02978)"
149605923,False,,,Calle Galeana,residential,,False,19.677,"LINESTRING (-99.2648649 19.0301316, -99.2650339 19.0302077)"
843190505,False,,,,residential,,False,38.489000000000004,"LINESTRING (-99.2648649 19.0301316, -99.2649078 19.030053, -99.2649695 19.029802)"
149605923,False,,,Calle Galeana,residential,,True,19.677,"LINESTRING (-99.2650339 19.0302077, -99.2648649 19.0301316)"
843193027,False,2,MEX 106,Calle Lázaro Cárdenas,primary,,True,123.767,"LINESTRING (-99.2650339 19.0302077, -99.2646423 19.0312574)"
