osmid,oneway,name,highway,maxspeed,access,reversed,length,geometry,lanes,bridge,junction
711096827,False,Calle San Alfonso,residential,,,True,80.748,"LINESTRING (-100.5202286 21.292677, -100.520246 21.293403)",,,
186644200,False,Calle Matamoros,residential,20,yes,False,82.292,"LINESTRING (-100.5140232 21.3008208, -100.5140935 21.3001747, -100.5141033 21.3000845)",,,
316975769,True,Rivera del Río,residential,20,,False,12.677,"LINESTRING (-100.5143091 21.3011665, -100.5141923 21.3011325)",,,
186169122,True,Calle Vicente Guerrero,residential,20,yes,False,200.627,"LINESTRING (-100.5145843 21.3001811, -100.5164711 21.3005875)",,,
"[734551272, 184939428, 734551271]",True,Calle Javier Mina,residential,20,yes,False,113.3,"LINESTRING (-100.5145843 21.3001811, -100.5143897 21.3009406, -100.5143372 21.3010825, -100.5143091 21.3011665)",,yes,
734551265,True,Calle Bravo,residential,20,yes,False,71.795,"LINESTRING (-100.5177383 21.3008812, -100.5178508 21.3002441)",,,
186169122,True,Calle Vicente Guerrero,residential,20,yes,False,226.44299999999998,"LINESTRING (-100.5177383 21.3008812, -100.5185382 21.3011196, -100.5187009 21.3011614, -100.5198333 21.301461)",,,
739613639,False,,residential,,,True,48.482,"LINESTRING (-100.5190846 21.2940302, -100.5195245 21.2938815)",,,
739629125,False,,residential,,,True,181.072,"LINESTRING (-100.5168182 21.2953073, -100.5171508 21.2943501, -100.5173492 21.2942552, -100.5177932 21.2942814)",,,
435187077,True,Calle Galeana,residential,20,,False,184.582,"LINESTRING (-100.5177932 21.2942814, -100.5175209 21.2955997, -100.517533 21.295917)",,,
739629125,False,,residential,,,False,181.072,"LINESTRING (-100.5177932 21.2942814, -100.5173492 21.2942552, -100.5171508 21.2943501, -100.5168182 21.2953073)",,,
184939436,True,Calle Aldama,residential,20,yes,False,80.58,"LINESTRING (-100.5162482 21.2942402, -100.5156156 21.2946618)",,,
184939436,True,Calle Aldama,residential,20,yes,False,98.069,"LINESTRING (-100.5170955 21.2936314, -100.5163461 21.2941702)",,,
739821270,False,Privada Juventino Rosas,residential,,,True,20.386,"LINESTRING (-100.5134091 21.2940177, -100.5135895 21.2939445)",,,
437315450,False,Calle Juventino Rosas,residential,20,,False,4.194,"LINESTRING (-100.5135895 21.2939445, -100.5135997 21.293981)",,,
