osmid,oneway,name,highway,reversed,length,lanes,maxspeed,bridge,geometry,junction
245393966,False,Calle Pescador,residential,True,92.529,,,,"LINESTRING (-105.3828402 20.7469723, -105.3835117 20.7475183)",
1058678257,False,Calle Tiburón,residential,True,61.368,,,,"LINESTRING (-105.3828402 20.7469723, -105.3825495 20.7474526)",
376806822,False,,residential,True,51.195,,,,"LINESTRING (-105.3856149 20.7470881, -105.385471 20.7466478)",
"[389369290, 245393970]",False,Calle Coral,residential,"[False, True]",216.533,,,,"LINESTRING (-105.3856149 20.7470881, -105.3855466 20.7472387, -105.3855157 20.74727, -105.3854728 20.747275, -105.3852542 20.7472235, -105.3852019 20.7472374, -105.385171 20.7472724, -105.3850279 20.7479714, -105.3849006 20.7486429)",
245393970,False,,residential,True,45.033,,,,"LINESTRING (-105.3856149 20.7470881, -105.3856619 20.7469201, -105.3857704 20.7467122)",
1058678257,False,Calle Tiburón,residential,False,61.368,,,,"LINESTRING (-105.3825495 20.7474526, -105.3828402 20.7469723)",
"[245393965, 245393967]",False,Calle Guachinango,residential,False,118.713,,,,"LINESTRING (-105.3825495 20.7474526, -105.3821616 20.7470881, -105.3821364 20.747035, -105.3821482 20.7469727, -105.3824507 20.7466462)",
245393965,False,Calle Guachinango,residential,True,92.945,,,,"LINESTRING (-105.3825495 20.7474526, -105.3828219 20.7477105, -105.3831646 20.7480589)",
"[1058678257, 1058678258, 245393964]",False,"['Calle Marlín', 'Calle Tiburón']",residential,True,115.735,,,,"LINESTRING (-105.3825495 20.7474526, -105.3821403 20.7481852, -105.3821428 20.7482219, -105.3822605 20.7483612)",
245255142,False,Delfin,residential,False,66.726,,,,"LINESTRING (-105.3843138 20.7527481, -105.3841029 20.752493, -105.3838818 20.7523077)",
245255142,False,Delfin,residential,True,194.79199999999997,,,,"LINESTRING (-105.3843138 20.7527481, -105.3843835 20.7528827, -105.3845071 20.7530726, -105.3846872 20.7532783, -105.3847751 20.7534095, -105.3848149 20.7535368, -105.3847668 20.7537209, -105.3846793 20.753865, -105.38457 20.7539864, -105.3844299 20.754076, -105.3843354 20.7541254, -105.3842877 20.7541536)",
"[917249570, 1058655598]",False,Calle Cordillera,residential,True,119.148,,,,"LINESTRING (-105.3843138 20.7527481, -105.3846708 20.7524382, -105.384703 20.7524369, -105.3847379 20.7524658, -105.3850262 20.7528758, -105.3850747 20.7529004)",
376844652,False,Prolongación Langosta,residential,False,194.863,,,,"LINESTRING (-105.3850747 20.7529004, -105.3850258 20.7532123, -105.3850321 20.753328, -105.3850896 20.7535436, -105.3850973 20.7536546, -105.3850264 20.7538342, -105.3849206 20.7539891, -105.384648 20.7541222, -105.3843089 20.7541939)",
376844652,False,Prolongación Langosta,residential,True,157.179,,,,"LINESTRING (-105.3850747 20.7529004, -105.3851214 20.7528483, -105.3852315 20.7525837, -105.3852425 20.752447, -105.3851507 20.752263, -105.385092 20.752142, -105.3849333 20.7519464, -105.3848118 20.7517388, -105.3847604 20.7516438)",
"[917249570, 1058655598]",False,Calle Cordillera,residential,False,119.148,,,,"LINESTRING (-105.3850747 20.7529004, -105.3850262 20.7528758, -105.3847379 20.7524658, -105.384703 20.7524369, -105.3846708 20.7524382, -105.3843138 20.7527481)",
376806828,False,,residential,True,113.753,,,,"LINESTRING (-105.3839429 20.7532031, -105.3839852 20.7534587, -105.3840046 20.7536376, -105.384049 20.7537895, -105.3842877 20.7541536)",
916185989,False,Calle Pulpo,residential,False,6.795,,,,"LINESTRING (-105.3827841 20.7537622, -105.3828401 20.7537937)",
916185989,False,Calle Pulpo,residential,True,8.653,,,,"LINESTRING (-105.3827841 20.7537622, -105.3827137 20.7537207)",
