osmid,oneway,name,highway,reversed,length,geometry
761119432,False,,residential,False,24.563,"LINESTRING (-103.7962045 28.0444634, -103.7962495 28.0446807)"
761119432,False,,residential,True,17.478,"LINESTRING (-103.7962045 28.0444634, -103.79616 28.0443112)"
739033150,False,Calle Cronos,residential,False,96.12,"LINESTRING (-103.7932532 28.0453092, -103.7923261 28.045588)"
739033150,False,Calle Cronos,residential,True,29.137,"LINESTRING (-103.7932532 28.0453092, -103.7935291 28.0452124)"
761829916,False,,residential,False,42.474,"LINESTRING (-103.7932532 28.0453092, -103.7933767 28.0456753)"
761119429,False,Calle Tercera,residential,False,47.804,"LINESTRING (-103.7933767 28.0456753, -103.7938523 28.0455824)"
761829916,False,,residential,True,42.474,"LINESTRING (-103.7933767 28.0456753, -103.7932532 28.0453092)"
761119429,False,Calle Tercera,residential,True,94.485,"LINESTRING (-103.7933767 28.0456753, -103.7929235 28.045819, -103.7924628 28.0459417)"
761119428,False,Privada Tercera,residential,False,45.311,"LINESTRING (-103.7938523 28.0455824, -103.7940109 28.0459651)"
761119429,False,Calle Tercera,residential,True,47.804,"LINESTRING (-103.7938523 28.0455824, -103.7933767 28.0456753)"
761119429,False,Calle Tercera,residential,False,71.611,"LINESTRING (-103.7938523 28.0455824, -103.7940817 28.0455182, -103.7945379 28.0453627)"
641531564,False,Avenida del Olimpo,residential,True,41.555,"LINESTRING (-103.7924628 28.0459417, -103.7923261 28.045588)"
"[641531564, 761119431]",False,"['Avenida del Olimpo', 'Calle Cuarta']",residential,False,67.829,"LINESTRING (-103.7924628 28.0459417, -103.7925647 28.0462318, -103.7925937 28.0462722, -103.7926318 28.0462986, -103.7926686 28.0463115, -103.7927073 28.0463155, -103.792873 28.0463094)"
761119429,False,Calle Tercera,residential,False,94.485,"LINESTRING (-103.7924628 28.0459417, -103.7929235 28.045819, -103.7933767 28.0456753)"
641899226,False,Calle Troya,residential,False,46.937,"LINESTRING (-103.7945379 28.0453627, -103.7944119 28.0449555)"
641899226,False,Calle Troya,residential,True,41.742,"LINESTRING (-103.7945379 28.0453627, -103.794668 28.0457201)"
761119429,False,Calle Tercera,residential,False,107.483,"LINESTRING (-103.7945379 28.0453627, -103.7955827 28.0450728)"
761119429,False,Calle Tercera,residential,True,71.611,"LINESTRING (-103.7945379 28.0453627, -103.7940817 28.0455182, -103.7938523 28.0455824)"
761119429,False,Calle Tercera,residential,True,75.305,"LINESTRING (-103.7962924 28.0448153, -103.7955827 28.0450728)"
761119432,False,,residential,False,32.412,"LINESTRING (-103.7962924 28.0448153, -103.7963959 28.0450921)"
761119432,False,,residential,True,15.548,"LINESTRING (-103.7962924 28.0448153, -103.7962495 28.0446807)"
761119428,False,Privada Tercera,residential,True,45.311,"LINESTRING (-103.7940109 28.0459651, -103.7938523 28.0455824)"
