osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,maxspeed
169906640,False,,Calle 7 Oriente,residential,True,53.37,"LINESTRING (-97.8029264 19.2236038, -97.8034299 19.2236697)",,
378892719,False,,Avenida Tlaxcala,residential,False,104.654,"LINESTRING (-97.8029264 19.2236038, -97.8034737 19.2228172)",,
378892719,False,,Avenida Tlaxcala,residential,True,121.702,"LINESTRING (-97.8029264 19.2236038, -97.8022513 19.2244935)",,
378891487,False,,Camino Nacional,tertiary,False,48.611,"LINESTRING (-97.803763 19.222431, -97.80336 19.2226462)",,
776359988,False,,Avenida Tlaxcala,residential,True,33.581,"LINESTRING (-97.803763 19.222431, -97.8035814 19.2226796)",,
776357733,False,,Avenida Tlaxcala,tertiary,False,117.522,"LINESTRING (-97.803763 19.222431, -97.8038363 19.2223919, -97.8047478 19.2219287)",,
169905901,True,3,Avenida Progreso,residential,False,108.804,"LINESTRING (-97.8031002 19.2262957, -97.8041262 19.2264333)",,
169907714,True,,Calle 2 Sur,residential,False,109.729,"LINESTRING (-97.8031002 19.2262957, -97.8032323 19.2253168)",,
169906311,True,2,Calle 3 Oriente,residential,False,54.665,"LINESTRING (-97.8032323 19.2253168, -97.8027136 19.2252743)",,
169907714,True,,Calle 2 Sur,residential,False,51.935,"LINESTRING (-97.8032323 19.2253168, -97.8032974 19.2248538)",,
378892720,True,,Calle 2 Sur,residential,False,105.05,"LINESTRING (-97.8033422 19.2246108, -97.8034299 19.2236697)",,
169906481,True,2,Calle 5 Oriente,residential,False,106.38300000000001,"LINESTRING (-97.8033422 19.2246108, -97.8041505 19.2247297, -97.8043439 19.2247545)",,
169906640,False,,Calle 7 Oriente,residential,False,53.37,"LINESTRING (-97.8034299 19.2236697, -97.8029264 19.2236038)",,
169906640,False,,Calle 7 Oriente,residential,True,109.434,"LINESTRING (-97.8034299 19.2236697, -97.804463 19.2238)",,
378892720,True,,Calle 2 Sur,residential,False,95.70899999999999,"LINESTRING (-97.8034299 19.2236697, -97.8035029 19.2229228, -97.8034975 19.2228671, -97.8034737 19.2228172)",,
378892125,False,,Ampliación Ingeniero Víctor Gmz,residential,True,57.418,"LINESTRING (-97.8074535 19.2205494, -97.8077103 19.2210053)",,
776347229,False,2,Carretera Nopalucan Grajales,secondary,False,22.385,"LINESTRING (-97.8074535 19.2205494, -97.8072648 19.2206431)",,
776347229,False,2,Carretera Nopalucan Grajales,secondary,True,55.691,"LINESTRING (-97.8074535 19.2205494, -97.8079131 19.2202994)",,
169907471,False,2,Calle 7 Poniente,residential,False,53.428,"LINESTRING (-97.8097407 19.2245034, -97.8092386 19.2244253)",,
169908407,True,,Calle 11 Sur,residential,False,54.626,"LINESTRING (-97.8097407 19.2245034, -97.8097613 19.224242, -97.8097865 19.2240141)",,
360947622,True,,Calle 9 Sur,residential,False,119.703,"LINESTRING (-97.8089399 19.2222941, -97.8088072 19.2233633)",,
