osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,access,maxspeed
616988514,True,2,福中路,secondary,False,584.162,"LINESTRING (114.0574714 22.5475247, 114.0573116 22.5475224, 114.055463 22.5474961, 114.0553673 22.5474947, 114.0552126 22.5474925, 114.0538285 22.5474728, 114.0537878 22.5474722, 114.0535984 22.5474695, 114.0517838 22.5474436)",,,40
616988549,True,1,,primary_link,False,80.875,"LINESTRING (114.0573203 22.5473725, 114.0574456 22.5473513, 114.0575411 22.5473147, 114.0576344 22.5472602, 114.0577073 22.547201, 114.0577664 22.5471331, 114.0578041 22.5470667, 114.0578286 22.5469974, 114.0578471 22.5469115)",,,
996752249,True,3,福中路,secondary,False,53.357,"LINESTRING (114.0573203 22.5473725, 114.0577087 22.5473784, 114.0578398 22.5473804)",,,40
616988551,True,,,primary_link,False,78.464,"LINESTRING (114.0580111 22.546925, 114.0580314 22.5470832, 114.0580434 22.5471248, 114.0580632 22.5471694, 114.0580873 22.5472066, 114.0581266 22.5472557, 114.0581638 22.5472873, 114.0582071 22.5473164, 114.0582524 22.5473391, 114.0583012 22.5473585, 114.0583533 22.5473728, 114.058402 22.5473817, 114.0584683 22.5473903)",,,
996752266,True,3,金田路,primary,False,50.968,"LINESTRING (114.0580111 22.546925, 114.058006 22.547216, 114.0580047 22.5472902, 114.0580031 22.5473833)",,,
616988607,True,1,,primary_link,False,40.539,"LINESTRING (114.0580417 22.5451607, 114.0580769 22.5452692, 114.0580866 22.5452928, 114.0581003 22.5453166, 114.058122 22.5453447, 114.0581388 22.5453629, 114.0581612 22.5453845, 114.0581858 22.5454025, 114.0582188 22.5454232, 114.0582621 22.5454437)",,,
996752266,True,3,金田路,primary,False,31.116,"LINESTRING (114.0580417 22.5451607, 114.0580388 22.5453295, 114.0580381 22.5453709, 114.0580369 22.5454405)",,,
535867196,True,,,primary_link,False,184.334,"LINESTRING (114.0513333 22.5431798, 114.0513042 22.5441664, 114.0512955 22.5442753, 114.0512793 22.5444051, 114.0512606 22.5445114, 114.0512255 22.544695, 114.0512016 22.54483)",,,
535867196,True,,,primary_link,False,52.399,"LINESTRING (114.0513456 22.5427087, 114.0513333 22.5431798)",,,
616351220,True,4,深南大道,primary,False,40.451,"LINESTRING (114.0513456 22.5427087, 114.0509518 22.5427015)",,,
616988614,True,1,,primary_link,False,49.513000000000005,"LINESTRING (114.0511998 22.5449922, 114.0512587 22.5451759, 114.0512676 22.5451978, 114.0512778 22.5452198, 114.0512917 22.5452415, 114.0513092 22.5452619, 114.0513304 22.5452809, 114.0513525 22.5452976, 114.0513737 22.5453115, 114.0513924 22.5453202, 114.0514137 22.5453285, 114.0514489 22.5453457)",,,
996625943,True,3,益田路,primary,False,38.909,"LINESTRING (114.0511998 22.5449922, 114.0511973 22.5452194, 114.0511966 22.5452692, 114.051196 22.5453421)",,,
616988561,True,,福中三路,tertiary,False,39.944,"LINESTRING (114.0506882 22.5453348, 114.0508679 22.5453374, 114.0509391 22.5453384, 114.0510771 22.5453402)",,,
616988616,True,1,,primary_link,False,57.813,"LINESTRING (114.0506882 22.5453348, 114.0507647 22.5453198, 114.0508552 22.5452865, 114.0509209 22.5452466, 114.0509798 22.5451978, 114.0510292 22.545142, 114.051061 22.5450868, 114.051083 22.5450121)",,,
616988619,True,1,,primary_link,False,52.342,"LINESTRING (114.0515022 22.5454231, 114.0514373 22.5454441, 114.0514042 22.5454549, 114.0513708 22.5454712, 114.0513408 22.5454908, 114.0513144 22.5455129, 114.0512922 22.5455376, 114.0512714 22.5455668, 114.0512557 22.5455992, 114.0512392 22.5456438, 114.0511914 22.545759)",,,
853566733,True,,福中三路,tertiary,False,31.522,"LINESTRING (114.0515022 22.5454231, 114.0513317 22.5454205, 114.0512798 22.5454197, 114.0511953 22.5454185)",,,
996625943,True,3,益田路,primary,False,122.777,"LINESTRING (114.0511914 22.545759, 114.0511792 22.5468631)",,,
31542517,True,3,益田路,primary,False,34.787,"LINESTRING (114.0510701 22.5457291, 114.0510733 22.5455485, 114.0510746 22.5454776, 114.0510757 22.5454163)",,,
616988621,True,1,,primary_link,False,57.209,"LINESTRING (114.0510701 22.5457291, 114.0510486 22.5456528, 114.0510184 22.5455923, 114.0509778 22.5455443, 114.0509141 22.5454959, 114.0508415 22.5454558, 114.050763 22.5454273, 114.0506828 22.5454107)",,,
853566733,True,,福中三路,tertiary,False,84.157,"LINESTRING (114.0506828 22.5454107, 114.0501 22.5453999, 114.0500213 22.5453985, 114.0498635 22.5453956)",,,
616988539,True,3,福中路,secondary,False,586.7470000000001,"LINESTRING (114.0516076 22.5472859, 114.0520502 22.5472926, 114.0534139 22.5473134, 114.053601 22.5473163, 114.0537909 22.5473191, 114.053836 22.5473198, 114.0551492 22.5473398, 114.0552158 22.5473408, 114.0553712 22.5473432, 114.0554678 22.5473447, 114.0569465 22.5473669, 114.0573203 22.5473725)",,,40
616988630,True,1,,primary_link,False,67.32799999999999,"LINESTRING (114.0510317 22.5478619, 114.05101 22.547769, 114.0509778 22.5476958, 114.0509161 22.54762, 114.050854 22.5475627, 114.0508271 22.5475348, 114.0507997 22.54751, 114.0507684 22.54749, 114.0507243 22.5474676, 114.050624 22.5474271)",,,
996752248,True,3,益田路,primary,False,47.787,"LINESTRING (114.0510317 22.5478619, 114.0510368 22.5475831, 114.0510375 22.5475431, 114.0510395 22.5474322)",,,
853206488,False,2,兴融三路,residential,True,100.333,"LINESTRING (114.0510302 22.5410507, 114.0500533 22.5410413)",,,
853286945,True,,,primary_link,False,80.079,"LINESTRING (114.0510302 22.5410507, 114.0510471 22.5403307)",,,
1050725173,True,4,深南大道,primary,False,70.351,"LINESTRING (114.0499604 22.5424231, 114.0506454 22.5424182)",,,
617224833,False,,,unclassified,False,85.66,"LINESTRING (114.0500365 22.5418115, 114.0500533 22.5410413)",,,
1243086622,True,,,primary_link,False,107.583,"LINESTRING (114.0500365 22.5418115, 114.0507477 22.5418217, 114.05082 22.541816, 114.0508912 22.5417981, 114.0509373 22.5417706, 114.0509814 22.5417268, 114.0510156 22.5416701)",,,
617224833,False,,,unclassified,True,85.66,"LINESTRING (114.0500533 22.5410413, 114.0500365 22.5418115)",,,
853206488,False,2,兴融三路,residential,False,100.333,"LINESTRING (114.0500533 22.5410413, 114.0510302 22.5410507)",,,
996625942,True,3,福中路,secondary,False,62.071,"LINESTRING (114.0498355 22.5472573, 114.0504398 22.5472683)",,,40
853566735,False,,鹏程二路,residential,False,207.032,"LINESTRING (114.0498355 22.5472573, 114.0498381 22.5470807, 114.04986 22.5456022, 114.049861 22.5455405, 114.0498635 22.5453956)",,,
853566735,False,,鹏程二路,residential,True,227.859,"LINESTRING (114.0498947 22.5432713, 114.0498935 22.5433526, 114.0498904 22.5435551, 114.0498888 22.5436641, 114.0498713 22.5448473, 114.0498674 22.545107, 114.0498654 22.5452422, 114.0498642 22.5453203)",,,
853566735,False,,鹏程二路,residential,False,8.373,"LINESTRING (114.0498635 22.5453956, 114.0498642 22.5453203)",,,
853566735,False,,鹏程二路,residential,True,207.032,"LINESTRING (114.0498635 22.5453956, 114.049861 22.5455405, 114.04986 22.5456022, 114.0498381 22.5470807, 114.0498355 22.5472573)",,,
853566735,False,,鹏程二路,residential,True,8.373,"LINESTRING (114.0498642 22.5453203, 114.0498635 22.5453956)",,,
616988561,True,,福中三路,tertiary,False,84.638,"LINESTRING (114.0498642 22.5453203, 114.05002 22.5453231, 114.0506882 22.5453348)",,,
853566735,False,,鹏程二路,residential,False,227.859,"LINESTRING (114.0498642 22.5453203, 114.0498654 22.5452422, 114.0498674 22.545107, 114.0498713 22.5448473, 114.0498888 22.5436641, 114.0498904 22.5435551, 114.0498935 22.5433526, 114.0498947 22.5432713)",,,
616988623,True,1,,primary_link,False,69.7,"LINESTRING (114.0511792 22.5468631, 114.0512094 22.5469922, 114.0512531 22.5470806, 114.051306 22.547145, 114.0513597 22.5471871, 114.051483 22.5472548, 114.0516076 22.5472859)",,,
1050511747,True,3,益田路,primary,False,46.285,"LINESTRING (114.0511792 22.5468631, 114.0511749 22.5471202, 114.0511738 22.5471864, 114.0511723 22.5472793)",,,
616988561,True,,福中三路,tertiary,False,38.146,"LINESTRING (114.0574988 22.5454327, 114.057713 22.5454358, 114.0577651 22.5454365, 114.0578702 22.545438)",,,
616988605,True,1,,primary_link,False,62.426,"LINESTRING (114.0574988 22.5454327, 114.057603 22.5454024, 114.0576857 22.5453609, 114.0577465 22.5453077, 114.0578026 22.5452384, 114.0578418 22.5451531, 114.0578764 22.5450405)",,,
31542517,True,3,益田路,primary,False,21.897,"LINESTRING (114.051083 22.5450121, 114.0510865 22.5448152)",,,
616988561,True,,福中三路,tertiary,False,621.3820000000001,"LINESTRING (114.0514489 22.5453457, 114.0530038 22.5453681, 114.053629 22.5453771, 114.0537145 22.5453783, 114.0553293 22.5454015, 114.055408 22.5454026, 114.0574988 22.5454327)",,,
616988561,True,,福中三路,tertiary,False,12.213,"LINESTRING (114.0510771 22.5453402, 114.051196 22.5453421)",,,
31542517,True,3,益田路,primary,False,36.488,"LINESTRING (114.0510771 22.5453402, 114.0510784 22.5452677, 114.0510791 22.5452302, 114.051083 22.5450121)",,,
996625943,True,3,益田路,primary,False,8.496,"LINESTRING (114.051196 22.5453421, 114.0511953 22.5454185)",,,
616988561,True,,福中三路,tertiary,False,25.974999999999998,"LINESTRING (114.051196 22.5453421, 114.0512813 22.5453433, 114.0514489 22.5453457)",,,
31542517,True,3,益田路,primary,False,8.463,"LINESTRING (114.0510757 22.5454163, 114.0510771 22.5453402)",,,
853566733,True,,福中三路,tertiary,False,40.355000000000004,"LINESTRING (114.0510757 22.5454163, 114.050939 22.5454147, 114.0506828 22.5454107)",,,
853566733,True,,福中三路,tertiary,False,12.285,"LINESTRING (114.0511953 22.5454185, 114.0510757 22.5454163)",,,
996625943,True,3,益田路,primary,False,37.864,"LINESTRING (114.0511953 22.5454185, 114.0511945 22.5454794, 114.0511914 22.545759)",,,
996208012,True,,福中三路,tertiary,False,76.026,"LINESTRING (114.0582621 22.5454437, 114.0590023 22.5454544)",,,
616988610,True,1,,primary_link,False,41.691,"LINESTRING (114.0583102 22.5455244, 114.0582259 22.5455426, 114.0581523 22.5455707, 114.0580992 22.5456151, 114.058062 22.5456733, 114.0580314 22.5457563)",,,
996208001,True,,福中三路,tertiary,False,28.215,"LINESTRING (114.0583102 22.5455244, 114.0581351 22.5455218, 114.0580845 22.545521, 114.0580355 22.5455203)",,,
996752266,True,3,金田路,primary,False,129.97,"LINESTRING (114.0580314 22.5457563, 114.0580111 22.546925)",,,
996752249,True,3,福中路,secondary,False,52.063,"LINESTRING (114.0584683 22.5473903, 114.0589752 22.547398)",,,40
616988553,True,,,primary_link,False,74.827,"LINESTRING (114.058473 22.547539, 114.0584074 22.5475498, 114.0583542 22.547563, 114.0583028 22.5475803, 114.058253 22.5476009, 114.0582046 22.547627, 114.0581596 22.5476584, 114.0581207 22.5476918, 114.0580898 22.5477208, 114.0580637 22.5477543, 114.0580455 22.5477875, 114.0580306 22.5478226, 114.0580229 22.5478533, 114.058013 22.5478904, 114.0579933 22.5479684)",,,
996752265,True,2,福中路,secondary,False,48.529,"LINESTRING (114.058473 22.547539, 114.0580756 22.5475333, 114.0580005 22.5475323)",,,40
996752250,True,3,金田路,primary,False,131.635,"LINESTRING (114.0578471 22.5469115, 114.0578656 22.5457278)",,,
31542517,True,3,益田路,primary,False,123.11,"LINESTRING (114.0510502 22.5468361, 114.0510701 22.5457291)",,,
616988626,True,1,,primary_link,False,86.494,"LINESTRING (114.0504398 22.5472683, 114.0505845 22.5472545, 114.0506297 22.5472472, 114.0506748 22.5472383, 114.0507158 22.547226, 114.050758 22.5472081, 114.0507925 22.5471896, 114.0508226 22.5471708, 114.0508501 22.5471507, 114.0509279 22.5470807, 114.0509826 22.5470144, 114.0510226 22.5469288, 114.0510502 22.5468361)",,,
996625942,True,3,福中路,secondary,False,61.874,"LINESTRING (114.0504398 22.5472683, 114.0507988 22.5472736, 114.0508782 22.5472748, 114.0510422 22.5472786)",,,40
996625965,True,2,福中路,secondary,False,80.338,"LINESTRING (114.050624 22.5474271, 114.0498418 22.5474159)",,,40
616988628,True,1,,primary_link,False,87.181,"LINESTRING (114.0517838 22.5474436, 114.0516615 22.5474605, 114.051569 22.547473, 114.0515066 22.5474822, 114.0514557 22.5474946, 114.0514093 22.5475122, 114.0513661 22.5475346, 114.0513328 22.5475558, 114.0513006 22.5475827, 114.0512751 22.5476065, 114.051249 22.5476396, 114.0512267 22.5476728, 114.0512062 22.5477098, 114.0511877 22.547751, 114.0511766 22.547786, 114.0511682 22.5478192, 114.0511627 22.5478556)",,,
996752267,True,2,福中路,secondary,False,63.073,"LINESTRING (114.0517838 22.5474436, 114.0513418 22.5474373, 114.0512646 22.5474362, 114.0511697 22.5474349)",,,40
1050511749,True,3,益田路,primary,False,17.082,"LINESTRING (114.0510395 22.5474322, 114.0510422 22.5472786)",,,
1050511750,True,2,福中路,secondary,False,42.674,"LINESTRING (114.0510395 22.5474322, 114.0508773 22.5474307, 114.050624 22.5474271)",,,40
996752247,True,3,福中路,secondary,False,13.361,"LINESTRING (114.0510422 22.5472786, 114.0511723 22.5472793)",,,40
31542517,True,3,益田路,primary,False,49.211,"LINESTRING (114.0510422 22.5472786, 114.051044 22.5471833, 114.0510502 22.5468361)",,,
996752267,True,2,福中路,secondary,False,13.374,"LINESTRING (114.0511697 22.5474349, 114.0510395 22.5474322)",,,40
996752268,True,3,益田路,primary,False,46.785,"LINESTRING (114.0511697 22.5474349, 114.0511679 22.5475438, 114.0511671 22.5475929, 114.0511627 22.5478556)",,,
996752268,True,3,益田路,primary,False,17.304,"LINESTRING (114.0511723 22.5472793, 114.0511697 22.5474349)",,,
1050511748,True,3,福中路,secondary,False,44.709,"LINESTRING (114.0511723 22.5472793, 114.0512651 22.5472807, 114.0513417 22.5472819, 114.0516076 22.5472859)",,,40
996752265,True,2,福中路,secondary,False,54.641,"LINESTRING (114.059005 22.5475466, 114.058473 22.547539)",,,40
"[270044024, 902554310]",False,,福音路,unclassified,True,266.427,"LINESTRING (114.0589654 22.5434656, 114.0585567 22.5434598, 114.058506 22.543463, 114.0584553 22.5434738, 114.0584063 22.5434913, 114.0583668 22.5435123, 114.058325 22.5435426, 114.0582922 22.5435787, 114.0582663 22.5436188, 114.058251 22.5436621, 114.0582427 22.5437037, 114.0582118 22.5440761, 114.0581721 22.5445227, 114.0582144 22.5445232, 114.0590172 22.5445315)",,,
1134813608,True,1,,primary_link,False,106.15399999999998,"LINESTRING (114.0589654 22.5434656, 114.0588906 22.5434257, 114.0588259 22.5434093, 114.0585453 22.5434046, 114.0584469 22.5434156, 114.0583499 22.5434469, 114.0582821 22.5434896, 114.0582313 22.5435522, 114.0581897 22.5436234, 114.0581429 22.5437485)",,,
996208000,True,3,金田路,primary,False,8.774,"LINESTRING (114.0578689 22.5455169, 114.0578702 22.545438)",,,
853566733,True,,福中三路,tertiary,False,24.279,"LINESTRING (114.0578689 22.5455169, 114.0577647 22.5455162, 114.0576325 22.5455143)",,,
616988514,True,2,福中路,secondary,False,16.752,"LINESTRING (114.0580005 22.5475323, 114.0578374 22.54753)",,,40
40988600,True,3,金田路,primary,False,48.498000000000005,"LINESTRING (114.0580005 22.5475323, 114.0579985 22.5476427, 114.057997 22.5477312, 114.0579933 22.5479684)",,,
996752266,True,3,金田路,primary,False,16.57,"LINESTRING (114.0580031 22.5473833, 114.0580005 22.5475323)",,,
996752249,True,3,福中路,secondary,False,47.781,"LINESTRING (114.0580031 22.5473833, 114.058079 22.5473844, 114.0584683 22.5473903)",,,40
996208001,True,,福中三路,tertiary,False,17.114,"LINESTRING (114.0580355 22.5455203, 114.0578689 22.5455169)",,,
996752266,True,3,金田路,primary,False,26.245,"LINESTRING (114.0580355 22.5455203, 114.0580343 22.5455878, 114.0580326 22.5456866, 114.0580314 22.5457563)",,,
996752266,True,3,金田路,primary,False,8.875,"LINESTRING (114.0580369 22.5454405, 114.0580355 22.5455203)",,,
616988561,True,,福中三路,tertiary,False,23.13,"LINESTRING (114.0580369 22.5454405, 114.0580849 22.5454411, 114.0582621 22.5454437)",,,
996752249,True,3,福中路,secondary,False,5.671,"LINESTRING (114.0589752 22.547398, 114.0590304 22.5473994)",,,40
949682234,True,1,鹏程五路,unclassified,False,207.207,"LINESTRING (114.0589752 22.547398, 114.0589795 22.5471475, 114.059001 22.5455347)",,,
996208001,True,,福中三路,tertiary,False,5.782,"LINESTRING (114.0590573 22.5455354, 114.059001 22.5455347)",,,
616988545,True,1,鹏程五路,unclassified,False,207.286,"LINESTRING (114.0590573 22.5455354, 114.0590333 22.5471625, 114.0590304 22.5473994)",,,
616988545,True,1,鹏程五路,unclassified,False,8.935,"LINESTRING (114.0590605 22.5454551, 114.0590573 22.5455354)",,,
949682234,True,1,鹏程五路,unclassified,False,8.93,"LINESTRING (114.059001 22.5455347, 114.0590023 22.5454544)",,,
996208001,True,,福中三路,tertiary,False,70.952,"LINESTRING (114.059001 22.5455347, 114.0583102 22.5455244)",,,
949682234,True,1,鹏程五路,unclassified,False,102.633,"LINESTRING (114.0590023 22.5454544, 114.0590172 22.5445315)",,,
996208012,True,,福中三路,tertiary,False,5.977,"LINESTRING (114.0590023 22.5454544, 114.0590605 22.5454551)",,,
1050725173,True,4,深南大道,primary,False,74.233,"LINESTRING (114.0509981 22.5424156, 114.0517209 22.5424104)",,,
853286945,True,,,primary_link,False,39.138000000000005,"LINESTRING (114.0509981 22.5424156, 114.0509994 22.5423638, 114.0510064 22.5420637)",,,
1095317745,True,3,深南大道辅路,secondary,False,44.696,"LINESTRING (114.0585556 22.5425911, 114.058971 22.5424712)",,,
40988603,True,,,primary_link,False,230.64300000000003,"LINESTRING (114.0573102 22.5425509, 114.0574302 22.5424948, 114.0575127 22.5424494, 114.0575665 22.5424095, 114.0576026 22.5423722, 114.0576366 22.5423194, 114.0576594 22.5422757, 114.0576765 22.5422184, 114.0579364 22.5406586)",,,
1132175532,True,4,深南大道,primary,False,127.99,"LINESTRING (114.0573102 22.5425509, 114.0574448 22.5425599, 114.0585556 22.5425911)",,,
