osmid,highway,oneway,reversed,length,name,bridge,geometry,lanes
502350233,tertiary,True,False,304.14,思源大道,,"LINESTRING (106.6325739 30.461131, 106.6303063 30.4592177)",
549974009,tertiary,False,False,161.586,,,"LINESTRING (106.6325739 30.461131, 106.6313165 30.462099)",
672281930,tertiary,True,False,88.76,,,"LINESTRING (106.6325739 30.461131, 106.6325145 30.4610698, 106.6324799 30.4609957, 106.6324735 30.4609161, 106.632496 30.4608387, 106.6325452 30.460771, 106.6326162 30.4607198, 106.6327021 30.46069, 106.6327945 30.4606845, 106.6328843 30.4607039, 106.6329628 30.4607463)",
376825963,primary,True,False,15.615,金安大道,,"LINESTRING (106.6255845 30.4632787, 106.625458 30.4633672)",3
376825963,primary,True,False,236.248,金安大道,,"LINESTRING (106.6338176 30.4562374, 106.632064 30.4577304)",3
974030386,primary,True,False,12.177,建安南路,,"LINESTRING (106.6338176 30.4562374, 106.63372 30.4561673)",4
502350235,tertiary,False,False,81.255,滨河路二段,,"LINESTRING (106.6256302 30.4568548, 106.6249431 30.4564268)",
502350235,tertiary,False,True,264.84900000000005,滨河路二段,,"LINESTRING (106.6256302 30.4568548, 106.6263243 30.4573345, 106.6266767 30.4574865, 106.6270882 30.4575714, 106.6274151 30.4576104, 106.6275581 30.4575848, 106.6277233 30.4575017, 106.6279457 30.4572266)",
502576262,residential,False,False,432.716,,,"LINESTRING (106.6256302 30.4568548, 106.6260006 30.4563765, 106.6259891 30.4559617, 106.6260826 30.4556642, 106.6264504 30.4551987, 106.6267133 30.4550693, 106.6270569 30.4550489, 106.6273355 30.4551016, 106.6277053 30.455357, 106.6286454 30.4552467)",
"[532436708, 532436709, 532436710]",tertiary,False,True,175.898,,yes,"LINESTRING (106.6256302 30.4568548, 106.6254605 30.4570486, 106.6249567 30.4577614, 106.6245664 30.4581372)",
502350235,tertiary,False,False,171.964,滨河路二段,,"LINESTRING (106.6286454 30.4552467, 106.6286284 30.4556519, 106.6285801 30.4560149, 106.6284457 30.4563935, 106.6282842 30.4567468)",
502576262,residential,False,True,432.716,,,"LINESTRING (106.6286454 30.4552467, 106.6277053 30.455357, 106.6273355 30.4551016, 106.6270569 30.4550489, 106.6267133 30.4550693, 106.6264504 30.4551987, 106.6260826 30.4556642, 106.6259891 30.4559617, 106.6260006 30.4563765, 106.6256302 30.4568548)",
532436557,unclassified,False,False,265.826,广惠街,,"LINESTRING (106.6299403 30.4560645, 106.6301607 30.4560914, 106.6319653 30.4576453)",
1001076254,unclassified,False,False,182.70299999999997,民安下街,,"LINESTRING (106.6299403 30.4560645, 106.6298756 30.4564034, 106.6297522 30.4567363, 106.629336 30.4576161)",
502576258,secondary,False,False,280.232,广宁南路,,"LINESTRING (106.6265417 30.4599952, 106.6245664 30.4581372)",
502576258,secondary,False,True,179.536,广宁南路,,"LINESTRING (106.6265417 30.4599952, 106.6278077 30.4611852)",
502588447,unclassified,False,True,139.967,民安中街,,"LINESTRING (106.6265417 30.4599952, 106.627616 30.4591426)",
502588447,unclassified,False,False,139.967,民安中街,,"LINESTRING (106.627616 30.4591426, 106.6265417 30.4599952)",
502588447,unclassified,False,True,172.114,民安中街,,"LINESTRING (106.627616 30.4591426, 106.6288892 30.4580511)",
502588448,unclassified,False,True,176.154,府后街,,"LINESTRING (106.627616 30.4591426, 106.6288936 30.4602814)",
376825963,primary,True,False,324.633,金安大道,,"LINESTRING (106.6303063 30.4592177, 106.6279042 30.4612759)",3
502350233,tertiary,True,False,14.138,思源大道,,"LINESTRING (106.6303063 30.4592177, 106.6302004 30.4591292)",
502350233,tertiary,True,False,172.128,思源大道,,"LINESTRING (106.6338448 30.4622247, 106.6325739 30.461131)",
532436676,residential,False,True,165.97899999999998,,,"LINESTRING (106.6338448 30.4622247, 106.632633 30.4632153, 106.6325891 30.4632526)",
376825963,primary,True,False,173.159,金安大道,,"LINESTRING (106.632064 30.4577304, 106.6307941 30.458838)",3
532436557,unclassified,False,True,13.381,广惠街,,"LINESTRING (106.632064 30.4577304, 106.6319653 30.4576453)",
549974014,tertiary,True,False,16.434,,,"LINESTRING (106.6254705 30.4631683, 106.6255845 30.4632787)",
1001076255,primary,True,False,314.335,金安大道,,"LINESTRING (106.6254705 30.4631683, 106.6278077 30.4611852)",3
1001076255,primary,True,False,16.176,金安大道,,"LINESTRING (106.6253477 30.4632681, 106.6254705 30.4631683)",3
549974008,primary,True,False,12.481,金安大道,,"LINESTRING (106.63372 30.4561673, 106.6338111 30.4560871)",3
532436557,unclassified,False,False,13.381,广惠街,,"LINESTRING (106.6319653 30.4576453, 106.632064 30.4577304)",
549974008,primary,True,False,235.155,金安大道,,"LINESTRING (106.6319653 30.4576453, 106.63372 30.4561673)",3
532436557,unclassified,False,True,265.826,广惠街,,"LINESTRING (106.6319653 30.4576453, 106.6301607 30.4560914, 106.6299403 30.4560645)",
502350233,tertiary,True,False,173.684,思源大道,,"LINESTRING (106.6302004 30.4591292, 106.6288892 30.4580511)",
549974008,primary,True,False,62.174,金安大道,,"LINESTRING (106.6302004 30.4591292, 106.6306771 30.45875)",3
502588448,unclassified,False,False,176.154,府后街,,"LINESTRING (106.6288936 30.4602814, 106.627616 30.4591426)",
549974008,primary,True,False,179.174,金安大道,,"LINESTRING (106.6288936 30.4602814, 106.6302004 30.4591292)",3
672281930,tertiary,True,False,88.66000000000001,,,"LINESTRING (106.6329628 30.4607463, 106.6330273 30.4608152, 106.6330607 30.460899, 106.6330588 30.4609876, 106.6330218 30.4610703, 106.6329543 30.4611371, 106.6328644 30.4611799, 106.6327628 30.4611937, 106.632662 30.4611767, 106.6325739 30.461131)",
549974013,tertiary,True,False,15.271,,,"LINESTRING (106.625458 30.4633672, 106.6253477 30.4632681)",
376825963,primary,True,False,62.997,金安大道,,"LINESTRING (106.6307941 30.458838, 106.6303063 30.4592177)",3
502350234,tertiary,True,False,297.043,,,"LINESTRING (106.6307941 30.458838, 106.6329628 30.4607463)",
502350234,tertiary,True,False,14.883,,,"LINESTRING (106.6306771 30.45875, 106.6307941 30.458838)",
549974008,primary,True,False,174.169,金安大道,,"LINESTRING (106.6306771 30.45875, 106.6319653 30.4576453)",3
502350234,tertiary,True,False,180.06900000000002,,,"LINESTRING (106.629336 30.4576161, 106.6294783 30.4577445, 106.6306771 30.45875)",
502588447,unclassified,False,False,64.773,民安中街,,"LINESTRING (106.629336 30.4576161, 106.6291166 30.4578613, 106.6288892 30.4580511)",
1001076254,unclassified,False,True,182.703,民安下街,,"LINESTRING (106.629336 30.4576161, 106.6297522 30.4567363, 106.6298756 30.4564034, 106.6299403 30.4560645)",
502576258,secondary,False,False,179.536,广宁南路,,"LINESTRING (106.6278077 30.4611852, 106.6265417 30.4599952)",
549974008,primary,True,False,144.681,金安大道,,"LINESTRING (106.6278077 30.4611852, 106.6288936 30.4602814)",3
1001076256,secondary,False,True,13.684,广宁北路,,"LINESTRING (106.6278077 30.4611852, 106.6279042 30.4612759)",
1001076256,secondary,False,False,13.684,广宁北路,,"LINESTRING (106.6279042 30.4612759, 106.6278077 30.4611852)",
1001076256,secondary,False,True,286.153,广宁北路,,"LINESTRING (106.6279042 30.4612759, 106.629922 30.4631726)",
376825963,primary,True,False,314.688,金安大道,,"LINESTRING (106.6279042 30.4612759, 106.6258332 30.463064, 106.6255845 30.4632787)",3
1001076258,unclassified,False,False,177.008,,,"LINESTRING (106.6325891 30.4632526, 106.6313165 30.462099)",
532436676,residential,False,False,165.97899999999998,,,"LINESTRING (106.6325891 30.4632526, 106.632633 30.4632153, 106.6338448 30.4622247)",
549974009,tertiary,False,False,179.208,,,"LINESTRING (106.6313165 30.462099, 106.629922 30.4631726)",
549974009,tertiary,False,True,161.586,,,"LINESTRING (106.6313165 30.462099, 106.6325739 30.461131)",
1001076258,unclassified,False,True,177.008,,,"LINESTRING (106.6313165 30.462099, 106.6325891 30.4632526)",
