osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,bridge
"[350701831, 878209918, 350701823]",True,星湖街,primary,60,False,387.38100000000003,,"LINESTRING (120.7161853 31.3251298, 120.7162162 31.3248874, 120.7163062 31.324229, 120.7163578 31.3239314, 120.716424 31.3236573, 120.7164478 31.3235304, 120.716528 31.323132, 120.7166283 31.3225914, 120.716792 31.3219323, 120.7168521 31.3216953)",yes
556386775,True,苏州大道东,secondary,40,False,170.019,,"LINESTRING (120.7220548 31.3258324, 120.7202765 31.3256583)",
886186602,True,万盛街,secondary,50,False,10.249,3,"LINESTRING (120.7220548 31.3258324, 120.7220613 31.3257404)",
304373782,False,园融环路,tertiary,,True,11.992,,"LINESTRING (120.7202765 31.3256583, 120.7202913 31.3255512)",
304373782,False,园融环路,tertiary,,False,526.1700000000001,,"LINESTRING (120.7202765 31.3256583, 120.7202346 31.3259069, 120.7200865 31.3269185, 120.7200808 31.3269473, 120.7200717 31.3269809, 120.7200587 31.327008, 120.7200281 31.327041, 120.720007 31.327059, 120.7199876 31.327071, 120.719965 31.3270828, 120.7199346 31.327094, 120.7199044 31.3271011, 120.7198615 31.3271066, 120.7198209 31.3271075, 120.7197475 31.3271066, 120.7180785 31.3269591, 120.7180382 31.3269532, 120.7180048 31.3269445, 120.717978 31.3269319, 120.7179561 31.3269191, 120.7179344 31.3269044, 120.7179158 31.3268868, 120.7178951 31.3268647, 120.7178756 31.3268383, 120.7178616 31.3268085, 120.7178548 31.3267822, 120.7178539 31.326751, 120.7179977 31.3256584, 120.7180271 31.3254351)",
304373782,False,园融环路,tertiary,,False,11.992,,"LINESTRING (120.7180271 31.3254351, 120.7180419 31.325328)",
304373782,False,园融环路,tertiary,,True,526.17,,"LINESTRING (120.7180271 31.3254351, 120.7179977 31.3256584, 120.7178539 31.326751, 120.7178548 31.3267822, 120.7178616 31.3268085, 120.7178756 31.3268383, 120.7178951 31.3268647, 120.7179158 31.3268868, 120.7179344 31.3269044, 120.7179561 31.3269191, 120.717978 31.3269319, 120.7180048 31.3269445, 120.7180382 31.3269532, 120.7180785 31.3269591, 120.7197475 31.3271066, 120.7198209 31.3271075, 120.7198615 31.3271066, 120.7199044 31.3271011, 120.7199346 31.327094, 120.719965 31.3270828, 120.7199876 31.327071, 120.720007 31.327059, 120.7200281 31.327041, 120.7200587 31.327008, 120.7200717 31.3269809, 120.7200808 31.3269473, 120.7200865 31.3269185, 120.7202346 31.3259069, 120.7202765 31.3256583)",
762030564,True,苏州大道东,secondary,40,False,160.039,,"LINESTRING (120.7180271 31.3254351, 120.7166508 31.325285, 120.7165929 31.3252787, 120.7164464 31.3252628, 120.7163557 31.3252534)",
762030564,True,苏州大道东,secondary,40,False,17.494,,"LINESTRING (120.7163557 31.3252534, 120.7161726 31.3252364)",
350701826,True,星湖街,primary,60,False,241.305,,"LINESTRING (120.7163557 31.3252534, 120.7163215 31.3254877, 120.7160923 31.3271648, 120.7160889 31.3272076, 120.7160753 31.3273076, 120.7160592 31.3274086)",
878209918,True,星湖街,primary,60,False,11.915,,"LINESTRING (120.7161726 31.3252364, 120.7161853 31.3251298)",
"[768135268, 768135273, 762030564]",True,苏州大道东,secondary,40,False,156.26600000000002,,"LINESTRING (120.7161726 31.3252364, 120.71608 31.3252275, 120.7160149 31.3252213, 120.7158277 31.3252032, 120.7145379 31.3250783)",yes
523568682,False,嘉瑞巷,tertiary,,True,112.00300000000001,,"LINESTRING (120.7145379 31.3250783, 120.7145177 31.3252243, 120.7143994 31.3260786)",
