osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,junction,access,tunnel
"[26660994, 26660989, 26660990]",False,,,Voie Transports Urbains,busway,,True,469.97600000000006,"LINESTRING (2.4412328 48.6314713, 2.4411602 48.631366, 2.4409656 48.631195, 2.4405105 48.6307951, 2.4399814 48.6303213, 2.4395831 48.6299836, 2.4391982 48.6296787, 2.4390533 48.6295971, 2.438891 48.6295227, 2.4387194 48.6294677, 2.4386763 48.6294596, 2.4385222 48.6294305, 2.4383157 48.6294145, 2.4380903 48.6294216, 2.4379048 48.6294434, 2.4377247 48.6294798, 2.4375721 48.6295297, 2.4374183 48.6296025, 2.4373092 48.6296675, 2.4372072 48.6297345, 2.4367927 48.6300787, 2.4367338 48.6301234)",,,no,yes
26661047,False,,,Avenue Nowy Targ,tertiary,,False,172.94899999999998,"LINESTRING (2.4412328 48.6314713, 2.4413161 48.6316574, 2.4418418 48.6321154, 2.442314 48.6325415, 2.4425436 48.6327505)",,,,
202882512,False,3,,Boulevard du Maréchal Leclerc,residential,,True,240.76700000000002,"LINESTRING (2.4412328 48.6314713, 2.4414016 48.6313866, 2.4416585 48.6312618, 2.4421903 48.6309264, 2.44265 48.6306092, 2.4435681 48.6299589)",,,,
419173489,False,3,,Boulevard du Maréchal Leclerc,tertiary,,False,149.775,"LINESTRING (2.4412328 48.6314713, 2.4410573 48.631553, 2.4409364 48.6316114, 2.440495 48.6317554, 2.4402268 48.6318343, 2.4399867 48.6318936, 2.4393789 48.6320069)",,,,
247679183,False,,,Boulevard du Maréchal Leclerc,tertiary,,False,18.128,"LINESTRING (2.4391405 48.6320488, 2.4393789 48.6320069)",,,,
419173488,False,,,Rue Benjamin Constant,residential,,True,13.225999999999999,"LINESTRING (2.4391405 48.6320488, 2.4391436 48.6320941, 2.4391446 48.6321677)",,,,
179264066,True,,,Boulevard du Maréchal Leclerc,residential,,False,88.032,"LINESTRING (2.4446555 48.6291834, 2.4447934 48.6290337, 2.4448701 48.628945, 2.4448967 48.6288647, 2.4448949 48.6287756, 2.4448718 48.6286685, 2.4448172 48.628565, 2.4447098 48.6284619)",,,,
202882512,False,3,,Boulevard du Maréchal Leclerc,residential,,False,117.56800000000001,"LINESTRING (2.4446555 48.6291834, 2.4437523 48.6298275, 2.4435681 48.6299589)",,,,
161166814,False,,,Avenue Nowy Targ,tertiary,,True,134.10799999999998,"LINESTRING (2.4436058 48.6337304, 2.4434514 48.6335753, 2.4433436 48.6334715, 2.4431072 48.6332556, 2.4430148 48.63317, 2.4429356 48.6330977, 2.4428828 48.6330585, 2.4428483 48.6330313, 2.4427023 48.632903, 2.4425436 48.6327505)",,,,
26661047,False,,,Avenue Nowy Targ,tertiary,,True,172.949,"LINESTRING (2.4425436 48.6327505, 2.442314 48.6325415, 2.4418418 48.6321154, 2.4413161 48.6316574, 2.4412328 48.6314713)",,,,
26661061,False,,,Boulevard Decauville,residential,,True,102.94700000000002,"LINESTRING (2.4425436 48.6327505, 2.4427306 48.6326568, 2.443202 48.6324334, 2.4434599 48.6323189, 2.4437136 48.632248)",,,,
161166814,False,,,Avenue Nowy Targ,tertiary,,False,134.10799999999998,"LINESTRING (2.4425436 48.6327505, 2.4427023 48.632903, 2.4428483 48.6330313, 2.4428828 48.6330585, 2.4429356 48.6330977, 2.4430148 48.63317, 2.4431072 48.6332556, 2.4433436 48.6334715, 2.4434514 48.6335753, 2.4436058 48.6337304)",,,,
161166818,False,,,Boulevard Decauville,residential,,False,108.48,"LINESTRING (2.4425436 48.6327505, 2.4423223 48.6328607, 2.4421365 48.6329801, 2.441998 48.6330745, 2.4419455 48.6331122, 2.4417918 48.6332444, 2.4415683 48.6334725)",,,,
26661061,False,,,Boulevard Decauville,residential,,False,102.947,"LINESTRING (2.4437136 48.632248, 2.4434599 48.6323189, 2.443202 48.6324334, 2.4427306 48.6326568, 2.4425436 48.6327505)",,,,
219510144,False,,,Rue Gustave Courbet,residential,,False,124.333,"LINESTRING (2.4437136 48.632248, 2.4436916 48.6322041, 2.443659 48.6321592, 2.4433938 48.63192, 2.4432607 48.6318818, 2.4427173 48.6313646)",,,,
202882512,False,3,,Boulevard du Maréchal Leclerc,residential,,False,240.76700000000002,"LINESTRING (2.4435681 48.6299589, 2.44265 48.6306092, 2.4421903 48.6309264, 2.4416585 48.6312618, 2.4414016 48.6313866, 2.4412328 48.6314713)",,,,
202882512,False,3,,Boulevard du Maréchal Leclerc,residential,,True,117.56800000000001,"LINESTRING (2.4435681 48.6299589, 2.4437523 48.6298275, 2.4446555 48.6291834)",,,,
548876869,False,,,Rue des Galants Courts,residential,,False,21.652,"LINESTRING (2.432195 48.632403, 2.4324896 48.6323999)",,,,
684713229,False,,,Rue des Galants Courts,residential,,True,58.864,"LINESTRING (2.432195 48.632403, 2.4314977 48.6324062, 2.4313941 48.632409)",,,,
548876869,False,,,Rue des Galants Courts,residential,,True,21.652,"LINESTRING (2.4324896 48.6323999, 2.432195 48.632403)",,,,
26661072,True,,,Rue des Galants Courts,residential,,False,31.067999999999998,"LINESTRING (2.4324896 48.6323999, 2.4327444 48.6323902, 2.4328668 48.632385, 2.4329116 48.6323831)",,,,
26661071,True,,,,residential,,False,12.742,"LINESTRING (2.4328575 48.6324844, 2.432853 48.6324704, 2.4328521 48.6324526, 2.4328561 48.6324361, 2.4328637 48.6324215, 2.4328754 48.6324074, 2.4328905 48.632395, 2.4329116 48.6323831)",,roundabout,,
26661074,True,,,Rue des Galants Courts,residential,,False,28.675,"LINESTRING (2.4328575 48.6324844, 2.4327222 48.6324453, 2.4324896 48.6323999)",,,,
1245504084,True,,,,residential,,False,9.103,"LINESTRING (2.4329116 48.6323831, 2.432931 48.6323757, 2.4329556 48.6323698, 2.4329912 48.6323668, 2.4330302 48.6323706)",,roundabout,,
26661076,False,,,Rue Montespan,residential,,False,127.55599999999998,"LINESTRING (2.4334591 48.6325108, 2.4336906 48.6325251, 2.4341293 48.6325289, 2.4346915 48.6325344, 2.4348369 48.6325523, 2.4349502 48.6325871, 2.4351448 48.6326674)",,,,
26661046,False,,,Rue Benjamin Constant,residential,,False,224.26,"LINESTRING (2.4374809 48.6338378, 2.4375546 48.6337702, 2.438155 48.633159, 2.4382146 48.6330981, 2.4382387 48.6330432, 2.4382572 48.6330107, 2.4384219 48.6327217, 2.4389638 48.6323143, 2.4391446 48.6321677)",,,,
"[26661090, 26661091, 26661076]",False,,,Rue Montespan,residential,,True,215.57999999999998,"LINESTRING (2.4374809 48.6338378, 2.4373527 48.6337873, 2.4370037 48.6336317, 2.436202 48.6332271, 2.4355334 48.6328784, 2.4354928 48.6328572, 2.4351448 48.6326674)",yes,,,
31984102,False,,,Boulevard de France,unclassified,,False,121.152,"LINESTRING (2.4330302 48.6323706, 2.4330748 48.632249, 2.4331244 48.6321499, 2.4331911 48.6320205, 2.4332368 48.6319387, 2.4332911 48.6318535, 2.4333569 48.6317538, 2.4334115 48.631682, 2.4334742 48.6315996, 2.4336155 48.6314452, 2.4336948 48.6313823)",,,,
"[1245504085, 1245504086, 1245504087]",True,,,,residential,,False,42.13399999999999,"LINESTRING (2.4330302 48.6323706, 2.4330578 48.6323782, 2.4330851 48.6323913, 2.4331017 48.6324034, 2.4331142 48.6324166, 2.4331237 48.6324322, 2.4331288 48.6324491, 2.4331293 48.6324647, 2.4331238 48.6324846, 2.433115 48.6324994, 2.4331019 48.6325135, 2.4330865 48.6325249, 2.4330612 48.6325376, 2.4330288 48.6325468, 2.4330058 48.6325498, 2.4329809 48.6325501, 2.4329526 48.6325468, 2.4329249 48.6325394, 2.4329064 48.6325315, 2.4328871 48.6325196, 2.4328717 48.632504, 2.4328575 48.6324844)",,roundabout,,
34385654,False,,,Rue Pablo Picasso,residential,,False,156.58800000000002,"LINESTRING (2.4415683 48.6334725, 2.4414835 48.6334417, 2.4410534 48.6332714, 2.4409962 48.6332398, 2.4409696 48.6332221, 2.4408817 48.6331485, 2.4408291 48.6330925, 2.440771 48.6330102, 2.4407365 48.6329376, 2.4407377 48.6329026, 2.4407488 48.6328676, 2.4407834 48.6328366, 2.4409979 48.6326793, 2.44103 48.6326353, 2.4410398 48.6325799, 2.4410596 48.6324511, 2.4410643 48.6323942)",,,,
161166818,False,,,Boulevard Decauville,residential,,True,108.47999999999999,"LINESTRING (2.4415683 48.6334725, 2.4417918 48.6332444, 2.4419455 48.6331122, 2.441998 48.6330745, 2.4421365 48.6329801, 2.4423223 48.6328607, 2.4425436 48.6327505)",,,,
34385654,False,,,Rue Pablo Picasso,residential,,True,156.588,"LINESTRING (2.4410643 48.6323942, 2.4410596 48.6324511, 2.4410398 48.6325799, 2.44103 48.6326353, 2.4409979 48.6326793, 2.4407834 48.6328366, 2.4407488 48.6328676, 2.4407377 48.6329026, 2.4407365 48.6329376, 2.440771 48.6330102, 2.4408291 48.6330925, 2.4408817 48.6331485, 2.4409696 48.6332221, 2.4409962 48.6332398, 2.4410534 48.6332714, 2.4414835 48.6334417, 2.4415683 48.6334725)",,,,
219510105,False,,,Rue Pablo Picasso,residential,,False,66.479,"LINESTRING (2.4410643 48.6323942, 2.4411175 48.6323589, 2.4411368 48.6323107, 2.4411171 48.6322626, 2.4410637 48.6322275, 2.4409909 48.6322147, 2.4409181 48.6322277, 2.4408649 48.632263, 2.4408456 48.6323112, 2.4408652 48.6323593, 2.4409187 48.6323944, 2.4409915 48.6324072, 2.4410643 48.6323942)",,,,
219510105,False,,,Rue Pablo Picasso,residential,,True,66.479,"LINESTRING (2.4410643 48.6323942, 2.4409915 48.6324072, 2.4409187 48.6323944, 2.4408652 48.6323593, 2.4408456 48.6323112, 2.4408649 48.632263, 2.4409181 48.6322277, 2.4409909 48.6322147, 2.4410637 48.6322275, 2.4411171 48.6322626, 2.4411368 48.6323107, 2.4411175 48.6323589, 2.4410643 48.6323942)",,,,
41522426,True,,,,secondary_link,,False,32.716,"LINESTRING (2.4431207 48.6282382, 2.4432079 48.6281985, 2.4432751 48.6281556, 2.4434449 48.6280381)",,,,
41522427,False,,,,secondary_link,,False,32.316,"LINESTRING (2.4431207 48.6282382, 2.4430575 48.6282482, 2.4428772 48.6282482, 2.4426887 48.6282167)",,,,
35306423,True,,,,secondary_link,,False,58.795,"LINESTRING (2.4426887 48.6282167, 2.442491 48.6281518, 2.4424051 48.6281348, 2.4423021 48.6281234, 2.4421906 48.6281291, 2.4420876 48.6281575, 2.4419259 48.6281594)",,,,
41522427,False,,,,secondary_link,,True,32.316,"LINESTRING (2.4426887 48.6282167, 2.4428772 48.6282482, 2.4430575 48.6282482, 2.4431207 48.6282382)",,,,
828984310,False,,D 91,Boulevard de France,secondary,50,True,11.271,"LINESTRING (2.4402436 48.6259887, 2.4401217 48.6259272)",,,,
41522425,False,,D 91,Boulevard de France,secondary,50,False,71.61200000000001,"LINESTRING (2.4402436 48.6259887, 2.4404548 48.6260869, 2.4408019 48.6262517, 2.4410334 48.6263658)",,,,
226955123,True,2,D 91,Boulevard de France,secondary,30,False,520.4369999999999,"LINESTRING (2.4402436 48.6259887, 2.4400839 48.6261166, 2.4399532 48.6262272, 2.4397371 48.6264065, 2.4389267 48.6270908, 2.4373634 48.6284289, 2.4372541 48.6285192, 2.4368789 48.6288351, 2.4362545 48.6293668, 2.4360426 48.6295333, 2.4358717 48.6296702)",,,,
41522429,True,,D 91,Boulevard de France,secondary,,False,53.709,"LINESTRING (2.4444163 48.6282979, 2.4439084 48.6279506)",,,,
35306377,True,,,,secondary_link,,False,79.079,"LINESTRING (2.4444163 48.6282979, 2.4439752 48.6280428, 2.4438756 48.6280143, 2.4437869 48.6280041, 2.443709 48.6280101, 2.4436168 48.628028, 2.4435229 48.6280739)",,,,
41522428,False,,D 91,Boulevard de France,secondary,,False,57.096,"LINESTRING (2.4431276 48.6274966, 2.4437119 48.627835)",,,,
"[56179651, 809565675]",False,,D 91,Boulevard de France,secondary,50,True,147.145,"LINESTRING (2.4431276 48.6274966, 2.4426689 48.6272318, 2.4415823 48.6266556)",,,,
208730578,False,,,Rue de Prométhée,unclassified,,False,10.024,"LINESTRING (2.4357687 48.6296111, 2.4358717 48.6296702)",,,,
26660922,True,2,D 91,Boulevard de France,secondary,30,False,519.788,"LINESTRING (2.4357687 48.6296111, 2.4359332 48.6294767, 2.436284 48.6291789, 2.4371398 48.6284631, 2.4372539 48.6283613, 2.4382105 48.6275452, 2.4388039 48.6270452, 2.4394865 48.6264675, 2.4397213 48.6262751, 2.4398169 48.6261968, 2.4399762 48.6260617, 2.4401217 48.6259272)",,,,
"[26660994, 26660989, 26660990]",False,,,Voie Transports Urbains,busway,,False,469.97600000000006,"LINESTRING (2.4367338 48.6301234, 2.4367927 48.6300787, 2.4372072 48.6297345, 2.4373092 48.6296675, 2.4374183 48.6296025, 2.4375721 48.6295297, 2.4377247 48.6294798, 2.4379048 48.6294434, 2.4380903 48.6294216, 2.4383157 48.6294145, 2.4385222 48.6294305, 2.4386763 48.6294596, 2.4387194 48.6294677, 2.438891 48.6295227, 2.4390533 48.6295971, 2.4391982 48.6296787, 2.4395831 48.6299836, 2.4399814 48.6303213, 2.4405105 48.6307951, 2.4409656 48.631195, 2.4411602 48.631366, 2.4412328 48.6314713)",,,no,yes
1136048884,False,,,Rue de Prométhée,unclassified,,False,39.563,"LINESTRING (2.4367338 48.6301234, 2.4367821 48.6301495, 2.4371507 48.6303485)",,,,
"[1245528708, 1245528709, 1245528710]",False,,,Rue de Prométhée,unclassified,,True,80.967,"LINESTRING (2.4367338 48.6301234, 2.4366788 48.6300949, 2.4364644 48.6299839, 2.4362865 48.62989, 2.4359792 48.629732, 2.4358717 48.6296702)",,,,
208730578,False,,,Rue de Prométhée,unclassified,,True,10.024,"LINESTRING (2.4358717 48.6296702, 2.4357687 48.6296111)",,,,
243477837,True,2,D 91,Boulevard de France,secondary,30,False,173.86399999999998,"LINESTRING (2.4358717 48.6296702, 2.4357409 48.6297828, 2.4345574 48.6307775, 2.4344595 48.6309197)",,,,
"[1245528708, 1245528709, 1245528710]",False,,,Rue de Prométhée,unclassified,,False,80.967,"LINESTRING (2.4358717 48.6296702, 2.4359792 48.629732, 2.4362865 48.62989, 2.4364644 48.6299839, 2.4366788 48.6300949, 2.4367338 48.6301234)",,,,
26661088,True,,,,tertiary_link,,False,17.942999999999998,"LINESTRING (2.4390895 48.631891, 2.4391292 48.632014, 2.4391405 48.6320488)",,,,
88098693,True,,,,tertiary_link,,False,25.022999999999996,"LINESTRING (2.4390895 48.631891, 2.4391284 48.6319167, 2.4392156 48.6319521, 2.4392994 48.6319795, 2.4393789 48.6320069)",,,,
247679183,False,,,Boulevard du Maréchal Leclerc,tertiary,,True,18.128,"LINESTRING (2.4393789 48.6320069, 2.4391405 48.6320488)",,,,
419173490,True,,,Rue Benjamin Constant,residential,,False,24.823,"LINESTRING (2.4393789 48.6320069, 2.4391446 48.6321677)",,,,
419173489,False,3,,Boulevard du Maréchal Leclerc,tertiary,,True,149.775,"LINESTRING (2.4393789 48.6320069, 2.4399867 48.6318936, 2.4402268 48.6318343, 2.440495 48.6317554, 2.4409364 48.6316114, 2.4410573 48.631553, 2.4412328 48.6314713)",,,,
26661046,False,,,Rue Benjamin Constant,residential,,True,224.26,"LINESTRING (2.4391446 48.6321677, 2.4389638 48.6323143, 2.4384219 48.6327217, 2.4382572 48.6330107, 2.4382387 48.6330432, 2.4382146 48.6330981, 2.438155 48.633159, 2.4375546 48.6337702, 2.4374809 48.6338378)",,,,
419173488,False,,,Rue Benjamin Constant,residential,,False,13.225999999999999,"LINESTRING (2.4391446 48.6321677, 2.4391436 48.6320941, 2.4391405 48.6320488)",,,,
95915180,True,,,,secondary_link,,False,84.343,"LINESTRING (2.4431476 48.6262161, 2.4433123 48.6262819, 2.4434565 48.626328, 2.4436104 48.6263399, 2.4437144 48.6263292, 2.44382 48.6262984, 2.4439332 48.6262455, 2.4440395 48.6261861, 2.4441601 48.6261372)",,,,
292074977,False,,,,secondary_link,,True,121.357,"LINESTRING (2.4431476 48.6262161, 2.4430374 48.6261594, 2.4429121 48.6261125, 2.4427698 48.6260848, 2.4426186 48.6260797, 2.4424877 48.6260897, 2.4423379 48.6261194, 2.442194 48.626171, 2.4420869 48.6262253, 2.4417879 48.6264743)",,,,
95915179,True,,,,secondary_link,,False,29.918,"LINESTRING (2.4434449 48.6280381, 2.4436399 48.6278882, 2.4436697 48.6278662, 2.4437119 48.627835)",,,,
1003668558,True,,,,secondary_link,,False,68.757,"LINESTRING (2.4434449 48.6280381, 2.4434828 48.6279301, 2.4434817 48.6278688, 2.443448 48.6277814, 2.4434002 48.6277207, 2.4431276 48.6274966)",,,,
95915184,False,3,,,secondary_link,,False,25.194,"LINESTRING (2.4415823 48.6266556, 2.4417879 48.6264743)",,,,
1003668566,False,,D 91,Boulevard de France,secondary,50,True,51.632,"LINESTRING (2.4415823 48.6266556, 2.4410334 48.6263658)",,,,
"[809565675, 56179651]",False,,D 91,Boulevard de France,secondary,50,False,147.145,"LINESTRING (2.4415823 48.6266556, 2.4426689 48.6272318, 2.4431276 48.6274966)",,,,
41522428,False,,D 91,Boulevard de France,secondary,,True,57.096,"LINESTRING (2.4437119 48.627835, 2.4431276 48.6274966)",,,,
1003668559,False,,D 91,Boulevard de France,secondary,,False,6.729,"LINESTRING (2.4437119 48.627835, 2.4437819 48.627874)",,,,
1003668561,True,,,,secondary_link,,False,35.754,"LINESTRING (2.4435229 48.6280739, 2.4433155 48.6281985, 2.4432242 48.6282279, 2.4431207 48.6282382)",,,,
1003668559,False,,D 91,Boulevard de France,secondary,,True,6.729,"LINESTRING (2.4437819 48.627874, 2.4437119 48.627835)",,,,
1003668560,False,,D 91,Boulevard de France,secondary,,False,12.609,"LINESTRING (2.4437819 48.627874, 2.4439084 48.6279506)",,,,
95915176,True,,,,secondary_link,,False,29.265,"LINESTRING (2.4437819 48.627874, 2.4437301 48.6279126, 2.4435229 48.6280739)",,,,
828984310,False,,D 91,Boulevard de France,secondary,50,False,11.271,"LINESTRING (2.4401217 48.6259272, 2.4402436 48.6259887)",,,,
31984102,False,,,Boulevard de France,unclassified,,True,121.152,"LINESTRING (2.4336948 48.6313823, 2.4336155 48.6314452, 2.4334742 48.6315996, 2.4334115 48.631682, 2.4333569 48.6317538, 2.4332911 48.6318535, 2.4332368 48.6319387, 2.4331911 48.6320205, 2.4331244 48.6321499, 2.4330748 48.632249, 2.4330302 48.6323706)",,,,
155432067,True,,,Boulevard de France,unclassified,,False,34.55500000000001,"LINESTRING (2.4336948 48.6313823, 2.4337809 48.6312585, 2.4338205 48.6311667, 2.4338634 48.6310929)",,,,
137887689,True,,,,secondary_link,,False,320.01300000000003,"LINESTRING (2.4362629 48.6319279, 2.4364228 48.6319711, 2.436749 48.6320222, 2.4370751 48.6320108, 2.4374184 48.6319598, 2.4376845 48.6318633, 2.4379334 48.6317102, 2.4381394 48.6315457, 2.4388949 48.6307981, 2.4392621 48.6304336, 2.4394071 48.6303646)",,,,
1230244105,False,,,,residential,,True,19.307,"LINESTRING (2.4362629 48.6319279, 2.4362035 48.6319452, 2.4360815 48.6319558, 2.4360117 48.6319735)",,,,
22903322,True,,,Boulevard de l'Europe,secondary,,False,153.21399999999997,"LINESTRING (2.4360117 48.6319735, 2.4359795 48.6319638, 2.435938 48.6319452, 2.4358851 48.6319273, 2.4356422 48.631836, 2.4352978 48.6316759, 2.434664 48.6313664, 2.4345597 48.6313178, 2.434457 48.631282, 2.4342612 48.6312363)",,,,
22903361,False,,,Boulevard du Maréchal Leclerc,residential,,False,100.101,"LINESTRING (2.4360117 48.6319735, 2.4358969 48.6320521, 2.4351448 48.6326674)",,,,
1230244105,False,,,,residential,,False,19.307,"LINESTRING (2.4360117 48.6319735, 2.4360815 48.6319558, 2.4362035 48.6319452, 2.4362629 48.6319279)",,,,
22903071,True,2,N 7,Route Nationale 7,primary,90,False,68.935,"LINESTRING (2.4425006 48.6276697, 2.4422976 48.6278305, 2.4419259 48.6281594)",,,,
660252061,True,,,,secondary_link,,False,65.29,"LINESTRING (2.4425006 48.6276697, 2.4425084 48.6277742, 2.4424741 48.6278707, 2.4424827 48.6279671, 2.442517 48.6280409, 2.4425641 48.6281002, 2.4426887 48.6282167)",,,,
1245504071,True,,,Place de l'Europe,secondary,,False,28.682000000000002,"LINESTRING (2.4338482 48.63102, 2.4338548 48.6309834, 2.4338708 48.6309481, 2.4338955 48.6309151, 2.4339284 48.6308853, 2.4339685 48.6308597, 2.4340145 48.6308389, 2.4340652 48.6308236)",,roundabout,,
1136048884,False,,,Rue de Prométhée,unclassified,,True,39.563,"LINESTRING (2.4371507 48.6303485, 2.4367821 48.6301495, 2.4367338 48.6301234)",,,,
1003668560,False,,D 91,Boulevard de France,secondary,,True,12.609,"LINESTRING (2.4439084 48.6279506, 2.4437819 48.627874)",,,,
41522429,True,,D 91,Boulevard de France,secondary,,False,28.246,"LINESTRING (2.4447098 48.6284619, 2.4444163 48.6282979)",,,,
1003668566,False,,D 91,Boulevard de France,secondary,50,False,51.632,"LINESTRING (2.4410334 48.6263658, 2.4415823 48.6266556)",,,,
41522425,False,,D 91,Boulevard de France,secondary,50,True,71.612,"LINESTRING (2.4410334 48.6263658, 2.4408019 48.6262517, 2.4404548 48.6260869, 2.4402436 48.6259887)",,,,
257520138,True,,,,secondary_link,,False,59.604,"LINESTRING (2.4410334 48.6263658, 2.4414325 48.6264987, 2.4415543 48.6265112, 2.4416644 48.6264998, 2.4417879 48.6264743)",,,,
95915184,False,3,,,secondary_link,,True,25.194,"LINESTRING (2.4417879 48.6264743, 2.4415823 48.6266556)",,,,
292074977,False,,,,secondary_link,,False,121.357,"LINESTRING (2.4417879 48.6264743, 2.4420869 48.6262253, 2.442194 48.626171, 2.4423379 48.6261194, 2.4424877 48.6260897, 2.4426186 48.6260797, 2.4427698 48.6260848, 2.4429121 48.6261125, 2.4430374 48.6261594, 2.4431476 48.6262161)",,,,
219510144,False,,,Rue Gustave Courbet,residential,,True,124.33299999999998,"LINESTRING (2.4427173 48.6313646, 2.4432607 48.6318818, 2.4433938 48.63192, 2.443659 48.6321592, 2.4436916 48.6322041, 2.4437136 48.632248)",,,,
378574378,True,1,N 7,Voie Rapide d'Évry,primary,70,False,146.959,"LINESTRING (2.4429389 48.6271837, 2.4438807 48.6263807, 2.4441601 48.6261372)",,,,
"[263538259, 660252062]",True,,,,secondary_link,"['50', '30']",False,117.781,"LINESTRING (2.4429389 48.6271837, 2.4431964 48.6269026, 2.4432684 48.6268141, 2.4433114 48.6267289, 2.4433323 48.6266491, 2.4433383 48.6265664, 2.4433243 48.6264858, 2.4432887 48.626399, 2.443233 48.6263173, 2.4431476 48.6262161)",,,,
