osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,width,bridge,lanes,access,junction,tunnel
16309150,,unclassified,False,False,121.026,"LINESTRING (4.0928443 43.7823215, 4.0928427 43.7823713, 4.0928399 43.7824569, 4.0928236 43.7825085, 4.0928188 43.7825239, 4.0927834 43.7825405, 4.0927459 43.7825428, 4.0927036 43.78254, 4.0926657 43.7825284, 4.0926167 43.7824982, 4.0925802 43.7824698, 4.092546 43.7824315, 4.0924917 43.7823454, 4.0924636 43.7822994, 4.0923686 43.7821339, 4.0923234 43.7820346, 4.0922744 43.7818308)",,,,,,,,
"[793847344, 16309158, 793847343]",Boulevard Ernest François,unclassified,False,True,30.924,"LINESTRING (4.0928443 43.7823215, 4.092905 43.7823211, 4.0931292 43.7823209, 4.0932295 43.7823209)",,,,yes,,,,
16309147,Chemin de Belleau,unclassified,False,False,29.68,"LINESTRING (4.0932295 43.7823209, 4.0932291 43.782343, 4.0932593 43.7824299, 4.0932313 43.7825838)",,,,,,,,
16309147,Chemin de Belleau,unclassified,False,True,47.264,"LINESTRING (4.0932295 43.7823209, 4.0932327 43.7822306, 4.0932327 43.782189, 4.0932226 43.782143, 4.0931868 43.782066, 4.093173 43.7820302, 4.0931737 43.7819857, 4.0931778 43.7819021)",,,,,,,,
"[793847344, 16309158, 793847343]",Boulevard Ernest François,unclassified,False,False,30.924,"LINESTRING (4.0932295 43.7823209, 4.0931292 43.7823209, 4.092905 43.7823211, 4.0928443 43.7823215)",,,,yes,,,,
107438701,Impasse de l'Olivette,residential,False,True,18.228,"LINESTRING (4.0931778 43.7819021, 4.0933012 43.7817645)",,,,,,,,
16309147,Chemin de Belleau,unclassified,False,False,47.263999999999996,"LINESTRING (4.0931778 43.7819021, 4.0931737 43.7819857, 4.093173 43.7820302, 4.0931868 43.782066, 4.0932226 43.782143, 4.0932327 43.782189, 4.0932327 43.7822306, 4.0932295 43.7823209)",,,,,,,,
16309160,Rue Léon Penchinat,unclassified,True,False,93.38499999999999,"LINESTRING (4.0905563 43.7817432, 4.090612 43.7816506, 4.0906496 43.7815712, 4.0907381 43.7814472, 4.0908052 43.7813098, 4.0908922 43.7809454)",,,,,,,,
27459126,Rue du Colonel Viala,residential,False,False,75.69,"LINESTRING (4.0879611 43.7847343, 4.0888497 43.7849619)",,,,,,destination,,
16309870,Rue Eugène Rouché,secondary,True,False,100.952,"LINESTRING (4.0879611 43.7847343, 4.0876967 43.7850618, 4.0873279 43.7855187)",,,,,,,,
27228037,Rue Poterie,secondary,True,False,80.369,"LINESTRING (4.0873279 43.7855187, 4.0874258 43.7855976, 4.0881197 43.7858567, 4.0881828 43.7858835)",,,,,,,,
344137165,Rue Eugène Rouché,residential,False,True,111.633,"LINESTRING (4.0873279 43.7855187, 4.0872972 43.7855591, 4.0869506 43.7860154, 4.0869218 43.7860533, 4.0866509 43.7863956)",,,,,,,,
27228037,Rue Poterie,secondary,True,False,85.35799999999999,"LINESTRING (4.0881828 43.7858835, 4.0891747 43.786103, 4.0891995 43.7861083)",,,,,,,,
344137166,Rue Gabriel Péri,unclassified,True,False,115.62,"LINESTRING (4.0881828 43.7858835, 4.0883912 43.7856006, 4.0888497 43.7849619)",,,,,,,,
27459127,Rue du Pavillon,residential,False,True,113.869,"LINESTRING (4.0891995 43.7861083, 4.0898625 43.785203)",,,,,,,,
27228037,Rue Poterie,secondary,True,False,81.03500000000001,"LINESTRING (4.0891995 43.7861083, 4.0895252 43.7861349, 4.0895911 43.7861402, 4.0896794 43.786148, 4.089841 43.7861577, 4.0899842 43.7861687, 4.090124 43.7861777, 4.0901514 43.7861848, 4.0901967 43.7862014)",,,,,,,,
344137168,Rue du Pavillon,residential,False,False,66.417,"LINESTRING (4.0891995 43.7861083, 4.0889055 43.7865222, 4.0888068 43.7866335)",,,,,,,,
"[151556100, 1260593262]","['Place de la République', 'Rue Abbé Fabre']",tertiary,True,False,64.981,"LINESTRING (4.0891424 43.7845566, 4.0893348 43.7846386, 4.0894733 43.7846952, 4.0897717 43.7848036, 4.0898628 43.7848165)",,,,,,,,
27459126,Rue du Colonel Viala,residential,False,True,75.69,"LINESTRING (4.0888497 43.7849619, 4.0879611 43.7847343)",,,,,,destination,,
344137166,Rue Gabriel Péri,unclassified,True,False,50.825,"LINESTRING (4.0888497 43.7849619, 4.0891228 43.7845837, 4.0891424 43.7845566)",,,,,,,,
27459127,Rue du Pavillon,residential,False,False,113.869,"LINESTRING (4.0898625 43.785203, 4.0891995 43.7861083)",,,,,,,,
344137167,Rue du Colonel Viala,residential,True,False,85.61,"LINESTRING (4.0898625 43.785203, 4.0888497 43.7849619)",,,,,,,,
368006358,Place Saussine,residential,False,True,13.479,"LINESTRING (4.0907887 43.784146, 4.0909548 43.7841637)",,,,,,,,
"[1227634557, 363984143]","['Place des Canons', 'Chemin du Château-Fort']",residential,False,"[False, True]",145.812,"LINESTRING (4.0917148 43.7831767, 4.0917051 43.7832926, 4.0916208 43.7833479, 4.0915816 43.7834639, 4.0915505 43.7837656, 4.0914205 43.7839951, 4.0913245 43.7842171, 4.0912558 43.7844217)",,,,,,,,
27459139,Rue Grenier à Sel,residential,False,True,12.449,"LINESTRING (4.0907923 43.784389, 4.0909457 43.7844054)",,,,,,,,
16309147,Chemin de Belleau,unclassified,False,True,423.5930000000001,"LINESTRING (4.0959556 43.7855095, 4.0959067 43.7851033, 4.0959049 43.7850915, 4.0958779 43.7849155, 4.0958457 43.784718, 4.0957673 43.7845669, 4.0955386 43.7844004, 4.095252 43.7842507, 4.0949473 43.7841255, 4.0946482 43.78389, 4.0945161 43.7837851, 4.0943732 43.783657, 4.0938791 43.7833998, 4.093641 43.7833482, 4.0935366 43.7833052, 4.0932892 43.783011, 4.0932094 43.7827046, 4.0932313 43.7825838)",,,,,,,,
850496770,Route de Nîmes,secondary,False,False,112.248,"LINESTRING (4.0917535 43.787578, 4.0916722 43.7872761, 4.0916192 43.7871641, 4.0914766 43.7870458, 4.0913679 43.7869932, 4.0912078 43.7869549, 4.0910563 43.7869418, 4.0909175 43.7869474)",,D 40,,,,,,
27459139,Rue Grenier à Sel,residential,False,False,24.982,"LINESTRING (4.0912558 43.7844217, 4.0910315 43.7844142, 4.0909457 43.7844054)",,,,,,,,
363984143,Chemin du Château-Fort,residential,False,False,92.983,"LINESTRING (4.0912558 43.7844217, 4.0912603 43.7844763, 4.0912592 43.7845014, 4.0912495 43.7845217, 4.0912322 43.784532, 4.0911881 43.7845505, 4.0909876 43.7846028, 4.09096 43.7846083, 4.0905782 43.7846156, 4.0903926 43.7846197, 4.0903428 43.7846222, 4.090259 43.7846334)",,,,,,,,
"[1227634557, 363984143]","['Place des Canons', 'Chemin du Château-Fort']",residential,False,"[False, True]",145.812,"LINESTRING (4.0912558 43.7844217, 4.0913245 43.7842171, 4.0914205 43.7839951, 4.0915505 43.7837656, 4.0915816 43.7834639, 4.0916208 43.7833479, 4.0917051 43.7832926, 4.0917148 43.7831767)",,,,,,,,
850496770,Route de Nîmes,secondary,False,False,62.463,"LINESTRING (4.0909175 43.7869474, 4.0908619 43.7869489, 4.0905375 43.7869578, 4.0901877 43.7869693, 4.0901592 43.7869702, 4.0901401 43.7869713)",,D 40,,,,,,
850496770,Route de Nîmes,secondary,False,True,112.24799999999999,"LINESTRING (4.0909175 43.7869474, 4.0910563 43.7869418, 4.0912078 43.7869549, 4.0913679 43.7869932, 4.0914766 43.7870458, 4.0916192 43.7871641, 4.0916722 43.7872761, 4.0917535 43.787578)",,D 40,,,,,,
107438234,Chemin de la Princesse,residential,False,True,34.092,"LINESTRING (4.0877728 43.7864494, 4.0875795 43.7867224)",,,,,,,,
27228032,Rue Gabriel Péri,residential,True,False,71.013,"LINESTRING (4.0877728 43.7864494, 4.0881682 43.7859036, 4.0881828 43.7858835)",,,,,,,,
151556105,Rue Condamine,residential,True,False,85.491,"LINESTRING (4.0888068 43.7866335, 4.0878383 43.7864611, 4.0877728 43.7864494)",30,,,,,,,
344137168,Rue du Pavillon,residential,False,True,66.417,"LINESTRING (4.0888068 43.7866335, 4.0889055 43.7865222, 4.0891995 43.7861083)",,,,,,,,
362926245,Rond-Point Charles de Gaulle,primary,True,False,10.709,"LINESTRING (4.0865775 43.778787, 4.0866325 43.7788142, 4.0866749 43.7788514)",50,,,,,,roundabout,
362926255,Rond-Point Charles de Gaulle,primary,True,False,20.263999999999996,"LINESTRING (4.0863366 43.7787988, 4.086393 43.7787784, 4.0864549 43.7787693, 4.0865178 43.7787722, 4.0865775 43.778787)",50,,,,,,roundabout,
151556070,Route de Montpellier,secondary,True,False,38.101,"LINESTRING (4.0866749 43.7788514, 4.086738 43.7788697, 4.0868039 43.7788793, 4.0869632 43.7788945, 4.0871415 43.7789027)",50,,,,,,,
362926252,Rond-Point Charles de Gaulle,primary,True,False,17.29,"LINESTRING (4.0866749 43.7788514, 4.0867027 43.7788992, 4.0867097 43.7789508, 4.086695 43.7790015)",50,,,,,,roundabout,
362926239,Rond-Point Charles de Gaulle,primary,True,False,6.0,"LINESTRING (4.0862822 43.7788358, 4.0863366 43.7787988)",50,,,,,,roundabout,
151556065,Route de Montpellier,secondary,False,False,46.54,"LINESTRING (4.0871415 43.7789027, 4.0874072 43.7788912, 4.0876014 43.7789174, 4.0877025 43.7789584)",50,,,,,,,
151556068,Route de Montpellier,secondary,True,False,37.555,"LINESTRING (4.0871415 43.7789027, 4.0870018 43.7789363, 4.0868159 43.7789679, 4.0867474 43.7789869, 4.086695 43.7790015)",50,,,,,,,
151556065,Route de Montpellier,secondary,False,True,46.540000000000006,"LINESTRING (4.0877025 43.7789584, 4.0876014 43.7789174, 4.0874072 43.7788912, 4.0871415 43.7789027)",50,,,,,,,
"[596974682, 658512519]",Route de Montpellier,secondary,False,False,318.056,"LINESTRING (4.0877025 43.7789584, 4.0877865 43.7790027, 4.0878456 43.7790658, 4.0879069 43.7791683, 4.0879648 43.7798948, 4.0880086 43.7802208, 4.0880335 43.7804058, 4.0880514 43.7806182, 4.0880529 43.7806231, 4.0880232 43.7816387, 4.0880232 43.7816637, 4.0880182 43.7817613)",50,,,,,,,
253452762,,unclassified,True,False,34.488,"LINESTRING (4.0862414 43.778989, 4.0861003 43.7789068, 4.0859742 43.7788467, 4.0859 43.7788014)",,,,,,,,
362926248,Rond-Point Charles de Gaulle,primary,True,False,17.927999999999997,"LINESTRING (4.0862414 43.778989, 4.0862323 43.7789357, 4.0862463 43.7788829, 4.0862822 43.7788358)",50,,,,,,roundabout,
362926243,Rond-Point Charles de Gaulle,primary,True,False,12.186,"LINESTRING (4.086695 43.7790015, 4.0866576 43.7790492, 4.0866014 43.779086)",50,,,,,,roundabout,
151556012,,primary,True,False,49.846000000000004,"LINESTRING (4.0866014 43.779086, 4.0865506 43.7791887, 4.0865432 43.7792273, 4.0865444 43.7793239, 4.0865303 43.7795273)",50,D 6110,,,,,,
151556061,Rond-Point Charles de Gaulle,primary,True,False,18.558,"LINESTRING (4.0866014 43.779086, 4.0865495 43.7791044, 4.086493 43.7791132, 4.0864352 43.779112, 4.0863796 43.7791008)",50,,,,,,roundabout,
362926258,Rond-Point Charles de Gaulle,primary,True,False,17.201,"LINESTRING (4.0863796 43.7791008, 4.0863327 43.7790821, 4.0862928 43.7790563, 4.0862618 43.7790247, 4.0862414 43.778989)",50,,,,,,roundabout,
151556014,Espace Lantairès,primary,False,True,244.651,"LINESTRING (4.0865303 43.7795273, 4.086551 43.7797598, 4.0866056 43.7799949, 4.0867708 43.7804384, 4.086817 43.7806513, 4.0867766 43.780842, 4.086715 43.7810897, 4.0867089 43.7811141, 4.0866768 43.7812506, 4.0866477 43.7813877, 4.0866419 43.781461, 4.086648 43.781523, 4.0866647 43.7815808, 4.0867072 43.7816895)",50,D 6110,,,,,,
222067108,,primary,True,False,49.142,"LINESTRING (4.0865303 43.7795273, 4.0864817 43.7793317, 4.0864334 43.77919, 4.0864075 43.7791471, 4.0863796 43.7791008)",50,D 6110,,,,,,
151556092,Route de Saussines,secondary,False,False,1.29,"LINESTRING (4.0855114 43.7812871, 4.0854955 43.7812854)",30,D 22,,,,,,
151556092,Route de Saussines,secondary,False,True,127.287,"LINESTRING (4.0855114 43.7812871, 4.085636 43.7813033, 4.086031 43.7813546, 4.0861323 43.7813833, 4.0862094 43.781439, 4.0862528 43.7814991, 4.0863348 43.7817263, 4.086377 43.7818577, 4.0864021 43.7818848, 4.0864446 43.7819047, 4.0865077 43.7819247, 4.0865765 43.781929)",30,D 22,,,,,,
151556001,,primary,True,False,14.222000000000001,"LINESTRING (4.0867072 43.7816895, 4.0867666 43.7817197, 4.0868081 43.7817439, 4.0868479 43.7817671)",50,D 6110,,,,,,
151556014,Espace Lantairès,primary,False,False,244.651,"LINESTRING (4.0867072 43.7816895, 4.0866647 43.7815808, 4.086648 43.781523, 4.0866419 43.781461, 4.0866477 43.7813877, 4.0866768 43.7812506, 4.0867089 43.7811141, 4.086715 43.7810897, 4.0867766 43.780842, 4.086817 43.7806513, 4.0867708 43.7804384, 4.0866056 43.7799949, 4.086551 43.7797598, 4.0865303 43.7795273)",50,D 6110,,,,,,
151556163,Place de la Libération,secondary,True,False,78.47999999999999,"LINESTRING (4.0880182 43.7817613, 4.0877824 43.7817471, 4.0875674 43.7817545, 4.0874673 43.7817683, 4.0873727 43.7817904, 4.0872869 43.7818172, 4.087215 43.7818461, 4.087197 43.781864, 4.0871729 43.7818908, 4.0871501 43.7819414)",50,,,,,,,
225618813,Rue du Faubourg du Pont,secondary,False,False,11.247,"LINESTRING (4.0880182 43.7817613, 4.0880677 43.7818165, 4.0881014 43.7818422)",50,D 12,5,,,,,
"[596974682, 658512519]",Route de Montpellier,secondary,False,True,318.0560000000001,"LINESTRING (4.0880182 43.7817613, 4.0880232 43.7816637, 4.0880232 43.7816387, 4.0880529 43.7806231, 4.0880514 43.7806182, 4.0880335 43.7804058, 4.0880086 43.7802208, 4.0879648 43.7798948, 4.0879069 43.7791683, 4.0878456 43.7790658, 4.0877865 43.7790027, 4.0877025 43.7789584)",50,,,,,,,
823075488,Rond-Point de la Libération,primary,True,False,33.096000000000004,"LINESTRING (4.0868479 43.7817671, 4.0869167 43.781768, 4.0870107 43.7818054, 4.0870819 43.7818576, 4.0871113 43.7818956, 4.0871501 43.7819414)",50,,,,,,roundabout,
151556003,,primary,True,False,14.411999999999999,"LINESTRING (4.0867135 43.7818188, 4.0867053 43.7817598, 4.0867072 43.7816895)",50,D 6110,,,,,,
823075487,Rond-Point de la Libération,primary,True,False,12.922,"LINESTRING (4.0867135 43.7818188, 4.0867501 43.7817888, 4.0868124 43.7817657, 4.0868479 43.7817671)",50,,,,,,roundabout,
225618813,Rue du Faubourg du Pont,secondary,False,False,6.314,"LINESTRING (4.0881014 43.7818422, 4.0881659 43.7818747)",50,D 12,5,,,,,
225618813,Rue du Faubourg du Pont,secondary,False,True,11.247,"LINESTRING (4.0881014 43.7818422, 4.0880677 43.7818165, 4.0880182 43.7817613)",50,D 12,5,,,,,
"[98350032, 579520817, 579520818, 151556057]","['Quai Neuf', 'Rue des Bugadières']",residential,False,True,131.00000000000003,"LINESTRING (4.0881014 43.7818422, 4.0881445 43.7818291, 4.0881668 43.781823, 4.0881972 43.7818117, 4.0887359 43.7816111, 4.0888326 43.7816111, 4.0889351 43.7816545, 4.0888372 43.7817233, 4.0884992 43.7819576, 4.0884653 43.7819879, 4.0884362 43.7820138)",,,,,,,,
823075484,Rond-Point de la Libération,primary,True,False,3.062,"LINESTRING (4.0866972 43.7818437, 4.0867135 43.7818188)",50,,,,,,roundabout,
225618813,Rue du Faubourg du Pont,secondary,False,False,26.648,"LINESTRING (4.0881659 43.7818747, 4.0884362 43.7820138)",50,D 12,5,,,,,
225618813,Rue du Faubourg du Pont,secondary,False,True,6.314,"LINESTRING (4.0881659 43.7818747, 4.0881014 43.7818422)",50,D 12,5,,,,,
"[225059464, 225059465, 225059466, 151556102]",Rue Compane,residential,False,False,27.689999999999998,"LINESTRING (4.0881659 43.7818747, 4.0881488 43.7818945, 4.0881411 43.7819048, 4.0880955 43.7819655, 4.0880308 43.7820517, 4.0879998 43.7820929)",,,,,,,,building_passage
151556092,Route de Saussines,secondary,False,False,127.287,"LINESTRING (4.0865765 43.781929, 4.0865077 43.7819247, 4.0864446 43.7819047, 4.0864021 43.7818848, 4.086377 43.7818577, 4.0863348 43.7817263, 4.0862528 43.7814991, 4.0862094 43.781439, 4.0861323 43.7813833, 4.086031 43.7813546, 4.085636 43.7813033, 4.0855114 43.7812871)",30,D 22,,,,,,
151556093,Route de Saussines,secondary,True,False,13.559999999999999,"LINESTRING (4.0865765 43.781929, 4.0866637 43.7818673, 4.0866972 43.7818437)",50,D 22,,,,,,
823075483,Rond-Point de la Libération,primary,True,False,20.512,"LINESTRING (4.0871501 43.7819414, 4.0871747 43.7819978, 4.0871723 43.7820761, 4.0871602 43.7821223)",50,,,,,,roundabout,
151556063,Rond-Point de la Libération,primary,True,False,14.047,"LINESTRING (4.0867094 43.7819697, 4.0867019 43.7819083, 4.0866972 43.7818437)",50,,,,,,roundabout,
151556096,Route de Saussines,secondary,True,False,11.626,"LINESTRING (4.0867094 43.7819697, 4.0866529 43.7819479, 4.0865765 43.781929)",50,D 22,,,,,,
151556087,Route de Salinelles,primary,True,False,16.204,"LINESTRING (4.0871602 43.7821223, 4.0871605 43.7821835, 4.0871768 43.7822672)",50,D 6110,,,,,,
904417641,Rond-Point de la Libération,primary,True,False,13.917,"LINESTRING (4.0871602 43.7821223, 4.0871229 43.782151, 4.0870734 43.7821675, 4.0870095 43.7821728)",50,,,,,,roundabout,
"[904417642, 823075485, 823075486]",Rond-Point de la Libération,primary,True,False,34.74,"LINESTRING (4.0870095 43.7821728, 4.0869605 43.7821644, 4.0869146 43.7821566, 4.0868552 43.7821223, 4.0867977 43.7820822, 4.086743 43.7820169, 4.0867094 43.7819697)",50,,,,,,roundabout,
151556077,Route de Salinelles,primary,False,False,381.092,"LINESTRING (4.0871768 43.7822672, 4.0872519 43.7823799, 4.0872595 43.7824221, 4.0872688 43.7824739, 4.0872612 43.7825419, 4.0872579 43.7825714, 4.0872205 43.7826655, 4.0871723 43.7827638, 4.0870521 43.7829552, 4.0868992 43.7831638, 4.08685 43.7832335, 4.0868 43.7832961, 4.0865967 43.7835021, 4.0864562 43.7836323, 4.0861212 43.7839428, 4.086025 43.7840263, 4.0858349 43.7842014, 4.0855012 43.784503, 4.0848968 43.7850433, 4.0848214 43.7851119)",50,D 6110,,,,,,
222067138,Route de Salinelles,primary,True,False,17.081,"LINESTRING (4.0871768 43.7822672, 4.0870947 43.7822147, 4.0870741 43.7822046, 4.0870095 43.7821728)",50,D 6110,,,,,,
151556056,Quai Frédéric Gaussorgues,secondary,False,False,41.397,"LINESTRING (4.0879862 43.7839371, 4.0882684 43.7836255)",20,,,,,,,
405031543,Allée Frédéric Mistral,residential,False,True,366.07400000000007,"LINESTRING (4.0879862 43.7839371, 4.0871329 43.7848621, 4.0870658 43.7849348, 4.0863943 43.7858128, 4.0857027 43.7867168, 4.085664 43.7867674)",,,,,,,,
1005861182,Rue Abbé Fabre,secondary,True,False,42.254,"LINESTRING (4.0879862 43.7839371, 4.0880599 43.7839747, 4.0884068 43.7841655)",,,,,,,,
151556077,Route de Salinelles,primary,False,True,381.0920000000001,"LINESTRING (4.0848214 43.7851119, 4.0848968 43.7850433, 4.0855012 43.784503, 4.0858349 43.7842014, 4.086025 43.7840263, 4.0861212 43.7839428, 4.0864562 43.7836323, 4.0865967 43.7835021, 4.0868 43.7832961, 4.08685 43.7832335, 4.0868992 43.7831638, 4.0870521 43.7829552, 4.0871723 43.7827638, 4.0872205 43.7826655, 4.0872579 43.7825714, 4.0872612 43.7825419, 4.0872688 43.7824739, 4.0872595 43.7824221, 4.0872519 43.7823799, 4.0871768 43.7822672)",50,D 6110,,,,,,
222067140,Route de Salinelles,primary,True,False,31.188999999999997,"LINESTRING (4.0848214 43.7851119, 4.0847936 43.7851818, 4.0847334 43.7852549, 4.0847276 43.7852656, 4.0846957 43.7853249, 4.0846689 43.7853684)",50,D 6110,,,,,,
344137167,Rue du Colonel Viala,residential,True,False,34.266,"LINESTRING (4.0902725 43.7852884, 4.0899763 43.7852301, 4.0898625 43.785203)",,,,,,,,
"[366092665, 363977890]",Rue Emilien Dumas,secondary,True,False,45.935,"LINESTRING (4.0902725 43.7852884, 4.0902772 43.7852276, 4.0902837 43.7851907, 4.090299 43.7851036, 4.090302 43.784917, 4.0903026 43.7848764)",,,,,,,,
151556090,Route de Salinelles,primary,True,False,33.89,"LINESTRING (4.0844808 43.7852906, 4.0845184 43.7852682, 4.0846435 43.78521, 4.0847475 43.7851446, 4.0848214 43.7851119)",50,D 6110,,,,,,
825211104,Rond-Point de Callosa de Segura,primary,True,False,19.014,"LINESTRING (4.0844808 43.7852906, 4.084528 43.7852882, 4.0845742 43.7852959, 4.0846154 43.7853129, 4.0846479 43.7853378, 4.0846689 43.7853684)",50,,,,,,roundabout,
825211103,Rond-Point de Callosa de Segura,primary,True,False,5.969,"LINESTRING (4.0844143 43.7853138, 4.0844457 43.7852994, 4.0844808 43.7852906)",50,,,,,,roundabout,
825211102,Rond-Point de Callosa de Segura,primary,True,False,22.921999999999997,"LINESTRING (4.0846689 43.7853684, 4.0846765 43.7853973, 4.0846737 43.7854267, 4.0846608 43.7854547, 4.0846386 43.7854794, 4.0846085 43.7854992, 4.0845725 43.785513, 4.0845328 43.7855199)",50,,,,,,roundabout,
151556132,Rond-Point de Callosa de Segura,primary,True,False,14.897,"LINESTRING (4.0843601 43.7854347, 4.0843545 43.7854014, 4.0843623 43.7853684, 4.0843828 43.7853384, 4.0844143 43.7853138)",50,,,,,,roundabout,
904417639,Rond-Point de Callosa de Segura,primary,True,False,3.059,"LINESTRING (4.0843744 43.7854602, 4.0843601 43.7854347)",50,,,,,,roundabout,
151556072,Route de Salinelles,primary,True,False,31.555999999999997,"LINESTRING (4.0845328 43.7855199, 4.0844619 43.7855526, 4.084392 43.7855985, 4.0843444 43.7856505, 4.0842616 43.7857211)",50,D 6110,,,,,,
904417640,Rond-Point de Callosa de Segura,primary,True,False,15.165000000000001,"LINESTRING (4.0845328 43.7855199, 4.084495 43.7855196, 4.0844584 43.7855129, 4.0844249 43.7855003, 4.0843964 43.7854824, 4.0843744 43.7854602)",50,,,,,,roundabout,
222067139,Route de Salinelles,primary,True,False,30.575000000000003,"LINESTRING (4.0842616 43.7857211, 4.0842691 43.7856625, 4.0843166 43.7855699, 4.0843545 43.785498, 4.0843744 43.7854602)",50,D 6110,,,,,,
155427827,Rue Emilien Dumas,secondary,True,False,101.729,"LINESTRING (4.0901967 43.7862014, 4.0902208 43.7859879, 4.0902333 43.785893, 4.0902449 43.7857423, 4.0902598 43.7855804, 4.0902725 43.7852884)",,,,,,,,
1242436734,Rue Emilien Dumas,secondary,False,True,59.03399999999999,"LINESTRING (4.0901967 43.7862014, 4.0901888 43.7862769, 4.0901773 43.7863883, 4.0901735 43.7864251, 4.0901625 43.7865318, 4.0901585 43.7865703, 4.0901511 43.7867312)",,,,,,,,
151556105,Rue Condamine,residential,True,False,108.56800000000001,"LINESTRING (4.0901511 43.7867312, 4.0893335 43.7866918, 4.0892863 43.7866895, 4.0888239 43.7866355, 4.0888068 43.7866335)",30,,,,,,,
1242436734,Rue Emilien Dumas,secondary,False,False,59.034000000000006,"LINESTRING (4.0901511 43.7867312, 4.0901585 43.7865703, 4.0901625 43.7865318, 4.0901735 43.7864251, 4.0901773 43.7863883, 4.0901888 43.7862769, 4.0901967 43.7862014)",,,,,,,,
1242436734,Rue Emilien Dumas,secondary,False,True,26.713,"LINESTRING (4.0901511 43.7867312, 4.09015 43.7867566, 4.0901401 43.7869713)",,,,,,,,
850496770,Route de Nîmes,secondary,False,True,62.463,"LINESTRING (4.0901401 43.7869713, 4.0901592 43.7869702, 4.0901877 43.7869693, 4.0905375 43.7869578, 4.0908619 43.7869489, 4.0909175 43.7869474)",,D 40,,,,,,
