osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,junction,bridge,lanes
52680686,False,Rue du Pous,residential,True,208.08499999999998,"LINESTRING (3.7999293 43.6920078, 3.7998248 43.6920068, 3.7995849 43.6919826, 3.7993005 43.6919261, 3.7991358 43.6918888, 3.7988898 43.6918467, 3.7988544 43.6918421, 3.7988187 43.6918393, 3.7987801 43.6918398, 3.7987427 43.6918442, 3.7985037 43.6919013, 3.7984549 43.6919079, 3.7984059 43.6919069, 3.7983845 43.6919009, 3.7983644 43.6918938, 3.7983446 43.6918815, 3.7983315 43.6918623, 3.7983221 43.6918434, 3.7983223 43.6918204, 3.7983726 43.6913505, 3.7983815 43.6913244, 3.7984002 43.6913011, 3.7984845 43.6912245)",,,,,
237004650,False,Rue de la Rompude,tertiary,False,83.693,"LINESTRING (3.7999293 43.6920078, 3.7998931 43.6919604, 3.7998498 43.691916, 3.7998066 43.6918354, 3.7997969 43.6917668, 3.799808 43.6916771, 3.7998359 43.6916005, 3.799907 43.6915168, 3.8000336 43.6914176, 3.8001182 43.6913567)",,,,,
52682845,False,Rue du Bois de Vigier,residential,True,134.536,"LINESTRING (3.8001182 43.6913567, 3.800091 43.6913384, 3.8000764 43.6913238, 3.8000116 43.6913016, 3.7999323 43.6912895, 3.7992069 43.6912808, 3.7986085 43.6912584, 3.798539 43.6912463, 3.7984845 43.6912245)",,,,,
237004650,False,Rue de la Rompude,tertiary,False,46.152,"LINESTRING (3.8001182 43.6913567, 3.8002882 43.6912257, 3.8003949 43.6911379, 3.8004324 43.6910997, 3.8004824 43.6910378)",,,,,
237004650,False,Rue de la Rompude,tertiary,True,83.693,"LINESTRING (3.8001182 43.6913567, 3.8000336 43.6914176, 3.799907 43.6915168, 3.7998359 43.6916005, 3.799808 43.6916771, 3.7997969 43.6917668, 3.7998066 43.6918354, 3.7998498 43.691916, 3.7998931 43.6919604, 3.7999293 43.6920078)",,,,,
52680686,False,Rue du Pous,residential,False,208.085,"LINESTRING (3.7984845 43.6912245, 3.7984002 43.6913011, 3.7983815 43.6913244, 3.7983726 43.6913505, 3.7983223 43.6918204, 3.7983221 43.6918434, 3.7983315 43.6918623, 3.7983446 43.6918815, 3.7983644 43.6918938, 3.7983845 43.6919009, 3.7984059 43.6919069, 3.7984549 43.6919079, 3.7985037 43.6919013, 3.7987427 43.6918442, 3.7987801 43.6918398, 3.7988187 43.6918393, 3.7988544 43.6918421, 3.7988898 43.6918467, 3.7991358 43.6918888, 3.7993005 43.6919261, 3.7995849 43.6919826, 3.7998248 43.6920068, 3.7999293 43.6920078)",,,,,
52682845,False,Rue du Bois de Vigier,residential,False,134.53599999999997,"LINESTRING (3.7984845 43.6912245, 3.798539 43.6912463, 3.7986085 43.6912584, 3.7992069 43.6912808, 3.7999323 43.6912895, 3.8000116 43.6913016, 3.8000764 43.6913238, 3.800091 43.6913384, 3.8001182 43.6913567)",,,,,
52682854,False,Clos du Pous,residential,False,66.944,"LINESTRING (3.8004717 43.691661, 3.8004667 43.6917884, 3.8004452 43.6918737, 3.8003594 43.6919513, 3.8002514 43.6920088, 3.8000897 43.6920783, 3.8000199 43.6921015)",,,,,
52583097,False,Rue de la Valène,residential,False,82.977,"LINESTRING (3.8043044 43.6945155, 3.8044247 43.6944842, 3.8047895 43.6944113, 3.8049078 43.6943879, 3.8049978 43.6943707, 3.8050801 43.6943638, 3.805262 43.6943852, 3.805304 43.6943914)",,,,,
52583097,False,Rue de la Valène,residential,True,58.059999999999995,"LINESTRING (3.8043044 43.6945155, 3.8041151 43.694555, 3.8040154 43.6945733, 3.8039336 43.694585, 3.8038894 43.6945867, 3.8038468 43.6945852, 3.8037571 43.6945843, 3.8036768 43.6945901, 3.8035968 43.6946016)",,,,,
52583097,False,Rue de la Valène,residential,False,13.469,"LINESTRING (3.8019572 43.6951859, 3.8020949 43.6951169)",,,,,
52583097,False,Rue de la Valène,residential,True,76.527,"LINESTRING (3.8019572 43.6951859, 3.8018429 43.6952424, 3.8015403 43.6953844, 3.8013929 43.6954451, 3.8012483 43.6954864, 3.8011292 43.6955194)",,,,,
52685768,False,Rue du Jeu de Ballon,residential,False,40.374,"LINESTRING (3.8019572 43.6951859, 3.8019931 43.6952303, 3.802131 43.6954461, 3.8022136 43.6954897)",,,,,
52583097,False,Rue de la Valène,residential,False,60.117,"LINESTRING (3.802922 43.6948277, 3.8030249 43.6947991, 3.8032777 43.6947335, 3.803348 43.6947092, 3.8034398 43.6946703, 3.8035078 43.6946334, 3.8035507 43.694615, 3.8035968 43.6946016)",,,,,
52583097,False,Rue de la Valène,residential,True,74.196,"LINESTRING (3.802922 43.6948277, 3.8028407 43.694851, 3.802617 43.694906, 3.8023251 43.6950097, 3.8022442 43.6950446, 3.8020949 43.6951169)",,,,,
61106773,False,Rue de la Fontaine,residential,False,49.728,"LINESTRING (3.802922 43.6948277, 3.8029158 43.6947758, 3.8027798 43.694504, 3.8027354 43.6944029)",,,,,
"[52685770, 237004659, 237004658]",False,Rue du Parc,residential,False,159.935,"LINESTRING (3.8038235 43.689959, 3.8039336 43.6901433, 3.8039772 43.6901703, 3.8040275 43.690265, 3.8040419 43.690281, 3.804063 43.690295, 3.8040946 43.6903134, 3.8041322 43.6903307, 3.8041529 43.6903387, 3.8041757 43.6903445, 3.8041978 43.690348, 3.8042213 43.6903493, 3.8042491 43.6903491, 3.8042746 43.6903508, 3.8043011 43.6903588, 3.8043256 43.6903726, 3.8044089 43.6904789, 3.8045564 43.6905643, 3.8046749 43.690697, 3.8047268 43.6907439, 3.8047943 43.6908037, 3.8048763 43.6908258, 3.8050681 43.6908429, 3.8051876 43.6908476)",,,,yes,
52685770,False,Rue du Parc,residential,True,109.178,"LINESTRING (3.8038235 43.689959, 3.803776 43.6899188, 3.8035944 43.6896245, 3.8033501 43.689362, 3.8032253 43.689222, 3.8031777 43.689154, 3.8031569 43.6891089)",,,,,
284509826,False,Allée du Parc,residential,False,29.38,"LINESTRING (3.8038235 43.689959, 3.8039075 43.6899323, 3.8040579 43.6899224, 3.8041063 43.6899117, 3.8041697 43.689887)",,,,,
54685894,True,Rond-Point de la Frégère,secondary,False,34.084,"LINESTRING (3.8066259 43.6946308, 3.8065829 43.6946084, 3.8065496 43.6945786, 3.8065281 43.6945436, 3.8065199 43.6945057, 3.8065257 43.6944676, 3.8065449 43.6944319, 3.8065764 43.6944011, 3.8066178 43.6943772)",,,roundabout,,
28475123,False,Rue de la Cannelle,tertiary,False,107.063,"LINESTRING (3.7991932 43.6885436, 3.7992368 43.6886273, 3.799277 43.6887091, 3.7993397 43.6888067, 3.7994081 43.6889059, 3.7994617 43.6889776, 3.7995429 43.6890867, 3.7997733 43.6894089)",D 127E5,,,,
28475123,False,Rue de la Cannelle,tertiary,True,136.297,"LINESTRING (3.7991932 43.6885436, 3.7991325 43.6884268, 3.7991067 43.6883613, 3.7990728 43.6882721, 3.7989829 43.6880035, 3.7989132 43.6877523, 3.7988783 43.6876321, 3.798837 43.6875431, 3.7988113 43.6874953, 3.7987684 43.6874381, 3.7987157 43.6873738)",D 127E5,,,,
58414229,False,Rue du Thym,residential,False,106.03199999999998,"LINESTRING (3.7991932 43.6885436, 3.7992364 43.6885233, 3.799282 43.6885083, 3.8000811 43.6882696, 3.8001205 43.6882526, 3.8001578 43.6882309, 3.8001901 43.6882061, 3.8002194 43.688179, 3.8002583 43.6881257, 3.8002831 43.6880947, 3.8003036 43.6880777)",,,,,
61479344,False,Rue Claude Debussy,residential,False,83.789,"LINESTRING (3.7991932 43.6885436, 3.7991452 43.6885684, 3.7991197 43.688582, 3.7990735 43.6886072, 3.7984566 43.6889379, 3.7984291 43.688948, 3.7984004 43.6889557, 3.7983679 43.6889586, 3.7983365 43.6889591)",,,,,
61479344,False,Rue Claude Debussy,residential,True,83.789,"LINESTRING (3.7983365 43.6889591, 3.7983679 43.6889586, 3.7984004 43.6889557, 3.7984291 43.688948, 3.7984566 43.6889379, 3.7990735 43.6886072, 3.7991197 43.688582, 3.7991452 43.6885684, 3.7991932 43.6885436)",,,,,
421141511,False,Avenue du Pichagret,residential,False,16.705,"LINESTRING (3.8037738 43.688701, 3.8039232 43.6885966)",,,,,
58414230,False,Impasse du Jardin,residential,False,102.977,"LINESTRING (3.8037738 43.688701, 3.8037422 43.6886802, 3.8037177 43.6886639, 3.8036741 43.6886353, 3.8035782 43.6885803, 3.8035501 43.6885706, 3.8035219 43.688564, 3.803479 43.6885616, 3.8034364 43.688562, 3.8028354 43.6885998, 3.8028238 43.6886249, 3.8028153 43.6886431, 3.8028413 43.6887059, 3.8029157 43.6887739)",,,,,
421141511,False,Avenue du Pichagret,residential,True,67.578,"LINESTRING (3.8037738 43.688701, 3.8036922 43.6887565, 3.8033279 43.6890169, 3.8032516 43.6890743, 3.8031569 43.6891089)",,,,,
58414230,False,Impasse du Jardin,residential,True,102.977,"LINESTRING (3.8029157 43.6887739, 3.8028413 43.6887059, 3.8028153 43.6886431, 3.8028238 43.6886249, 3.8028354 43.6885998, 3.8034364 43.688562, 3.803479 43.6885616, 3.8035219 43.688564, 3.8035501 43.6885706, 3.8035782 43.6885803, 3.8036741 43.6886353, 3.8037177 43.6886639, 3.8037422 43.6886802, 3.8037738 43.688701)",,,,,
421141511,False,Avenue du Pichagret,residential,True,16.705,"LINESTRING (3.8039232 43.6885966, 3.8037738 43.688701)",,,,,
58414231,False,Rue des Mimosas,residential,False,47.52,"LINESTRING (3.8039232 43.6885966, 3.8039517 43.6886147, 3.8039729 43.688629, 3.8043361 43.6889022)",,,,,
421141511,False,Avenue du Pichagret,residential,False,40.824,"LINESTRING (3.8039232 43.6885966, 3.8040553 43.6885001, 3.8042786 43.6883344)",,,,,
58414231,False,Rue des Mimosas,residential,False,55.790000000000006,"LINESTRING (3.8043361 43.6889022, 3.8045256 43.68891, 3.804564 43.6889131, 3.8045995 43.6889224, 3.804631 43.688933, 3.8046592 43.6889495, 3.8048685 43.6891583)",,,,,
58414231,False,Rue des Mimosas,residential,True,47.52,"LINESTRING (3.8043361 43.6889022, 3.8039729 43.688629, 3.8039517 43.6886147, 3.8039232 43.6885966)",,,,,
58414232,False,Impasse des Mimosas,residential,False,57.043000000000006,"LINESTRING (3.8043361 43.6889022, 3.8039936 43.6891588, 3.803933 43.6892254, 3.8039155 43.689301)",,,,,
58414231,False,Rue des Mimosas,residential,True,55.78999999999999,"LINESTRING (3.8048685 43.6891583, 3.8046592 43.6889495, 3.804631 43.688933, 3.8045995 43.6889224, 3.804564 43.6889131, 3.8045256 43.68891, 3.8043361 43.6889022)",,,,,
58414232,False,Impasse des Mimosas,residential,True,57.043,"LINESTRING (3.8039155 43.689301, 3.803933 43.6892254, 3.8039936 43.6891588, 3.8043361 43.6889022)",,,,,
60883321,False,Rue de la Treille,residential,False,24.25,"LINESTRING (3.8040848 43.6874918, 3.8041149 43.6877088)",,,,,
914245363,False,Traverse du Cardinal,residential,True,46.494,"LINESTRING (3.8040848 43.6874918, 3.8040067 43.6870775)",,,,,
60883321,False,Rue de la Treille,residential,True,55.852999999999994,"LINESTRING (3.8042786 43.6883344, 3.8042568 43.6883083, 3.8042427 43.6882915, 3.8042036 43.6882025, 3.8041367 43.687847)",,,,,
421141511,False,Avenue du Pichagret,residential,False,101.916,"LINESTRING (3.8042786 43.6883344, 3.8043081 43.688317, 3.8043611 43.6882917, 3.8043936 43.6882813, 3.8044288 43.6882736, 3.8045046 43.6882629, 3.8046441 43.6882537, 3.8049134 43.6882329, 3.8052781 43.6882236, 3.805439 43.6882202, 3.8054673 43.6882183, 3.8055184 43.6882201)",,,,,
421141511,False,Avenue du Pichagret,residential,True,40.824,"LINESTRING (3.8042786 43.6883344, 3.8040553 43.6885001, 3.8039232 43.6885966)",,,,,
58414235,False,Boulevard du Couchant,residential,False,83.203,"LINESTRING (3.8022013 43.688705, 3.8022053 43.6886729, 3.8022053 43.6886341, 3.8021969 43.6885012, 3.8021828 43.6884287, 3.8021734 43.6883773, 3.8021569 43.6883155, 3.8020469 43.6879683)",,,,,
421141511,False,Avenue du Pichagret,residential,False,51.563,"LINESTRING (3.8022013 43.688705, 3.8022358 43.6887054, 3.8022544 43.6887074, 3.8022722 43.6887114, 3.8022988 43.6887214, 3.802323 43.6887354, 3.8023763 43.6887686, 3.8024775 43.6888358, 3.8026887 43.6889905)",,,,,
