osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,width,tunnel,access
84152069,True,,Boulevard Romain Rolland,primary,30,False,112.964,"LINESTRING (2.3240379 48.8201912, 2.3252756 48.8199064, 2.3253119 48.819898, 2.3253127 48.819897, 2.3254948 48.8198577)",,,,,
"[35744484, 722310462]",True,,Avenue Henri Ginoux,tertiary,50,False,113.673,"LINESTRING (2.3223161 48.8180201, 2.3222478 48.8179665, 2.3222021 48.8179198, 2.3221188 48.8177925, 2.3219549 48.8175397, 2.3219237 48.8174915, 2.3218586 48.817391, 2.3217027 48.8171517, 2.3216637 48.8170961)",,,5,,
192281284,False,3,Rue Gabriel Péri,secondary,50,False,135.70600000000002,"LINESTRING (2.3223161 48.8180201, 2.322482 48.8180016, 2.3225096 48.817997, 2.3236123 48.8178172, 2.3236751 48.8178066, 2.323715 48.8177999, 2.3237855 48.8177879, 2.3238957 48.8177693, 2.3241167 48.817732)",D 50,,,,
"[703103257, 163781497]",False,"['2', '3']",Rue Gabriel Péri,secondary,"['50', '30']",True,206.13500000000002,"LINESTRING (2.3223161 48.8180201, 2.3221763 48.8180303, 2.3221352 48.8180414, 2.3216841 48.8181627, 2.3214455 48.8182, 2.3212653 48.818231, 2.3211841 48.8182446, 2.3211268 48.8182544, 2.3208566 48.8183006, 2.3208101 48.8183085, 2.3206416 48.8183363, 2.3204898 48.8183614, 2.3204678 48.818365, 2.3204082 48.8183745, 2.3200459 48.8184341, 2.3200364 48.8184357, 2.3198453 48.8184672, 2.3197675 48.81848, 2.3196067 48.8185092)",D 50,,,,
"[1183851648, 1183851649, 362985275]",True,3,Boulevard Périphérique Extérieur,trunk,70,False,342.644,"LINESTRING (2.3170789 48.8218171, 2.3176869 48.8216816, 2.320599 48.821051, 2.3214227 48.8208757, 2.3215263 48.8208579)",,,,yes,
"[362985277, 16203677]",True,"['1', '2']",Boulevard Périphérique Intérieur,trunk_link,30,False,156.275,"LINESTRING (2.3168688 48.8219899, 2.3162739 48.8222525, 2.3160772 48.8223211, 2.3159047 48.8223706, 2.3155531 48.822463, 2.3151962 48.82255, 2.3150724 48.8225923, 2.3149846 48.8226348)",,,,,
146275302,True,,Place du 25 Août 1944,primary,50,False,23.298000000000002,"LINESTRING (2.3255843 48.823027, 2.3256042 48.8231119, 2.3256119 48.8231448, 2.3256156 48.8232351)",,,,,
"[880323466, 279258827]",True,"['2', '3']",Boulevard Brune,primary,50,False,79.602,"LINESTRING (2.3243729 48.8233042, 2.3248539 48.8231947, 2.3251703 48.8231217, 2.3252228 48.8231103, 2.3252688 48.8231, 2.3253998 48.8230689)",,,,,
722310462,True,,Avenue Henri Ginoux,tertiary,50,False,6.727,"LINESTRING (2.3216637 48.8170961, 2.3216293 48.81704)",,,,,
178241059,True,2,Rue Sadi Carnot,residential,30,False,198.958,"LINESTRING (2.3216637 48.8170961, 2.3215951 48.8171133, 2.3204971 48.8173673, 2.320419 48.8173855, 2.3191784 48.8176785, 2.3191031 48.8176949)",,,,,
"[703103258, 8058935]",False,2,Avenue de la République,secondary,"['50', '30']",False,97.769,"LINESTRING (2.3191031 48.8176949, 2.3191498 48.8177707, 2.3193435 48.8180852, 2.3194618 48.8182774, 2.3195106 48.818353, 2.3195415 48.818406, 2.3196067 48.8185092)",,,,,
8058935,False,2,Avenue de la République,secondary,50,True,43.83800000000001,"LINESTRING (2.3191031 48.8176949, 2.3189372 48.8174255, 2.3189107 48.8173824, 2.3188779 48.8173296)",,,,,
8058935,False,2,Avenue de la République,secondary,50,False,43.838,"LINESTRING (2.3188779 48.8173296, 2.3189107 48.8173824, 2.3189372 48.8174255, 2.3191031 48.8176949)",,,,,
517779715,True,,Place du Maréchal Leclerc,secondary,50,False,26.058999999999997,"LINESTRING (2.3188779 48.8173296, 2.3188407 48.8173385, 2.3188016 48.8173421, 2.3187621 48.81734, 2.3187242 48.8173325, 2.3186897 48.8173199, 2.3186599 48.8173027, 2.3186364 48.8172818, 2.3186202 48.8172581, 2.318612 48.8172326)",,,,,
691424589,False,,Rue Louis Rolland,residential,30,False,151.495,"LINESTRING (2.3214366 48.8167147, 2.3215119 48.8167053, 2.3215534 48.8166981, 2.3234382 48.8163701)",,,,,
776764633,True,1,Avenue Henri Ginoux,tertiary,50,False,110.61999999999999,"LINESTRING (2.3214366 48.8167147, 2.3213688 48.816624, 2.3209055 48.8159314, 2.3208234 48.8158056)",,,,,
24692488,True,,Rue Amaury Duval,residential,30,False,40.241,"LINESTRING (2.3234382 48.8163701, 2.3234549 48.8164099, 2.3235842 48.816719)",,,,,
691424589,False,,Rue Louis Rolland,residential,30,False,164.95299999999997,"LINESTRING (2.3234382 48.8163701, 2.3235107 48.8163565, 2.3240172 48.8162633, 2.3246668 48.8161437, 2.3250338 48.8160762, 2.3254868 48.8159931, 2.3255537 48.8159888, 2.3256122 48.81599)",,,,,
691424589,False,,Rue Louis Rolland,residential,30,True,151.495,"LINESTRING (2.3234382 48.8163701, 2.3215534 48.8166981, 2.3215119 48.8167053, 2.3214366 48.8167147)",,,,,
691424589,False,,Rue Louis Rolland,residential,30,True,164.953,"LINESTRING (2.3256122 48.81599, 2.3255537 48.8159888, 2.3254868 48.8159931, 2.3250338 48.8160762, 2.3246668 48.8161437, 2.3240172 48.8162633, 2.3235107 48.8163565, 2.3234382 48.8163701)",,,,,
1077962705,True,3,Avenue Aristide Briand,primary,50,False,180.434,"LINESTRING (2.3256122 48.81599, 2.3256771 48.8153088, 2.325764 48.8143704)",D 920,,,,
25472169,False,2,Avenue Verdier,secondary,50,False,132.017,"LINESTRING (2.3192766 48.8148446, 2.3191731 48.814874, 2.318257 48.8151379, 2.317754 48.815283, 2.3177148 48.8152943, 2.3176252 48.8153211)",,,,,
894836149,False,2,Avenue Verdier,secondary,50,True,97.516,"LINESTRING (2.3192766 48.8148446, 2.3193476 48.8148252, 2.320415 48.8145249, 2.3205027 48.8145023)",,,,,
"[178240589, 1118580725]",False,,Rue Victor Hugo,residential,30,False,243.656,"LINESTRING (2.3192766 48.8148446, 2.3193149 48.8149037, 2.3202116 48.8163832, 2.3202335 48.816418, 2.3204863 48.8168478, 2.3205059 48.8168808)",,,,,
894836149,False,2,Avenue Verdier,secondary,50,False,97.516,"LINESTRING (2.3205027 48.8145023, 2.320415 48.8145249, 2.3193476 48.8148252, 2.3192766 48.8148446)",,,,,
25472169,False,2,Avenue Verdier,secondary,50,True,132.017,"LINESTRING (2.3176252 48.8153211, 2.3177148 48.8152943, 2.317754 48.815283, 2.318257 48.8151379, 2.3191731 48.814874, 2.3192766 48.8148446)",,,,,
38165760,False,2,Avenue de la République,secondary,50,True,82.15299999999999,"LINESTRING (2.3176252 48.8153211, 2.3175887 48.8152614, 2.3175769 48.8152418, 2.3175507 48.8151987, 2.3172097 48.8146348)",D 63,,,,
742357348,False,,Avenue Verdier,secondary,50,True,115.135,"LINESTRING (2.3176252 48.8153211, 2.3175338 48.8153469, 2.3174655 48.8153658, 2.3171602 48.81545, 2.3166412 48.8155929, 2.3163115 48.8156812, 2.3162641 48.8156936, 2.3161734 48.8157188)",D 61,,,,
776767473,False,2,Avenue de la République,secondary,50,False,110.048,"LINESTRING (2.3176252 48.8153211, 2.3176705 48.8153941, 2.3176949 48.8154335, 2.3177217 48.8154768, 2.3179559 48.8158551, 2.3181682 48.8161978, 2.3181928 48.8162375)",D 63,,,,
235871123,False,,Avenue Verdier,secondary,50,False,13.254,"LINESTRING (2.3160064 48.8157648, 2.3161734 48.8157188)",D 61,,,,
24692466,True,,Rue de Saisset,residential,30,False,81.438,"LINESTRING (2.3160064 48.8157648, 2.3159751 48.8157169, 2.3155705 48.815091)",,,,,
235871123,False,,Avenue Verdier,secondary,50,True,173.524,"LINESTRING (2.3160064 48.8157648, 2.3159166 48.8157892, 2.3154662 48.8159128, 2.3153032 48.8159601, 2.3151294 48.8159976, 2.3150701 48.8160036, 2.3149194 48.8160189, 2.3140366 48.8160401, 2.3138025 48.816046, 2.3137493 48.8160473, 2.3137089 48.8160485)",D 61,,,,
"[1215112947, 38165773]",True,,Boulevard Romain Rolland,secondary,30,False,178.383,"LINESTRING (2.321712 48.8206585, 2.3238147 48.8202077, 2.3238365 48.820203, 2.3240379 48.8201912)",,,,,
98895102,True,,Rue Rabelais,residential,30,False,47.837,"LINESTRING (2.3206966 48.8191272, 2.3202061 48.8192623, 2.3201473 48.8192788, 2.3200937 48.819293)",,,,,
715157806,False,,Rue Rabelais,residential,30,True,34.102000000000004,"LINESTRING (2.3206966 48.8191272, 2.3207461 48.8191132, 2.3211244 48.8190059)",,,,,
"[703103256, 1110019131, 635010424]",True,2,Avenue de la République,secondary,"['30', '50']",False,182.415,"LINESTRING (2.3200937 48.819293, 2.3201955 48.8194551, 2.3202213 48.819497, 2.3202915 48.8195824, 2.3205827 48.8200495, 2.321002 48.8207221, 2.3210151 48.8207421, 2.3210697 48.820801)",,,,,
221899895,False,2,Rue Gabriel Péri,secondary,50,True,70.361,"LINESTRING (2.316244 48.8190605, 2.316343 48.8190399, 2.3164274 48.8190242, 2.3164771 48.8190146, 2.3164957 48.8190111, 2.3170419 48.8189044, 2.3171647 48.8188792)",D 50,,,,
1072484029,False,2,Rue du 11 Novembre,residential,30,False,62.510000000000005,"LINESTRING (2.316244 48.8190605, 2.3162632 48.8191086, 2.3163415 48.8192668, 2.3165044 48.8195958)",,,,,
1095434319,False,2,Rue Gabriel Péri,secondary,50,False,169.845,"LINESTRING (2.316244 48.8190605, 2.3160915 48.8190889, 2.3156923 48.819162, 2.3151224 48.8192691, 2.3150112 48.8192897, 2.3149608 48.8192988, 2.3149094 48.8193069, 2.3147065 48.8193426, 2.3142768 48.8194337, 2.3140976 48.8194662, 2.314015 48.8194828)",D 50,,,,
1095434319,False,2,Rue Gabriel Péri,secondary,50,True,86.027,"LINESTRING (2.3128846 48.8196931, 2.313041 48.8196707, 2.314015 48.8194828)",D 50,,,,
"[847828114, 352812340, 847828111]",True,4,Avenue de la Porte de Châtillon,primary,30,False,49.774,"LINESTRING (2.3147242 48.8226609, 2.3146442 48.82262, 2.3143371 48.8224664, 2.3143083 48.8224511, 2.314187 48.8223866)",,yes,,,
38165979,False,3,Avenue de la Porte de Montrouge,tertiary,30,True,181.64000000000001,"LINESTRING (2.3214717 48.821235, 2.3221664 48.821969, 2.3225136 48.8223386, 2.3226038 48.8225426, 2.3226622 48.822658)",,,,,
"[16292841, 1231963339, 548612780, 548612781]",False,4,Avenue de la Porte de Montrouge,tertiary,30,True,56.580999999999996,"LINESTRING (2.3214717 48.821235, 2.3213353 48.8210763, 2.3213054 48.8210466, 2.3212821 48.8210235, 2.3211264 48.8208689, 2.321103 48.8208457, 2.3210697 48.820801)",,yes,,,
"[1231963338, 16292839, 548612782, 548612783]",True,2,Avenue de la Porte de Montrouge,tertiary,30,False,72.19500000000001,"LINESTRING (2.3214717 48.821235, 2.3211362 48.8211097, 2.3210993 48.8210921, 2.3208597 48.8209919, 2.3207369 48.8209411, 2.3207236 48.8209341, 2.3206322 48.8208951)",,yes,,,
61094060,False,,Rue Albert Sorel,residential,30,False,15.072,"LINESTRING (2.3220279 48.8229831, 2.3219881 48.8229056, 2.3219615 48.8228548)",,,,,
61094060,False,,Rue Albert Sorel,residential,30,True,15.072,"LINESTRING (2.3219615 48.8228548, 2.3219881 48.8229056, 2.3220279 48.8229831)",,,,,
682073887,True,2,Avenue Ernest Reyer,tertiary,30,False,71.582,"LINESTRING (2.3219615 48.8228548, 2.3215485 48.8229634, 2.3210549 48.8230959)",,,,,
731634235,True,,Boulevard Romain Rolland,primary,30,False,14.679,"LINESTRING (2.314187 48.8223866, 2.3143656 48.8223266)",,,,,
16292967,True,,,trunk_link,30,False,199.257,"LINESTRING (2.3215263 48.8208579, 2.322024 48.8206954, 2.3238475 48.8202834, 2.3238802 48.820276, 2.3240379 48.8201912)",,,,,
"[30919112, 1183033633, 1183033632]",True,3,Boulevard Périphérique Intérieur,trunk,70,False,364.572,"LINESTRING (2.3215939 48.8209583, 2.321478 48.820977, 2.3206644 48.8211308, 2.3177314 48.8217806, 2.3168688 48.8219899)",,,,yes,
"[28072770, 362885210, 1148415814]",True,"['1', '2']",,trunk_link,,False,199.40900000000002,"LINESTRING (2.3242291 48.8205511, 2.3240495 48.8205928, 2.3229622 48.8208119, 2.3225261 48.8208947, 2.3222904 48.8209285, 2.3219067 48.8209665, 2.3215939 48.8209583)",,,,,
"[97114948, 30174583]",True,1,Rue de la Légion Étrangère,primary,50,False,42.4,"LINESTRING (2.3242291 48.8205511, 2.3242044 48.8205057, 2.324098 48.8203102, 2.3240802 48.8202774, 2.3240379 48.8201912)",,yes,,,
"[806440819, 28073371, 806440818]",True,"['4', '3']",Avenue de la Porte d'Orléans,primary,"['50', '30']",False,50.245000000000005,"LINESTRING (2.3257586 48.8198018, 2.3257496 48.8199045, 2.3257281 48.8201482, 2.3257272 48.820159, 2.3257189 48.8202529)",D 920,yes,,,
84152072,True,4,Boulevard Romain Rolland,primary,30,False,20.289,"LINESTRING (2.3254948 48.8198577, 2.3257586 48.8198018)",,,,,
"[28072809, 806440822, 1034232143]",True,3,Avenue Aristide Briand,primary,50,False,115.696,"LINESTRING (2.3254948 48.8198577, 2.3255017 48.8198116, 2.3255026 48.819794, 2.3255168 48.8197048, 2.3255362 48.8195809, 2.3255171 48.8188187)",D 920,,,,
861299270,False,,,secondary,50,True,8.067,"LINESTRING (2.3254508 48.81752, 2.3255604 48.8175126)",,,,,
1077962708,False,,Rue Gabriel Péri,secondary,50,True,3.986,"LINESTRING (2.3254508 48.81752, 2.3253966 48.8175234)",D 50,,,,
"[1077962705, 861299268]",True,3,Avenue Aristide Briand,primary,50,False,170.594,"LINESTRING (2.3254508 48.81752, 2.3254626 48.8174149, 2.325475 48.817228, 2.3254793 48.8171566, 2.325488 48.8170112, 2.3255337 48.8167633, 2.3255384 48.8167178, 2.3255434 48.8166697, 2.3255838 48.8162865, 2.3256122 48.81599)",D 920,,,,
501259583,True,2,Place Édith Thomas,primary,50,False,16.932,"LINESTRING (2.3251445 48.8221178, 2.3251074 48.8219675)",,,,,
"[1228634120, 1228634122, 607109514, 526300973, 611633070, 4040531, 630017334]",False,2,"['Avenue Ernest Reyer', 'Place Édith Thomas']",tertiary,30,False,95.52499999999999,"LINESTRING (2.3251445 48.8221178, 2.3249779 48.8221568, 2.3249103 48.8221726, 2.3248236 48.8221929, 2.3247487 48.8222104, 2.3246726 48.8222282, 2.3244883 48.8222709, 2.3243916 48.8222929, 2.3241501 48.8223472, 2.3239111 48.8223979)",,,,,
512776618,True,,Place Édith Thomas,tertiary,30,False,18.817,"LINESTRING (2.3253887 48.822065, 2.3251445 48.8221178)",,,,,
"[806440825, 806440826, 344068515, 322819004]",True,3,Place du 25 Août 1944,primary,50,False,108.453,"LINESTRING (2.3253887 48.822065, 2.3253651 48.8221805, 2.3255204 48.8227797, 2.3255413 48.8228432, 2.3255482 48.8228727, 2.3255582 48.8229155, 2.3255644 48.8229418, 2.3255843 48.823027)",,,,,
"[176650404, 176650406]",True,,"['Boulevard Jourdan', 'Boulevard Brune']",primary,50,False,14.289,"LINESTRING (2.3253998 48.8230689, 2.3255035 48.8230462, 2.3255843 48.823027)",,,,,
"[815695335, 317978045, 806443847, 352810487]",True,3,Place du 25 Août 1944,primary,50,False,107.40799999999999,"LINESTRING (2.3253998 48.8230689, 2.3253705 48.8229812, 2.3253636 48.8229564, 2.3253335 48.822849, 2.3251783 48.8222554, 2.3251696 48.8222193, 2.3251445 48.8221178)",,,,,
"[703187224, 703130898, 705811548, 703103247]",False,2,Avenue Jean Jaurès,tertiary,"['30', '50']",False,170.45299999999997,"LINESTRING (2.3190184 48.8184707, 2.3189983 48.8184299, 2.3189818 48.8183963, 2.3189055 48.8183749, 2.3186838 48.8183125, 2.3184963 48.8182613, 2.3182991 48.8182075, 2.3181979 48.8181798, 2.3180199 48.8181312, 2.3176818 48.8180389, 2.3176135 48.8180203, 2.3172107 48.8179103, 2.3170986 48.8178797, 2.3169438 48.8178348)",D 63A,,,,
1110019125,True,,Avenue Jean Jaurès,tertiary,30,False,14.143,"LINESTRING (2.3190184 48.8184707, 2.3190845 48.8184898, 2.319099 48.8185187, 2.3191098 48.8185348, 2.3191571 48.8185403)",D 63A,,,,
"[703187225, 175778189]",True,,Rue René Barthelemy,residential,"['30', '50']",False,110.736,"LINESTRING (2.3171136 48.8187849, 2.3170982 48.8187565, 2.3169561 48.8185196, 2.3168141 48.8182572, 2.316811 48.8182142, 2.3168488 48.8180989, 2.3168709 48.818036, 2.3169275 48.8178734, 2.3169438 48.8178348)",,,,,
224483437,True,,Rue Gabriel Péri,residential,30,False,118.90100000000001,"LINESTRING (2.3171136 48.8187849, 2.3174621 48.8187181, 2.3176095 48.8186918, 2.3181483 48.8186226, 2.3182053 48.8186159, 2.3184907 48.8185823, 2.3185556 48.8186147, 2.3186592 48.8186665)",,,,,
35878607,False,,Rue Pierre Curie,residential,30,False,172.136,"LINESTRING (2.3165044 48.8195958, 2.3164286 48.8196102, 2.3154215 48.8197924, 2.3149915 48.8198701, 2.3143159 48.8199923, 2.3142377 48.8200069)",,,,,
1072484029,False,2,Rue du 11 Novembre,residential,30,False,23.405,"LINESTRING (2.3165044 48.8195958, 2.316559 48.8197031, 2.3166059 48.8197954)",,,,,
1072484029,False,2,Rue du 11 Novembre,residential,30,True,62.510000000000005,"LINESTRING (2.3165044 48.8195958, 2.3163415 48.8192668, 2.3162632 48.8191086, 2.316244 48.8190605)",,,,,
24692440,True,,Rue Maurice Arnoux,tertiary,50,False,61.937000000000005,"LINESTRING (2.3132492 48.8201956, 2.312952 48.8197968, 2.3128846 48.8196931)",D 59,,,,
24692453,False,,Rue Gueudin,residential,30,True,75.405,"LINESTRING (2.3132492 48.8201956, 2.3133266 48.8201808, 2.313852 48.8200843, 2.3141596 48.820029, 2.3142377 48.8200069)",,,,,
691397630,False,2,Avenue Jean Jaurès,living_street,20,True,24.656,"LINESTRING (2.3169438 48.8178348, 2.3166444 48.8177333)",D 63A,,,,
"[703187224, 703130898, 705811548, 703103247]",False,2,Avenue Jean Jaurès,tertiary,"['50', '30']",True,170.453,"LINESTRING (2.3169438 48.8178348, 2.3170986 48.8178797, 2.3172107 48.8179103, 2.3176135 48.8180203, 2.3176818 48.8180389, 2.3180199 48.8181312, 2.3181979 48.8181798, 2.3182991 48.8182075, 2.3184963 48.8182613, 2.3186838 48.8183125, 2.3189055 48.8183749, 2.3189818 48.8183963, 2.3189983 48.8184299, 2.3190184 48.8184707)",D 63A,,,,
235871123,False,,Avenue Verdier,secondary,50,True,13.254,"LINESTRING (2.3161734 48.8157188, 2.3160064 48.8157648)",D 61,,,,
742357348,False,,Avenue Verdier,secondary,50,False,115.135,"LINESTRING (2.3161734 48.8157188, 2.3162641 48.8156936, 2.3163115 48.8156812, 2.3166412 48.8155929, 2.3171602 48.81545, 2.3174655 48.8153658, 2.3175338 48.8153469, 2.3176252 48.8153211)",D 61,,,,
38288227,False,,Rue d'Estienne d'Orves,residential,30,True,282.479,"LINESTRING (2.325764 48.8143704, 2.3256264 48.814382, 2.3252904 48.8144578, 2.3241736 48.8147114, 2.3237528 48.8148056, 2.3229187 48.814994, 2.3221694 48.8151626, 2.3221084 48.8151765)",,,,,
192281284,False,3,Rue Gabriel Péri,secondary,50,True,135.706,"LINESTRING (2.3241167 48.817732, 2.3238957 48.8177693, 2.3237855 48.8177879, 2.323715 48.8177999, 2.3236751 48.8178066, 2.3236123 48.8178172, 2.3225096 48.817997, 2.322482 48.8180016, 2.3223161 48.8180201)",D 50,,,,
"[589840074, 733206667]",False,4,Rue Gabriel Péri,secondary,50,False,63.772000000000006,"LINESTRING (2.3241167 48.817732, 2.3243537 48.8176919, 2.3245606 48.8176569, 2.3248756 48.8176037, 2.3249605 48.8175898)",D 50,,,,
704397059,False,,Rue Edgar Quinet,residential,30,False,4.142,"LINESTRING (2.321265 48.8199939, 2.3212881 48.8200279)",,,,,
704397060,True,,Rue Delerue,residential,30,False,5.421,"LINESTRING (2.321265 48.8199939, 2.3213328 48.8199743)",,,,,
98888400,True,,Avenue Henri Ginoux,secondary,50,False,13.353,"LINESTRING (2.3233936 48.8193267, 2.3233148 48.8192184)",,,,,
24692491,True,,Rue Delerue,residential,30,False,167.184,"LINESTRING (2.3233936 48.8193267, 2.3232837 48.8193599, 2.3226979 48.8195454, 2.3213328 48.8199743)",,,,,
4040527,True,2,Boulevard Romain Rolland,tertiary,30,False,384.47600000000006,"LINESTRING (2.3146735 48.8222268, 2.315176 48.8221172, 2.3166683 48.8217783, 2.3168614 48.8217345, 2.3169161 48.8217224, 2.3170227 48.8216988, 2.318383 48.8213978, 2.3187597 48.8213142, 2.3188234 48.8213001, 2.3191843 48.8212201, 2.3192483 48.8212059, 2.3196474 48.8211174)",,,,,
24692440,True,,Rue Maurice Arnoux,tertiary,50,False,154.423,"LINESTRING (2.3146735 48.8222268, 2.3146295 48.8221607, 2.3142645 48.8215955, 2.3141371 48.8214108, 2.3140323 48.8212667, 2.313854 48.8210217, 2.3138095 48.8209602)",D 59,,,,
24692440,True,,Rue Maurice Arnoux,tertiary,50,False,94.40100000000001,"LINESTRING (2.3138095 48.8209602, 2.3137504 48.8208747, 2.3135359 48.8205839, 2.3134086 48.8204111, 2.3132492 48.8201956)",D 59,,,,
182426578,True,,Rue Pasteur,residential,30,False,68.098,"LINESTRING (2.3144559 48.82052, 2.3139088 48.8208888, 2.3138733 48.8209115, 2.3138095 48.8209602)",,,,,
24692453,False,,Rue Gueudin,residential,30,False,75.405,"LINESTRING (2.3142377 48.8200069, 2.3141596 48.820029, 2.313852 48.8200843, 2.3133266 48.8201808, 2.3132492 48.8201956)",,,,,
35878607,False,,Rue Pierre Curie,residential,30,True,172.13600000000002,"LINESTRING (2.3142377 48.8200069, 2.3143159 48.8199923, 2.3149915 48.8198701, 2.3154215 48.8197924, 2.3164286 48.8196102, 2.3165044 48.8195958)",,,,,
1259357853,True,,Rue Radiguey,residential,30,False,59.251,"LINESTRING (2.3142377 48.8200069, 2.3142619 48.820059, 2.3144365 48.820471, 2.3144559 48.82052)",,,,,
38288227,False,,Rue d'Estienne d'Orves,residential,30,True,26.013,"LINESTRING (2.3221084 48.8151765, 2.3217723 48.8152523)",,,,,
38288227,False,,Rue d'Estienne d'Orves,residential,30,False,282.47900000000004,"LINESTRING (2.3221084 48.8151765, 2.3221694 48.8151626, 2.3229187 48.814994, 2.3237528 48.8148056, 2.3241736 48.8147114, 2.3252904 48.8144578, 2.3256264 48.814382, 2.325764 48.8143704)",,,,,
24692575,False,,Rue Guillot,residential,30,False,46.498000000000005,"LINESTRING (2.3137089 48.8160485, 2.3136743 48.8159926, 2.3134614 48.8156634)",,,,,
235871123,False,,Avenue Verdier,secondary,50,False,173.524,"LINESTRING (2.3137089 48.8160485, 2.3137493 48.8160473, 2.3138025 48.816046, 2.3140366 48.8160401, 2.3149194 48.8160189, 2.3150701 48.8160036, 2.3151294 48.8159976, 2.3153032 48.8159601, 2.3154662 48.8159128, 2.3159166 48.8157892, 2.3160064 48.8157648)",D 61,,,,
24692575,False,,Rue Guillot,residential,30,True,74.893,"LINESTRING (2.313041 48.8150494, 2.3130672 48.8150874, 2.3134614 48.8156634)",,,,,
742357347,True,,Rue Périer,residential,30,False,101.047,"LINESTRING (2.313041 48.8150494, 2.3131259 48.8150184, 2.3135243 48.8148954, 2.3136573 48.8148543, 2.3137171 48.8148358, 2.3141708 48.8146738, 2.3142315 48.814656, 2.3142748 48.8146433)",,,,,
24692466,True,,Rue de Saisset,residential,30,False,83.133,"LINESTRING (2.3155705 48.815091, 2.3151678 48.8144453, 2.3151389 48.8143995)",,,,,
24692578,True,1,Rue Couprie,residential,30,False,130.305,"LINESTRING (2.3155705 48.815091, 2.3156234 48.8150757, 2.3166984 48.814777, 2.3171285 48.8146582, 2.3172097 48.8146348)",,,,,
38165760,False,2,Avenue de la République,secondary,50,False,82.153,"LINESTRING (2.3172097 48.8146348, 2.3175507 48.8151987, 2.3175769 48.8152418, 2.3175887 48.8152614, 2.3176252 48.8153211)",D 63,,,,
24692579,True,,Rue Blanche,residential,30,False,79.37,"LINESTRING (2.3208234 48.8158056, 2.3208909 48.81579, 2.3218477 48.815572)",,,,,
776764633,True,1,Avenue Henri Ginoux,tertiary,50,False,35.964999999999996,"LINESTRING (2.3208234 48.8158056, 2.3207397 48.8156704, 2.3206842 48.8155716, 2.3206525 48.8155026)",,,,,
720487890,False,,Rue Blanche,residential,30,True,21.147000000000002,"LINESTRING (2.3222022 48.8154866, 2.3221921 48.8154889, 2.3219297 48.8155496)",,,,,
38288227,False,,Rue d'Estienne d'Orves,residential,30,False,26.013,"LINESTRING (2.3217723 48.8152523, 2.3221084 48.8151765)",,,,,
24692487,True,,Rue d'Estienne d'Orves,residential,30,False,86.589,"LINESTRING (2.3217723 48.8152523, 2.3207177 48.8154888, 2.3206525 48.8155026)",,,,,
