osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,junction,maxspeed,width,tunnel,access
234753767,False,,,Rue Léon Marrel,residential,False,32.668,"LINESTRING (4.616993 45.5273958, 4.6171226 45.5273795, 4.6172574 45.5273417, 4.6173894 45.5273041)",,,,,
30605917,False,,,Rue Victor Hugo,residential,False,61.873000000000005,"LINESTRING (4.6168121 45.5287405, 4.6168309 45.5286588, 4.6168732 45.5284098, 4.6168961 45.5282746, 4.6169091 45.5281883)",,,,,
1090595028,False,2,M 88,Quai Fleurdelix,secondary,False,219.154,"LINESTRING (4.6168121 45.5287405, 4.6169249 45.5287592, 4.6173624 45.5288508, 4.6178881 45.5289507, 4.6179943 45.5289638, 4.618097 45.5289745, 4.6181726 45.52898, 4.6182356 45.5289849, 4.6194227 45.5290427, 4.6195766 45.5290561)",,50,,,
1090595028,False,2,M 88,Quai Fleurdelix,secondary,True,50.76,"LINESTRING (4.6168121 45.5287405, 4.6166652 45.528709, 4.6164936 45.5286755, 4.6162949 45.5286349, 4.6161858 45.5286146)",,50,,,
144493384,True,,M 6,,secondary,False,4.08,"LINESTRING (4.6140735 45.5286973, 4.6140319 45.5287196)",roundabout,,4,,
142951626,False,2,M 6,Rue Henri Barbusse,secondary_link,False,1.896,"LINESTRING (4.6140558 45.5285969, 4.6140735 45.5285852)",,,,,
144493384,True,,M 6,,secondary,False,12.393,"LINESTRING (4.6140558 45.5285969, 4.6140821 45.5286187, 4.6140937 45.5286422, 4.61409 45.5286752, 4.6140735 45.5286973)",roundabout,,4,,
144493384,True,,M 6,,secondary,False,12.41,"LINESTRING (4.6139173 45.5287023, 4.613894 45.5286735, 4.6138901 45.5286487, 4.6139008 45.5286211, 4.6139221 45.5286011)",roundabout,,4,,
404059171,False,2,M 6,Rue de la République,secondary,True,20.678,"LINESTRING (4.6139173 45.5287023, 4.6138413 45.5287426, 4.6137118 45.5288199)",,,,,
142953429,True,2,,Rue Claude Drivon,tertiary,False,25.156,"LINESTRING (4.6125597 45.5275266, 4.6124177 45.5274103, 4.6123491 45.5273551)",,,,,
142952908,True,1,,Rue Claude Drivon,tertiary,False,52.171,"LINESTRING (4.6139221 45.5286011, 4.6138669 45.5285569, 4.6134772 45.5282504)",,,,,
144493384,True,,M 6,,secondary,False,11.297,"LINESTRING (4.6139221 45.5286011, 4.6139531 45.528587, 4.6139879 45.5285816, 4.6140244 45.5285852, 4.6140558 45.5285969)",roundabout,,4,,
154719086,False,,,Rue Francis de Pressensé,residential,False,42.945,"LINESTRING (4.6128916 45.5270816, 4.612961 45.5270031, 4.6129761 45.526986, 4.6130054 45.5269581, 4.6130355 45.5269304, 4.6131996 45.5267999, 4.6132311 45.526779)",,,,,
272219376,False,2,M 88,Cours du 11 Novembre,secondary,True,42.964,"LINESTRING (4.6128916 45.5270816, 4.6127787 45.527014, 4.6127535 45.5269949, 4.612493 45.5268149)",,,,,
404060683,True,,,Pont Voltaire,residential,False,45.027,"LINESTRING (4.6128916 45.5270816, 4.6128383 45.5271568, 4.6126248 45.5274408)",,,,,
738439742,False,4,M 88,Cours du 11 Novembre,secondary,False,44.175,"LINESTRING (4.6128916 45.5270816, 4.6129771 45.5271223, 4.6130144 45.5271445, 4.6133304 45.5273327)",,,,,
148568612,True,,M 6,Route de Longes,tertiary,False,16.721,"LINESTRING (4.624367 45.5285977, 4.6241631 45.5286447)",,50,,,
142959272,True,,M 30,,tertiary,False,9.607,"LINESTRING (4.6240016 45.5286613, 4.6239784 45.528647, 4.6239611 45.5286292, 4.6239508 45.5286088, 4.6239482 45.5285873)",roundabout,,,,
280330538,True,1,,Rue Jean Jaurès,tertiary,False,7.025,"LINESTRING (4.6226691 45.5316363, 4.6225895 45.5316066)",,50,,,
"[144493371, 352550639]",False,,,"['Rue Maxime Gorki', 'Rue Quartier Lanoir']","['unclassified', 'residential']",False,293.07599999999996,"LINESTRING (4.6157951 45.5306114, 4.6159389 45.5305707, 4.6160164 45.530525, 4.6160306 45.5304586, 4.6159997 45.5303937, 4.6159227 45.5302595, 4.6159232 45.5301558, 4.6159495 45.5300566, 4.6160289 45.5299897, 4.6161405 45.5299649, 4.6163443 45.5300249, 4.6163668 45.530078, 4.616309 45.5302178, 4.6163385 45.5302781, 4.6166039 45.5304775, 4.6166866 45.5306067, 4.6169655 45.5307157, 4.617047 45.5307022, 4.6170855 45.5306455, 4.6170277 45.5305406, 4.6169406 45.5303923, 4.6169435 45.5302907, 4.6170527 45.5301476, 4.617111 45.5300712)",,,,,
352550614,False,,,Impasse de Montjoint,residential,True,199.605,"LINESTRING (4.6157951 45.5306114, 4.6156693 45.5305372, 4.615537 45.5304381, 4.6154239 45.5303277, 4.6153125 45.5301336, 4.6151806 45.5299429, 4.6150908 45.5298474, 4.6150531 45.5298445, 4.6149867 45.5299239, 4.6149418 45.5300139, 4.6148911 45.530079, 4.6148077 45.5301934, 4.6146981 45.5303708, 4.6146352 45.5304447, 4.6145689 45.5305212, 4.6145502 45.5306077)",,,,,
"[1254633019, 144493372, 144335444]",False,,,Chemin de Montjoint,unclassified,True,92.73499999999999,"LINESTRING (4.6157951 45.5306114, 4.6157364 45.5306795, 4.6156719 45.5308073, 4.6155751 45.5310686, 4.6155158 45.5312348, 4.6154387 45.531404)",,,,yes,yes
352550639,False,,,Rue Maxime Gorki,residential,True,51.927,"LINESTRING (4.6174197 45.5296573, 4.617111 45.5300712)",,,,,
280330538,True,1,,Rue Jean Jaurès,tertiary,False,107.73500000000001,"LINESTRING (4.6174197 45.5296573, 4.6172538 45.529594, 4.6172073 45.5295762, 4.6166831 45.5293762, 4.6162052 45.5291938)",,50,,,
144335444,False,,,Chemin de Montjoint,unclassified,False,163.376,"LINESTRING (4.6150104 45.5327689, 4.6148618 45.5324711, 4.6148568 45.5324312, 4.6148626 45.5323616, 4.6149313 45.532189, 4.6150225 45.5320171, 4.6150614 45.5319222, 4.6153846 45.5315079, 4.6154387 45.531404)",,,,,yes
"[1254633019, 144335444, 144493372]",False,,,Chemin de Montjoint,unclassified,False,92.73500000000001,"LINESTRING (4.6154387 45.531404, 4.6155158 45.5312348, 4.6155751 45.5310686, 4.6156719 45.5308073, 4.6157364 45.5306795, 4.6157951 45.5306114)",,,,yes,yes
144335444,False,,,Chemin de Montjoint,unclassified,True,163.37599999999998,"LINESTRING (4.6154387 45.531404, 4.6153846 45.5315079, 4.6150614 45.5319222, 4.6150225 45.5320171, 4.6149313 45.532189, 4.6148626 45.5323616, 4.6148568 45.5324312, 4.6148618 45.5324711, 4.6150104 45.5327689)",,,,,yes
13868014,True,,M 88,,secondary,False,53.223,"LINESTRING (4.6235629 45.5310923, 4.6234273 45.5310723, 4.6232792 45.5310245, 4.6230821 45.5309304, 4.6229589 45.5308794)",,50,,,
