osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction,ref,bridge,lanes,width
"[7742850, 988081611, 1078509836, 1078509837]",True,Boulevard Vincent Auriol,primary,30,False,204.995,"LINESTRING (1.3440306 43.584463, 1.3441166 43.5844997, 1.344171 43.5845229, 1.3442194 43.5845464, 1.3444163 43.584642, 1.3446436 43.5847454, 1.3447236 43.5847865, 1.344868 43.5848586, 1.345279 43.5850755, 1.3455695 43.5852334, 1.3459636 43.5854477, 1.3460698 43.5854918, 1.3461202 43.5855127)",,M 632,,2,
1247578141,True,,primary,50,False,9.443999999999999,"LINESTRING (1.3440306 43.584463, 1.3440303 43.5844913, 1.34402 43.5845186, 1.3440006 43.5845432)",roundabout,,,2,
1247578142,True,,primary,50,False,22.923,"LINESTRING (1.3440006 43.5845432, 1.3439664 43.584567, 1.3439238 43.5845821, 1.3438768 43.584587, 1.3438301 43.5845812, 1.343788 43.5845654, 1.3437547 43.5845409)",roundabout,,,2,
"[857770248, 48536219]",False,Boulevard Eugène Montel,secondary,30,False,110.569,"LINESTRING (1.3437547 43.5845409, 1.3436694 43.5845922, 1.3434858 43.5846944, 1.343227 43.5848497, 1.3427634 43.5851303, 1.3426927 43.5851708)",,,,"['2', '3']",
1247578137,True,,primary,50,False,7.785,"LINESTRING (1.3437547 43.5845409, 1.343733 43.5845096, 1.3437259 43.584475)",roundabout,,,2,
205727431,True,Rue Gaston Doumergue,primary,50,False,73.652,"LINESTRING (1.3437259 43.584475, 1.343688 43.5844404, 1.3436358 43.5844078, 1.3430707 43.5841479, 1.3429735 43.5841032)",,M 632,,2,
1247578138,True,,primary,50,False,11.596,"LINESTRING (1.3437259 43.584475, 1.343734 43.5844407, 1.3437563 43.58441, 1.3437907 43.5843857)",roundabout,,,2,
150485824,False,Rue Gaston Doumergue,primary,50,True,138.95999999999998,"LINESTRING (1.3429735 43.5841032, 1.3429381 43.5840888, 1.3426288 43.5839635, 1.3423099 43.5838342, 1.342289 43.5838258, 1.3420701 43.5837385, 1.341465 43.5834968)",,M 632,,2,
"[205727432, 292835074, 292835075]",True,Rue Gaston Doumergue,primary,50,False,73.153,"LINESTRING (1.3429735 43.5841032, 1.3431627 43.5841467, 1.3433741 43.5842278, 1.3435507 43.5842956, 1.3436544 43.584338, 1.3437406 43.5843679, 1.3437755 43.5843786, 1.3437907 43.5843857)",,M 632,,2,
7742237,False,,residential,,False,26.947000000000003,"LINESTRING (1.3517921 43.5784671, 1.3517053 43.5784862, 1.3516858 43.578493, 1.3516054 43.5785202, 1.3514912 43.5785702)",,,,,
1009186568,True,Rond-Point Henry Dunant,secondary,50,False,17.606,"LINESTRING (1.3523243 43.5784349, 1.3523111 43.5784602, 1.3522574 43.578513, 1.352184 43.5785516)",roundabout,,,,
7741492,True,Rue des Violettes,residential,30,False,115.454,"LINESTRING (1.3406648 43.5816967, 1.3407187 43.5816644, 1.3410515 43.5814629, 1.3412125 43.58139, 1.3415732 43.5811729, 1.3416336 43.5811219, 1.3417048 43.5810753, 1.3417682 43.5810375)",,,,,
"[454740368, 454740369]",False,Rue de Belbèze,residential,30,False,66.63499999999999,"LINESTRING (1.3406648 43.5816967, 1.340773 43.5817854, 1.3410689 43.5820224, 1.3411389 43.5820806, 1.341214 43.5821448)",,,,,
"[454740369, 454740370, 454740365, 454740366]",False,Rue de Belbèze,residential,30,False,151.20800000000003,"LINESTRING (1.341214 43.5821448, 1.3413704 43.5822861, 1.3418646 43.5827042, 1.3419238 43.5827673, 1.3420813 43.5828982, 1.3422038 43.5829932, 1.3422484 43.5830311, 1.3423009 43.5830756, 1.3424282 43.583181)",,,,,
