osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access
"[144552267, 144552269]",False,,Allée Alban Vistel,unclassified,30,False,159.46599999999998,"LINESTRING (4.7889952 45.7352376, 4.7889722 45.7350952, 4.788957 45.7350014, 4.7889482 45.7349466, 4.7889406 45.7348998, 4.7889304 45.7348367, 4.7889238 45.7347961, 4.7889131 45.7347306, 4.7888894 45.7345847, 4.7888598 45.7344024, 4.7888268 45.7341988, 4.7887504 45.7341099, 4.7887018 45.7338269)",
180699981,False,2,Chemin du Plan du Loup,tertiary,50,False,72.56700000000001,"LINESTRING (4.7889952 45.7352376, 4.788525 45.7352505, 4.7884016 45.735258, 4.7880623 45.7352786)",
144552269,False,,Allée Alban Vistel,unclassified,30,True,103.17299999999999,"LINESTRING (4.7891799 45.7332179, 4.7890538 45.7332264, 4.788752 45.7332468, 4.7886709 45.733268, 4.7886374 45.7333124, 4.7886327 45.7333735, 4.7886587 45.7335365, 4.7887018 45.7338269)",
144553122,False,,Chemin du Plan du Loup,residential,,True,111.992,"LINESTRING (4.7890829 45.7352374, 4.7897034 45.7361467)",
180699981,False,2,Chemin du Plan du Loup,tertiary,50,False,6.807,"LINESTRING (4.7890829 45.7352374, 4.7889952 45.7352376)",
"[139669301, 180699981]",False,2,Chemin du Plan du Loup,tertiary,50,True,77.923,"LINESTRING (4.7890829 45.7352374, 4.7896682 45.7352239, 4.7900063 45.7352121, 4.790086 45.7352084)",
144553122,False,,Chemin du Plan du Loup,residential,,False,111.992,"LINESTRING (4.7897034 45.7361467, 4.7890829 45.7352374)",
144557998,False,,,residential,,False,56.289,"LINESTRING (4.7915209 45.7389726, 4.7910595 45.7390438, 4.790924 45.7390536, 4.7908081 45.739045)",
4236850,False,2,Rue Châtelain,tertiary,50,False,109.144,"LINESTRING (4.7908081 45.739045, 4.7909159 45.7389458, 4.7911479 45.7387319, 4.7912341 45.7386469, 4.7913427 45.7385636, 4.7913971 45.7385248, 4.7917155 45.7382977)",
4236850,False,2,Rue Châtelain,tertiary,50,True,151.61,"LINESTRING (4.7908081 45.739045, 4.7906381 45.7391583, 4.7902685 45.7394341, 4.7899757 45.7396238, 4.7897485 45.7398147, 4.7895597 45.7399793, 4.7894906 45.740048)",
144557998,False,,,residential,,True,56.288999999999994,"LINESTRING (4.7908081 45.739045, 4.790924 45.7390536, 4.7910595 45.7390438, 4.7915209 45.7389726)",
500741548,False,,,living_street,,True,74.356,"LINESTRING (4.7942458 45.7396204, 4.7945422 45.7402563)",
144561631,True,,Chemin des Fonts,unclassified,30,False,55.333000000000006,"LINESTRING (4.7942458 45.7396204, 4.7942186 45.7396291, 4.7936187 45.7398571)",
500741548,False,,,living_street,,False,74.356,"LINESTRING (4.7945422 45.7402563, 4.7942458 45.7396204)",
4236850,False,2,Rue Châtelain,tertiary,50,True,6.544,"LINESTRING (4.7934981 45.7367933, 4.7934386 45.736835)",
"[4236850, 524372574]",False,2,Rue Châtelain,tertiary,50,False,187.939,"LINESTRING (4.7934981 45.7367933, 4.7937686 45.7366036, 4.7939039 45.736532, 4.7944649 45.7363153, 4.7946345 45.7362562, 4.7948203 45.7361858, 4.7954072 45.736031, 4.7955931 45.7359819)",
513716454,False,,,residential,,True,54.852000000000004,"LINESTRING (4.7934981 45.7367933, 4.793365 45.7366967, 4.7933717 45.7366386, 4.7931088 45.7364)",
513716454,False,,,residential,,False,54.852000000000004,"LINESTRING (4.7931088 45.7364, 4.7933717 45.7366386, 4.793365 45.7366967, 4.7934981 45.7367933)",
5105806,False,,Chemin de la Chonchance,residential,,True,102.98100000000001,"LINESTRING (4.7912675 45.7363794, 4.79118 45.7362743, 4.7919395 45.7358374, 4.7921044 45.7358131)",
144552269,False,,Allée Alban Vistel,unclassified,30,False,103.173,"LINESTRING (4.7887018 45.7338269, 4.7886587 45.7335365, 4.7886327 45.7333735, 4.7886374 45.7333124, 4.7886709 45.733268, 4.788752 45.7332468, 4.7890538 45.7332264, 4.7891799 45.7332179)",
"[144552267, 144552269]",False,,Allée Alban Vistel,unclassified,30,True,159.46599999999998,"LINESTRING (4.7887018 45.7338269, 4.7887504 45.7341099, 4.7888268 45.7341988, 4.7888598 45.7344024, 4.7888894 45.7345847, 4.7889131 45.7347306, 4.7889238 45.7347961, 4.7889304 45.7348367, 4.7889406 45.7348998, 4.7889482 45.7349466, 4.788957 45.7350014, 4.7889722 45.7350952, 4.7889952 45.7352376)",
516473474,False,,Allée Alban Vistel,residential,,True,71.229,"LINESTRING (4.7887018 45.7338269, 4.7887942 45.7337866, 4.7895361 45.7335618)",
516473474,False,,Allée Alban Vistel,residential,,False,71.229,"LINESTRING (4.7895361 45.7335618, 4.7887942 45.7337866, 4.7887018 45.7338269)",
516711886,False,,,residential,,True,112.088,"LINESTRING (4.7987469 45.7400139, 4.797345 45.7402565)",
516711886,False,,,residential,,False,112.088,"LINESTRING (4.797345 45.7402565, 4.7987469 45.7400139)",
"[180701084, 180701085]",False,,Avenue Maurice Jarrosson,tertiary,,False,153.60799999999998,"LINESTRING (4.797345 45.7402565, 4.7972966 45.7401347, 4.7969332 45.7392208, 4.7968829 45.7390936, 4.7968563 45.7390265, 4.7968161 45.7389253)",
144561630,False,2,Chemin des Fonts,unclassified,50,False,41.099000000000004,"LINESTRING (4.7973275 45.7388293, 4.7969806 45.7388944, 4.7968161 45.7389253)",
1217784540,False,,,residential,,False,112.969,"LINESTRING (4.7973275 45.7388293, 4.797436 45.7389937, 4.7979364 45.7397521)",
1217784540,False,,,residential,,True,112.969,"LINESTRING (4.7979364 45.7397521, 4.797436 45.7389937, 4.7973275 45.7388293)",
