osmid,name,highway,oneway,reversed,length,ref,lanes,maxspeed,geometry,junction,tunnel,width,bridge,access
"[474784862, 27311895]",Boulevard Gambetta,primary,True,False,247.421,D 813,2,,"LINESTRING (0.1687797 44.5009815, 0.1686934 44.5010774, 0.1684348 44.5014004, 0.1681006 44.5018181, 0.1679994 44.5019445, 0.1678646 44.5021131, 0.1677854 44.5022121, 0.1676813 44.5023422, 0.1675939 44.5024515, 0.1675673 44.5024847, 0.1672663 44.5028597, 0.1672258 44.5029108)",,,,,
254340003,Boulevard Meyniel,primary,True,False,27.25,D 813,2,,"LINESTRING (0.1640919 44.5041445, 0.16404 44.5041526, 0.1639592 44.5041653, 0.1637517 44.5041725)",,,,,
989330003,,residential,True,False,17.991999999999997,,,,"LINESTRING (0.1640919 44.5041445, 0.16403 44.5041227, 0.1639934 44.5040132)",,,,,
30648845,,unclassified,False,False,7.593,,,,"LINESTRING (0.1620925 44.5032783, 0.16215 44.5032237)",,,,,
30648852,Rue du Stade,residential,True,False,142.203,,,,"LINESTRING (0.1620925 44.5032783, 0.1615045 44.504029, 0.1611383 44.5043566)",,,,,
254340001,Boulevard Meyniel,primary,True,False,101.697,D 813,2,50,"LINESTRING (0.1620925 44.5032783, 0.162023 44.5032446, 0.1619382 44.5032035, 0.1616807 44.503116, 0.1609342 44.5028908)",,,,,
105180720,Rue Roturier,residential,False,False,127.505,,,,"LINESTRING (0.1609342 44.5028908, 0.1599575 44.5034445, 0.1596735 44.5036024)",,,,,
254340001,Boulevard Meyniel,primary,True,False,160.074,D 813,2,50,"LINESTRING (0.1609342 44.5028908, 0.1604328 44.5027363, 0.1602494 44.5026608, 0.1600865 44.5025451, 0.1595437 44.5020496, 0.159452 44.5019659)",,,,,
989367683,Boulevard du Docteur Raymond Fourcade,primary,True,False,8.588,,2,,"LINESTRING (0.168682 44.5009487, 0.1687298 44.5008794)",,,,,
330146998,Rue Charles de Gaulle,residential,True,False,35.559,D 933,,30,"LINESTRING (0.168682 44.5009487, 0.1683568 44.5007987, 0.1683051 44.5007755)",,,,,
27311897,Allées Gambetta,residential,False,False,16.59,,,,"LINESTRING (0.1691772 44.5010881, 0.1691199 44.5011898, 0.1690971 44.5012259)",,,,,
105155363,Avenue du Maréchal Foch,secondary,True,False,33.683,D 933M,3,50,"LINESTRING (0.1691772 44.5010881, 0.1689502 44.5010257, 0.1689032 44.5010128, 0.1687797 44.5009815)",,,,,
157692543,Avenue du Général Leclerc,primary,True,False,15.775,D 933,1,,"LINESTRING (0.159452 44.5019659, 0.1593301 44.502078)",,,,,
254340001,Boulevard Meyniel,primary,True,False,6.811,D 813,2,50,"LINESTRING (0.159452 44.5019659, 0.1594024 44.5019159)",,,,,
105155749,Rue de la République,primary,False,False,8.51,D 813,3,,"LINESTRING (0.1677952 44.4966425, 0.1677102 44.4966892)",,,,,
140562301,Boulevard de Maré,primary,True,False,67.104,D 813,2,,"LINESTRING (0.1677952 44.4966425, 0.1679944 44.4968238, 0.1683222 44.4971146)",,,,,
156487594,Avenue du Maréchal Joffre,tertiary,False,True,35.88,D 299,2,30,"LINESTRING (0.1695462 44.4979127, 0.1697072 44.4978608, 0.1699585 44.4977799)",,,,,
474801575,Avenue du Maréchal Joffre,tertiary,True,False,31.741,D 299,,30,"LINESTRING (0.1695462 44.4979127, 0.1693898 44.4979984, 0.169358 44.4980159, 0.1692864 44.4980673, 0.169236 44.4980921)",,,,,
30648856,,residential,False,True,15.457,,,,"LINESTRING (0.1637517 44.5041725, 0.1637699 44.5040341)",,,,,
30648856,,residential,False,False,22.558999999999997,,,,"LINESTRING (0.1637517 44.5041725, 0.163744 44.5042238, 0.1637248 44.5042451, 0.1636996 44.5042731, 0.1636294 44.5043511)",,,,,
254340003,Boulevard Meyniel,primary,True,False,35.662,D 813,2,,"LINESTRING (0.1637517 44.5041725, 0.1636478 44.5041626, 0.1634933 44.5041475, 0.1633162 44.5041006)",,,,,
908369980,Rue Truquet,residential,True,False,42.787,,,30,"LINESTRING (0.1604335 44.5026538, 0.1607379 44.5023361)",,,,,
474762229,Boulevard Meyniel,primary,True,False,150.527,D 813,2,,"LINESTRING (0.1604335 44.5026538, 0.160709 44.5027431, 0.1615785 44.503015, 0.1617067 44.5030551, 0.1619898 44.5031419, 0.162089 44.5031845, 0.16215 44.5032237)",,,,,
26373833,,primary,False,False,7.773,,4,,"LINESTRING (0.1589948 44.5013867, 0.1588982 44.5013985)",,,,,
157692544,Rue de la Libération,residential,False,False,39.655,,3,30,"LINESTRING (0.1589948 44.5013867, 0.1591687 44.5013083, 0.1591959 44.5012961, 0.1594175 44.5011962)",,,,,
985193245,Boulevard Meyniel,primary,True,False,66.274,D 813,2,,"LINESTRING (0.1589948 44.5013867, 0.1591082 44.501495, 0.1593313 44.5017082, 0.1594905 44.5018665)",,,,,
30648814,Rue du Docteur Courret,residential,True,False,217.02,,,30,"LINESTRING (0.1667724 44.5001161, 0.1663206 44.5006219, 0.1661436 44.5008878, 0.1657391 44.5016557, 0.1655401 44.5018459)",,,,,
"[254333226, 105155364]","['Place Clemenceau', 'Rue Charles de Gaulle']",living_street,True,False,84.926,D 933,,20,"LINESTRING (0.1667724 44.5001161, 0.1662265 44.4998921, 0.1661248 44.4998302, 0.1659089 44.4996742)",,,,,
105180108,Chemin de Ronde Puygueraud,residential,True,False,122.43100000000001,,,30,"LINESTRING (0.1683051 44.5007755, 0.1684913 44.5005029, 0.1685251 44.5004051, 0.1685636 44.5002381, 0.1686287 44.4997123)",,,,,
330146998,Rue Charles de Gaulle,residential,True,False,72.779,D 933,,30,"LINESTRING (0.1683051 44.5007755, 0.1678846 44.5005542, 0.1675483 44.5004063)",,,,,
30648821,Rue Martignac,residential,True,False,61.829,,,30,"LINESTRING (0.1675376 44.5016028, 0.1668803 44.5013038)",,,,,
105180108,Chemin de Ronde Puygueraud,residential,True,False,42.671,,,30,"LINESTRING (0.1675376 44.5016028, 0.1678335 44.5012823)",,,,,
105180108,Chemin de Ronde Puygueraud,residential,True,False,130.079,,,30,"LINESTRING (0.1666543 44.5025885, 0.1675376 44.5016028)",,,,,
30648815,Rue Albert Solleville,residential,True,False,50.75,,,30,"LINESTRING (0.1666543 44.5025885, 0.1670894 44.5028332, 0.1671568 44.5028711)",,,,,
105152156,Rue Henri Dunant,residential,True,False,237.59199999999998,,,30,"LINESTRING (0.1666543 44.5025885, 0.166282 44.5027965, 0.1659592 44.5028995, 0.1639791 44.5035315)",,,,,
30648809,Rue du Fougard,residential,False,False,36.9,,,30,"LINESTRING (0.1639791 44.5035315, 0.1639103 44.5032033)",,,,,
30648809,Rue du Fougard,residential,False,True,5.947,,,30,"LINESTRING (0.1639791 44.5035315, 0.1639927 44.5035841)",,,,,
30648809,Rue du Fougard,residential,False,False,29.958,,,30,"LINESTRING (0.1640421 44.5038512, 0.1639998 44.5036225, 0.1639927 44.5035841)",,,,,
989370295,,residential,True,False,16.201,,,,"LINESTRING (0.1640421 44.5038512, 0.1640992 44.5039022, 0.1641172 44.5039816)",,,,,
105152066,Rue des Carmes,residential,False,False,10.637,,,30,"LINESTRING (0.1638229 44.502507, 0.1638172 44.5024571, 0.1637612 44.5024351)",,,,,
821951226,,residential,False,True,7.673,,,30,"LINESTRING (0.1638229 44.502507, 0.1638054 44.5025356, 0.1637591 44.502554)",,,,,
908369977,Rue du Docteur Courret,residential,False,True,40.352000000000004,,,30,"LINESTRING (0.1638229 44.502507, 0.1638801 44.5024975, 0.164011 44.5024673, 0.164299 44.5023808)",,,,,
30648809,Rue du Fougard,residential,False,True,36.9,,,30,"LINESTRING (0.1639103 44.5032033, 0.1639791 44.5035315)",,,,,
30648809,Rue du Fougard,residential,False,False,73.33699999999999,,,30,"LINESTRING (0.1639103 44.5032033, 0.1638284 44.5027356, 0.1637867 44.5026262, 0.1637591 44.502554)",,,,,
30648810,Rue Talèze,residential,False,False,134.469,,,30,"LINESTRING (0.1639103 44.5032033, 0.1646226 44.5030023, 0.1643116 44.5024049, 0.164299 44.5023808)",,,,,
30648810,Rue Talèze,residential,False,True,134.469,,,30,"LINESTRING (0.164299 44.5023808, 0.1643116 44.5024049, 0.1646226 44.5030023, 0.1639103 44.5032033)",,,,,
908369977,Rue du Docteur Courret,residential,False,False,40.352000000000004,,,30,"LINESTRING (0.164299 44.5023808, 0.164011 44.5024673, 0.1638801 44.5024975, 0.1638229 44.502507)",,,,,
908369977,Rue du Docteur Courret,residential,False,True,66.346,,,30,"LINESTRING (0.164299 44.5023808, 0.164575 44.5022762, 0.1648442 44.5021622, 0.1649594 44.5021084, 0.1650207 44.5020798)",,,,,
30648811,Impasse Magdeleine,residential,False,False,114.40800000000002,,,,"LINESTRING (0.1702387 44.5018526, 0.1700417 44.5017217, 0.1699873 44.5016856, 0.1690971 44.5012259)",,,,,
27311897,Allées Gambetta,residential,False,False,33.62,,,,"LINESTRING (0.1690971 44.5012259, 0.1690638 44.5012745, 0.1689935 44.5013773, 0.1689744 44.501405, 0.1689111 44.5014976)",,,,,
27311897,Allées Gambetta,residential,False,True,16.59,,,,"LINESTRING (0.1690971 44.5012259, 0.1691199 44.5011898, 0.1691772 44.5010881)",,,,,
30648811,Impasse Magdeleine,residential,False,True,114.40800000000002,,,,"LINESTRING (0.1690971 44.5012259, 0.1699873 44.5016856, 0.1700417 44.5017217, 0.1702387 44.5018526)",,,,,
27311897,Allées Gambetta,residential,False,True,15.717,,,,"LINESTRING (0.1688241 44.5016246, 0.1689111 44.5014976)",,,,,
474791742,Allées Gambetta,residential,True,False,105.43,,,,"LINESTRING (0.1688241 44.5016246, 0.1687731 44.5016811, 0.1684058 44.5019378, 0.1679985 44.5022225, 0.1679678 44.5022439, 0.1678909 44.5022977)",,,,,
30648936,Rue Parreau,residential,True,False,109.02799999999999,,,30,"LINESTRING (0.1674557 44.5003685, 0.167617 44.500144, 0.1679057 44.4998521, 0.1681541 44.4995261)",,,,,
330146998,Rue Charles de Gaulle,residential,True,False,61.031,D 933,,30,"LINESTRING (0.1674557 44.5003685, 0.1674097 44.5003501, 0.1667724 44.5001161)",,,,,
30648815,Rue Albert Solleville,residential,True,False,70.104,,,30,"LINESTRING (0.1655401 44.5018459, 0.166153 44.5023002)",,,,,
908369977,Rue du Docteur Courret,residential,False,False,48.717999999999996,,,30,"LINESTRING (0.1655401 44.5018459, 0.1654907 44.5018672, 0.1652172 44.5019919, 0.1651866 44.5020058, 0.1650782 44.5020542, 0.1650207 44.5020798)",,,,,
30648815,Rue Albert Solleville,residential,True,False,51.071,,,30,"LINESTRING (0.166153 44.5023002, 0.1666543 44.5025885)",,,,,
30648817,Rue du Pin,residential,True,False,126.157,,,30,"LINESTRING (0.166153 44.5023002, 0.166346 44.5021336, 0.1666506 44.5017634, 0.1668278 44.5013706, 0.1668803 44.5013038)",,,,,
1094590955,,residential,True,False,7.031,,1,50,"LINESTRING (0.1671568 44.5028711, 0.1672258 44.5029108)",,,,,
"[985193248, 254340153]",Boulevard Gambetta,primary,True,False,134.964,D 813,2,,"LINESTRING (0.1671568 44.5028711, 0.167514 44.5024189, 0.1675574 44.5023641, 0.1676007 44.5023092, 0.1679921 44.5018136)",,,,,
330146998,Rue Charles de Gaulle,residential,True,False,8.462,D 933,,30,"LINESTRING (0.1675483 44.5004063, 0.1674557 44.5003685)",,,,,
30648820,Rue Traversière,residential,True,False,66.121,,,30,"LINESTRING (0.1671062 44.5009916, 0.1678335 44.5012823)",,,,,
105166952,Rue Lagauzère,residential,True,False,73.926,,,30,"LINESTRING (0.1671062 44.5009916, 0.1675483 44.5004063)",,,,,
105180108,Chemin de Ronde Puygueraud,residential,True,False,67.636,,,30,"LINESTRING (0.1678335 44.5012823, 0.1683051 44.5007755)",,,,,
105166952,Rue Lagauzère,residential,True,False,39.065,,,30,"LINESTRING (0.1668803 44.5013038, 0.1671062 44.5009916)",,,,,
30648821,Rue Martignac,residential,True,False,42.996,,,30,"LINESTRING (0.1679921 44.5018136, 0.1675376 44.5016028)",,,,,
254340153,Boulevard Gambetta,primary,True,False,110.655,D 813,2,,"LINESTRING (0.1679921 44.5018136, 0.1680178 44.5017822, 0.16836 44.5013643, 0.1685809 44.5010784, 0.1686129 44.501037, 0.168682 44.5009487)",,,,,
30648823,Rue d'Onzac,residential,True,False,57.96,,,30,"LINESTRING (0.1650207 44.5020798, 0.1649792 44.5020361, 0.1647706 44.5018161, 0.1646657 44.5017012, 0.1646292 44.5016408)",,,,,
908369977,Rue du Docteur Courret,residential,False,False,66.346,,,30,"LINESTRING (0.1650207 44.5020798, 0.1649594 44.5021084, 0.1648442 44.5021622, 0.164575 44.5022762, 0.164299 44.5023808)",,,,,
908369977,Rue du Docteur Courret,residential,False,True,48.718,,,30,"LINESTRING (0.1650207 44.5020798, 0.1650782 44.5020542, 0.1651866 44.5020058, 0.1652172 44.5019919, 0.1654907 44.5018672, 0.1655401 44.5018459)",,,,,
821951225,Rue des Carmes,residential,True,False,119.841,,,30,"LINESTRING (0.1637698 44.5013577, 0.1637843 44.5019105, 0.1637631 44.5023912, 0.1637612 44.5024351)",,,,,
155584596,Rue du Pas Saint-Georges,residential,True,False,76.304,,,30,"LINESTRING (0.1646292 44.5016408, 0.164501 44.5016041, 0.164362 44.5015479, 0.1643378 44.5015381, 0.1642203 44.5014685, 0.1641464 44.5014348, 0.1640602 44.5014022, 0.1638912 44.5013662, 0.1637698 44.5013577)",,,,,
155584598,Rue d'Onzac,residential,True,False,149.78600000000003,,,30,"LINESTRING (0.1646292 44.5016408, 0.1646151 44.5015956, 0.1646197 44.5015361, 0.1646284 44.5015006, 0.1646326 44.5014811, 0.1646611 44.5013971, 0.1646967 44.5012951, 0.1648102 44.5010099, 0.1648643 44.5007368, 0.164936 44.5004777, 0.1649992 44.5003947, 0.1650385 44.5003633, 0.1650581 44.5003477)",,,,,
254325662,Rue Mercadé,residential,False,True,30.223,,,30,"LINESTRING (0.1633525 44.5007559, 0.1636587 44.5005941)",,,,,
30648825,Rue Pierre Bérégovoy,residential,True,False,75.453,,,30,"LINESTRING (0.1633525 44.5007559, 0.163436 44.5008477, 0.1634455 44.5008581, 0.1634662 44.5008808, 0.1634761 44.5008917, 0.1635906 44.501031, 0.1636557 44.5011243, 0.163758 44.5012708, 0.1637698 44.5013577)",,,,,
"[493618178, 150909964]",Rue des 9 Fontaines,living_street,True,False,101.187,,,20,"LINESTRING (0.1650581 44.5003477, 0.1651293 44.5002891, 0.1652397 44.5002042, 0.1653113 44.5001477, 0.1655542 44.4999241, 0.1655978 44.499909, 0.1659089 44.4996742)",,,,,
30648829,,living_street,True,False,27.316999999999997,,,20,"LINESTRING (0.1646391 44.5001558, 0.1647299 44.5001113, 0.1648302 44.5001298, 0.1649141 44.5001419, 0.1649487 44.5001625)",roundabout,,,,
30648832,Rue des Adouberies,living_street,True,False,214.85399999999998,,,20,"LINESTRING (0.1646391 44.5001558, 0.1646066 44.5001177, 0.1645118 44.5000729, 0.1641482 44.5000213, 0.1637203 44.4999065, 0.1633513 44.4997719, 0.1631635 44.499688, 0.1624805 44.4991016)",,,,,
30648829,,living_street,True,False,5.475,,,20,"LINESTRING (0.164625 44.500204, 0.1646391 44.5001558)",roundabout,,,,
30648834,Rue Pierre Bérégovoy,residential,False,False,81.506,,,30,"LINESTRING (0.164625 44.500204, 0.1641719 44.5003269, 0.1639312 44.5004609, 0.1637334 44.5005548)",,,,,
254325662,Rue Mercadé,residential,False,False,30.223,,,30,"LINESTRING (0.1636587 44.5005941, 0.1633525 44.5007559)",,,,,
254325662,Rue Mercadé,residential,False,True,7.362,,,30,"LINESTRING (0.1636587 44.5005941, 0.1637334 44.5005548)",,,,,
"[157696187, 30648837, 157696183]","['Rue Victor Schoelcher', 'Square de Verdun']",residential,True,False,184.551,,,30,"LINESTRING (0.1636587 44.5005941, 0.1628694 44.5000564, 0.1627952 44.4999982, 0.1627741 44.4999607, 0.1626189 44.4998834, 0.1625278 44.4998235, 0.1622061 44.4996118, 0.1621699 44.4995946, 0.162143 44.4995818, 0.1619535 44.4994747)",,yes,,,
254325664,Place Alfred Neuville,residential,True,False,32.766,,,30,"LINESTRING (0.1630049 44.5009134, 0.1630327 44.5008986, 0.1631787 44.5008206, 0.1633525 44.5007559)",,,,,
30648836,Rue Pasteur,residential,True,False,87.614,,,30,"LINESTRING (0.1622319 44.5020964, 0.1611982 44.5018184)",,,,,
254325663,Rue Mercadé,residential,True,False,101.155,,,30,"LINESTRING (0.1622319 44.5020964, 0.1622958 44.5019038, 0.1624517 44.5015604, 0.1627051 44.5012597)",,,,,
30648846,Rue du Général Duport,residential,True,False,84.739,,,30,"LINESTRING (0.1622753 44.5003589, 0.1623425 44.500393, 0.1626647 44.5006289, 0.1630049 44.5009134)",,,,,
30648846,Rue du Général Duport,residential,True,False,88.18900000000001,,,30,"LINESTRING (0.1615407 44.4997711, 0.1615532 44.499812, 0.1622753 44.5003589)",,,,,
908369981,Rue de la Libération,residential,True,False,46.458999999999996,,,30,"LINESTRING (0.1615407 44.4997711, 0.1615905 44.4997379, 0.1619535 44.4994747)",,,,,
157692544,Rue de la Libération,residential,False,True,3.973,,3,30,"LINESTRING (0.1594611 44.5011786, 0.1594377 44.5011881, 0.1594175 44.5011962)",,,,,
474762228,Rue de la Libération,residential,True,False,16.861,,,30,"LINESTRING (0.1594611 44.5011786, 0.1595706 44.5011111, 0.1596219 44.5010794)",,,,,
30648836,Rue Pasteur,residential,True,False,32.443,,,30,"LINESTRING (0.1597654 44.5013736, 0.1594611 44.5011786)",,,,,
30648836,Rue Pasteur,residential,True,False,123.929,,,30,"LINESTRING (0.1611982 44.5018184, 0.1602552 44.5015264, 0.1597654 44.5013736)",,,,,
30648838,Rue de la Rose,residential,True,False,100.452,,,30,"LINESTRING (0.1611982 44.5018184, 0.1613824 44.5013458, 0.1616553 44.5010378, 0.1616921 44.500997)",,,,,
105152066,Rue des Carmes,residential,False,True,10.637,,,30,"LINESTRING (0.1637612 44.5024351, 0.1638172 44.5024571, 0.1638229 44.502507)",,,,,
821951227,,residential,False,True,8.003,,,30,"LINESTRING (0.1637612 44.5024351, 0.1637164 44.502444, 0.1636771 44.50246, 0.1636729 44.5024658)",,,,,
254325662,Rue Mercadé,residential,False,False,7.362,,,30,"LINESTRING (0.1637334 44.5005548, 0.1636587 44.5005941)",,,,,
30648834,Rue Pierre Bérégovoy,residential,False,True,81.506,,,30,"LINESTRING (0.1637334 44.5005548, 0.1639312 44.5004609, 0.1641719 44.5003269, 0.164625 44.500204)",,,,,
254325664,Place Alfred Neuville,residential,True,False,45.256,,,30,"LINESTRING (0.1627051 44.5012597, 0.1630049 44.5009134)",,,,,
908369971,Passage Saint-Georges,residential,False,False,31.046,,,30,"LINESTRING (0.1627051 44.5012597, 0.1623372 44.5011643)",,,,,
30648838,Rue de la Rose,residential,True,False,84.698,,,30,"LINESTRING (0.1616921 44.500997, 0.1622753 44.5003589)",,,,,
30648839,Passage Saint-Georges,residential,True,False,54.439,,,30,"LINESTRING (0.1616921 44.500997, 0.1623372 44.5011643)",,,,,
30648840,Rue Paul Gérard,residential,False,True,154.63,,,30,"LINESTRING (0.1607379 44.5023361, 0.1613039 44.5025143, 0.1620864 44.5027606, 0.1625137 44.5026114)",,,,,
105180719,Rue Truquet,residential,True,False,68.165,,,30,"LINESTRING (0.1607379 44.5023361, 0.1611867 44.5018313, 0.1611982 44.5018184)",,,,,
908369979,Rue Paul Gérard,residential,True,False,139.298,,,30,"LINESTRING (0.1607379 44.5023361, 0.1596904 44.5014567, 0.159756 44.501384, 0.1597654 44.5013736)",,,,,
908369978,Rue Paul Gérard,residential,False,False,20.345,,,30,"LINESTRING (0.1625137 44.5026114, 0.1626614 44.502761)",,,,,
30648840,Rue Paul Gérard,residential,False,False,154.63,,,30,"LINESTRING (0.1625137 44.5026114, 0.1620864 44.5027606, 0.1613039 44.5025143, 0.1607379 44.5023361)",,,,,
30648809,Rue du Fougard,residential,False,False,5.947,,,30,"LINESTRING (0.1639927 44.5035841, 0.1639791 44.5035315)",,,,,
30648841,,residential,True,False,44.317,,,30,"LINESTRING (0.1639927 44.5035841, 0.1634429 44.5036554)",,,,,
30648809,Rue du Fougard,residential,False,True,29.958,,,30,"LINESTRING (0.1639927 44.5035841, 0.1639998 44.5036225, 0.1640421 44.5038512)",,,,,
474777097,Place du 14 Juillet,residential,False,True,20.21,,,30,"LINESTRING (0.1634429 44.5036554, 0.1634139 44.5036185, 0.1633172 44.5034973)",,,,,
908369978,Rue Paul Gérard,residential,False,True,96.995,,,30,"LINESTRING (0.1633172 44.5034973, 0.1626614 44.502761)",,,,,
474777097,Place du 14 Juillet,residential,False,False,20.21,,,30,"LINESTRING (0.1633172 44.5034973, 0.1634139 44.5036185, 0.1634429 44.5036554)",,,,,
30648836,Rue Pasteur,residential,True,False,47.0,,,30,"LINESTRING (0.162785 44.5022482, 0.1622319 44.5020964)",,,,,
30648843,Rue du Port Saint-Louis,residential,True,False,45.76,,,30,"LINESTRING (0.162785 44.5022482, 0.1627716 44.5022662, 0.1625137 44.5026114)",,,,,
30648845,,unclassified,False,True,7.593,,,,"LINESTRING (0.16215 44.5032237, 0.1620925 44.5032783)",,,,,
474762229,Boulevard Meyniel,primary,True,False,35.53,D 813,2,,"LINESTRING (0.16215 44.5032237, 0.1624761 44.5034428)",,,,,
157700079,Rue du Port Saint-Louis,residential,True,False,65.513,,,30,"LINESTRING (0.1626614 44.502761, 0.16215 44.5032237)",,,,,
908369978,Rue Paul Gérard,residential,False,False,96.995,,,30,"LINESTRING (0.1626614 44.502761, 0.1633172 44.5034973)",,,,,
908369978,Rue Paul Gérard,residential,False,True,20.345,,,30,"LINESTRING (0.1626614 44.502761, 0.1625137 44.5026114)",,,,,
30648848,Rue Touratte,residential,True,False,148.605,,,30,"LINESTRING (0.1605573 44.4991706, 0.1604473 44.4992554, 0.1602674 44.4993459, 0.1599755 44.4994928, 0.1596203 44.4996715, 0.1593043 44.4998305, 0.1590486 44.4999592)",,,,,
105152455,Rue de l'Observance,residential,True,False,103.19,,,30,"LINESTRING (0.1605573 44.4991706, 0.1606088 44.499222, 0.1608379 44.4993341, 0.1611359 44.4994893, 0.1614895 44.499733, 0.1615407 44.4997711)",,,,,
30648848,Rue Touratte,residential,True,False,133.27,,,30,"LINESTRING (0.1590486 44.4999592, 0.1591643 44.5002469, 0.159263 44.5004924, 0.1593579 44.5007284, 0.1595965 44.5010457, 0.1596219 44.5010794)",,,,,
105156660,Petite Rue Touratte,residential,False,False,55.475,,,30,"LINESTRING (0.1590486 44.4999592, 0.1590434 44.499908, 0.1589894 44.4998677, 0.1589382 44.4998361, 0.1585096 44.4999928)",,,,,
105156660,Petite Rue Touratte,residential,False,True,16.939999999999998,,,30,"LINESTRING (0.1580223 44.500182, 0.1581521 44.500135, 0.1582128 44.5001131)",,,,,
474762228,Rue de la Libération,residential,True,False,210.697,,,30,"LINESTRING (0.1596219 44.5010794, 0.1601418 44.5007659, 0.1603142 44.5006293, 0.1603563 44.5005998, 0.1605173 44.5004868, 0.1605484 44.500465, 0.1615407 44.4997711)",,,,,
105156660,Petite Rue Touratte,residential,False,False,27.075,,,30,"LINESTRING (0.1585096 44.4999928, 0.1582128 44.5001131)",,,,,
105156660,Petite Rue Touratte,residential,False,True,55.474999999999994,,,30,"LINESTRING (0.1585096 44.4999928, 0.1589382 44.4998361, 0.1589894 44.4998677, 0.1590434 44.499908, 0.1590486 44.4999592)",,,,,
30648849,Chemin de Ronde Porte de la Grave,residential,True,False,151.95999999999998,,,30,"LINESTRING (0.1594175 44.5011962, 0.1593825 44.5011509, 0.1592096 44.5009273, 0.1590945 44.5007681, 0.1585096 44.4999928)",,,,,
157692544,Rue de la Libération,residential,False,False,3.973,,3,30,"LINESTRING (0.1594175 44.5011962, 0.1594377 44.5011881, 0.1594611 44.5011786)",,,,,
157692544,Rue de la Libération,residential,False,True,39.655,,3,30,"LINESTRING (0.1594175 44.5011962, 0.1591959 44.5012961, 0.1591687 44.5013083, 0.1589948 44.5013867)",,,,,
474762226,Avenue Jean Jaurès,primary,False,True,18.435,D 813,3,50,"LINESTRING (0.1579905 44.5018098, 0.1580987 44.5017608, 0.1581867 44.5017209)",,,,,
30648856,,residential,False,True,22.558999999999997,,,,"LINESTRING (0.1636294 44.5043511, 0.1636996 44.5042731, 0.1637248 44.5042451, 0.163744 44.5042238, 0.1637517 44.5041725)",,,,,
30648857,,residential,True,False,37.321,,,,"LINESTRING (0.1636294 44.5043511, 0.1635488 44.5042867, 0.1634335 44.5041944, 0.1633162 44.5041006)",,,,,
"[254340001, 254340003]",Boulevard Meyniel,primary,True,False,85.9,D 813,2,50,"LINESTRING (0.1633162 44.5041006, 0.1632202 44.5040482, 0.1630571 44.50395, 0.1625213 44.5035769)",,,,,
30648893,Rue Sallefranque,residential,True,False,57.373,,,,"LINESTRING (0.1691674 44.4994964, 0.169889 44.4995328)",,,,,
474801567,Boulevard du Docteur Raymond Fourcade,primary,True,False,57.083,D 813,2,,"LINESTRING (0.1691674 44.4994964, 0.16914 44.4998803, 0.1691264 44.5000089)",,,,,
105176406,Rue Bayle de Seyches,residential,True,False,50.357,,,30,"LINESTRING (0.1679596 44.4983985, 0.1684875 44.4982495, 0.16855 44.4982319)",,,,,
105176406,Rue Bayle de Seyches,residential,True,False,38.75,,,30,"LINESTRING (0.1675514 44.49859, 0.1679596 44.4983985)",,,,,
30648921,Rue Barthe,residential,False,True,88.25300000000001,,,30,"LINESTRING (0.1675514 44.49859, 0.1674524 44.4984959, 0.1673017 44.4981891, 0.1670554 44.4978853)",,,,,
30648904,Impasse Langeot,residential,False,False,76.051,,,,"LINESTRING (0.1701541 44.4985411, 0.1696013 44.4986391, 0.1692252 44.4987107)",,,,,
