osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction
19794356,,,Rue Jean Dussourd,residential,True,False,95.968,"LINESTRING (2.2905934 48.9076793, 2.2914057 48.9071444, 2.2915165 48.9070656)",30,
242937123,,,Rue du Château,residential,False,False,92.711,"LINESTRING (2.2907851 48.9087256, 2.2907068 48.9086847, 2.2905574 48.9086139, 2.2899031 48.908194, 2.2898761 48.9081767, 2.2898524 48.9081624)",,
242937123,,,Rue du Château,residential,False,True,112.43599999999999,"LINESTRING (2.2907851 48.9087256, 2.2908546 48.9087729, 2.2908915 48.9087985, 2.291002 48.9088964, 2.2918094 48.9094059, 2.2918738 48.9094371)",,
19794360,,,Rue Barreau,residential,True,False,90.39500000000001,"LINESTRING (2.2914796 48.9082464, 2.2906389 48.9077088, 2.2905934 48.9076793)",30,
19794377,,,Rue Maurice Pellerin,residential,True,False,73.603,"LINESTRING (2.2914796 48.9082464, 2.2914361 48.9082798, 2.2908347 48.9086887, 2.2908148 48.9087035, 2.2907851 48.9087256)",30,
35594408,2,D 909,Grande Rue Charles de Gaulle,secondary,False,False,8.221,"LINESTRING (2.2860507 48.9064681, 2.2859854 48.9065283)",50,
117343777,,,Rue de Verdun,residential,True,False,24.122,"LINESTRING (2.2847856 48.9082326, 2.2846762 48.9083367, 2.2846605 48.9083522, 2.2845811 48.9084015)",30,
835820535,3,D 9,Avenue de la Marne,secondary,False,False,39.972,"LINESTRING (2.2834293 48.9076029, 2.2830502 48.9073438)",,
835820535,3,D 9,Avenue de la Marne,secondary,False,True,1.982,"LINESTRING (2.2834293 48.9076029, 2.2834477 48.907616)",,
19794576,2,,Allée des Anciens Combattants,living_street,False,False,81.056,"LINESTRING (2.2834293 48.9076029, 2.2834899 48.9075611, 2.2835093 48.9075446, 2.2841086 48.9070271)",,
25766277,,,Rue Montesquieu,residential,True,False,105.075,"LINESTRING (2.2941178 48.914995, 2.2940815 48.9149069, 2.2937093 48.914089)",,
"[264570586, 264570587, 632310909]",,D 15,Boulevard Voltaire,secondary,False,True,82.06700000000001,"LINESTRING (2.2941178 48.914995, 2.2941517 48.9149694, 2.2941866 48.9149419, 2.2942127 48.914918, 2.2942352 48.9148938, 2.2942624 48.9148596, 2.2942761 48.914844, 2.2942815 48.9148379, 2.2946743 48.9143558)",50,
337853045,,D 909,Avenue d'Argenteuil,secondary,False,True,22.572,"LINESTRING (2.2830783 48.9147651, 2.2831745 48.9145722)",50,
23185042,,,Rue de l'Alma,residential,True,False,66.10900000000001,"LINESTRING (2.2830783 48.9147651, 2.2831602 48.9148001, 2.2836282 48.9149893, 2.2838365 48.9150888)",30,
117343762,,,,unclassified,False,True,7.404,"LINESTRING (2.2954253 48.9123137, 2.2953584 48.9123637)",,
824470169,,D 9,Rue Pierre Brossolette,secondary,False,True,3.155,"LINESTRING (2.2954253 48.9123137, 2.2954575 48.9123326)",50,
884171862,,D 9,Rue Pierre Brossolette,secondary,False,False,69.18199999999999,"LINESTRING (2.2954253 48.9123137, 2.2953402 48.9122634, 2.2948462 48.9119444, 2.2948258 48.9119312, 2.2947435 48.9118822)",50,
25826603,,,Rue Montesquieu,residential,True,False,102.736,"LINESTRING (2.2947435 48.9118822, 2.2948279 48.9118364, 2.295647 48.911243, 2.2956688 48.9112277, 2.2956991 48.9112055)",30,
