osmid,highway,oneway,reversed,length,geometry,name,bridge,maxspeed,tunnel,lanes,junction
27257241,residential,True,False,97.15200000000002,"LINESTRING (1.8486368 50.9499854, 1.8486527 50.9501144, 1.8486594 50.9501688, 1.8486655 50.9502467, 1.8486667 50.9502917, 1.848665 50.950335, 1.8486598 50.9504097, 1.8486589 50.950455, 1.8486663 50.9506738, 1.8486654 50.95071, 1.8486629 50.950755, 1.8486551 50.9508045, 1.8486442 50.9508576)",Rue du 11 Novembre,,50,,1,
27757190,tertiary,False,False,28.046,"LINESTRING (1.8594854 50.9550235, 1.8592933 50.9552448)",,,,,,
27757190,tertiary,False,True,44.31699999999999,"LINESTRING (1.8594854 50.9550235, 1.8595366 50.9549632, 1.8596278 50.9548602, 1.8596719 50.9548039, 1.8597046 50.954769, 1.8597428 50.9547342, 1.8597951 50.9546763)",,,,,,
"[1081100593, 102660669, 1038021511]",residential,True,False,371.15800000000013,"LINESTRING (1.8594854 50.9550235, 1.8591868 50.9549372, 1.8589266 50.9548737, 1.8583022 50.9547187, 1.8578591 50.9546088, 1.8576705 50.954562, 1.8575551 50.9545336, 1.8574526 50.9545113, 1.8573496 50.9544927, 1.8572328 50.9544756, 1.8571201 50.954461, 1.8570911 50.9544572, 1.856948 50.9544397, 1.8569102 50.9544302, 1.8568721 50.9544133, 1.8568372 50.9543894, 1.8568092 50.9543599, 1.8567956 50.9543295, 1.8567915 50.9542944, 1.8568003 50.9542584, 1.8568182 50.954227, 1.8568499 50.9541913, 1.8568865 50.9541547, 1.857136 50.9539781, 1.8572715 50.9538806, 1.8574509 50.9537484, 1.8574941 50.9537137, 1.8575329 50.9536808, 1.8577415 50.9534916, 1.8578642 50.9533829, 1.8579314 50.9533234, 1.8580533 50.9532148, 1.8581516 50.9531427)",Quai de la Moselle,,30,,,
102660659,tertiary,True,False,45.382999999999996,"LINESTRING (1.8580402 50.9562333, 1.8579725 50.9562824, 1.8579257 50.9563231, 1.8578854 50.9563669, 1.8578507 50.9564154, 1.8578335 50.9564515, 1.857828 50.9564661, 1.8578114 50.95651, 1.8578009 50.9565356, 1.8577965 50.9565464, 1.8577805 50.9565732, 1.8577636 50.9565958)",,,,,,
"[1042250963, 583041820]",tertiary,False,True,57.806,"LINESTRING (1.8580402 50.9562333, 1.8584114 50.9560166, 1.8584651 50.955987, 1.8585203 50.955959, 1.8586575 50.9558886)",,yes,,,,
659501402,tertiary,True,False,410.11300000000006,"LINESTRING (1.853457 50.9541777, 1.8530135 50.9541868, 1.8526554 50.9541935, 1.8524959 50.9541953, 1.8523697 50.9541986, 1.8514296 50.9542307, 1.8513272 50.9542335, 1.8512229 50.9542382, 1.8510541 50.9542459, 1.8508583 50.9542527, 1.850688 50.9542577, 1.850574 50.9542581, 1.850487 50.9542571, 1.8503273 50.9542569, 1.8502174 50.9542543, 1.8500497 50.9542497, 1.8480456 50.9541991, 1.8479883 50.9541978, 1.8479415 50.9541994, 1.8478972 50.9542019, 1.8478167 50.9542062, 1.8477502 50.9542116, 1.8476087 50.9542183)",Avenue Pierre de Coubertin,,,,2,
53646802,residential,False,False,83.77900000000001,"LINESTRING (1.8548608 50.9535119, 1.8549053 50.9534563, 1.8553741 50.9528314)",Rue du Pont Lottin,,,,,
102448654,tertiary,False,True,83.95100000000001,"LINESTRING (1.8548608 50.9535119, 1.8548156 50.9534964, 1.8546094 50.9534264, 1.8543734 50.9533503, 1.854263 50.9533173, 1.854151 50.9532894, 1.8540259 50.9532615, 1.8539108 50.9532386, 1.8537662 50.9532099)",Rue Paul Bert,,,,2,
"[209195872, 209213890, 940042432]",tertiary,False,False,79.24499999999999,"LINESTRING (1.8548608 50.9535119, 1.8550033 50.9535567, 1.8554298 50.9536908, 1.8555468 50.953728, 1.8556488 50.9537585, 1.8557668 50.9537914, 1.8558817 50.9538179)",Rue Paul Bert,,,,2,
102448788,residential,False,True,87.747,"LINESTRING (1.8498574 50.9547899, 1.8488289 50.9548018, 1.8487236 50.9548031, 1.8486049 50.9548044)",Quai de l'Escaut,,,,,
993991905,residential,True,False,33.496,"LINESTRING (1.8498574 50.9547899, 1.8502176 50.9547589, 1.8502387 50.9547574, 1.8502589 50.9547545, 1.8502796 50.9547498, 1.8503257 50.9547365)",Quai de l'Escaut,,,,,
27257239,residential,True,False,203.855,"LINESTRING (1.8515379 50.949842, 1.850609 50.949888, 1.8487658 50.9499794, 1.8486368 50.9499854)",Rue des Quatre Coins,,,,,
28591395,residential,True,False,57.352000000000004,"LINESTRING (1.8515379 50.949842, 1.85153 50.9497926, 1.8514663 50.9493282)",Rue Monseigneur Piedfort,,,,,
27255324,residential,True,False,147.864,"LINESTRING (1.8514421 50.9513592, 1.8532623 50.9516835, 1.8533939 50.9517063, 1.8534731 50.9517214)",Rue Aristide Briand,,,,,
28591395,residential,True,False,171.61999999999998,"LINESTRING (1.8514421 50.9513592, 1.8514649 50.951308, 1.8516895 50.9508041, 1.851576 50.9501128, 1.8515379 50.949842)",Rue Monseigneur Piedfort,,,,,
28591395,residential,True,False,88.152,"LINESTRING (1.8513969 50.948787, 1.8513152 50.9479959)",Rue Monseigneur Piedfort,,,,,
49960615,residential,True,False,184.932,"LINESTRING (1.8513969 50.948787, 1.8538767 50.9486546, 1.8540273 50.9486466)",Rue des Soupirants,,,,,
53889613,residential,True,False,204.998,"LINESTRING (1.8513152 50.9479959, 1.848457 50.9480749, 1.8483918 50.9480767)",Rue du Vauxhall,,30,,,
33138334,residential,True,False,8.266,"LINESTRING (1.8540273 50.9486466, 1.854145 50.9486414)",Rue du Temple,,30,,,
729995771,residential,True,False,54.392,"LINESTRING (1.8476373 50.9536248, 1.8484001 50.9537163)",Quai du Rhin,,,,,
585123034,residential,False,False,60.373000000000005,"LINESTRING (1.8476373 50.9536248, 1.8475715 50.9538329, 1.847536 50.9539453, 1.8475099 50.9540277, 1.8474975 50.9540617, 1.8474908 50.95409, 1.8474861 50.9541124, 1.8474803 50.9541583)",Quai du Rhin,,,,,
33131093,residential,False,True,39.117,"LINESTRING (1.8485302 50.9533742, 1.8484198 50.9536644, 1.8484001 50.9537163)",Quai du Rhin,,,,,
27257241,residential,True,False,33.183,"LINESTRING (1.848456 50.9486391, 1.8484899 50.948911, 1.8484932 50.9489366)",Rue du 11 Novembre,,50,,1,
"[157241785, 157241781]",residential,False,"[False, True]",80.482,"LINESTRING (1.848456 50.9486391, 1.84752 50.9486808, 1.8475077 50.9485484)","['Rue Magistrale', 'Rue Latteignant']",,,,,
"[53783352, 583041801, 583041800]",residential,False,False,82.803,"LINESTRING (1.8523472 50.9547643, 1.8524285 50.954839, 1.852536 50.9549354, 1.8530521 50.9553619)",Rue de la Duchesse de Kingston,,,yes,,
583041802,residential,False,False,169.87400000000002,"LINESTRING (1.8523472 50.9547643, 1.8532207 50.9547522, 1.8543434 50.9547367, 1.8545948 50.954733, 1.8547718 50.9547304)",Quai de la Tamise,,50,,,
583041802,residential,False,True,90.49499999999999,"LINESTRING (1.8523472 50.9547643, 1.8512896 50.9547758, 1.8511456 50.9547784, 1.8510555 50.9547798)",Quai de la Tamise,,50,,,
27257241,residential,True,False,57.953,"LINESTRING (1.848558 50.9494666, 1.8485663 50.9495276, 1.8486328 50.9499594, 1.8486368 50.9499854)",Rue du 11 Novembre,,50,,1,
27255324,residential,True,False,92.69000000000001,"LINESTRING (1.8473525 50.9506923, 1.8477301 50.9507089, 1.8477859 50.9507144, 1.8478475 50.9507211, 1.8485182 50.9508375, 1.8486442 50.9508576)",Rue Aristide Briand,,,,,
33131105,residential,False,True,156.535,"LINESTRING (1.8473525 50.9506923, 1.8471905 50.9520519, 1.8471852 50.9520961)",Rue de la Passerelle,,,,,
