osmid,highway,oneway,reversed,length,ref,geometry,junction,bridge
318394373,residential,False,True,16.479,,"LINESTRING (0.473234 34.9923726, 0.4734142 34.9923856)",,
323048753,residential,False,False,24.852,,"LINESTRING (0.4744229 34.9916821, 0.4746947 34.9917014)",,
"[318394373, 318394374]",residential,False,False,121.017,,"LINESTRING (0.4744229 34.9916821, 0.4743136 34.9924505, 0.4739309 34.9924229)",,
323048753,residential,False,True,45.961000000000006,,"LINESTRING (0.4744229 34.9916821, 0.474388 34.9916796, 0.4739996 34.9918957)",,
90041201,secondary,False,False,19.43,,"LINESTRING (0.4808182 34.9918283, 0.4809155 34.9919838)",,
318394624,residential,False,False,84.644,,"LINESTRING (0.4808182 34.9918283, 0.47993 34.9920519)",,
90041201,secondary,False,True,113.953,,"LINESTRING (0.4808182 34.9918283, 0.4804808 34.9910475, 0.4803592 34.9908781)",,
318394397,residential,False,False,81.768,,"LINESTRING (0.4784835 34.9925683, 0.4785975 34.9918389)",,
318394397,residential,False,True,3.559,,"LINESTRING (0.4784835 34.9925683, 0.4784781 34.9926)",,
318394624,residential,False,True,90.865,,"LINESTRING (0.4784835 34.9925683, 0.4793979 34.9922418)",,
318394624,residential,False,False,31.598,,"LINESTRING (0.4797159 34.9921283, 0.4793979 34.9922418)",,
318394624,residential,False,True,21.273,,"LINESTRING (0.4797159 34.9921283, 0.47993 34.9920519)",,
318394625,residential,False,False,60.929,,"LINESTRING (0.4797159 34.9921283, 0.480164 34.9925351)",,
90041201,secondary,False,False,84.437,,"LINESTRING (0.4809733 34.9932428, 0.4809846 34.9940021)",,
318394625,residential,False,True,44.43,,"LINESTRING (0.4809733 34.9932428, 0.4806347 34.9929552)",,
90041201,secondary,False,True,101.07300000000001,,"LINESTRING (0.4809733 34.9932428, 0.4809558 34.9925867, 0.4809648 34.9923341)",,
318394512,residential,False,False,67.616,,"LINESTRING (0.4759152 34.9883645, 0.4758252 34.9889681)",,
379583169,primary,False,False,25.455,RN 94,"LINESTRING (0.4759152 34.9883645, 0.4756373 34.9883406)",,
