osmid,highway,junction,oneway,reversed,length,geometry,name
430052174,residential,,True,False,126.854,"LINESTRING (49.0916554 32.3310211, 49.0908886 32.3310855, 49.090312 32.3311349)",شهید جمالپور
971509880,secondary,,True,False,235.332,"LINESTRING (49.0914325 32.3342256, 49.093934 32.3343337)",بلوار جهاد
971509879,secondary,roundabout,True,False,9.950000000000001,"LINESTRING (49.0914325 32.3342256, 49.0914407 32.3342469, 49.0914408 32.3342693, 49.0914329 32.3342906, 49.0914177 32.3343089)",
178798449,tertiary,,True,False,65.658,"LINESTRING (49.0913949 32.3343233, 49.0913569 32.3349129)",بلوار بسیج
971509879,secondary,roundabout,True,False,9.735,"LINESTRING (49.0913949 32.3343233, 49.0913703 32.3343303, 49.0913444 32.3343308, 49.0913195 32.3343248, 49.0912979 32.3343128)",
430052265,residential,,False,False,173.732,"LINESTRING (49.0913569 32.3349129, 49.093203 32.3350025)",اروند
178798450,tertiary,,True,False,68.212,"LINESTRING (49.091205 32.3349212, 49.0912979 32.3343128)",بلوار بسیج
430052268,residential,,False,True,135.386,"LINESTRING (49.091205 32.3349212, 49.0897659 32.3348587)",دز
178798476,secondary,,True,False,124.299,"LINESTRING (49.0912843 32.3342997, 49.0907122 32.3342828, 49.089962 32.334264)",بلوار شهید محلاتی
971509879,secondary,roundabout,True,False,9.809000000000001,"LINESTRING (49.0912843 32.3342997, 49.0912729 32.3342798, 49.0912691 32.334258, 49.0912732 32.3342362, 49.0912848 32.3342165)",
971509879,secondary,roundabout,True,False,3.078,"LINESTRING (49.0912848 32.3342165, 49.0912954 32.334206, 49.0913082 32.3341973)",
430052175,residential,,False,False,9.703,"LINESTRING (49.093934 32.3343337, 49.0939301 32.3344209)",
430052175,residential,,False,True,60.214,"LINESTRING (49.093934 32.3343337, 49.0939024 32.3342534, 49.0937783 32.3340843, 49.0937028 32.3338344)",
971509880,secondary,,True,False,153.95100000000002,"LINESTRING (49.093934 32.3343337, 49.0954355 32.3343914, 49.0955709 32.3343966)",بلوار جهاد
430052175,residential,,False,True,9.703,"LINESTRING (49.0939301 32.3344209, 49.093934 32.3343337)",
971509881,secondary,,True,False,64.277,"LINESTRING (49.0939301 32.3344209, 49.0932469 32.3343907)",بلوار جهاد
430052249,residential,,False,False,63.421,"LINESTRING (49.0970322 32.3262374, 49.0968897 32.3267949)",
430052433,residential,,False,True,88.152,"LINESTRING (49.0970322 32.3262374, 49.0976264 32.32633, 49.0979548 32.3263812)",خرداد
430052185,secondary,,True,False,111.97999999999999,"LINESTRING (49.0988267 32.3263549, 49.0986407 32.3271308, 49.0986157 32.3272479, 49.0986144 32.3273443)",
430052187,residential,,False,True,59.476,"LINESTRING (49.0979548 32.3263812, 49.0978507 32.3269088)",
430052433,residential,,False,False,88.152,"LINESTRING (49.0979548 32.3263812, 49.0976264 32.32633, 49.0970322 32.3262374)",خرداد
