osmid,oneway,ref,name,highway,junction,reversed,length,geometry,maxspeed,lanes,bridge
848945807,False,,حاجی زاده ۱ (شهید مصدقی),residential,,True,80.612,"LINESTRING (52.6454216 36.697917, 52.6448044 36.6978852, 52.6446861 36.6976767)",,,
383668644,False,,پاسداران ۲,residential,,False,107.418,"LINESTRING (52.6477238 36.6985029, 52.6474979 36.697554)",,,
53380067,True,18,پاسداران,primary,,False,204.92399999999998,"LINESTRING (52.6477238 36.6985029, 52.6486184 36.6983904, 52.6491576 36.6983226, 52.6498094 36.6982315, 52.6498695 36.6982231, 52.649965 36.698159)",60,,
383668629,False,,پاسداران ۴ (شهید حاجی زاده),residential,,False,94.322,"LINESTRING (52.6456161 36.6987508, 52.6454216 36.697917)",,,
53380067,True,18,پاسداران,primary,,False,189.92399999999998,"LINESTRING (52.6456161 36.6987508, 52.6474458 36.6985378, 52.6477238 36.6985029)",60,,
383669667,False,,شهید باهنر,residential,,True,44.864,"LINESTRING (52.6474415 36.6996977, 52.6479059 36.6998531)",,,
383669667,False,,شهید باهنر,residential,,False,44.864,"LINESTRING (52.6479059 36.6998531, 52.6474415 36.6996977)",,,
383669667,False,,شهید باهنر,residential,,True,13.631,"LINESTRING (52.6479059 36.6998531, 52.6480494 36.6998954)",,,
383669668,False,,منوچهر برومند,residential,,False,55.79,"LINESTRING (52.6479059 36.6998531, 52.6477748 36.7000802, 52.6476404 36.7001484, 52.6474944 36.7001892)",,,
383669667,False,,شهید باهنر,residential,,False,40.668,"LINESTRING (52.6484785 36.7000195, 52.6480494 36.6998954)",,,
383669667,False,,شهید باهنر,residential,,True,9.779,"LINESTRING (52.6484785 36.7000195, 52.6485817 36.7000493)",,,
383669667,False,,شهید باهنر,residential,,False,45.729,"LINESTRING (52.6497804 36.7004046, 52.6492982 36.7002644)",,,
54461558,True,,میدان شهدا (گل),secondary,roundabout,False,26.956,"LINESTRING (52.6497804 36.7004046, 52.6498282 36.7003577, 52.6498914 36.7003243, 52.649964 36.7003077, 52.6500396 36.7003092)",,3,
383669668,False,,منوچهر برومند,residential,,False,8.969,"LINESTRING (52.6460434 36.7009072, 52.6459632 36.7009559)",,,
383669668,False,,منوچهر برومند,residential,,True,47.726,"LINESTRING (52.6460434 36.7009072, 52.6464805 36.7006594)",,,
53380060,True,,طالقانی,primary,,False,161.51999999999998,"LINESTRING (52.6460434 36.7009072, 52.6463793 36.7012352, 52.647193 36.7020299)",,,
433224491,False,,شهید اصغرزاده,residential,,True,20.92,"LINESTRING (52.6518937 36.7028624, 52.6518647 36.7026757)",,,
413107280,False,,چمران ۱,residential,,False,84.25200000000001,"LINESTRING (52.6518937 36.7028624, 52.651863 36.7030848, 52.6519965 36.7036079)",,,
433224491,False,,شهید اصغرزاده,residential,,False,118.351,"LINESTRING (52.6518937 36.7028624, 52.6525273 36.7028945, 52.6528699 36.7029584, 52.6531895 36.7030536)",,,
433224491,False,,شهید اصغرزاده,residential,,False,36.279,"LINESTRING (52.6531895 36.7030536, 52.6535554 36.7031964)",,,
433224491,False,,شهید اصغرزاده,residential,,True,118.351,"LINESTRING (52.6531895 36.7030536, 52.6528699 36.7029584, 52.6525273 36.7028945, 52.6518937 36.7028624)",,,
826296082,False,,,residential,,True,35.41,"LINESTRING (52.6531895 36.7030536, 52.6532353 36.7029118, 52.6532623 36.7027412)",,,
433224491,False,,شهید اصغرزاده,residential,,True,36.279,"LINESTRING (52.6535554 36.7031964, 52.6531895 36.7030536)",,,
1026925308,False,,اصغر زاده 1,residential,,False,58.685,"LINESTRING (52.6535554 36.7031964, 52.6533884 36.7037069)",,,
826296083,False,,اصغر زاده 4,residential,,True,48.519,"LINESTRING (52.6535554 36.7031964, 52.6536374 36.7029742, 52.6536408 36.7027696)",,,
53380105,True,18,بلوار شریفی,primary,,False,70.97200000000001,"LINESTRING (52.6514629 36.6980205, 52.6510708 36.6980407, 52.6509477 36.6980562, 52.6508521 36.6980937, 52.650693 36.6981463)",60,2,
455045164,False,,,residential,,True,49.175,"LINESTRING (52.6514582 36.7001963, 52.6518058 36.7001626, 52.6520044 36.7001897)",,,
648561335,False,,,residential,,False,51.343999999999994,"LINESTRING (52.6514582 36.7001963, 52.651028 36.7002013, 52.6508827 36.7001931)",,,
648561337,True,,شریفی۲,residential,,False,131.959,"LINESTRING (52.6514582 36.7001963, 52.6513876 36.6996308, 52.6513915 36.6990124)",,,
83365474,False,,بهشتی,secondary,,False,97.18,"LINESTRING (52.6512477 36.7008919, 52.6522662 36.7012033)",,,
83365474,False,,بهشتی,secondary,,True,9.608,"LINESTRING (52.6512477 36.7008919, 52.651148 36.7008591)",,,
383673939,True,,بهشتی ۱,residential,,False,79.591,"LINESTRING (52.6512477 36.7008919, 52.6514582 36.7001963)",,,
383678650,False,,شریفی ۱,residential,,True,79.161,"LINESTRING (52.6509381 36.6964908, 52.6508621 36.6972001)",,,
627560153,True,,شهید کهن ۳,residential,,False,70.598,"LINESTRING (52.6509381 36.6964908, 52.6517274 36.6965415)",,,
23514773,False,,شریفی ۳( شهید کهن),secondary,,True,76.986,"LINESTRING (52.6517274 36.6965415, 52.6516777 36.6972327)",,,
627706320,False,,شهید کهن ۴,residential,,True,124.497,"LINESTRING (52.6517274 36.6965415, 52.6531235 36.6965637)",,,
383678650,False,,شریفی ۱,residential,,False,79.161,"LINESTRING (52.6508621 36.6972001, 52.6509381 36.6964908)",,,
627559477,True,,شهید کهن ۱,residential,,False,72.807,"LINESTRING (52.6508621 36.6972001, 52.6516777 36.6972327)",,,
727223450,True,,شریفی ۱,residential,,False,86.31,"LINESTRING (52.6508621 36.6972001, 52.6507892 36.6979741)",,,
23514773,False,,شریفی ۳( شهید کهن),secondary,,False,76.986,"LINESTRING (52.6516777 36.6972327, 52.6517274 36.6965415)",,,
627731105,False,,شهید کهن ۲,residential,,False,167.479,"LINESTRING (52.6516777 36.6972327, 52.6535502 36.6973528)",,,
23514773,False,,شریفی ۳( شهید کهن),secondary,,True,77.816,"LINESTRING (52.6516777 36.6972327, 52.6516545 36.6974884, 52.6516206 36.697931)",,,
375678889,True,18,بلوار شریفی,primary,,False,74.279,"LINESTRING (52.6507892 36.6979741, 52.6516206 36.697931)",60,,
83365484,True,,شریعتی,primary,,False,73.042,"LINESTRING (52.643627 36.7033906, 52.6434319 36.7031885, 52.6431285 36.7028693)",50,,
83365484,True,,شریعتی,primary,,False,87.543,"LINESTRING (52.6442501 36.7039991, 52.643627 36.7033906)",50,,
391663623,False,,شریعتی ۱۶,residential,,False,85.646,"LINESTRING (52.6442501 36.7039991, 52.6438773 36.7041886, 52.6436469 36.7042139, 52.6433681 36.7042676)",,,
83365484,True,,شریعتی,primary,,False,88.627,"LINESTRING (52.6448682 36.7046232, 52.6446515 36.7044017, 52.6444371 36.7041777, 52.6442501 36.7039991)",50,,
53380104,False,,,residential,,False,97.733,"LINESTRING (52.6519965 36.7036079, 52.650957 36.7038871)",,,
53380104,False,,,residential,,True,4.219,"LINESTRING (52.6519965 36.7036079, 52.6520393 36.7035917)",,,
413107280,False,,چمران ۱,residential,,True,84.25200000000001,"LINESTRING (52.6519965 36.7036079, 52.651863 36.7030848, 52.6518937 36.7028624)",,,
373417230,False,,شریفی۴,residential,,False,55.96,"LINESTRING (52.6530429 36.6984877, 52.6528102 36.6989551)",,,
373417230,False,,شریفی۴,residential,,True,65.267,"LINESTRING (52.6530429 36.6984877, 52.6531859 36.6981822, 52.6532464 36.6979261)",,,
1172648711,False,,کاشانی,residential,,False,28.288,"LINESTRING (52.6532365 36.6997976, 52.6535413 36.6998683)",,,
413114346,False,,شریفی۶,residential,,False,49.828,"LINESTRING (52.6532365 36.6997976, 52.6532049 36.6998055, 52.6526791 36.6998062)",,,
373417230,False,,شریفی۴,residential,,True,60.573,"LINESTRING (52.6526791 36.6998062, 52.6527472 36.6992642)",,,
413114346,False,,شریفی۶,residential,,True,49.828,"LINESTRING (52.6526791 36.6998062, 52.6532049 36.6998055, 52.6532365 36.6997976)",,,
648805334,False,,بهشتی ۳,residential,,False,47.076,"LINESTRING (52.6526791 36.6998062, 52.6526008 36.7001734, 52.652581 36.7002217)",,,
413116349,False,,پاسداران ۱,residential,,True,34.31,"LINESTRING (52.6492347 36.6986933, 52.6491781 36.6983881)",,,
53380067,True,18,پاسداران,primary,,False,106.85,"LINESTRING (52.6444301 36.6988888, 52.6448769 36.6988325, 52.6456161 36.6987508)",60,,
413116352,True,18,میدان خلیج فارس,primary,roundabout,False,30.774,"LINESTRING (52.6444301 36.6988888, 52.6445057 36.6989153, 52.6445654 36.698961, 52.6446021 36.6990203, 52.6446075 36.6990984)",,,
413116352,True,18,میدان خلیج فارس,primary,roundabout,False,10.606,"LINESTRING (52.6442685 36.6989032, 52.6443477 36.6988846, 52.6443841 36.6988858)",,,
413116352,True,18,میدان خلیج فارس,primary,roundabout,False,22.089,"LINESTRING (52.6441368 36.6990619, 52.6441562 36.6989975, 52.644202 36.6989424, 52.6442685 36.6989032)",,,
"[940701608, 413117098, 1180948141, 53380094]",True,18,پاسداران,primary,,False,140.793,"LINESTRING (52.6441368 36.6990619, 52.6440864 36.6990127, 52.6440274 36.6989788, 52.6439607 36.6989598, 52.6438447 36.6989492, 52.6438122 36.6989543, 52.6428096 36.6990898, 52.6426276 36.699133)",60,,yes
53380060,True,,طالقانی,primary,,False,16.186999999999998,"LINESTRING (52.6445434 36.6992072, 52.6445515 36.69933, 52.6445561 36.6993523)",,,
413116352,True,18,میدان خلیج فارس,primary,roundabout,False,29.142000000000003,"LINESTRING (52.6445434 36.6992072, 52.6444795 36.6992448, 52.6444003 36.6992634, 52.6443179 36.6992592, 52.6442423 36.6992327)",,,
413116352,True,18,میدان خلیج فارس,primary,roundabout,False,22.083000000000002,"LINESTRING (52.6442423 36.6992327, 52.6441825 36.699187, 52.6441459 36.6991277, 52.6441368 36.6990619)",,,
53380110,True,18,میدان بسیج,primary,roundabout,False,12.844,"LINESTRING (52.649965 36.698159, 52.6499971 36.6981073, 52.6500482 36.6980666)",,,
