osmid,highway,oneway,reversed,length,geometry,name,junction
396736722,residential,True,False,86.51599999999999,"LINESTRING (48.3401286 31.8786076, 48.339913 31.8780622, 48.3398391 31.8778694)",آزادی,
396736779,residential,False,False,118.93,"LINESTRING (48.3364088 31.878716, 48.337466 31.8792974)",امام صادق,
396736779,residential,False,True,189.624,"LINESTRING (48.3364088 31.878716, 48.3347232 31.877789)",امام صادق,
396736820,residential,False,True,79.369,"LINESTRING (48.3364088 31.878716, 48.3359524 31.8793154)",شهدا,
396736820,residential,False,False,71.822,"LINESTRING (48.3364088 31.878716, 48.336777 31.8782325, 48.3368291 31.8781781)",شهدا,
396736787,residential,False,False,7.712,"LINESTRING (48.3377987 31.8789738, 48.3377268 31.8790067)",,
396736787,residential,False,True,152.256,"LINESTRING (48.3377987 31.8789738, 48.3392565 31.8783886)",,
396736787,residential,False,True,7.712,"LINESTRING (48.3377268 31.8790067, 48.3377987 31.8789738)",,
396736824,residential,True,False,125.196,"LINESTRING (48.3377268 31.8790067, 48.3368291 31.8781781)",جانبازان,
396736713,residential,True,False,75.541,"LINESTRING (48.3395074 31.8790357, 48.3401286 31.8786076)",,
396736716,residential,False,True,75.754,"LINESTRING (48.3395074 31.8790357, 48.3392565 31.8783886)",مدرس,
396736779,residential,False,True,118.93,"LINESTRING (48.337466 31.8792974, 48.3364088 31.878716)",امام صادق,
396736820,residential,False,False,79.369,"LINESTRING (48.3359524 31.8793154, 48.3364088 31.878716)",شهدا,
396736826,residential,False,False,235.355,"LINESTRING (48.3359524 31.8793154, 48.3338703 31.8781518)",نخل,
