osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,tunnel
9702818,Rue de Villefranche,residential,30,True,False,20.048000000000002,"LINESTRING (3.8789193 43.6153964, 3.8789171 43.6152845, 3.8789257 43.6152164)",,,
"[180137059, 374680205]",Quai du Verdanson,secondary,30,True,False,89.065,"LINESTRING (3.8813736 43.6148518, 3.8814231 43.6148709, 3.8814372 43.6148763, 3.8815031 43.6148987, 3.8815845 43.614919, 3.8817303 43.6149418, 3.8819057 43.6149626, 3.8820773 43.614976, 3.8822243 43.6149873, 3.8823548 43.6149873, 3.8824467 43.615011)",,,
180137061,Rue Michel Vernière,tertiary,30,True,False,15.372,"LINESTRING (3.8813736 43.6148518, 3.8812718 43.6147483, 3.881263 43.6147391)",,,
188608967,Quai du Verdanson,tertiary,30,False,True,20.38,"LINESTRING (3.8813736 43.6148518, 3.8814052 43.6148804, 3.8814626 43.614928, 3.8815332 43.614994)",,,
180137061,Rue Michel Vernière,tertiary,30,True,False,70.145,"LINESTRING (3.8811767 43.614657, 3.8811181 43.6145597, 3.8810577 43.6144909, 3.8807868 43.6142219, 3.8807587 43.6141994, 3.8806726 43.6141494)",,,
180137063,Rue de Villefranche,tertiary,30,False,False,7.617,"LINESTRING (3.8789454 43.6151494, 3.8789257 43.6152164)",,,
180137058,Quai du Verdanson,secondary,30,True,False,177.07600000000002,"LINESTRING (3.8789454 43.6151494, 3.8790714 43.6151243, 3.8791384 43.6151078, 3.8805217 43.6147877, 3.8806859 43.6147506, 3.8808571 43.6147591, 3.8809748 43.6147697, 3.8810576 43.6147784)",,,
9614762,Rue Proudhon,tertiary,30,True,False,76.75099999999999,"LINESTRING (3.881281 43.6149778, 3.8812701 43.6150217, 3.8810791 43.6155723, 3.8810484 43.615647)",,,
180137056,Quai du Verdanson,secondary,30,True,False,79.79799999999999,"LINESTRING (3.881281 43.6149778, 3.8811246 43.6149558, 3.8808849 43.6149067, 3.8807863 43.6148979, 3.8807079 43.6148982, 3.8805219 43.6149209, 3.8803166 43.6149705)",,,
9614762,Rue Proudhon,tertiary,30,True,False,8.337,"LINESTRING (3.8810484 43.615647, 3.8810106 43.6157168)",,,
"[405120563, 395595067, 26578615, 405120561]",Boulevard Bonne Nouvelle,residential,30,False,"[False, True]",315.17499999999995,"LINESTRING (3.88073 43.6112961, 3.8807774 43.6114785, 3.8808239 43.6117031, 3.8808553 43.6118515, 3.8808615 43.6118979, 3.8811598 43.6132614, 3.8811718 43.6133521, 3.8811683 43.6133842, 3.8811531 43.6134064, 3.881126 43.6134284, 3.8810889 43.6134492, 3.8806504 43.6136195, 3.880509 43.6136742, 3.8804801 43.6136918, 3.8804574 43.6137202, 3.8804472 43.6137392, 3.8804414 43.6137642, 3.880439 43.6137891, 3.8804373 43.6138148)",,,
452098598,Boulevard Bonne Nouvelle,residential,30,False,False,7.792,"LINESTRING (3.88073 43.6112961, 3.880706 43.6112908, 3.8806973 43.6112602, 3.8807157 43.6112444)",,,
452098599,Boulevard Bonne Nouvelle,residential,30,False,True,7.735999999999999,"LINESTRING (3.88073 43.6112961, 3.8807489 43.6112825, 3.8807392 43.6112514, 3.8807157 43.6112444)",,,
19799492,Rue Belmont,residential,30,True,False,100.42599999999999,"LINESTRING (3.8803166 43.6149705, 3.8803227 43.6149957, 3.880339 43.6150236, 3.8809611 43.6156785, 3.8810106 43.6157168)",,,
"[180137056, 180153094]",Quai du Verdanson,secondary,30,True,False,116.42700000000002,"LINESTRING (3.8803166 43.6149705, 3.8800865 43.6150169, 3.8793301 43.6152004, 3.879212 43.6152217, 3.8790936 43.6152294, 3.879067 43.6152295, 3.8789257 43.6152164)",,,
10509791,Rue Ferdinand Fabre,residential,30,True,False,16.413,"LINESTRING (3.8774277 43.6152182, 3.8775007 43.6153312, 3.8775141 43.6153519)",,,
180152643,Quai du Verdanson,secondary,30,True,False,122.637,"LINESTRING (3.8774277 43.6152182, 3.8775891 43.6152103, 3.8779131 43.6151744, 3.8784184 43.6151655, 3.8787765 43.6151643, 3.8789329 43.6151493, 3.8789454 43.6151494)",1,,
22909489,Rue de l'Arquebuse,tertiary,30,True,False,71.61999999999999,"LINESTRING (3.8806726 43.6141494, 3.8806418 43.6141078, 3.8806315 43.6140687, 3.8806341 43.6140089, 3.8806391 43.6139925, 3.8806832 43.6138529, 3.8807057 43.6138094, 3.8807632 43.6137387, 3.8808154 43.613688, 3.8808713 43.6136436, 3.8809492 43.6135794)",,,
"[10509703, 146508127]","['Rue de Villefranche', 'Boulevard Louis Blanc']",residential,30,True,False,201.357,"LINESTRING (3.8806726 43.6141494, 3.8806023 43.6141814, 3.8805692 43.6142037, 3.8805448 43.6142299, 3.880521 43.6142532, 3.8804881 43.6142861, 3.8804597 43.614304, 3.8800704 43.6145386, 3.8799971 43.6145845, 3.8799124 43.6146211, 3.8797644 43.614668, 3.8796162 43.6146986, 3.8794211 43.6147165, 3.8792473 43.6147224, 3.8790865 43.6147355, 3.8789957 43.6147516, 3.8789883 43.6147928, 3.8789524 43.6151037, 3.8789454 43.6151494)",,,
374680477,Boulevard Louis Blanc,tertiary,30,True,False,46.602,"LINESTRING (3.8806726 43.6141494, 3.8805814 43.6141393, 3.8805476 43.614122, 3.8805254 43.6140994, 3.8805142 43.6140794, 3.8805 43.6139742, 3.8804976 43.6139466, 3.8804862 43.6139187, 3.8804707 43.6138983, 3.8804514 43.6138642, 3.8804373 43.6138148)",,,
180137061,Rue Michel Vernière,tertiary,30,True,False,11.483,"LINESTRING (3.881263 43.6147391, 3.8812232 43.614705, 3.8811767 43.614657)",,,
"[188608969, 41999653, 41999654]","['Rue de la Fontaine du Pila Saint-Gély', 'Rue du Faubourg de Nîmes']",residential,30,True,False,141.60099999999997,"LINESTRING (3.881263 43.6147391, 3.881277 43.6147091, 3.8812935 43.6146671, 3.8813082 43.6146185, 3.881318 43.6145813, 3.8813297 43.6145535, 3.8813521 43.6145181, 3.8813839 43.6144934, 3.8814318 43.6144649, 3.881468 43.6144506, 3.8815295 43.6144304, 3.881518 43.6143779, 3.8815113 43.6143425, 3.8815044 43.6142894, 3.8815014 43.6142447, 3.8814964 43.6142211, 3.8814893 43.6141995, 3.8814701 43.6141822, 3.8814461 43.6141679, 3.8813811 43.6141392, 3.8812666 43.6140988, 3.88116 43.6140678, 3.8811127 43.6140589, 3.8810221 43.6140518, 3.8809437 43.6140568, 3.8808885 43.6140666, 3.8808286 43.6140839, 3.8808024 43.6140969, 3.880793 43.6141007, 3.8807499 43.6141181, 3.8806726 43.6141494)",2,,
