osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,lanes
533174746,Rue Charan,residential,50,False,False,20.004,"LINESTRING (45.0579032 -12.7256663, 45.0579029 -12.7254864)",,,
317632342,Rue Said Toumbou,residential,50,False,True,78.737,"LINESTRING (45.0579032 -12.7256663, 45.0580256 -12.725684, 45.058104 -12.725701, 45.0581878 -12.7257285, 45.0582837 -12.7257727, 45.0583509 -12.7258006, 45.0585794 -12.7259096)",,,
"[533174746, 317632341]",Rue Charan,residential,50,False,True,102.199,"LINESTRING (45.0579032 -12.7256663, 45.0579045 -12.7257338, 45.0579075 -12.7257946, 45.0579143 -12.7258531, 45.0579243 -12.7259008, 45.0579518 -12.7259685, 45.0580034 -12.7260516, 45.0580396 -12.7261255, 45.0580853 -12.7261857, 45.0581443 -12.7262223, 45.0582019 -12.7262498, 45.0584267 -12.7263029)",,,
317633148,Rue de l'Hôtel de Ville,residential,50,False,True,15.334,"LINESTRING (45.0586861 -12.7254557, 45.058674 -12.7255931)",,,
317632343,Rue Pascal,residential,50,False,True,86.05300000000001,"LINESTRING (45.0586861 -12.7254557, 45.0585553 -12.7254289, 45.0584728 -12.7254126, 45.0584033 -12.7254164, 45.0582583 -12.7254361, 45.0581415 -12.725457, 45.0579773 -12.7254826, 45.0579029 -12.7254864)",,,
317633148,Rue de l'Hôtel de Ville,residential,50,False,False,63.818999999999996,"LINESTRING (45.0586861 -12.7254557, 45.0587097 -12.7251951, 45.0587176 -12.7251255, 45.0587431 -12.7249867, 45.0587759 -12.7248906)",,,
317632401,Rue Fatihou Soundi,residential,50,False,False,74.47899999999998,"LINESTRING (45.0593506 -12.7250524, 45.0592886 -12.7249462, 45.0592483 -12.7248334, 45.0592064 -12.7246964, 45.0591829 -12.724627, 45.0591507 -12.724578, 45.0591112 -12.7245439, 45.0590656 -12.7245184, 45.0590187 -12.7244955)",,,
317632401,Rue Fatihou Soundi,residential,50,False,True,59.959,"LINESTRING (45.0593506 -12.7250524, 45.0593707 -12.725113, 45.0593834 -12.7251679, 45.0593888 -12.7252346, 45.0593942 -12.7253086, 45.0594036 -12.7253697, 45.0594471 -12.7254878, 45.0594834 -12.7255715)",,,
317632402,Impasse Laloi,residential,,False,True,95.235,"LINESTRING (45.0593506 -12.7250524, 45.0594467 -12.7250354, 45.059545 -12.7250181, 45.0596648 -12.724995, 45.0597865 -12.7249514, 45.0598682 -12.724922, 45.0599326 -12.7249063, 45.0601056 -12.7248834, 45.0602062 -12.7248873)",,,
317633148,Rue de l'Hôtel de Ville,residential,50,False,False,15.334,"LINESTRING (45.058674 -12.7255931, 45.0586861 -12.7254557)",,,
317633148,Rue de l'Hôtel de Ville,residential,50,False,True,36.658,"LINESTRING (45.058674 -12.7255931, 45.0585794 -12.7259096)",,,
