osmid,highway,oneway,reversed,length,geometry,ref,maxspeed,name,bridge
398946364,secondary,False,False,140.72500000000002,"LINESTRING (3.4997683 45.7095537, 3.4997669 45.7096156, 3.4997147 45.7099135, 3.4996765 45.7100327, 3.4996018 45.7101477, 3.4994826 45.7102445, 3.4993561 45.7103085, 3.4992205 45.7103682, 3.4987944 45.7104415)",D 58,80,,
398946364,secondary,False,True,302.625,"LINESTRING (3.4997683 45.7095537, 3.4997449 45.7091546, 3.499746 45.7087406, 3.4997907 45.7085715, 3.500193 45.7070973, 3.5002077 45.7069667, 3.5002036 45.7068623)",D 58,80,,
123303988,tertiary,False,False,56.419999999999995,"LINESTRING (3.5071846 45.7100362, 3.5070564 45.7100512, 3.5067937 45.7100573, 3.5065122 45.7100477, 3.5064608 45.7100424)",D 303,,Route du Forez,
1244602666,unclassified,False,True,335.217,"LINESTRING (3.5071846 45.7100362, 3.5071532 45.7099001, 3.5071184 45.7098495, 3.5070446 45.7098223, 3.5067147 45.7097352, 3.5065404 45.7096884, 3.5064666 45.709636, 3.5064022 45.7095526, 3.5063535 45.709428, 3.5062272 45.7088581, 3.5061074 45.7084103, 3.5060458 45.7080779, 3.5060102 45.7077997, 3.5060426 45.7073813, 3.5060469 45.7073589)",,,Rue des Écoles,
1244602676,residential,False,False,29.459,"LINESTRING (3.5058564 45.7069547, 3.5060938 45.706892, 3.5062188 45.7069003)",,,Impasse du Marronnier,
1244602677,residential,False,True,34.904,"LINESTRING (3.5015488 45.7127834, 3.5013604 45.7124984)",,,Impasse du Gros Chêne,
1244602678,residential,False,True,45.125,"LINESTRING (3.5065041 45.7076094, 3.5060469 45.7073589)",,,Impasse du Grand Frêne,
1244602678,residential,False,False,45.125,"LINESTRING (3.5060469 45.7073589, 3.5065041 45.7076094)",,,Impasse du Grand Frêne,
1244602666,unclassified,False,False,335.21700000000004,"LINESTRING (3.5060469 45.7073589, 3.5060426 45.7073813, 3.5060102 45.7077997, 3.5060458 45.7080779, 3.5061074 45.7084103, 3.5062272 45.7088581, 3.5063535 45.709428, 3.5064022 45.7095526, 3.5064666 45.709636, 3.5065404 45.7096884, 3.5067147 45.7097352, 3.5070446 45.7098223, 3.5071184 45.7098495, 3.5071532 45.7099001, 3.5071846 45.7100362)",,,Rue des Écoles,
1244602666,unclassified,False,True,52.775,"LINESTRING (3.5060469 45.7073589, 3.5060556 45.7073134, 3.5061786 45.7069832, 3.5062188 45.7069003)",,,Rue des Écoles,
108099234,unclassified,False,True,215.185,"LINESTRING (3.5062188 45.7069003, 3.5062466 45.706843, 3.5063697 45.7067345, 3.5065414 45.706592, 3.5066709 45.7064359, 3.5067357 45.7062346, 3.5068037 45.705875, 3.5068976 45.7056624, 3.5071178 45.7053322, 3.507236 45.7051349)",,,,
1244602666,unclassified,False,False,52.775,"LINESTRING (3.5062188 45.7069003, 3.5061786 45.7069832, 3.5060556 45.7073134, 3.5060469 45.7073589)",,,Rue des Écoles,
1244602676,residential,False,True,29.459,"LINESTRING (3.5062188 45.7069003, 3.5060938 45.706892, 3.5058564 45.7069547)",,,Impasse du Marronnier,
1244602680,residential,False,True,21.099000000000004,"LINESTRING (3.5062188 45.7069003, 3.5061742 45.7068723, 3.506132 45.7068358, 3.5060851 45.7067403)",,,Impasse du Bout du Monde,
1244602680,residential,False,False,21.099,"LINESTRING (3.5060851 45.7067403, 3.506132 45.7068358, 3.5061742 45.7068723, 3.5062188 45.7069003)",,,Impasse du Bout du Monde,
