osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,bridge,junction
44028625,True,Rue Georges Buttard,unclassified,,False,134.006,"LINESTRING (5.3587267 45.9578597, 5.3585329 45.9577928, 5.3582715 45.9577187, 5.3573734 45.9571295)",,,
43943930,True,Rue Aimé Vingtrinier,residential,,False,28.409,"LINESTRING (5.3590835 45.9585521, 5.3594437 45.9586028)",,,
666051965,False,Rue Robert Marcelpoil,residential,,True,58.08,"LINESTRING (5.3590835 45.9585521, 5.3590899 45.9584518, 5.3590661 45.9580302)",,,
666051965,False,Rue Robert Marcelpoil,residential,,False,37.671,"LINESTRING (5.3595169 45.9581589, 5.3590661 45.9580302)",,,
"[44028626, 44028622]",True,"['Rue de Gerland', 'Rue Robert Marcelpoil']",residential,,False,37.088,"LINESTRING (5.3595169 45.9581589, 5.3597643 45.9582149, 5.3598916 45.9582238, 5.359983 45.9582189)",,,
44028622,True,Rue de Gerland,residential,,False,76.288,"LINESTRING (5.3604459 45.9576755, 5.3606352 45.957454, 5.3602495 45.9571718, 5.3602036 45.9571491)",,,
44028627,True,Rue du Pensionnat,residential,,False,133.82500000000002,"LINESTRING (5.3604459 45.9576755, 5.3609593 45.95785, 5.361401 45.9579979, 5.36189 45.9581716, 5.3619869 45.9582212)",,,
44028622,True,Rue de Gerland,residential,,False,70.224,"LINESTRING (5.359983 45.9582189, 5.360144 45.9580293, 5.360218 45.9579422, 5.3603237 45.9578185, 5.3604459 45.9576755)",,,
44028628,True,Rue des Plattes,residential,,False,49.081,"LINESTRING (5.359983 45.9582189, 5.3600049 45.9582368, 5.3601197 45.9582731, 5.3601363 45.9583179, 5.3601476 45.9584051, 5.3602196 45.9584209, 5.3604219 45.9584515)",,,
44028621,True,Rue des Plattes,residential,,False,29.587,"LINESTRING (5.3604219 45.9584515, 5.3604014 45.9584906, 5.3602889 45.958701)",,,
56813799,False,Rue Sainte-Marie,residential,,False,110.3,"LINESTRING (5.3604219 45.9584515, 5.3604884 45.958327, 5.3608336 45.9584097, 5.3615974 45.9586449, 5.3616327 45.9586464)",,,
43943930,True,Rue Aimé Vingtrinier,residential,,False,64.55199999999999,"LINESTRING (5.3594437 45.9586028, 5.3596264 45.9586285, 5.3597629 45.9586477, 5.3598062 45.9586538, 5.3601924 45.958706, 5.3602634 45.9586985)",,,
43944508,True,Rue du Clos Dutillier,unclassified,,False,58.478,"LINESTRING (5.3588295 45.9597443, 5.3581069 45.9595886)",,,
44028631,True,Rue du Docteur Corréard,unclassified,,False,79.34,"LINESTRING (5.3588295 45.9597443, 5.3591891 45.959076)",,,
43943930,True,Rue Aimé Vingtrinier,residential,,False,91.132,"LINESTRING (5.3602889 45.958701, 5.3607183 45.9588223, 5.3610189 45.9589572, 5.3612337 45.959156)",,,
44028629,False,Rue des Vignes,unclassified,,False,160.607,"LINESTRING (5.3601133 45.9609332, 5.3602331 45.9610227, 5.3602516 45.9611033, 5.3602359 45.9612021, 5.360005 45.9617442, 5.3600025 45.9618279, 5.3600277 45.9619009, 5.36008 45.9619536, 5.360119 45.9620214, 5.3601376 45.9621045, 5.3601306 45.9621686, 5.3601524 45.9622442, 5.3602175 45.9622744)",,,
"[383960210, 68910366]",False,"['Rue Roger Vailland', 'Rue Colbert']",unclassified,50,False,31.764,"LINESTRING (5.3601133 45.9609332, 5.3601389 45.9608519, 5.3601524 45.9607354, 5.3601111 45.9606548)",,,
68910366,False,Rue Roger Vailland,unclassified,50,True,45.152,"LINESTRING (5.3601133 45.9609332, 5.3600159 45.9609755, 5.3599075 45.9610153, 5.3595916 45.9611146)",,,
