osmid,lanes,name,highway,maxspeed,oneway,reversed,length,bridge,width,geometry,ref,access,junction
4853621,2,Vilniaus g.,secondary,50,False,False,11.861,,,"LINESTRING (25.2798354 54.6881939, 25.2798508 54.6883002)",,,
"[4853621, 1163440606]",2,Vilniaus g.,secondary,50,False,True,117.81899999999999,,,"LINESTRING (25.2798354 54.6881939, 25.2798213 54.6881174, 25.2797709 54.687913, 25.2797423 54.6877999, 25.2796663 54.6874084, 25.2795925 54.6872291, 25.2795505 54.6871491)",,,
"[4853622, 1182072342]",,Vinco Kudirkos a.,residential,,False,False,226.95100000000005,,,"LINESTRING (25.2798354 54.6881939, 25.2799503 54.6881751, 25.2800118 54.6881643, 25.280357 54.6881037, 25.2807731 54.6880307, 25.281225 54.6879514, 25.2813198 54.6879347, 25.2814795 54.6879067, 25.2813294 54.6876209, 25.2813098 54.6875837, 25.2812432 54.6874568, 25.2812335 54.6874385, 25.2809994 54.6869904, 25.2809526 54.6869037)",,,
"[24610665, 379377253]",2,Gedimino pr.,secondary,"['20', '50']",False,True,94.163,,,"LINESTRING (25.2809526 54.6869037, 25.2801807 54.6870362, 25.2797476 54.687113, 25.2795505 54.6871491)",,,
"[4853622, 1182072342]",,Vinco Kudirkos a.,residential,,False,True,226.951,,,"LINESTRING (25.2809526 54.6869037, 25.2809994 54.6869904, 25.2812335 54.6874385, 25.2812432 54.6874568, 25.2813098 54.6875837, 25.2813294 54.6876209, 25.2814795 54.6879067, 25.2813198 54.6879347, 25.281225 54.6879514, 25.2807731 54.6880307, 25.280357 54.6881037, 25.2800118 54.6881643, 25.2799503 54.6881751, 25.2798354 54.6881939)",,,
1212686593,2,Gedimino pr.,secondary,20,False,False,92.778,,,"LINESTRING (25.2809526 54.6869037, 25.2811841 54.6868619, 25.2820113 54.6867125, 25.2821767 54.6866815, 25.2823292 54.6866528)",,,
"[1128299648, 135131354, 658008138]",5,T. Vrublevskio g.,secondary,50,False,False,51.226,,,"LINESTRING (25.2861464 54.6859564, 25.2861978 54.6860304, 25.2862754 54.6861434, 25.2864246 54.686388)",A1;A2;A4;A14;A16,,
383777731,2,Gedimino pr.,secondary,20,False,True,58.241,,,"LINESTRING (25.2861464 54.6859564, 25.2859396 54.6859939, 25.2852817 54.6861129)",,,
"[288397923, 45552532, 747122933]",5,T. Vrublevskio g.,secondary,40,False,True,84.932,,,"LINESTRING (25.2861464 54.6859564, 25.2860842 54.6858522, 25.2858952 54.6855543, 25.2858026 54.6854047, 25.2857597 54.6853125, 25.2857326 54.6852321)",A3;A15;101,,
"[207255939, 83105221, 1128299646, 1128299647]","['5', '6']",T. Vrublevskio g.,secondary,50,False,True,233.61499999999998,,,"LINESTRING (25.2880366 54.6882613, 25.2878306 54.6879468, 25.287188 54.6873296, 25.2869903 54.6871379, 25.2868028 54.686956, 25.2867132 54.6868544, 25.2866487 54.686754, 25.2864246 54.686388)",A1;A2;A4;A14;A16,,
"[83105223, 24571624, 411714827, 386060652, 24571635, 215799226]",3,"['T. Vrublevskio g.', 'Rinktinės g.', 'Karaliaus Mindaugo tiltas']",secondary,50,False,False,147.93200000000002,yes,19.7,"LINESTRING (25.2880366 54.6882613, 25.2880905 54.6883973, 25.2881347 54.6885428, 25.2882054 54.6888381, 25.2882493 54.6890107, 25.2883869 54.6894505, 25.2884006 54.6894956, 25.2884235 54.6895723)",,,
"[383777732, 386060653, 1164820374]","['4', '5']",Žygimantų g.,primary,50,False,True,210.766,,,"LINESTRING (25.2880366 54.6882613, 25.2878216 54.6883195, 25.2876974 54.6883677, 25.2871202 54.6885942, 25.2867581 54.6887374, 25.2865307 54.6888378, 25.2864223 54.6888979, 25.2859367 54.6891939, 25.2855246 54.6894568)",A1;A2;A4;A14;A16,,
35460569,,Totorių g.,residential,40,False,True,161.074,,,"LINESTRING (25.2826335 54.6835123, 25.2826145 54.6835458, 25.2825774 54.6837392, 25.2825339 54.6839906, 25.2825257 54.6840356, 25.2824941 54.6841581, 25.2824148 54.6843207, 25.2823397 54.6844658, 25.2823291 54.6844872, 25.282265 54.6846364, 25.2822302 54.6847604, 25.2822236 54.6847915, 25.2821983 54.6849344)",,,
"[379377257, 142899305, 824096917]",1,"['Totorių g.', 'Benediktinių g.']",residential,40,True,False,137.216,,5,"LINESTRING (25.2826335 54.6835123, 25.2827153 54.6833805, 25.2827232 54.6833583, 25.2827253 54.683341, 25.282724 54.6833247, 25.2827184 54.6833039, 25.2827076 54.6832839, 25.2826918 54.6832677, 25.2826634 54.6832535, 25.2826112 54.6832398, 25.2817567 54.6830248, 25.2814871 54.6829547, 25.2811733 54.6828439)",,,
4947312,2,Liejyklos g.,residential,40,True,False,206.549,,,"LINESTRING (25.2796576 54.6828257, 25.2797731 54.6828491, 25.2802331 54.6829697, 25.2807253 54.6830996, 25.281667 54.6833514, 25.2816955 54.6833557, 25.2821477 54.6834459, 25.2825069 54.6834973, 25.2826335 54.6835123)",,,
383777733,2,A. Goštauto g.,primary,50,True,False,43.105,,,"LINESTRING (25.2765178 54.691103, 25.2763895 54.6911128, 25.2761343 54.691134, 25.2760089 54.6911426, 25.2759383 54.6911441, 25.2758518 54.6911424)",A1;A2;A4;A14;A16,,
70014428,3,A. Goštauto g.,primary,50,True,False,29.288,,,"LINESTRING (25.2787338 54.690912, 25.278284 54.6909543)",A1;A2;A4;A14;A16,,
7645698,2,,primary_link,50,True,False,48.65200000000001,,,"LINESTRING (25.2787338 54.690912, 25.2786256 54.6908902, 25.27853 54.6908573, 25.2784625 54.6908218, 25.2784139 54.690782, 25.2783791 54.6907268, 25.2783748 54.6906806, 25.2783841 54.6906311, 25.2784207 54.690585)",,,
"[661445600, 1171265445, 1171265798]",,Tilto g.,residential,20,True,False,299.7840000000001,,,"LINESTRING (25.2802956 54.6899103, 25.2804062 54.6898759, 25.2807498 54.6897689, 25.2809469 54.6896868, 25.2810459 54.6896455, 25.2817712 54.6892593, 25.2818582 54.6892129, 25.2822669 54.6889953, 25.2823657 54.6889427, 25.2825525 54.6888449, 25.2828478 54.6886907, 25.2829183 54.688654, 25.2834237 54.688422, 25.2835999 54.6883313, 25.283731 54.6882395, 25.2838228 54.6881661)",,,
624250625,,Tilto g.,living_street,20,True,False,50.025999999999996,,,"LINESTRING (25.2838228 54.6881661, 25.2838835 54.6880422, 25.2839098 54.6879496, 25.2839562 54.6877239)",,,
4872025,,K. Sirvydo g.,living_street,20,True,False,68.095,,,"LINESTRING (25.2839562 54.6877239, 25.2838824 54.6876402, 25.2837708 54.6875492, 25.283314 54.6872396)",,,
218724504,,Tilto g.,living_street,20,True,False,104.83099999999999,,,"LINESTRING (25.2839562 54.6877239, 25.2840706 54.6875682, 25.2842239 54.6874096, 25.2844932 54.6871635, 25.2848386 54.6869386)",,,
405502127,,,living_street,20,False,True,19.967,,,"LINESTRING (25.2848386 54.6869386, 25.2846732 54.6867866)",,,
1157023226,,Tilto g.,living_street,20,True,False,40.437,,,"LINESTRING (25.2848386 54.6869386, 25.2853232 54.6867067)",,,
35460569,,Totorių g.,residential,40,False,True,8.129,,,"LINESTRING (25.2821983 54.6849344, 25.2821916 54.6850074)",,,
"[7647443, 1165455755, 1165455718, 533963223]",,Odminių g.,living_street,20,False,False,275.061,,,"LINESTRING (25.2821983 54.6849344, 25.282266 54.6849352, 25.283398 54.6849125, 25.283458 54.6849112, 25.2835137 54.6849102, 25.2837658 54.6849154, 25.2839392 54.6849368, 25.2840421 54.6849578, 25.284098 54.6849692, 25.2841661 54.6849898, 25.2842275 54.6850084, 25.2843435 54.6850562, 25.2844673 54.6851162, 25.2845541 54.6851752, 25.2846131 54.6852264, 25.2846898 54.6852998, 25.2847276 54.685346, 25.2847582 54.6853876, 25.2848256 54.6854803, 25.2852508 54.6860675, 25.2852817 54.6861129)",,,
35460569,,Totorių g.,residential,40,False,False,161.074,,,"LINESTRING (25.2821983 54.6849344, 25.2822236 54.6847915, 25.2822302 54.6847604, 25.282265 54.6846364, 25.2823291 54.6844872, 25.2823397 54.6844658, 25.2824148 54.6843207, 25.2824941 54.6841581, 25.2825257 54.6840356, 25.2825339 54.6839906, 25.2825774 54.6837392, 25.2826145 54.6835458, 25.2826335 54.6835123)",,,
4925698,,Universiteto g.,residential,40,False,False,101.19800000000001,,,"LINESTRING (25.2859627 54.6848175, 25.2860644 54.6846629, 25.2864609 54.6842659, 25.2867156 54.6840204)",,,
216011435,2,Šventaragio g.,secondary,40,False,False,48.727,,,"LINESTRING (25.2859627 54.6848175, 25.2857924 54.6850707, 25.2857402 54.6851591, 25.2857326 54.6852321)",A3;A15;101,,
4925698,,Universiteto g.,residential,40,False,True,101.198,,,"LINESTRING (25.2867156 54.6840204, 25.2864609 54.6842659, 25.2860644 54.6846629, 25.2859627 54.6848175)",,,
5045308,,Liejyklos g.,living_street,20,True,False,200.141,,4,"LINESTRING (25.2867156 54.6840204, 25.2861884 54.6839519, 25.2848042 54.683765, 25.2842055 54.6836852, 25.2839372 54.6836495, 25.2838419 54.6836503, 25.2837548 54.683658, 25.2836822 54.6836754)",,,
7647528,,Universiteto g.,living_street,20,False,True,134.46,,,"LINESTRING (25.2867156 54.6840204, 25.2867355 54.6839682, 25.2867072 54.683718, 25.2866069 54.6832464, 25.28661 54.6832139, 25.286653 54.683169, 25.2866643 54.683144, 25.2866623 54.6831208, 25.286532 54.6828908, 25.2865112 54.6828372)",,,
8020993,,S. Skapo g.,living_street,20,False,False,109.13300000000001,,,"LINESTRING (25.2867156 54.6840204, 25.2870597 54.6839653, 25.2874714 54.6838993, 25.2875728 54.6838827, 25.2877168 54.6838592, 25.2879132 54.6838198, 25.2883397 54.6837358)",,,
4925914,3,A. Goštauto g.,primary,50,True,False,74.5,,,"LINESTRING (25.2798834 54.690826, 25.2787338 54.690912)",A1;A2;A4;A14;A16,,
"[376016137, 383777732, 4872022]",4,Žygimantų g.,primary,50,False,False,410.928,,,"LINESTRING (25.2798834 54.690826, 25.2801433 54.6908164, 25.2806649 54.6907962, 25.2812139 54.6907767, 25.2815043 54.6907659, 25.2823242 54.6907264, 25.2826593 54.6906891, 25.2829279 54.6906277, 25.283116 54.6905755, 25.2833535 54.690502, 25.2836735 54.6903904, 25.2841593 54.6901991, 25.2845106 54.6900381, 25.2847466 54.6899122, 25.2848224 54.6898717, 25.2851458 54.6896892, 25.2855246 54.6894568)",A1;A2;A4;A14;A16,,
4872023,1,A. Vienuolio g.,residential,50,True,False,32.347,,,"LINESTRING (25.278284 54.6909543, 25.2781244 54.6909234, 25.2780709 54.6908954, 25.2780387 54.6908621, 25.2779906 54.6907518)",,,
383777733,2,A. Goštauto g.,primary,50,True,False,114.73299999999999,,,"LINESTRING (25.278284 54.6909543, 25.2779303 54.6909893, 25.2776162 54.6910204, 25.2768853 54.6910758, 25.2766554 54.6910939, 25.2765178 54.691103)",A1;A2;A4;A14;A16,,
"[207255939, 83105221, 1128299646, 1128299647]","['5', '6']",T. Vrublevskio g.,secondary,50,False,False,233.61499999999998,,,"LINESTRING (25.2864246 54.686388, 25.2866487 54.686754, 25.2867132 54.6868544, 25.2868028 54.686956, 25.2869903 54.6871379, 25.287188 54.6873296, 25.2878306 54.6879468, 25.2880366 54.6882613)",A1;A2;A4;A14;A16,,
"[1128299648, 135131354, 658008138]",5,T. Vrublevskio g.,secondary,50,False,True,51.226,,,"LINESTRING (25.2864246 54.686388, 25.2862754 54.6861434, 25.2861978 54.6860304, 25.2861464 54.6859564)",A1;A2;A4;A14;A16,,
30572658,2,Vilniaus g.,primary,50,True,False,48.754,,,"LINESTRING (25.2799163 54.6900157, 25.2799029 54.6902362, 25.2798862 54.6904538)",,,
661445600,,Tilto g.,residential,20,True,False,27.049,,,"LINESTRING (25.2799163 54.6900157, 25.2800681 54.6899735, 25.2802956 54.6899103)",,,
4870204,,Žygimanto Liauksmino g.,living_street,20,True,False,88.053,,,"LINESTRING (25.283483 54.6871682, 25.2835567 54.6871399, 25.2841197 54.6869241, 25.2842541 54.6868818, 25.2844025 54.686835, 25.2845328 54.6868067, 25.2846732 54.6867866)",,,
738612497,,K. Sirvydo g.,living_street,20,False,True,77.883,,,"LINESTRING (25.283483 54.6871682, 25.2831241 54.6868185, 25.2829528 54.6866273, 25.2829139 54.6865521)",,,
1212686593,2,Gedimino pr.,secondary,20,False,False,159.838,,,"LINESTRING (25.2829139 54.6865521, 25.2852817 54.6861129)",,,
1212686593,2,Gedimino pr.,secondary,20,False,True,39.215,,,"LINESTRING (25.2829139 54.6865521, 25.2823292 54.6866528)",,,
738612497,,K. Sirvydo g.,living_street,20,False,False,77.88300000000001,,,"LINESTRING (25.2829139 54.6865521, 25.2829528 54.6866273, 25.2831241 54.6868185, 25.283483 54.6871682)",,,
"[1157023227, 607849421]",,Tilto g.,living_street,20,True,False,79.432,,,"LINESTRING (25.2853232 54.6867067, 25.2853884 54.6866849, 25.2857999 54.6865575, 25.285977 54.6864978, 25.2861258 54.6864474, 25.2862331 54.6864226, 25.2864246 54.686388)",,,
"[288397923, 45552532, 747122933]",5,T. Vrublevskio g.,secondary,40,False,False,84.932,,,"LINESTRING (25.2857326 54.6852321, 25.2857597 54.6853125, 25.2858026 54.6854047, 25.2858952 54.6855543, 25.2860842 54.6858522, 25.2861464 54.6859564)",A3;A15;101,,
216011435,2,Šventaragio g.,secondary,40,False,True,48.727,,,"LINESTRING (25.2857326 54.6852321, 25.2857402 54.6851591, 25.2857924 54.6850707, 25.2859627 54.6848175)",A3;A15;101,,
"[379528512, 4872297, 1182201363]",2,L. Stuokos-Gucevičiaus g.,"['residential', 'living_street']","['20', '40']",False,True,219.73000000000002,,,"LINESTRING (25.2857326 54.6852321, 25.2856283 54.6852109, 25.2855545 54.6851907, 25.2854901 54.6851591, 25.2854415 54.6851262, 25.2852821 54.6850185, 25.2851239 54.6848991, 25.2848847 54.6847086, 25.2848432 54.6846742, 25.2844577 54.6843499, 25.2843519 54.6842579, 25.2838925 54.6838585, 25.2837453 54.6837305, 25.2836822 54.6836754)",,,
"[379528512, 4872297, 1182201363]",2,L. Stuokos-Gucevičiaus g.,"['living_street', 'residential']","['20', '40']",False,False,219.73000000000002,,,"LINESTRING (25.2836822 54.6836754, 25.2837453 54.6837305, 25.2838925 54.6838585, 25.2843519 54.6842579, 25.2844577 54.6843499, 25.2848432 54.6846742, 25.2848847 54.6847086, 25.2851239 54.6848991, 25.2852821 54.6850185, 25.2854415 54.6851262, 25.2854901 54.6851591, 25.2855545 54.6851907, 25.2856283 54.6852109, 25.2857326 54.6852321)",,,
379528506,2,Liejyklos g.,living_street,20,False,True,52.020999999999994,,,"LINESTRING (25.2836822 54.6836754, 25.2836086 54.6836402, 25.2835429 54.6836185, 25.2830242 54.683546, 25.2829224 54.6835325)",,,
"[1164241838, 30527078, 1164241839]",1,Islandijos g.,residential,40,True,False,163.06,,,"LINESTRING (25.2771756 54.6845375, 25.277396 54.6844937, 25.2776704 54.6843878, 25.2781472 54.6841971, 25.2787376 54.6839572, 25.2789941 54.683853, 25.2791547 54.6837877, 25.2792366 54.6837586, 25.2792955 54.683741)",,,
276927962,3,Pamėnkalnio g.,primary,50,False,True,180.78999999999996,,,"LINESTRING (25.2771756 54.6845375, 25.2770193 54.6845753, 25.2769494 54.6846019, 25.2763779 54.6849289, 25.276275 54.6849883, 25.2760993 54.6850898, 25.2756966 54.685332, 25.2753801 54.6855235, 25.2753068 54.6855678, 25.2751573 54.6856581)",,,
25963591,3,A. Goštauto g.,primary,50,True,False,33.288,,,"LINESTRING (25.2779906 54.6907518, 25.2784207 54.690585)",A1;A2;A4;A14;A16,,
"[24782798, 209018935]",,"['J. Lelevelio g.', 'A. Vienuolio g.']",residential,30,False,False,411.1050000000001,,5,"LINESTRING (25.2779906 54.6907518, 25.2779451 54.6906467, 25.2777538 54.6902048, 25.2777458 54.6901862, 25.2777237 54.6901351, 25.2774656 54.6895388, 25.2774122 54.6894155, 25.2773809 54.6893432, 25.2773381 54.6892444, 25.2772898 54.6891328, 25.2772472 54.6890342, 25.2772012 54.6889281, 25.2771284 54.6887598, 25.2783176 54.6885823, 25.2789147 54.6884932, 25.2790636 54.6884715, 25.2797234 54.6883095, 25.2797864 54.688304, 25.2798508 54.6883002)",,yes,
1128299645,3,Vilniaus g.,secondary,50,True,False,49.654,,,"LINESTRING (25.2800352 54.689318, 25.2799595 54.6897624)",,,
280283233,2,Vilniaus g.,secondary,50,False,True,113.82300000000001,,,"LINESTRING (25.2800352 54.689318, 25.2800238 54.6891815, 25.2799863 54.6889846, 25.2799474 54.6888009, 25.2798826 54.6884532, 25.2798508 54.6883002)",,,
"[1170374208, 747130522, 747130523]",3,A. Jakšto g.,secondary,50,True,False,136.815,,,"LINESTRING (25.2759485 54.6898174, 25.2760741 54.6900765, 25.2761315 54.6901962, 25.2762691 54.6905056, 25.2763541 54.6906968, 25.2764534 54.6909201, 25.2764904 54.6910072)",,,
1170374626,2,A. Jakšto g.,secondary,50,True,False,77.15899999999999,,,"LINESTRING (25.275574 54.6890761, 25.2758028 54.6895252, 25.2759128 54.6897418)",,,
75381724,4,Vilniaus g.,primary,50,True,False,41.387,,,"LINESTRING (25.2798862 54.6904538, 25.2798834 54.690826)",A1;A2;A4;A14;A16,,
4872025,,K. Sirvydo g.,living_street,20,True,False,13.455,,,"LINESTRING (25.283314 54.6872396, 25.283483 54.6871682)",,,
318260034,,Šv. Jurgio g.,living_street,20,False,False,79.32300000000001,,,"LINESTRING (25.283314 54.6872396, 25.2831915 54.6872973, 25.2831445 54.6873089, 25.2831056 54.6873113, 25.2830627 54.6873043, 25.282931 54.6872446, 25.2823206 54.6869696)",,,
5098342,4,A. Goštauto g.,primary,50,True,False,79.97,,,"LINESTRING (25.2784207 54.690585, 25.2787125 54.6904277, 25.2790113 54.6902941, 25.2793173 54.6901832, 25.2794113 54.6901545)",A1;A2;A4;A14;A16,,
4853621,2,Vilniaus g.,secondary,50,False,True,11.861,,,"LINESTRING (25.2798508 54.6883002, 25.2798354 54.6881939)",,,
"[24782798, 209018935]",,"['J. Lelevelio g.', 'A. Vienuolio g.']",residential,30,False,True,411.10499999999996,,5,"LINESTRING (25.2798508 54.6883002, 25.2797864 54.688304, 25.2797234 54.6883095, 25.2790636 54.6884715, 25.2789147 54.6884932, 25.2783176 54.6885823, 25.2771284 54.6887598, 25.2772012 54.6889281, 25.2772472 54.6890342, 25.2772898 54.6891328, 25.2773381 54.6892444, 25.2773809 54.6893432, 25.2774122 54.6894155, 25.2774656 54.6895388, 25.2777237 54.6901351, 25.2777458 54.6901862, 25.2777538 54.6902048, 25.2779451 54.6906467, 25.2779906 54.6907518)",,yes,
280283233,2,Vilniaus g.,secondary,50,False,False,113.823,,,"LINESTRING (25.2798508 54.6883002, 25.2798826 54.6884532, 25.2799474 54.6888009, 25.2799863 54.6889846, 25.2800238 54.6891815, 25.2800352 54.689318)",,,
7645886,,Labdarių g.,residential,40,False,False,174.53,,,"LINESTRING (25.2794767 54.6849865, 25.2805267 54.6849991, 25.2805897 54.6849999, 25.2812668 54.6850043, 25.2821916 54.6850074)",,,
145507592,,Vilniaus g.,living_street,20,True,False,139.04000000000002,,,"LINESTRING (25.2794767 54.6849865, 25.2794258 54.6847242, 25.2794021 54.6844665, 25.2793954 54.684414, 25.2793219 54.6838377, 25.2793114 54.6837994, 25.2792955 54.683741)",,,
514446741,,Vilniaus g.,living_street,20,False,True,68.032,,3,"LINESTRING (25.2794767 54.6849865, 25.2794792 54.6850389, 25.2794846 54.6855983)",,,
35460569,,Totorių g.,residential,40,False,False,8.129,,,"LINESTRING (25.2821916 54.6850074, 25.2821983 54.6849344)",,,
7645886,,Labdarių g.,residential,40,False,True,174.53000000000003,,,"LINESTRING (25.2821916 54.6850074, 25.2812668 54.6850043, 25.2805897 54.6849999, 25.2805267 54.6849991, 25.2794767 54.6849865)",,,
"[35460569, 1165456642, 4870206, 1165456945]",,Totorių g.,residential,40,False,True,183.60899999999995,,8,"LINESTRING (25.2821916 54.6850074, 25.2821968 54.6852303, 25.2821993 54.685335, 25.2821996 54.6853665, 25.282218 54.6856126, 25.2822569 54.686052, 25.2822586 54.6861068, 25.2822654 54.6863221, 25.2822715 54.6865156, 25.2822836 54.6865761, 25.2823037 54.6866164, 25.2823292 54.6866528)",,,
1212686593,2,Gedimino pr.,secondary,20,False,True,159.838,,,"LINESTRING (25.2852817 54.6861129, 25.2829139 54.6865521)",,,
383777731,2,Gedimino pr.,secondary,20,False,False,58.241,,,"LINESTRING (25.2852817 54.6861129, 25.2859396 54.6859939, 25.2861464 54.6859564)",,,
"[7647443, 1165455755, 1165455718, 533963223]",,Odminių g.,living_street,20,False,True,275.061,,,"LINESTRING (25.2852817 54.6861129, 25.2852508 54.6860675, 25.2848256 54.6854803, 25.2847582 54.6853876, 25.2847276 54.685346, 25.2846898 54.6852998, 25.2846131 54.6852264, 25.2845541 54.6851752, 25.2844673 54.6851162, 25.2843435 54.6850562, 25.2842275 54.6850084, 25.2841661 54.6849898, 25.284098 54.6849692, 25.2840421 54.6849578, 25.2839392 54.6849368, 25.2837658 54.6849154, 25.2835137 54.6849102, 25.283458 54.6849112, 25.283398 54.6849125, 25.282266 54.6849352, 25.2821983 54.6849344)",,,
8020993,,S. Skapo g.,living_street,20,False,True,109.13300000000001,,,"LINESTRING (25.2883397 54.6837358, 25.2879132 54.6838198, 25.2877168 54.6838592, 25.2875728 54.6838827, 25.2874714 54.6838993, 25.2870597 54.6839653, 25.2867156 54.6840204)",,,
8075924,,Radvilų g.,living_street,20,True,False,180.66899999999998,,,"LINESTRING (25.2855246 54.6894568, 25.2853976 54.689373, 25.2851398 54.6891741, 25.2849809 54.6890516, 25.2849085 54.6889994, 25.2847978 54.6889195, 25.2846531 54.6888029, 25.2842703 54.6884945, 25.2839225 54.6882179, 25.2838228 54.6881661)",,,
"[383777732, 386060653, 1164820374]","['4', '5']",Žygimantų g.,primary,50,False,False,210.76600000000002,,,"LINESTRING (25.2855246 54.6894568, 25.2859367 54.6891939, 25.2864223 54.6888979, 25.2865307 54.6888378, 25.2867581 54.6887374, 25.2871202 54.6885942, 25.2876974 54.6883677, 25.2878216 54.6883195, 25.2880366 54.6882613)",A1;A2;A4;A14;A16,,
"[376016137, 383777732, 4872022]",4,Žygimantų g.,primary,50,False,True,410.928,,,"LINESTRING (25.2855246 54.6894568, 25.2851458 54.6896892, 25.2848224 54.6898717, 25.2847466 54.6899122, 25.2845106 54.6900381, 25.2841593 54.6901991, 25.2836735 54.6903904, 25.2833535 54.690502, 25.283116 54.6905755, 25.2829279 54.6906277, 25.2826593 54.6906891, 25.2823242 54.6907264, 25.2815043 54.6907659, 25.2812139 54.6907767, 25.2806649 54.6907962, 25.2801433 54.6908164, 25.2798834 54.690826)",A1;A2;A4;A14;A16,,
4924933,2,Jogailos g.,secondary,50,True,False,130.97199999999998,,,"LINESTRING (25.2782703 54.6855132, 25.2782421 54.685464, 25.2780637 54.6851775, 25.2778908 54.6850306, 25.2776762 54.6848749, 25.2774809 54.6847332, 25.2773162 54.6846325, 25.2771756 54.6845375)",,,
24715377,,A. Smetonos g.,residential,,False,True,156.958,,,"LINESTRING (25.2782703 54.6855132, 25.2780095 54.685576, 25.2772947 54.6857683, 25.2769996 54.6858505, 25.2766617 54.6859497, 25.2764162 54.6860443, 25.2762982 54.6861032, 25.2761427 54.6861877)",,,
276927962,3,Pamėnkalnio g.,primary,50,False,False,180.78999999999996,,,"LINESTRING (25.2751573 54.6856581, 25.2753068 54.6855678, 25.2753801 54.6855235, 25.2756966 54.685332, 25.2760993 54.6850898, 25.276275 54.6849883, 25.2763779 54.6849289, 25.2769494 54.6846019, 25.2770193 54.6845753, 25.2771756 54.6845375)",,,
"[1171287749, 24598965]",,K. Griniaus g.,residential,50,True,False,86.527,,,"LINESTRING (25.2761427 54.6861877, 25.2759595 54.6860764, 25.2754001 54.6857823, 25.2753218 54.6857422, 25.2751573 54.6856581)",,,
24715377,,A. Smetonos g.,residential,,False,False,156.958,,,"LINESTRING (25.2761427 54.6861877, 25.2762982 54.6861032, 25.2764162 54.6860443, 25.2766617 54.6859497, 25.2769996 54.6858505, 25.2772947 54.6857683, 25.2780095 54.685576, 25.2782703 54.6855132)",,,
553012433,2,A. Jakšto g.,secondary,50,True,False,37.457,,,"LINESTRING (25.2754299 54.6887497, 25.275574 54.6890761)",,,
24715659,,Beatričės g.,residential,,False,False,75.59100000000001,,,"LINESTRING (25.2754299 54.6887497, 25.2758793 54.6886729, 25.2761384 54.6886295, 25.2763079 54.6886082, 25.2765661 54.6885757)",,,
24715659,,Beatričės g.,residential,,False,True,75.59100000000001,,,"LINESTRING (25.2765661 54.6885757, 25.2763079 54.6886082, 25.2761384 54.6886295, 25.2758793 54.6886729, 25.2754299 54.6887497)",,,
5036752,4,K. Kalinausko g.,residential,50,False,False,137.697,,,"LINESTRING (25.2773304 54.6828389, 25.2771198 54.6828302, 25.2766085 54.6828092, 25.2761476 54.6827903, 25.2759665 54.6827916, 25.2752264 54.6827902, 25.2751913 54.6827901)",,,
