osmid,name,highway,oneway,reversed,length,bridge,geometry,junction,maxspeed
24747567,Avenida de la Constitución,residential,False,False,25.648,,"LINESTRING (-5.0328808 42.372389, -5.0325894 42.3723062)",,
197826728,Avenida Doctores Bermejo y Calderón,tertiary,False,False,135.29000000000002,,"LINESTRING (-5.0328808 42.372389, -5.032695 42.3729617, -5.0325583 42.3732267, -5.0323314 42.3735273)",,
197826728,Avenida Doctores Bermejo y Calderón,tertiary,False,True,19.782,,"LINESTRING (-5.0328808 42.372389, -5.032939 42.3722649, -5.0329604 42.3722211)",,
24747567,Avenida de la Constitución,residential,False,True,25.192,,"LINESTRING (-5.0320486 42.3721799, -5.032341 42.3722482)",,
24747567,Avenida de la Constitución,residential,False,False,62.013999999999996,,"LINESTRING (-5.0320486 42.3721799, -5.0319767 42.3721595, -5.0319204 42.3721715, -5.0315926 42.3722416, -5.0314364 42.372311, -5.0313567 42.3723502)",,
24747567,Avenida de la Constitución,residential,False,False,37.108000000000004,,"LINESTRING (-5.0313567 42.3723502, -5.031285 42.37235, -5.0312317 42.3723335, -5.0310429 42.3722565, -5.0309531 42.3722141)",,
24747567,Avenida de la Constitución,residential,False,True,62.013999999999996,,"LINESTRING (-5.0313567 42.3723502, -5.0314364 42.372311, -5.0315926 42.3722416, -5.0319204 42.3721715, -5.0319767 42.3721595, -5.0320486 42.3721799)",,
24669787,Calle la Herrería,residential,False,False,14.772,,"LINESTRING (-5.0279823 42.3693881, -5.0279577 42.3695197)",,
27021933,Avenida Fernando de Castro,tertiary,False,False,83.868,,"LINESTRING (-5.0279823 42.3693881, -5.0276878 42.369364, -5.0275752 42.3693573, -5.0269669 42.3693103)",,
27021933,Avenida Fernando de Castro,tertiary,False,True,172.752,,"LINESTRING (-5.0279823 42.3693881, -5.0293561 42.3694792, -5.0296158 42.3694766, -5.0298076 42.3694696, -5.0300779 42.369449)",,
27021931,Calle Arco de San Francisco,residential,False,False,27.553,,"LINESTRING (-5.0324576 42.3689134, -5.0324873 42.3690328, -5.0325243 42.3691562)",,
27021933,Avenida Fernando de Castro,tertiary,False,False,85.953,,"LINESTRING (-5.0324576 42.3689134, -5.0323191 42.3689424, -5.031464 42.3691552)",,
27021933,Avenida Fernando de Castro,tertiary,False,True,55.822,,"LINESTRING (-5.0324576 42.3689134, -5.0328233 42.368825, -5.0330013 42.3687871, -5.0331066 42.368765)",,
"[74208353, 68698147]",Calle Arco de San Francisco,residential,False,True,124.00399999999999,,"LINESTRING (-5.0324576 42.3689134, -5.0323812 42.3686942, -5.0323435 42.3685854, -5.032272 42.3684588, -5.0321567 42.3683372, -5.0320962 42.3683069, -5.0320286 42.3682924, -5.0319478 42.3682913, -5.0318286 42.368319, -5.0316967 42.3683884, -5.0316487 42.3684462, -5.031638 42.3684909)",,
27021931,Calle Arco de San Francisco,residential,False,True,58.881,,"LINESTRING (-5.0326126 42.3696785, -5.032613 42.3694587, -5.0325772 42.3693096, -5.0325243 42.3691562)",,
82788686,Calle la Vega,residential,False,True,124.605,,"LINESTRING (-5.0326126 42.3696785, -5.0325076 42.3697, -5.0319279 42.3697684, -5.0316495 42.3698121, -5.0311313 42.3699137)",,
197826729,Calle la Vega,residential,False,False,66.589,,"LINESTRING (-5.0326126 42.3696785, -5.0330933 42.3696151, -5.0334136 42.3695889)",,
82788690,Calle de la Alhóndiga,residential,True,False,30.231,,"LINESTRING (-5.0309531 42.3722141, -5.0308251 42.372469)",,
24747567,Avenida de la Constitución,residential,False,False,187.496,,"LINESTRING (-5.0309531 42.3722141, -5.0307199 42.3721133, -5.030632 42.3720844, -5.030028 42.371866, -5.0298682 42.3718508, -5.0298115 42.3718454, -5.0294959 42.3717847, -5.0293265 42.3717208, -5.029057 42.3716072, -5.0289056 42.3715122)",,
24747567,Avenida de la Constitución,residential,False,True,37.108000000000004,,"LINESTRING (-5.0309531 42.3722141, -5.0310429 42.3722565, -5.0312317 42.3723335, -5.031285 42.37235, -5.0313567 42.3723502)",,
24747567,Avenida de la Constitución,residential,False,False,16.593,,"LINESTRING (-5.0287289 42.3713983, -5.0286579 42.3712586)",,
24747567,Avenida de la Constitución,residential,False,True,19.264,,"LINESTRING (-5.0287289 42.3713983, -5.0289056 42.3715122)",,
27021925,Calle San Juan de Sahagún,residential,False,True,134.60299999999998,,"LINESTRING (-5.0287289 42.3713983, -5.0286129 42.3713814, -5.0282807 42.371205, -5.0279522 42.3709835, -5.0276216 42.3708156, -5.0273991 42.3707561, -5.0273722 42.3707489)",,
137309456,Avenida de la Constitución,residential,False,False,50.916,,"LINESTRING (-5.0275318 42.3705894, -5.0269306 42.3704781)",,
26555884,Avenida de la Constitución,residential,False,False,11.568999999999999,,"LINESTRING (-5.0275318 42.3705894, -5.0275928 42.3705975, -5.0276704 42.3706078)",,
31694662,Calle la Herrería,residential,False,True,22.055999999999997,,"LINESTRING (-5.0275318 42.3705894, -5.0275042 42.370617, -5.0273722 42.3707489)",,
832788664,Calle la Herrería,residential,False,False,71.153,,"LINESTRING (-5.0275318 42.3705894, -5.0276407 42.3703409, -5.0277324 42.3702455, -5.0277926 42.3701966, -5.0279148 42.3701237, -5.0280059 42.3700813)",,
27021008,Calle la Herrería,residential,False,True,68.846,,"LINESTRING (-5.0271835 42.3709523, -5.027102 42.3712207, -5.0268896 42.3715269)",,
27022455,Calle el Arco,residential,False,False,229.41300000000004,,"LINESTRING (-5.0271835 42.3709523, -5.0273329 42.371044, -5.0275763 42.3712172, -5.0276828 42.3713107, -5.0278276 42.3714197, -5.0279068 42.3714736, -5.0280315 42.3715425, -5.0281388 42.3716039, -5.0282729 42.3716812, -5.0283453 42.3717367, -5.0284407 42.3718021, -5.0285679 42.3719051, -5.0286547 42.3719874, -5.0288227 42.3721687, -5.0290972 42.3724389)",,
31694662,Calle la Herrería,residential,False,False,27.419999999999998,,"LINESTRING (-5.0271835 42.3709523, -5.0272054 42.3709287, -5.0273722 42.3707489)",,
24737304,,tertiary,True,False,21.232,,"LINESTRING (-5.0332804 42.3686871, -5.0332415 42.3686734, -5.0331985 42.3686719, -5.033158 42.3686828, -5.0331263 42.3687043, -5.0331082 42.3687332, -5.0331066 42.368765)",roundabout,
25350554,Calle de la Morería,residential,False,False,22.796,,"LINESTRING (-5.0309706 42.3754944, -5.0309202 42.3752928)",,
197826728,Avenida Doctores Bermejo y Calderón,tertiary,False,False,40.044,,"LINESTRING (-5.0309706 42.3754944, -5.030885 42.37552, -5.0305035 42.375596)",,
197826728,Avenida Doctores Bermejo y Calderón,tertiary,False,True,70.818,,"LINESTRING (-5.0309706 42.3754944, -5.031005 42.37547, -5.031315 42.37526, -5.031405 42.3751483, -5.0314612 42.3749928)",,
25350554,Calle de la Morería,residential,False,True,22.796,,"LINESTRING (-5.0309202 42.3752928, -5.0309706 42.3754944)",,
25350554,Calle de la Morería,residential,False,False,51.408,,"LINESTRING (-5.0309202 42.3752928, -5.0308543 42.3748955, -5.0308509 42.3748335)",,
27022455,Calle el Arco,residential,False,True,287.0419999999999,,"LINESTRING (-5.0309202 42.3752928, -5.0308265 42.375124, -5.0305639 42.3747764, -5.0304496 42.3745293, -5.0303075 42.3739623, -5.0301927 42.3736511, -5.0300846 42.3734541, -5.0299504 42.373233, -5.0297884 42.3730601, -5.0296309 42.3729288)",,
74208305,Calle de la Morería,residential,False,False,34.392,,"LINESTRING (-5.0307403 42.3731633, -5.030993 42.3729167)",,
25350554,Calle de la Morería,residential,False,True,111.78999999999999,,"LINESTRING (-5.0307403 42.3731633, -5.0307573 42.3736181, -5.03081 42.3741671)",,
27022624,Plaza de San Lorenzo,residential,False,False,80.862,,"LINESTRING (-5.0307403 42.3731633, -5.0304819 42.3729454, -5.030237 42.3726301, -5.0302191 42.3725573)",,
27021009,Calle San Lorenzo Portillo,residential,False,False,24.924,,"LINESTRING (-5.0296309 42.3729288, -5.0299057 42.3728338)",,
27021009,Calle San Lorenzo Portillo,residential,False,True,51.521,,"LINESTRING (-5.0296309 42.3729288, -5.0292972 42.3732409, -5.0292562 42.3732991)",,
27022455,Calle el Arco,residential,False,False,287.042,,"LINESTRING (-5.0296309 42.3729288, -5.0297884 42.3730601, -5.0299504 42.373233, -5.0300846 42.3734541, -5.0301927 42.3736511, -5.0303075 42.3739623, -5.0304496 42.3745293, -5.0305639 42.3747764, -5.0308265 42.375124, -5.0309202 42.3752928)",,
27022455,Calle el Arco,residential,False,True,70.121,,"LINESTRING (-5.0296309 42.3729288, -5.0295684 42.37289, -5.029445 42.372785, -5.0293216 42.372672, -5.0292091 42.3725519, -5.0290972 42.3724389)",,
27021009,Calle San Lorenzo Portillo,residential,False,True,24.924,,"LINESTRING (-5.0299057 42.3728338, -5.0296309 42.3729288)",,
27021925,Calle San Juan de Sahagún,residential,False,False,134.603,,"LINESTRING (-5.0273722 42.3707489, -5.0273991 42.3707561, -5.0276216 42.3708156, -5.0279522 42.3709835, -5.0282807 42.371205, -5.0286129 42.3713814, -5.0287289 42.3713983)",,
31694662,Calle la Herrería,residential,False,False,22.055999999999997,,"LINESTRING (-5.0273722 42.3707489, -5.0275042 42.370617, -5.0275318 42.3705894)",,
31694662,Calle la Herrería,residential,False,True,27.419999999999998,,"LINESTRING (-5.0273722 42.3707489, -5.0272054 42.3709287, -5.0271835 42.3709523)",,
"[74208353, 68698147]",Calle Arco de San Francisco,residential,False,False,124.00400000000002,,"LINESTRING (-5.031638 42.3684909, -5.0316487 42.3684462, -5.0316967 42.3683884, -5.0318286 42.368319, -5.0319478 42.3682913, -5.0320286 42.3682924, -5.0320962 42.3683069, -5.0321567 42.3683372, -5.032272 42.3684588, -5.0323435 42.3685854, -5.0323812 42.3686942, -5.0324576 42.3689134)",,
27021008,Calle la Herrería,residential,False,False,68.846,,"LINESTRING (-5.0268896 42.3715269, -5.027102 42.3712207, -5.0271835 42.3709523)",,
721022633,Ronda del Ferrocarril,residential,False,False,280.57,,"LINESTRING (-5.0268896 42.3715269, -5.0271748 42.3716329, -5.0274672 42.3717893, -5.0277929 42.3720322, -5.0283257 42.3725115, -5.0288778 42.3730971, -5.0292562 42.3732991)",,
"[721022633, 24669783]",Ronda del Ferrocarril,residential,False,True,77.197,,"LINESTRING (-5.0268896 42.3715269, -5.0265695 42.3714228, -5.0260829 42.371231, -5.026049 42.3712176)",,
27022456,Calle Arco de San Francisco,residential,False,False,88.60300000000001,,"LINESTRING (-5.0334136 42.3695889, -5.0331957 42.3694209, -5.0329325 42.3692984, -5.0327396 42.3692177, -5.0325243 42.3691562)",,
197826729,Calle la Vega,residential,False,False,16.227,,"LINESTRING (-5.0334136 42.3695889, -5.0334551 42.3695873, -5.033611 42.3695838)",,
197826729,Calle la Vega,residential,False,True,66.589,,"LINESTRING (-5.0334136 42.3695889, -5.0330933 42.3696151, -5.0326126 42.3696785)",,
27021931,Calle Arco de San Francisco,residential,False,False,58.881,,"LINESTRING (-5.0325243 42.3691562, -5.0325772 42.3693096, -5.032613 42.3694587, -5.0326126 42.3696785)",,
27021931,Calle Arco de San Francisco,residential,False,True,27.553,,"LINESTRING (-5.0325243 42.3691562, -5.0324873 42.3690328, -5.0324576 42.3689134)",,
27022456,Calle Arco de San Francisco,residential,False,True,88.603,,"LINESTRING (-5.0325243 42.3691562, -5.0327396 42.3692177, -5.0329325 42.3692984, -5.0331957 42.3694209, -5.0334136 42.3695889)",,
