osmid,name,highway,oneway,reversed,length,junction,geometry,maxspeed,tunnel
"[110203385, 112941810]","['Calle Galdo', 'Calle Benavente']",residential,False,"[False, True]",60.772,,"LINESTRING (-1.7015471 37.6754686, -1.7017441 37.6753832, -1.7018114 37.6753271, -1.7019474 37.6755501, -1.7019527 37.6755714, -1.70196 37.6755927)",,
79292022,Calle Romano,residential,False,False,15.979999999999999,,"LINESTRING (-1.7017875 37.6755497, -1.7018299 37.675565, -1.7019182 37.675586, -1.7019405 37.6755909, -1.70196 37.6755927)",,
79292022,Calle Romano,residential,False,True,23.0,,"LINESTRING (-1.7017875 37.6755497, -1.7016692 37.6755109, -1.7015471 37.6754686)",,
110203385,Calle Galdo,residential,False,False,4.977,,"LINESTRING (-1.7010634 37.6755983, -1.7010071 37.6755941)",,
110203385,Calle Galdo,residential,False,True,44.961999999999996,,"LINESTRING (-1.7010634 37.6755983, -1.7011776 37.6755724, -1.7015471 37.6754686)",,
112938653,Calle Padre Carlón,residential,False,False,65.259,,"LINESTRING (-1.7010634 37.6755983, -1.7011403 37.6753736, -1.7012147 37.6751519, -1.7012993 37.6750467)",,
80424130,Travesía de Zenete,residential,True,False,2.764,,"LINESTRING (-1.7006705 37.6700674, -1.7007017 37.6700702)",,
"[124462937, 124462957]","['Calle Párroco Llamas', 'Calle Juan XXIII']",residential,True,False,144.414,,"LINESTRING (-1.7006705 37.6700674, -1.7006796 37.6703252, -1.7005956 37.6708545, -1.7000509 37.670587)",,
164945837,Calle Rambilla San Lázaro,residential,False,False,5.424,,"LINESTRING (-1.7040039 37.6734047, -1.7040644 37.6733954)",,
80424107,Calle Rambilla San Lázaro,residential,True,False,64.389,,"LINESTRING (-1.7040039 37.6734047, -1.7038351 37.6734207, -1.703597 37.673406, -1.7034115 37.6733791, -1.7032868 37.6733399)",,
80424155,Calle Almazara de Bravo,residential,False,False,38.599000000000004,,"LINESTRING (-1.7040039 37.6734047, -1.7039844 37.6732854, -1.7039766 37.67316, -1.7039242 37.6730676)",,
80424118,Calle de los Guiraos,residential,False,False,70.42999999999999,,"LINESTRING (-1.7031517 37.6743753, -1.7030558 37.6742529, -1.7029228 37.674177, -1.7026047 37.6740006, -1.7025507 37.6739707)",10,
110208718,Calle Nogalte,tertiary,False,True,33.309,,"LINESTRING (-1.7005137 37.6724286, -1.7006417 37.6721467)",,
80424177,Calle Cueto,living_street,False,False,105.047,,"LINESTRING (-1.7005137 37.6724286, -1.7012156 37.6726672, -1.7016025 37.6728151)",,
110208718,Calle Nogalte,tertiary,False,False,52.778000000000006,,"LINESTRING (-1.7005137 37.6724286, -1.7003739 37.6727254, -1.7003072 37.6728742)",,
166080566,Calle del Espolón,residential,False,False,31.295,,"LINESTRING (-1.7036941 37.6709092, -1.7034094 37.6710778)",,
80424189,Calle José María Zarauz,residential,True,False,101.513,,"LINESTRING (-1.7029654 37.6734572, -1.703432 37.6735037, -1.7039001 37.6735504, -1.7040039 37.6734047)",20,
80424126,Calle Empedrada,residential,False,True,79.262,,"LINESTRING (-1.7016769 37.6741167, -1.7010609 37.6746367)",,
112939018,Calle Doña Ana Romero,residential,False,False,22.846,,"LINESTRING (-1.7016769 37.6741167, -1.7014979 37.6739679)",,
112939018,Calle Doña Ana Romero,residential,False,True,14.942,,"LINESTRING (-1.7016769 37.6741167, -1.701791 37.6742162)",,
80424181,Calle Alonso Vargas,residential,False,False,12.376,,"LINESTRING (-1.7029662 37.6719647, -1.7030996 37.6719999)",,
112955661,Calle Alonso Vargas,residential,False,False,8.083,,"LINESTRING (-1.7029662 37.6719647, -1.702877 37.6719474)",,
80424131,Calle Cabezo de los Vélez,residential,False,True,12.61,,"LINESTRING (-1.7029662 37.6719647, -1.7029648 37.6720029, -1.7029757 37.6720776)",,
80424181,Calle Alonso Vargas,residential,False,True,129.572,,"LINESTRING (-1.7041685 37.6727039, -1.7042543 37.6723854, -1.7040719 37.6723278, -1.7040733 37.6722757, -1.7034411 37.6721738, -1.7033304 37.6720898)",,
80424106,Calle Romero,residential,False,False,23.927,,"LINESTRING (-1.703196 37.6699189, -1.7029264 37.6698913)",,
80424137,Alameda Ramón y Cajal,residential,False,True,8.81,,"LINESTRING (-1.6948312 37.6741519, -1.6949156 37.6741945)",,
80424138,,residential,False,True,13.476,,"LINESTRING (-1.7038144 37.6707682, -1.703887 37.6706615)",,
