osmid,lanes,ref,highway,oneway,reversed,length,name,maxspeed,geometry
688837560,,,residential,False,False,113.946,Palm Street,40,"LINESTRING (31.545663 -18.1893215, 31.5453503 -18.1893164, 31.5445845 -18.1893049)"
688837560,,,residential,False,True,113.061,Palm Street,40,"LINESTRING (31.545663 -18.1893215, 31.5461691 -18.1893942, 31.5467218 -18.1894699)"
688837560,,,residential,False,False,30.868,Palm Street,40,"LINESTRING (31.5445845 -18.1893049, 31.5442924 -18.1892976)"
688837560,,,residential,False,True,113.946,Palm Street,40,"LINESTRING (31.5445845 -18.1893049, 31.5453503 -18.1893164, 31.545663 -18.1893215)"
689039648,,,residential,True,False,44.294000000000004,,,"LINESTRING (31.5445845 -18.1893049, 31.5444638 -18.1893979, 31.5444101 -18.1894502, 31.5443505 -18.1895266, 31.5442923 -18.1895879)"
688837560,,,residential,False,True,30.868,Palm Street,40,"LINESTRING (31.5442924 -18.1892976, 31.5445845 -18.1893049)"
688837560,,,residential,False,False,14.106,Palm Street,40,"LINESTRING (31.5442924 -18.1892976, 31.5442291 -18.1892877, 31.5441627 -18.1892686)"
689039651,,,residential,True,False,32.578,Posselt Avenue,50,"LINESTRING (31.5442924 -18.1892976, 31.5443096 -18.1894209, 31.5443104 -18.1894964, 31.5442923 -18.1895879)"
27390536,,,residential,False,False,132.294,2nd Street,60,"LINESTRING (31.5451638 -18.1910959, 31.5458348 -18.1907174, 31.5461012 -18.1905483, 31.5462211 -18.1904602)"
27390536,,,residential,False,True,220.587,2nd Street,60,"LINESTRING (31.5451638 -18.1910959, 31.5445938 -18.1914764, 31.5435874 -18.1920982, 31.543415 -18.1921763)"
689039650,,,residential,False,True,188.58300000000003,Posselt Avenue,50,"LINESTRING (31.5451638 -18.1910959, 31.5443397 -18.1899155, 31.5443136 -18.1898426, 31.5443055 -18.1897687, 31.5443014 -18.1897114, 31.5442814 -18.1896432)"
27390538,,,residential,False,True,156.472,Morris Street,60,"LINESTRING (31.5419277 -18.1927917, 31.5424721 -18.1941004)"
27390536,,,residential,False,False,171.406,2nd Street,60,"LINESTRING (31.5419277 -18.1927917, 31.5425563 -18.192538, 31.5430495 -18.1923426, 31.5431804 -18.1922825, 31.543415 -18.1921763)"
27390538,,,residential,False,False,256.613,Morris Street,60,"LINESTRING (31.5419277 -18.1927917, 31.5416613 -18.1922714, 31.5413631 -18.1915991, 31.5409503 -18.1906796)"
1251834516,,,residential,False,False,48.331,2nd,,"LINESTRING (31.5467942 -18.190006, 31.5468651 -18.1895766)"
27390536,,,residential,False,False,61.885000000000005,2nd Street,60,"LINESTRING (31.5467942 -18.190006, 31.546901 -18.1897708, 31.5470774 -18.1895215)"
27390536,,,residential,False,True,78.90299999999999,2nd Street,60,"LINESTRING (31.5467942 -18.190006, 31.54656 -18.1902097, 31.5462211 -18.1904602)"
688837560,,,residential,False,False,12.093,Palm Street,40,"LINESTRING (31.5470774 -18.1895215, 31.5469643 -18.1895047)"
688837560,,,residential,False,True,58.145,Palm Street,40,"LINESTRING (31.5470774 -18.1895215, 31.5476218 -18.1895986)"
27390536,,,residential,False,True,61.885000000000005,2nd Street,60,"LINESTRING (31.5470774 -18.1895215, 31.546901 -18.1897708, 31.5467942 -18.190006)"
27390544,,,residential,False,False,71.712,5th Street,70,"LINESTRING (31.542192 -18.1876855, 31.542152 -18.1883293)"
638733002,2,R5,trunk,False,False,85.57900000000001,,,"LINESTRING (31.542192 -18.1876855, 31.542656 -18.1877148, 31.5429993 -18.187748)"
27390544,,,residential,False,True,71.712,5th Street,70,"LINESTRING (31.542152 -18.1883293, 31.542192 -18.1876855)"
27391854,,,residential,False,False,112.79500000000002,,,"LINESTRING (31.542152 -18.1883293, 31.542837 -18.1879655, 31.5428853 -18.1879174, 31.5429349 -18.1878639, 31.5429993 -18.187748)"
27390555,,,residential,False,False,146.144,Msoso street,50,"LINESTRING (31.5462211 -18.1904602, 31.5469599 -18.1915714)"
27390536,,,residential,False,False,78.90299999999999,2nd Street,60,"LINESTRING (31.5462211 -18.1904602, 31.54656 -18.1902097, 31.5467942 -18.190006)"
27390536,,,residential,False,True,132.294,2nd Street,60,"LINESTRING (31.5462211 -18.1904602, 31.5461012 -18.1905483, 31.5458348 -18.1907174, 31.5451638 -18.1910959)"
27390555,,,residential,False,True,146.144,Msoso street,50,"LINESTRING (31.5469599 -18.1915714, 31.5462211 -18.1904602)"
27390531,2,,tertiary,False,False,177.811,1 St,60,"LINESTRING (31.5469599 -18.1915714, 31.5473768 -18.1913347, 31.5476121 -18.1911894, 31.5478984 -18.1910472, 31.5481277 -18.1909485, 31.5484616 -18.1908778)"
27390531,2,,tertiary,False,True,373.84200000000004,1 St,60,"LINESTRING (31.5469599 -18.1915714, 31.5467698 -18.1917053, 31.544508 -18.1931475, 31.5440172 -18.193438)"
27390555,,,residential,False,False,213.041,Msoso street,50,"LINESTRING (31.5469599 -18.1915714, 31.5474278 -18.192223, 31.5475161 -18.1923016, 31.5476204 -18.1923674, 31.5477887 -18.1923946, 31.548157 -18.1924878, 31.5485381 -18.1925589)"
27390555,,,residential,False,True,213.041,Msoso street,50,"LINESTRING (31.5485381 -18.1925589, 31.548157 -18.1924878, 31.5477887 -18.1923946, 31.5476204 -18.1923674, 31.5475161 -18.1923016, 31.5474278 -18.192223, 31.5469599 -18.1915714)"
28047784,,,secondary,False,False,187.116,Ruzawi Street,70,"LINESTRING (31.5485381 -18.1925589, 31.5484737 -18.1913256, 31.5484616 -18.1908778)"
638733002,2,R5,trunk,False,False,68.518,,,"LINESTRING (31.5429993 -18.187748, 31.5436423 -18.1878288)"
27391854,,,residential,False,True,112.795,,,"LINESTRING (31.5429993 -18.187748, 31.5429349 -18.1878639, 31.5428853 -18.1879174, 31.542837 -18.1879655, 31.542152 -18.1883293)"
638733002,2,R5,trunk,False,True,85.57900000000001,,,"LINESTRING (31.5429993 -18.187748, 31.542656 -18.1877148, 31.542192 -18.1876855)"
274786665,,,residential,False,False,88.166,4th Street,,"LINESTRING (31.5477783 -18.1885516, 31.5486032 -18.1886721)"
274786665,,,residential,False,True,205.629,4th Street,,"LINESTRING (31.5477783 -18.1885516, 31.5458549 -18.1882674)"
635288537,,,residential,False,False,117.62299999999999,Alm Street,30,"LINESTRING (31.5477783 -18.1885516, 31.5476891 -18.1890591, 31.5476218 -18.1895986)"
688837560,,,residential,False,False,58.145,Palm Street,40,"LINESTRING (31.5476218 -18.1895986, 31.5470774 -18.1895215)"
688837560,,,residential,False,True,60.079,Palm Street,40,"LINESTRING (31.5476218 -18.1895986, 31.5481847 -18.1896757)"
635288537,,,residential,False,True,117.62299999999999,Alm Street,30,"LINESTRING (31.5476218 -18.1895986, 31.5476891 -18.1890591, 31.5477783 -18.1885516)"
635294799,,,residential,False,False,154.044,,40,"LINESTRING (31.543415 -18.1921763, 31.5440172 -18.193438)"
27390536,,,residential,False,False,220.587,2nd Street,60,"LINESTRING (31.543415 -18.1921763, 31.5435874 -18.1920982, 31.5445938 -18.1914764, 31.5451638 -18.1910959)"
27390536,,,residential,False,True,171.406,2nd Street,60,"LINESTRING (31.543415 -18.1921763, 31.5431804 -18.1922825, 31.5430495 -18.1923426, 31.5425563 -18.192538, 31.5419277 -18.1927917)"
635294799,,,residential,False,True,154.044,,40,"LINESTRING (31.5440172 -18.193438, 31.543415 -18.1921763)"
27390531,2,,tertiary,False,False,373.84200000000004,1 St,60,"LINESTRING (31.5440172 -18.193438, 31.544508 -18.1931475, 31.5467698 -18.1917053, 31.5469599 -18.1915714)"
27390531,2,,tertiary,False,True,179.106,1 St,60,"LINESTRING (31.5440172 -18.193438, 31.5436977 -18.1935898, 31.5431435 -18.1938196, 31.5424721 -18.1941004)"
28047784,,,secondary,False,True,38.649,Ruzawi Street,70,"LINESTRING (31.5484268 -18.1905318, 31.5484616 -18.1908778)"
640540959,,,secondary,True,False,63.574,Ruzawi Street,70,"LINESTRING (31.5484268 -18.1905318, 31.5483972 -18.1903573, 31.5484093 -18.1899789, 31.5484112 -18.1899626)"
27390549,,,residential,False,False,18.064,Pine Street,40,"LINESTRING (31.5458751 -18.1881106, 31.5458879 -18.1879486)"
27390549,,,residential,False,True,17.565,Pine Street,40,"LINESTRING (31.5458751 -18.1881106, 31.5458549 -18.1882674)"
638733002,2,R5,trunk,False,False,294.367,,,"LINESTRING (31.5458751 -18.1881106, 31.5466151 -18.1882126, 31.5478889 -18.1884047, 31.5486293 -18.1885124)"
638733002,2,R5,trunk,False,True,237.97299999999998,,,"LINESTRING (31.5458751 -18.1881106, 31.5446395 -18.1879404, 31.5442345 -18.1878894, 31.5436423 -18.1878288)"
579875060,2,R5,trunk,False,True,11.818,,120,"LINESTRING (31.5487399 -18.1885284, 31.5486293 -18.1885124)"
640540960,,,secondary,True,False,18.235,Ruzawi Street,70,"LINESTRING (31.5487399 -18.1885284, 31.548703 -18.1886886)"
640540959,,,secondary,True,False,25.625,Ruzawi Street,70,"LINESTRING (31.5484452 -18.1896863, 31.5484775 -18.1894579)"
689030664,,,residential,True,False,9.321,Palm Street,40,"LINESTRING (31.5484452 -18.1896863, 31.5485326 -18.1896978)"
274786665,,,residential,False,False,10.701,4th Street,,"LINESTRING (31.5486032 -18.1886721, 31.548703 -18.1886886)"
274786665,,,residential,False,True,88.166,4th Street,,"LINESTRING (31.5486032 -18.1886721, 31.5477783 -18.1885516)"
640540959,,,secondary,True,False,17.971,Ruzawi Street,70,"LINESTRING (31.5486032 -18.1886721, 31.5486293 -18.1885124)"
640540959,,,secondary,True,False,26.025,Ruzawi Street,70,"LINESTRING (31.5484112 -18.1899626, 31.5484386 -18.18973)"
688837557,,,secondary_link,True,False,31.583,,,"LINESTRING (31.5484112 -18.1899626, 31.5483664 -18.189863, 31.5483141 -18.1897649, 31.5482765 -18.1897097)"
688837558,,,secondary_link,True,False,32.147,,,"LINESTRING (31.5482752 -18.1896674, 31.548351 -18.1896183, 31.5483842 -18.18959, 31.5484314 -18.1895343, 31.5484775 -18.1894579)"
688837559,,,residential,True,False,18.104,Palm Street,40,"LINESTRING (31.5482752 -18.1896674, 31.548302 -18.1896674, 31.5484452 -18.1896863)"
640540959,,,secondary,True,False,88.381,Ruzawi Street,70,"LINESTRING (31.5484775 -18.1894579, 31.548522 -18.1891801, 31.5486032 -18.1886721)"
689030665,,,residential,True,False,13.273,Palm Street,40,"LINESTRING (31.5486463 -18.1897341, 31.5485917 -18.1897521, 31.5485246 -18.1897425)"
689030663,,,residential,True,False,9.191,Palm Street,40,"LINESTRING (31.5485246 -18.1897425, 31.5484386 -18.18973)"
640540960,,,secondary,True,False,88.515,Ruzawi Street,70,"LINESTRING (31.5485246 -18.1897425, 31.5484752 -18.190008, 31.5484563 -18.1903497, 31.5484268 -18.1905318)"
640540959,,,secondary,True,False,4.909,Ruzawi Street,70,"LINESTRING (31.5484386 -18.18973, 31.5484452 -18.1896863)"
689030666,,,residential,True,False,17.282,Palm Street,40,"LINESTRING (31.5484386 -18.18973, 31.5483153 -18.1897123, 31.5482765 -18.1897097)"
689030666,,,residential,True,False,10.483,Palm Street,40,"LINESTRING (31.5482765 -18.1897097, 31.5482439 -18.1897033, 31.5481847 -18.1896757)"
688837560,,,residential,False,False,60.079,Palm Street,40,"LINESTRING (31.5481847 -18.1896757, 31.5476218 -18.1895986)"
688837559,,,residential,True,False,9.632,Palm Street,40,"LINESTRING (31.5481847 -18.1896757, 31.548241 -18.1896674, 31.5482752 -18.1896674)"
689039649,,,residential,True,False,43.51,Posselt Avenue,50,"LINESTRING (31.5442814 -18.1896432, 31.5442387 -18.1895061, 31.5442127 -18.1894332, 31.5441831 -18.1893295, 31.5441627 -18.1892686)"
689039650,,,residential,False,False,188.583,Posselt Avenue,50,"LINESTRING (31.5442814 -18.1896432, 31.5443014 -18.1897114, 31.5443055 -18.1897687, 31.5443136 -18.1898426, 31.5443397 -18.1899155, 31.5451638 -18.1910959)"
689039651,,,residential,True,False,6.256,Posselt Avenue,50,"LINESTRING (31.5442923 -18.1895879, 31.5442814 -18.1896432)"
27390533,,,residential,False,True,116.148,Posselt Avenue,50,"LINESTRING (31.54392 -18.1888004, 31.5438911 -18.1887399, 31.5437892 -18.1885698, 31.5436926 -18.1884258, 31.5436307 -18.1882695, 31.5436095 -18.1881723, 31.5436122 -18.1880499, 31.5436423 -18.1878288)"
689039647,,,residential,True,False,8.758000000000001,Posselt Avenue,50,"LINESTRING (31.54392 -18.1888004, 31.5439443 -18.1888128, 31.5439647 -18.1888279, 31.5439825 -18.1888502)"
688837560,,,residential,False,True,14.106,Palm Street,40,"LINESTRING (31.5441627 -18.1892686, 31.5442291 -18.1892877, 31.5442924 -18.1892976)"
689039649,,,residential,True,False,49.405,Posselt Avenue,50,"LINESTRING (31.5441627 -18.1892686, 31.5441375 -18.1892198, 31.5440603 -18.1891154, 31.5439202 -18.1888893)"
274786665,,,residential,False,False,7.888,4th Street,,"LINESTRING (31.5439202 -18.1888893, 31.5439825 -18.1888502)"
274786665,,,residential,False,True,371.576,4th Street,,"LINESTRING (31.5439202 -18.1888893, 31.5423484 -18.1898216, 31.5409503 -18.1906796)"
689039646,,,residential,True,False,10.069,Posselt Avenue,50,"LINESTRING (31.5439202 -18.1888893, 31.5439118 -18.1888552, 31.5439134 -18.1888286, 31.54392 -18.1888004)"
27390549,,,residential,False,True,18.064,Pine Street,40,"LINESTRING (31.5458879 -18.1879486, 31.5458751 -18.1881106)"
27390549,,,residential,False,False,109.84299999999999,Pine Street,40,"LINESTRING (31.5458879 -18.1879486, 31.5460125 -18.1879403, 31.546054 -18.1879051, 31.5460562 -18.1878469, 31.5460212 -18.187793, 31.5457634 -18.1877535, 31.5456804 -18.1877577, 31.5456367 -18.1878034, 31.5456454 -18.1878469, 31.5456913 -18.1878988, 31.5457678 -18.1879258, 31.5458879 -18.1879486)"
27390549,,,residential,False,True,109.84299999999999,Pine Street,40,"LINESTRING (31.5458879 -18.1879486, 31.5457678 -18.1879258, 31.5456913 -18.1878988, 31.5456454 -18.1878469, 31.5456367 -18.1878034, 31.5456804 -18.1877577, 31.5457634 -18.1877535, 31.5460212 -18.187793, 31.5460562 -18.1878469, 31.546054 -18.1879051, 31.5460125 -18.1879403, 31.5458879 -18.1879486)"
1251834515,,,residential,False,False,19.233,2nd,,"LINESTRING (31.5468651 -18.1895766, 31.5467218 -18.1894699)"
1251834516,,,residential,False,False,13.181,2nd,,"LINESTRING (31.5468651 -18.1895766, 31.5469643 -18.1895047)"
1251834516,,,residential,False,True,48.331,2nd,,"LINESTRING (31.5468651 -18.1895766, 31.5467942 -18.190006)"
1251834515,,,residential,False,True,19.233,2nd,,"LINESTRING (31.5467218 -18.1894699, 31.5468651 -18.1895766)"
688837560,,,residential,False,False,113.061,Palm Street,40,"LINESTRING (31.5467218 -18.1894699, 31.5461691 -18.1893942, 31.545663 -18.1893215)"
688837560,,,residential,False,True,25.909,Palm Street,40,"LINESTRING (31.5467218 -18.1894699, 31.5468324 -18.189485, 31.5469643 -18.1895047)"
688837560,,,residential,False,True,12.093,Palm Street,40,"LINESTRING (31.5469643 -18.1895047, 31.5470774 -18.1895215)"
1251834516,,,residential,False,True,13.181,2nd,,"LINESTRING (31.5469643 -18.1895047, 31.5468651 -18.1895766)"
688837560,,,residential,False,False,25.909,Palm Street,40,"LINESTRING (31.5469643 -18.1895047, 31.5468324 -18.189485, 31.5467218 -18.1894699)"
