osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,junction,maxspeed
1236105240,,secondary,True,False,16.194,"LINESTRING (16.6742202 54.3638697, 16.6742131 54.363906, 16.6741793 54.3639366, 16.6741258 54.3639553, 16.6740636 54.3639582)",205,,roundabout,
23806046,Tadeusza Kościuszki,residential,False,True,42.017,"LINESTRING (16.6792308 54.3624662, 16.6798398 54.3623363)",,,,
"[353948673, 200769844, 23806036]","['Basztowa', 'Jedności Narodowej']",residential,True,False,199.916,"LINESTRING (16.6792308 54.3624662, 16.6792503 54.3623921, 16.6792318 54.3623427, 16.6791225 54.3620838, 16.6790578 54.3619418, 16.6788485 54.3614774, 16.6787907 54.3613629, 16.6787704 54.3613023, 16.6788147 54.3612544, 16.6789658 54.361262, 16.6791892 54.3612916, 16.6793563 54.3613171, 16.6795083 54.3613399, 16.6797155 54.3613859)",,,,
252135004,Plac Księdza Kardynała Stefana Wyszyńskiego,residential,True,False,64.181,"LINESTRING (16.6792308 54.3624662, 16.6794866 54.3629718, 16.6795401 54.363011)",,,,
233726607,Mariana Rapackiego,residential,False,True,94.14,"LINESTRING (16.6812991 54.3633038, 16.6799398 54.363603)",,,,
201012622,Romualda Mielczarskiego,residential,False,True,64.648,"LINESTRING (16.6812991 54.3633038, 16.6812975 54.3632614, 16.6809889 54.3627533)",,,,
289374483,Mariana Rapackiego,residential,False,True,170.37900000000002,"LINESTRING (16.6812991 54.3633038, 16.6824927 54.3630589, 16.6827334 54.3629948, 16.6828003 54.3629474, 16.6828693 54.3628434, 16.6828713 54.362753, 16.6828413 54.3626341, 16.6828287 54.3625506, 16.6827218 54.3623887)",,,,
"[23806058, 1215446260]","['Romualda Mielczarskiego', 'Basztowa']",residential,True,False,168.654,"LINESTRING (16.6812991 54.3633038, 16.6813032 54.3633432, 16.6814746 54.3636166, 16.6805768 54.3638135, 16.6800476 54.3639336, 16.6795847 54.3640565)",,,,
23806034,Artura Grottgera,residential,False,False,4.816,"LINESTRING (16.6809889 54.3627533, 16.681039 54.3627213)",,,,
23806034,Artura Grottgera,residential,False,True,98.316,"LINESTRING (16.6809889 54.3627533, 16.6801413 54.3629149, 16.6796633 54.3630041, 16.6795401 54.363011)",,,,
201012622,Romualda Mielczarskiego,residential,False,False,64.648,"LINESTRING (16.6809889 54.3627533, 16.6812975 54.3632614, 16.6812991 54.3633038)",,,,
233726610,Marii Curie-Skłodowskiej,residential,True,False,4.633,"LINESTRING (16.6788748 54.363812, 16.6788554 54.3637719)",,,,
23806040,Mariana Rapackiego,residential,False,False,72.806,"LINESTRING (16.6788748 54.363812, 16.679191 54.36375, 16.6799398 54.363603)",,,,
1175895160,Jana Matejki,residential,False,False,56.463,"LINESTRING (16.6772337 54.3640157, 16.6769669 54.3635323)",,,,
23806066,Lipowa,residential,False,False,50.785,"LINESTRING (16.6772337 54.3640157, 16.6775508 54.3639719, 16.677995 54.3639069)",,,,
1175895159,Lipowa,residential,False,True,13.71,"LINESTRING (16.6772337 54.3640157, 16.6771192 54.3640593, 16.6770844 54.3640979)",,,,
23806024,Powstańców Warszawskich,residential,False,False,68.875,"LINESTRING (16.6775132 54.3618067, 16.6773357 54.3616759, 16.6768537 54.3613209)",,,,
23806024,Powstańców Warszawskich,residential,False,True,104.462,"LINESTRING (16.6775132 54.3618067, 16.6776215 54.3618905, 16.6779039 54.362109, 16.6779382 54.3621355, 16.6781777 54.3623945, 16.6782901 54.3625192, 16.6782958 54.3625277, 16.6783485 54.3626055)",,,,
23806055,Basztowa,residential,False,True,52.891999999999996,"LINESTRING (16.6775132 54.3618067, 16.6773836 54.3618684, 16.6768812 54.3621078)",,,,
23806016,Armii Krajowej,secondary,False,True,152.58100000000002,"LINESTRING (16.6739413 54.361093, 16.6739411 54.3612778, 16.6739772 54.362465)",205,,,
23806067,Stefana Okrzei,residential,False,False,468.8450000000001,"LINESTRING (16.6739413 54.361093, 16.6737382 54.3610913, 16.6732899 54.3610876, 16.6732007 54.3610869, 16.6731173 54.3610862, 16.6724878 54.3610824, 16.6724064 54.3610764, 16.6723341 54.361046, 16.6723073 54.361011, 16.6723273 54.3607153, 16.672359 54.3600493, 16.6723741 54.3597067, 16.6723799 54.359648, 16.6723849 54.3595967, 16.6724307 54.3590429, 16.672457 54.3586883, 16.6724626 54.3586182, 16.6724864 54.3578159, 16.6724859 54.3577816)",,,,
395516929,Jana Matejki,residential,False,True,129.213,"LINESTRING (16.6739413 54.361093, 16.6741817 54.3611974, 16.6743526 54.3612686, 16.6748475 54.3614858, 16.6753417 54.361735, 16.6754966 54.3618187)",,,,
"[1236105232, 1236105230, 1236105231]",Armii Krajowej,secondary,False,False,172.348,"LINESTRING (16.6739413 54.361093, 16.6739429 54.3610062, 16.6739358 54.3605811, 16.6739264 54.360015, 16.67392 54.3596272, 16.6739189 54.3595431)",205,,,
23806011,Mikołaja Kopernika,tertiary,False,True,123.62700000000001,"LINESTRING (16.6754966 54.3618187, 16.6753262 54.3619028, 16.6749508 54.3620904, 16.674912 54.3621097, 16.6746108 54.3622452, 16.6741843 54.3624364, 16.6741067 54.3624642, 16.6739772 54.362465)",,,,
