osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref
41519613,False,,,living_street,,True,44.806,"LINESTRING (18.9445325 50.3795695, 18.9444737 50.3791683)",
41519614,False,,,living_street,,False,31.385,"LINESTRING (18.9449154 50.3791503, 18.9444737 50.3791683)",
41519613,False,,,living_street,,False,44.806,"LINESTRING (18.9444737 50.3791683, 18.9445325 50.3795695)",
41519613,False,,,living_street,,True,46.694,"LINESTRING (18.9444737 50.3791683, 18.9444406 50.3787489)",
41519614,False,,,living_street,,False,28.407,"LINESTRING (18.9444737 50.3791683, 18.9440737 50.3791824)",
41519614,False,,,living_street,,True,31.385,"LINESTRING (18.9444737 50.3791683, 18.9449154 50.3791503)",
41519614,False,,,living_street,,False,16.348,"LINESTRING (18.9440737 50.3791824, 18.944061 50.3790356)",
41519614,False,,,living_street,,True,28.407,"LINESTRING (18.9440737 50.3791824, 18.9444737 50.3791683)",
1169936469,False,,,living_street,,False,25.976,"LINESTRING (18.9440737 50.3791824, 18.9440718 50.379416)",
143897861,True,1,Obwodowa Zachodnia,secondary,,False,22.96,"LINESTRING (18.9327765 50.3721854, 18.9329323 50.3720044)",911
991760622,True,1,,secondary,,False,9.001,"LINESTRING (18.9327765 50.3721854, 18.9328871 50.3722251)",
65754097,True,2,Obwodowa Zachodnia,primary,70,False,15.334,"LINESTRING (18.9329914 50.3721043, 18.9328871 50.3722251)",911
185741256,True,1,,tertiary,,False,24.042,"LINESTRING (18.9329914 50.3721043, 18.932992 50.3721925, 18.9330263 50.3722406, 18.9331083 50.3722946)",
65754098,True,1,,primary,,False,39.277,"LINESTRING (18.9324061 50.3720422, 18.9326093 50.3720724, 18.9327535 50.3720581, 18.932786 50.3720549, 18.9329323 50.3720044)",
152362695,True,1,,secondary,,False,30.719,"LINESTRING (18.9324061 50.3720422, 18.9326198 50.3721248, 18.9326961 50.3721543, 18.9327765 50.3721854)",
"[368281752, 368282495]",True,1,Obwodowa Zachodnia,secondary,70,False,120.99199999999999,"LINESTRING (18.9326743 50.3724631, 18.9321272 50.3730942, 18.9319151 50.3733249, 18.9318162 50.3734019)",911
143897867,True,3,Obwodowa Zachodnia,secondary,70,False,120.215,"LINESTRING (18.9318162 50.3734019, 18.9318492 50.3733091, 18.9320301 50.3730605, 18.9325593 50.3724337)",911
143897859,True,2,Obwodowa Zachodnia,secondary,,False,8.485,"LINESTRING (18.9327181 50.372252, 18.9327765 50.3721854)",911
991760621,True,1,,primary,,False,22.304,"LINESTRING (18.9327181 50.372252, 18.9324543 50.3721428)",
