osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,maxspeed,tunnel
41565326,False,,Towarowa,residential,True,266.548,"LINESTRING (18.2073311 50.3407042, 18.2068085 50.3411915, 18.2065204 50.3414608, 18.2063613 50.3416071, 18.2061839 50.3417572, 18.2058352 50.3420537, 18.2057703 50.3421167, 18.2057022 50.3421895, 18.2056247 50.3422872, 18.2055371 50.3423995, 18.2054852 50.3424695, 18.2054368 50.3425269, 18.2053833 50.3425631, 18.2053154 50.3426221, 18.2052674 50.3426457, 18.2052169 50.3426761)",,,
41586733,False,2,Miła,residential,False,132.506,"LINESTRING (18.2142938 50.3473872, 18.2142615 50.3474502, 18.2142075 50.3475451, 18.2140743 50.3476687, 18.2138827 50.3477827, 18.2129771 50.3481904)",,,
41586733,False,2,Miła,residential,True,47.661,"LINESTRING (18.2142938 50.3473872, 18.2143143 50.3472509, 18.2143057 50.3470124, 18.2143085 50.3469593)",,,
146757031,False,,,residential,False,37.137,"LINESTRING (18.2142938 50.3473872, 18.2143662 50.3474003, 18.2147955 50.3474823)",,,
41586733,False,2,Miła,residential,True,42.923,"LINESTRING (18.2124937 50.3484198, 18.2126565 50.3483219, 18.2128108 50.3482551, 18.2129771 50.3481904)",,,
41586761,False,,Miła,residential,True,110.772,"LINESTRING (18.2124937 50.3484198, 18.2113929 50.3490187, 18.2112902 50.3490511)",,,
42390864,False,,Piękna,residential,False,90.708,"LINESTRING (18.2124937 50.3484198, 18.2125943 50.3485048, 18.2132645 50.3490706)",,,
41586740,False,,Bałtycka,residential,True,99.866,"LINESTRING (18.206647 50.348485, 18.2059919 50.3492799)",,,
150032935,False,,Kazimierza Pułaskiego,residential,False,129.063,"LINESTRING (18.206647 50.348485, 18.2051113 50.347863)",,,
150032934,False,,Bałtycka,residential,True,164.80599999999998,"LINESTRING (18.206647 50.348485, 18.2070548 50.347948, 18.2073328 50.3476064, 18.2075818 50.3474608, 18.207944 50.3472941)",,,
150032935,False,,Kazimierza Pułaskiego,residential,True,260.29999999999995,"LINESTRING (18.206647 50.348485, 18.207615 50.3488748, 18.2079138 50.3489622, 18.2081129 50.348986, 18.2083993 50.3489807, 18.2089221 50.3489648, 18.2092997 50.3489595, 18.2097438 50.3489701, 18.2100143 50.3489679, 18.2101044 50.3489672)",,,
41586750,False,,Henryka Dąbrowskiego,residential,False,42.923,"LINESTRING (18.2051113 50.347863, 18.204863 50.348215)",,,
150032935,False,,Kazimierza Pułaskiego,residential,True,129.063,"LINESTRING (18.2051113 50.347863, 18.206647 50.348485)",,,
41586750,False,,Henryka Dąbrowskiego,residential,True,202.998,"LINESTRING (18.2051113 50.347863, 18.2054609 50.347351, 18.2056189 50.34726, 18.2060809 50.34713, 18.206228 50.3470529, 18.2064239 50.3468639, 18.2066643 50.3465395, 18.2066699 50.3464374)",,,
41586750,False,,Henryka Dąbrowskiego,residential,True,42.923,"LINESTRING (18.204863 50.348215, 18.2051113 50.347863)",,,
41586761,False,,Miła,residential,False,110.772,"LINESTRING (18.2112902 50.3490511, 18.2113929 50.3490187, 18.2124937 50.3484198)",,,
41586761,False,,Miła,residential,True,84.961,"LINESTRING (18.2112902 50.3490511, 18.2111835 50.3490759, 18.2110548 50.3490873, 18.2102687 50.3491174, 18.210165 50.3491199, 18.2101024 50.3491213)",,,
1173847995,False,2,Grunwaldzka,residential,True,17.136,"LINESTRING (18.2101024 50.3491213, 18.2101044 50.3489672)",,,
41586761,False,,Miła,residential,False,84.961,"LINESTRING (18.2101024 50.3491213, 18.210165 50.3491199, 18.2102687 50.3491174, 18.2110548 50.3490873, 18.2111835 50.3490759, 18.2112902 50.3490511)",,,
41586763,False,,Parkowa,residential,False,80.574,"LINESTRING (18.2100716 50.3485646, 18.2101916 50.3486233, 18.210985 50.3489951)",,,
146874810,False,2,Grunwaldzka,residential,True,36.062,"LINESTRING (18.2100716 50.3485646, 18.2100477 50.3484167, 18.2099492 50.3482527)",,,
1228290739,False,2,Grunwaldzka,residential,False,44.827,"LINESTRING (18.2100716 50.3485646, 18.2100816 50.3486875, 18.2100929 50.3488256, 18.2101044 50.3489672)",,,
42499203,False,,Pawła Stalmacha,residential,False,53.982,"LINESTRING (18.212168 50.3406804, 18.2123284 50.3407304, 18.2128462 50.3409002)",,,
334288344,False,,Karola Miarki,residential,True,347.581,"LINESTRING (18.212168 50.3406804, 18.2116708 50.3411947, 18.2115107 50.3413316, 18.2114181 50.3413926, 18.2113106 50.3414735, 18.2090374 50.3430734)",,,
42431043,False,,Jana Matejki,residential,False,366.953,"LINESTRING (18.2128462 50.3409002, 18.2120469 50.34206, 18.211715 50.342361, 18.2113505 50.3425266, 18.2110135 50.34279, 18.210398 50.3432478, 18.2099404 50.3435718)",,,
42499203,False,,Pawła Stalmacha,residential,False,60.571,"LINESTRING (18.2128462 50.3409002, 18.2134768 50.3410986, 18.2135439 50.3411169, 18.2136136 50.3411385)",,,
42499203,False,,Pawła Stalmacha,residential,True,53.982,"LINESTRING (18.2128462 50.3409002, 18.2123284 50.3407304, 18.212168 50.3406804)",,,
42430845,False,2,Konstantego Damrota,residential,True,84.72,"LINESTRING (18.2099404 50.3435718, 18.2090374 50.3430734)",,,
42431043,False,,Jana Matejki,residential,True,366.95300000000003,"LINESTRING (18.2099404 50.3435718, 18.210398 50.3432478, 18.2110135 50.34279, 18.2113505 50.3425266, 18.211715 50.342361, 18.2120469 50.34206, 18.2128462 50.3409002)",,,
1200919019,False,2,Konstantego Damrota,residential,False,107.141,"LINESTRING (18.2099404 50.3435718, 18.2100683 50.3436351, 18.2103252 50.34375, 18.2111935 50.3441086)",,,
334296534,False,3,Aleja Jana Pawła II,secondary,True,74.471,"LINESTRING (18.2112077 50.3455247, 18.2104802 50.3452911, 18.2102709 50.3452228)",,,
1173847986,False,2,Aleja Jana Pawła II,secondary,False,202.469,"LINESTRING (18.2112077 50.3455247, 18.2113185 50.3455596, 18.2125208 50.3459376, 18.2129489 50.3460731, 18.2137494 50.3463514)",,,
42498096,True,1,Plac Wolności,residential,False,139.398,"LINESTRING (18.212103 50.3444091, 18.2120329 50.3445049, 18.2116914 50.3449293, 18.2113205 50.3453986, 18.2112828 50.3454391, 18.2112543 50.3454716, 18.2112077 50.3455247)",,,
42498220,False,2,Konstantego Damrota,residential,False,268.687,"LINESTRING (18.212103 50.3444091, 18.2122253 50.3444488, 18.2125947 50.344568, 18.2134764 50.3448525, 18.2141601 50.3450732, 18.2152177 50.3454159, 18.2154786 50.3455037)",,,
42499177,True,1,Powstańców,residential,False,64.929,"LINESTRING (18.212103 50.3444091, 18.2121424 50.3443204, 18.2123568 50.3438481)",,,
1200919018,False,2,Konstantego Damrota,residential,True,72.67699999999999,"LINESTRING (18.212103 50.3444091, 18.2118497 50.344325, 18.2113612 50.3441629, 18.2111935 50.3441086)",,,
42499203,False,,Pawła Stalmacha,residential,True,60.571,"LINESTRING (18.2136136 50.3411385, 18.2135439 50.3411169, 18.2134768 50.3410986, 18.2128462 50.3409002)",,,
334298463,False,2,Pawła Stalmacha,residential,False,71.005,"LINESTRING (18.2136136 50.3411385, 18.2136608 50.3411476, 18.2137521 50.3411651, 18.2145718 50.3413223)",,,
1200919018,False,2,Konstantego Damrota,residential,False,72.67699999999999,"LINESTRING (18.2111935 50.3441086, 18.2113612 50.3441629, 18.2118497 50.344325, 18.212103 50.3444091)",,,
1200919019,False,2,Konstantego Damrota,residential,True,107.141,"LINESTRING (18.2111935 50.3441086, 18.2103252 50.34375, 18.2100683 50.3436351, 18.2099404 50.3435718)",,,
42498220,False,2,Konstantego Damrota,residential,True,268.68700000000007,"LINESTRING (18.2154786 50.3455037, 18.2152177 50.3454159, 18.2141601 50.3450732, 18.2134764 50.3448525, 18.2125947 50.344568, 18.2122253 50.3444488, 18.212103 50.3444091)",,,
42500239,False,2,1 Maja,residential,False,87.439,"LINESTRING (18.2154786 50.3455037, 18.2153639 50.3456353, 18.2150546 50.3460018, 18.2150276 50.3460337, 18.2149269 50.3461611, 18.2148998 50.3461978)",,,
42500364,False,2,1 Maja,residential,False,91.005,"LINESTRING (18.2154786 50.3455037, 18.2155327 50.3453948, 18.2156192 50.3452132, 18.2157515 50.3449356, 18.2158518 50.3447207)",,,
112508649,False,,Pionierów,residential,False,162.925,"LINESTRING (18.2154786 50.3455037, 18.2156468 50.345557, 18.2161178 50.3456984, 18.2162802 50.3457472, 18.2166327 50.345853, 18.2168299 50.3458825, 18.2169393 50.3458988, 18.2170425 50.3459006, 18.2175143 50.3459088, 18.2176428 50.345911)",,,
42500364,False,2,1 Maja,residential,False,49.607,"LINESTRING (18.2158518 50.3447207, 18.2160442 50.3442918)",,,
42500364,False,2,1 Maja,residential,True,91.00500000000001,"LINESTRING (18.2158518 50.3447207, 18.2157515 50.3449356, 18.2156192 50.3452132, 18.2155327 50.3453948, 18.2154786 50.3455037)",,,
144008572,True,,11 Listopada,residential,False,105.73499999999999,"LINESTRING (18.2158518 50.3447207, 18.2159633 50.344748, 18.2167377 50.3449369, 18.217047 50.3446532)",,,
42499320,False,,Doktora Judyma,residential,True,117.0,"LINESTRING (18.2102709 50.3452228, 18.2102443 50.3452534, 18.2102074 50.3452959, 18.210184 50.3453229, 18.2096874 50.3458475, 18.2095885 50.3459063, 18.2094228 50.3459631, 18.2092562 50.3460156)",,,
114448308,True,,,residential,False,140.19899999999998,"LINESTRING (18.2102709 50.3452228, 18.2103559 50.3451372, 18.2104052 50.3450875, 18.2107636 50.3446371, 18.2110508 50.3442761, 18.2111078 50.344207, 18.2111935 50.3441086)",,,
334296534,False,3,Aleja Jana Pawła II,secondary,False,74.471,"LINESTRING (18.2102709 50.3452228, 18.2104802 50.3452911, 18.2112077 50.3455247)",,,
"[1173848034, 1173848027, 520305802]",False,"['2', '3']",Aleja Jana Pawła II,secondary,True,136.692,"LINESTRING (18.2102709 50.3452228, 18.2100676 50.3451542, 18.2100235 50.3451392, 18.2095186 50.344967, 18.2091828 50.3448524, 18.2091528 50.3448422, 18.2087502 50.3447048, 18.2085657 50.3446515)",,,
334298463,False,2,Pawła Stalmacha,residential,True,71.005,"LINESTRING (18.2145718 50.3413223, 18.2137521 50.3411651, 18.2136608 50.3411476, 18.2136136 50.3411385)",,,
"[1192753043, 1192753044]",False,2,Pawła Stalmacha,residential,False,194.201,"LINESTRING (18.2145718 50.3413223, 18.2151838 50.3414397, 18.215716 50.3415418, 18.2166469 50.3417204, 18.2169947 50.3417945, 18.2171135 50.3418185, 18.2171883 50.3418336)",,,
41586733,False,2,Miła,residential,False,47.661,"LINESTRING (18.2143085 50.3469593, 18.2143057 50.3470124, 18.2143143 50.3472509, 18.2142938 50.3473872)",,,
1249907949,True,1,Miła,residential,False,37.763,"LINESTRING (18.2143085 50.3469593, 18.214298 50.3468863, 18.2143238 50.3468166, 18.2143695 50.3467537, 18.2143921 50.3467227, 18.2144218 50.3466818, 18.2144284 50.3466359)",,,
554330256,False,4,Aleja Jana Pawła II,secondary,False,21.53,"LINESTRING (18.2171798 50.3474105, 18.2174528 50.347495)",,,
112508648,True,1,Wojska Polskiego,tertiary,False,24.409,"LINESTRING (18.2171798 50.3474105, 18.2173244 50.3474094, 18.2174365 50.3473904, 18.2175167 50.3473758)",,,
"[554330256, 1249907953, 1249907951]",False,4,Aleja Jana Pawła II,secondary,True,80.983,"LINESTRING (18.2171798 50.3474105, 18.2171296 50.3473945, 18.2167211 50.347264, 18.2162249 50.3471014, 18.2161617 50.3470814)",,,
112508650,True,1,Wojska Polskiego,tertiary,False,33.418,"LINESTRING (18.2178041 50.3472966, 18.2177335 50.3473305, 18.2176678 50.3473758, 18.2175602 50.3474459, 18.2175419 50.3474543, 18.2174528 50.347495)",,,
1173847982,True,1,Wojska Polskiego,tertiary,False,39.461,"LINESTRING (18.2178041 50.3472966, 18.2177585 50.3473348, 18.2177522 50.3473398, 18.2176783 50.3474326, 18.2177018 50.3475068, 18.2177952 50.3476117)",,,
554330256,False,4,Aleja Jana Pawła II,secondary,True,21.53,"LINESTRING (18.2174528 50.347495, 18.2171798 50.3474105)",,,
1143757334,False,5,Aleja Jana Pawła II,secondary,False,27.544,"LINESTRING (18.2174528 50.347495, 18.2177952 50.3476117)",,,
112508653,True,1,Wojska Polskiego,tertiary,False,14.083,"LINESTRING (18.2174528 50.347495, 18.2174686 50.3474459, 18.2175167 50.3473758)",,,
146874810,False,2,Grunwaldzka,residential,False,53.347,"LINESTRING (18.2078796 50.3468161, 18.207944 50.3472941)",,,
146874810,False,2,Grunwaldzka,residential,True,8.111,"LINESTRING (18.2078796 50.3468161, 18.2078024 50.3467623)",,,
298634618,False,,Kościelna,residential,False,259.923,"LINESTRING (18.2078796 50.3468161, 18.2080163 50.3467947, 18.2082315 50.346794, 18.2087941 50.3468165, 18.2094484 50.3468383, 18.2106434 50.3472294, 18.2113144 50.3474363)",,,
146747947,False,,Zaścianek,residential,False,132.758,"LINESTRING (18.2113144 50.3474363, 18.2099492 50.3482527)",,,
298634618,False,,Kościelna,residential,False,148.39800000000002,"LINESTRING (18.2113144 50.3474363, 18.2119217 50.3475612, 18.2121789 50.3476612, 18.2123018 50.3477281, 18.2125222 50.347879, 18.2127511 50.3480357, 18.2129031 50.3481451, 18.2129771 50.3481904)",,,
298634618,False,,Kościelna,residential,True,259.923,"LINESTRING (18.2113144 50.3474363, 18.2106434 50.3472294, 18.2094484 50.3468383, 18.2087941 50.3468165, 18.2082315 50.346794, 18.2080163 50.3467947, 18.2078796 50.3468161)",,,
41586733,False,2,Miła,residential,False,42.923,"LINESTRING (18.2129771 50.3481904, 18.2128108 50.3482551, 18.2126565 50.3483219, 18.2124937 50.3484198)",,,
41586733,False,2,Miła,residential,True,132.50600000000003,"LINESTRING (18.2129771 50.3481904, 18.2138827 50.3477827, 18.2140743 50.3476687, 18.2142075 50.3475451, 18.2142615 50.3474502, 18.2142938 50.3473872)",,,
298634618,False,,Kościelna,residential,True,148.398,"LINESTRING (18.2129771 50.3481904, 18.2129031 50.3481451, 18.2127511 50.3480357, 18.2125222 50.347879, 18.2123018 50.3477281, 18.2121789 50.3476612, 18.2119217 50.3475612, 18.2113144 50.3474363)",,,
146747947,False,,Zaścianek,residential,True,132.758,"LINESTRING (18.2099492 50.3482527, 18.2113144 50.3474363)",,,
146874810,False,2,Grunwaldzka,residential,False,36.062,"LINESTRING (18.2099492 50.3482527, 18.2100477 50.3484167, 18.2100716 50.3485646)",,,
146874810,False,2,Grunwaldzka,residential,True,178.602,"LINESTRING (18.2099492 50.3482527, 18.2096991 50.3480649, 18.2091996 50.3478353, 18.2088086 50.347662, 18.207944 50.3472941)",,,
334288335,False,4,Aleja Jana Pawła II,secondary,False,67.387,"LINESTRING (18.2153118 50.346811, 18.2161617 50.3470814)",,,
146757030,False,,,residential,False,83.154,"LINESTRING (18.2153118 50.346811, 18.2152223 50.3469322, 18.2151998 50.3469636, 18.215128 50.3470557, 18.2150902 50.3471042, 18.2147955 50.3474823)",,,
1249907950,True,1,Aleja Jana Pawła II,secondary,False,51.389,"LINESTRING (18.2153118 50.346811, 18.2150943 50.346787, 18.2148306 50.3467148, 18.2147793 50.3467008, 18.2147073 50.3466811, 18.2146252 50.3466857)",,,
334288335,False,4,Aleja Jana Pawła II,secondary,True,67.387,"LINESTRING (18.2161617 50.3470814, 18.2153118 50.346811)",,,
146757038,False,,,residential,True,84.64899999999999,"LINESTRING (18.2161617 50.3470814, 18.2160473 50.3472365, 18.216028 50.3472625, 18.2159738 50.3473017, 18.2156777 50.3476461, 18.2155597 50.3477343)",,,
"[554330256, 1249907953, 1249907951]",False,4,Aleja Jana Pawła II,secondary,False,80.983,"LINESTRING (18.2161617 50.3470814, 18.2162249 50.3471014, 18.2167211 50.347264, 18.2171296 50.3473945, 18.2171798 50.3474105)",,,
146757031,False,,,residential,False,61.037,"LINESTRING (18.2147955 50.3474823, 18.2155597 50.3477343)",,,
146757030,False,,,residential,True,83.154,"LINESTRING (18.2147955 50.3474823, 18.2150902 50.3471042, 18.215128 50.3470557, 18.2151998 50.3469636, 18.2152223 50.3469322, 18.2153118 50.346811)",,,
146757031,False,,,residential,True,37.137,"LINESTRING (18.2147955 50.3474823, 18.2143662 50.3474003, 18.2142938 50.3473872)",,,
146757031,False,,,residential,True,61.037,"LINESTRING (18.2155597 50.3477343, 18.2147955 50.3474823)",,,
146757038,False,,,residential,False,84.649,"LINESTRING (18.2155597 50.3477343, 18.2156777 50.3476461, 18.2159738 50.3473017, 18.216028 50.3472625, 18.2160473 50.3472365, 18.2161617 50.3470814)",,,
146757038,False,,,residential,True,116.963,"LINESTRING (18.2155597 50.3477343, 18.2153276 50.3480219, 18.2153266 50.3480832, 18.2153513 50.3481321, 18.2162195 50.3484007)",,,
146757038,False,,,residential,False,116.963,"LINESTRING (18.2162195 50.3484007, 18.2153513 50.3481321, 18.2153266 50.3480832, 18.2153276 50.3480219, 18.2155597 50.3477343)",,,
146757025,False,,Astrów,residential,True,42.996,"LINESTRING (18.214331 50.3486116, 18.2138231 50.3488225)",,,
146757025,False,,Astrów,residential,False,42.996,"LINESTRING (18.2138231 50.3488225, 18.214331 50.3486116)",,,
146757025,False,,Astrów,residential,True,48.291,"LINESTRING (18.2138231 50.3488225, 18.2132645 50.3490706)",,,
146757025,False,,Astrów,residential,False,48.291,"LINESTRING (18.2132645 50.3490706, 18.2138231 50.3488225)",,,
42390864,False,,Piękna,residential,True,90.708,"LINESTRING (18.2132645 50.3490706, 18.2125943 50.3485048, 18.2124937 50.3484198)",,,
1180696411,False,,Dworcowa,residential,True,11.776,"LINESTRING (18.2063972 50.3445411, 18.2062805 50.3446164)",,,
"[1192753056, 1192753057, 436714172, 1192753055]",True,,Dworcowa,residential,False,66.973,"LINESTRING (18.2063972 50.3445411, 18.2067351 50.3443259, 18.2067789 50.3443352, 18.2068402 50.34434, 18.2068602 50.3443411, 18.2069085 50.3443407, 18.206951 50.3443331, 18.2069886 50.3443183, 18.2070231 50.3443055, 18.2070431 50.3442889, 18.207065 50.344263, 18.2070714 50.3442389, 18.2070722 50.3442104)",,,
1173847995,False,2,Grunwaldzka,residential,False,17.136,"LINESTRING (18.2101044 50.3489672, 18.2101024 50.3491213)",,,
150032935,False,,Kazimierza Pułaskiego,residential,False,260.3,"LINESTRING (18.2101044 50.3489672, 18.2100143 50.3489679, 18.2097438 50.3489701, 18.2092997 50.3489595, 18.2089221 50.3489648, 18.2083993 50.3489807, 18.2081129 50.348986, 18.2079138 50.3489622, 18.207615 50.3488748, 18.206647 50.348485)",,,
1228290739,False,2,Grunwaldzka,residential,True,44.827,"LINESTRING (18.2101044 50.3489672, 18.2100929 50.3488256, 18.2100816 50.3486875, 18.2100716 50.3485646)",,,
31644420,True,,Aleksandra Głowackiego,residential,False,89.58399999999999,"LINESTRING (18.207886 50.3453304, 18.2084682 50.34475, 18.2085193 50.3446979, 18.2085657 50.3446515)",,,
150034686,False,,Jana Dzierżonia,residential,False,123.596,"LINESTRING (18.207886 50.3453304, 18.2087696 50.3457492, 18.2092562 50.3460156)",,,
42499320,False,,Doktora Judyma,residential,False,117.00000000000001,"LINESTRING (18.2092562 50.3460156, 18.2094228 50.3459631, 18.2095885 50.3459063, 18.2096874 50.3458475, 18.210184 50.3453229, 18.2102074 50.3452959, 18.2102443 50.3452534, 18.2102709 50.3452228)",,,
42499320,False,,Doktora Judyma,residential,True,111.17,"LINESTRING (18.2092562 50.3460156, 18.2088626 50.3461529, 18.2083162 50.3463958, 18.2081159 50.3464849, 18.2079452 50.3465608)",,,
150034686,False,,Jana Dzierżonia,residential,True,123.596,"LINESTRING (18.2092562 50.3460156, 18.2087696 50.3457492, 18.207886 50.3453304)",,,
41586763,False,,Parkowa,residential,True,80.574,"LINESTRING (18.210985 50.3489951, 18.2101916 50.3486233, 18.2100716 50.3485646)",,,
442964637,False,,Plebiscytowa,residential,True,75.562,"LINESTRING (18.2146223 50.3416928, 18.2144041 50.3421499, 18.2144685 50.3421623, 18.2147073 50.3422068)",,,
442964637,False,,Plebiscytowa,residential,True,24.782,"LINESTRING (18.2147073 50.3422068, 18.215043 50.3422682)",,,
273412092,False,,Józefa Lompy,residential,True,94.73499999999999,"LINESTRING (18.2147073 50.3422068, 18.2144215 50.3428266, 18.2143293 50.3430239)",,,
442964637,False,,Plebiscytowa,residential,False,75.562,"LINESTRING (18.2147073 50.3422068, 18.2144685 50.3421623, 18.2144041 50.3421499, 18.2146223 50.3416928)",,,
273412093,False,,Krótka,residential,False,61.553,"LINESTRING (18.2130164 50.3424186, 18.2138519 50.3425673)",,,
42499177,True,1,Powstańców,residential,False,148.519,"LINESTRING (18.2130164 50.3424186, 18.2130678 50.3423077, 18.2132529 50.3419082, 18.2135514 50.3412639, 18.2136136 50.3411385)",,,
273412093,False,,Krótka,residential,True,61.553,"LINESTRING (18.2138519 50.3425673, 18.2130164 50.3424186)",,,
42500364,False,2,1 Maja,residential,False,88.61300000000001,"LINESTRING (18.2168265 50.3425961, 18.216857 50.3425283, 18.2169979 50.3422094, 18.2170249 50.3421482, 18.2171255 50.34196, 18.2171883 50.3418336)",,,
42500364,False,2,1 Maja,residential,True,196.56199999999998,"LINESTRING (18.2168265 50.3425961, 18.216671 50.342935, 18.216485 50.3433468, 18.2161457 50.3440604, 18.2160442 50.3442918)",,,
"[273412096, 442964637]",False,,"['1 Maja', 'Plebiscytowa']",residential,False,131.718,"LINESTRING (18.2168265 50.3425961, 18.2166653 50.3425647, 18.2162986 50.3425018, 18.215197 50.3422965, 18.215043 50.3422682)",,,
273412102,False,,Wąska,residential,True,73.208,"LINESTRING (18.2133364 50.3428452, 18.2138794 50.3429429, 18.2143293 50.3430239)",,,
273412092,False,,Józefa Lompy,residential,False,94.73499999999999,"LINESTRING (18.2143293 50.3430239, 18.2144215 50.3428266, 18.2147073 50.3422068)",,,
273412092,False,,Józefa Lompy,residential,True,64.943,"LINESTRING (18.2143293 50.3430239, 18.214175 50.3433593, 18.2140737 50.3435847)",,,
273412102,False,,Wąska,residential,False,73.208,"LINESTRING (18.2143293 50.3430239, 18.2138794 50.3429429, 18.2133364 50.3428452)",,,
42499177,True,1,Powstańców,residential,False,103.94800000000001,"LINESTRING (18.2126077 50.3433163, 18.2129115 50.3426489, 18.2130164 50.3424186)",,,
273412100,False,,Słoneczna,residential,False,108.229,"LINESTRING (18.2126077 50.3433163, 18.2138788 50.3435507, 18.2140737 50.3435847)",,,
