osmid,name,highway,width,oneway,reversed,length,geometry,bridge,ref,maxspeed
53508476,Polna,residential,,False,True,43.685,"LINESTRING (15.2754889 51.1122343, 15.2756198 51.1122954, 15.2760073 51.1124541)",,,30
364370795,Polna,living_street,,False,False,84.03900000000002,"LINESTRING (15.2754889 51.1122343, 15.2755904 51.1121558, 15.2756478 51.1121171, 15.275682 51.1120987, 15.2757187 51.1120833, 15.2758593 51.1120327, 15.2758813 51.1120273, 15.2759034 51.1120235, 15.2759327 51.112025, 15.2759584 51.1120319, 15.2764536 51.1122484)",,,30
364370795,Polna,living_street,,False,True,128.12,"LINESTRING (15.2754889 51.1122343, 15.2754477 51.1122131, 15.2748834 51.1119129, 15.2748457 51.1118749, 15.2748269 51.1118217, 15.2748331 51.1117611, 15.2748633 51.1117088, 15.2749425 51.1116437, 15.2750771 51.1115697, 15.275402 51.1114348)",,,30
364370795,Polna,living_street,,False,False,128.12,"LINESTRING (15.275402 51.1114348, 15.2750771 51.1115697, 15.2749425 51.1116437, 15.2748633 51.1117088, 15.2748331 51.1117611, 15.2748269 51.1118217, 15.2748457 51.1118749, 15.2748834 51.1119129, 15.2754477 51.1122131, 15.2754889 51.1122343)",,,30
364370795,Polna,living_street,,False,True,84.039,"LINESTRING (15.2764536 51.1122484, 15.2759584 51.1120319, 15.2759327 51.112025, 15.2759034 51.1120235, 15.2758813 51.1120273, 15.2758593 51.1120327, 15.2757187 51.1120833, 15.275682 51.1120987, 15.2756478 51.1121171, 15.2755904 51.1121558, 15.2754889 51.1122343)",,,30
53508477,Łąkowa,residential,,False,False,101.773,"LINESTRING (15.2803138 51.1131613, 15.2800476 51.1134157, 15.2798065 51.1136462, 15.2795134 51.1139263)",,,
53508479,Parkowa,residential,,False,False,208.507,"LINESTRING (15.2803138 51.1131613, 15.28262 51.1142066, 15.2826878 51.1142386, 15.2827298 51.1142634)",,,
53508479,Parkowa,residential,,False,True,125.809,"LINESTRING (15.2803138 51.1131613, 15.2795613 51.1126833, 15.2794688 51.1126186, 15.2792948 51.1124969, 15.2790726 51.1123414)",,,
53508477,Łąkowa,residential,,False,True,66.403,"LINESTRING (15.2789128 51.1143894, 15.2795134 51.1139263)",,,
53508477,Łąkowa,residential,,False,False,40.935,"LINESTRING (15.2789128 51.1143894, 15.2785942 51.1146442, 15.27858 51.1146555, 15.2785527 51.1146799)",,,
186602083,Włościańska,residential,,True,False,293.63100000000003,"LINESTRING (15.2789128 51.1143894, 15.2789508 51.1144125, 15.2792234 51.1145786, 15.2793862 51.1146719, 15.2795454 51.1147586, 15.2797118 51.114843, 15.2805311 51.115253, 15.2813528 51.1156606, 15.2821245 51.1160363, 15.2821696 51.1160582)",,,
53508477,Łąkowa,residential,,False,True,40.935,"LINESTRING (15.2785527 51.1146799, 15.27858 51.1146555, 15.2785942 51.1146442, 15.2789128 51.1143894)",,,
53508477,Łąkowa,residential,,False,False,66.403,"LINESTRING (15.2795134 51.1139263, 15.2789128 51.1143894)",,,
53508476,Polna,residential,,False,False,144.47899999999998,"LINESTRING (15.2795134 51.1139263, 15.2786616 51.1135811, 15.277789 51.1132079)",,,30
53508476,Polna,residential,,False,True,294.974,"LINESTRING (15.2795134 51.1139263, 15.2805992 51.1143905, 15.2811406 51.1146119, 15.2815395 51.1148153, 15.281974 51.1150479, 15.2824185 51.1152835, 15.2827851 51.1154779, 15.2828762 51.1155263)",,,30
53508477,Łąkowa,residential,,False,True,101.773,"LINESTRING (15.2795134 51.1139263, 15.2798065 51.1136462, 15.2800476 51.1134157, 15.2803138 51.1131613)",,,
53508478,Spacerowa,residential,,False,False,39.244,"LINESTRING (15.2818184 51.1163338, 15.2821696 51.1160582)",,,
186600941,Ignacego Łukasiewicza,residential,,True,False,293.013,"LINESTRING (15.2818184 51.1163338, 15.2811973 51.1160283, 15.2806065 51.1157345, 15.2803654 51.1156181, 15.2799067 51.1153968, 15.2791453 51.1150176, 15.2785527 51.1146799)",,,
213740039,Ignacego Łukasiewicza,residential,,False,False,131.414,"LINESTRING (15.2818184 51.1163338, 15.2821999 51.1165158, 15.2824621 51.1166446, 15.2827288 51.1167577, 15.2829636 51.1168478, 15.283309 51.1169736, 15.2833725 51.1169977)",,,
424983856,Zawidowska,secondary,4,False,True,15.362,"LINESTRING (15.2775428 51.1168539, 15.2773308 51.1168168)",,357,50
"[226390050, 364383093, 364383094]",Armii Krajowej,secondary,4,False,False,391.538,"LINESTRING (15.2775428 51.1168539, 15.2778058 51.1168893, 15.2781308 51.1169349, 15.2782541 51.1169522, 15.278555 51.1169946, 15.278664 51.1170118, 15.2787377 51.1170238, 15.2789649 51.1170658, 15.2791342 51.1170964, 15.2793121 51.1171433, 15.2794628 51.117205, 15.2796064 51.1172768, 15.2797097 51.1173311, 15.2798475 51.1174003, 15.2799393 51.1174438, 15.2801211 51.1175162, 15.2809344 51.1178282, 15.2823426 51.1183019, 15.2825391 51.1183672)",yes,357,50
424983856,Zawidowska,secondary,4,False,False,15.362,"LINESTRING (15.2773308 51.1168168, 15.2775428 51.1168539)",,357,50
366700749,Parkowa,unclassified,,False,True,5.466,"LINESTRING (15.2827744 51.1143038, 15.2827298 51.1142634)",,,
186602084,Jarosława Dąbrowskiego,unclassified,,False,False,107.819,"LINESTRING (15.2827744 51.1143038, 15.2829135 51.1144948, 15.2831574 51.1148669, 15.283343 51.1151507, 15.2833764 51.1151966)",,,
366705483,,living_street,,False,False,79.64099999999999,"LINESTRING (15.2827744 51.1143038, 15.2828744 51.1142632, 15.2829274 51.1142447, 15.282973 51.1142345, 15.283023 51.1142299, 15.2830671 51.1142318, 15.2831098 51.1142419, 15.2832657 51.1142982, 15.2834422 51.114362, 15.2835879 51.1144091, 15.2837967 51.1144617)",,,
186602084,Jarosława Dąbrowskiego,unclassified,,False,False,129.09,"LINESTRING (15.2833764 51.1151966, 15.2834222 51.1152589, 15.283461 51.1152995, 15.2835018 51.1153376, 15.2835505 51.1153755, 15.2835882 51.1154006, 15.283725 51.1154836, 15.2838914 51.1155766, 15.2846315 51.115872, 15.2847739 51.115929)",,,
186602084,Jarosława Dąbrowskiego,unclassified,,False,True,107.81899999999999,"LINESTRING (15.2833764 51.1151966, 15.283343 51.1151507, 15.2831574 51.1148669, 15.2829135 51.1144948, 15.2827744 51.1143038)",,,
338907141,Spacerowa,residential,,False,True,51.122,"LINESTRING (15.2833764 51.1151966, 15.2832555 51.1152455, 15.2832123 51.1152652, 15.2831784 51.1152856, 15.2828762 51.1155263)",,,
338907128,Spacerowa,residential,,False,False,15.208,"LINESTRING (15.2828762 51.1155263, 15.2827403 51.1156332)",,,
53508476,Polna,residential,,False,False,294.974,"LINESTRING (15.2828762 51.1155263, 15.2827851 51.1154779, 15.2824185 51.1152835, 15.281974 51.1150479, 15.2815395 51.1148153, 15.2811406 51.1146119, 15.2805992 51.1143905, 15.2795134 51.1139263)",,,30
338907141,Spacerowa,residential,,False,False,51.122,"LINESTRING (15.2828762 51.1155263, 15.2831784 51.1152856, 15.2832123 51.1152652, 15.2832555 51.1152455, 15.2833764 51.1151966)",,,
186602084,Jarosława Dąbrowskiego,unclassified,,False,False,130.822,"LINESTRING (15.2847739 51.115929, 15.2848886 51.1159741, 15.2851975 51.116096, 15.2856342 51.1162609, 15.2860934 51.1164309, 15.2863727 51.1165427)",,,
186602084,Jarosława Dąbrowskiego,unclassified,,False,True,129.09,"LINESTRING (15.2847739 51.115929, 15.2846315 51.115872, 15.2838914 51.1155766, 15.283725 51.1154836, 15.2835882 51.1154006, 15.2835505 51.1153755, 15.2835018 51.1153376, 15.283461 51.1152995, 15.2834222 51.1152589, 15.2833764 51.1151966)",,,
186603899,Adama Mickiewicza,residential,4,False,False,86.30199999999999,"LINESTRING (15.2847739 51.115929, 15.2847112 51.1159814, 15.2844552 51.1161943, 15.2840492 51.1165577)",,,
186603899,Adama Mickiewicza,residential,4,False,True,232.362,"LINESTRING (15.2847739 51.115929, 15.284826 51.1158774, 15.2860661 51.1146371, 15.2860938 51.1146096, 15.2865585 51.1141651)",,,
39159742,Generała Władysława Sikorskiego,residential,4,False,True,284.07500000000005,"LINESTRING (15.2840492 51.1165577, 15.2841752 51.116601, 15.2848665 51.1168485, 15.2852969 51.1169935, 15.2856752 51.1171199, 15.2861675 51.1172844, 15.2863071 51.1173326, 15.2863566 51.1173477, 15.2864183 51.1173587, 15.2864882 51.1173578, 15.286546 51.1173533, 15.2867915 51.1173318, 15.2873046 51.1172858, 15.2875475 51.1172602, 15.287712 51.1172378, 15.2877781 51.1172274)",,,
186603899,Adama Mickiewicza,residential,4,False,False,68.354,"LINESTRING (15.2840492 51.1165577, 15.2837228 51.116804, 15.2836334 51.1168663, 15.2835741 51.1169029, 15.2835343 51.1169251, 15.283491 51.1169457, 15.2833725 51.1169977)",,,
186603899,Adama Mickiewicza,residential,4,False,True,86.302,"LINESTRING (15.2840492 51.1165577, 15.2844552 51.1161943, 15.2847112 51.1159814, 15.2847739 51.115929)",,,
366700749,Parkowa,unclassified,,False,False,5.466,"LINESTRING (15.2827298 51.1142634, 15.2827744 51.1143038)",,,
53508479,Parkowa,residential,,False,True,208.507,"LINESTRING (15.2827298 51.1142634, 15.2826878 51.1142386, 15.28262 51.1142066, 15.2803138 51.1131613)",,,
"[797100313, 797100314, 186635956]",Sybiraków,unclassified,4,False,True,420.8829999999999,"LINESTRING (15.2827298 51.1142634, 15.2827588 51.1141475, 15.2825063 51.1139988, 15.2824402 51.1139206, 15.2814425 51.1130488, 15.281289 51.1129087, 15.2805984 51.1123005, 15.2803917 51.1121021, 15.280201 51.1118799, 15.2800708 51.1116574, 15.2800185 51.1114157, 15.2800161 51.1111232, 15.2800118 51.1110147)",yes,,
53508478,Spacerowa,residential,,False,True,50.047,"LINESTRING (15.2826144 51.1157052, 15.2821696 51.1160582)",,,
"[797100313, 797100314, 186635956]",Sybiraków,unclassified,4,False,False,420.883,"LINESTRING (15.2800118 51.1110147, 15.2800161 51.1111232, 15.2800185 51.1114157, 15.2800708 51.1116574, 15.280201 51.1118799, 15.2803917 51.1121021, 15.2805984 51.1123005, 15.281289 51.1129087, 15.2814425 51.1130488, 15.2824402 51.1139206, 15.2825063 51.1139988, 15.2827588 51.1141475, 15.2827298 51.1142634)",yes,,
187361465,,living_street,,False,True,37.752,"LINESTRING (15.2800118 51.1110147, 15.2801088 51.110722, 15.2801219 51.1106823)",,,
921702855,Sybiraków,unclassified,4,False,True,38.419,"LINESTRING (15.2800118 51.1110147, 15.2798961 51.1107987, 15.2798319 51.1106882)",,,
53508478,Spacerowa,residential,,False,False,50.047,"LINESTRING (15.2821696 51.1160582, 15.2826144 51.1157052)",,,
53508478,Spacerowa,residential,,False,True,39.244,"LINESTRING (15.2821696 51.1160582, 15.2818184 51.1163338)",,,
53508479,Parkowa,residential,,False,False,125.809,"LINESTRING (15.2790726 51.1123414, 15.2792948 51.1124969, 15.2794688 51.1126186, 15.2795613 51.1126833, 15.2803138 51.1131613)",,,
"[186603068, 53508479]","['Gajowa', 'Parkowa']",residential,,False,True,814.605,"LINESTRING (15.2790726 51.1123414, 15.2785908 51.1120097, 15.2780031 51.1115373, 15.2774732 51.1110649, 15.2770815 51.1106736, 15.2765873 51.1101537, 15.2761554 51.109726, 15.2758398 51.1097834, 15.2754933 51.1098305, 15.2753984 51.1098654, 15.2753069 51.1099203, 15.2752347 51.1099694, 15.2751842 51.1100201, 15.2751622 51.1100636, 15.2751894 51.1101178, 15.2754055 51.1103324, 15.2767874 51.1116115, 15.2771232 51.1118946, 15.2774912 51.1121803, 15.2778672 51.1124447, 15.2782968 51.1127024, 15.2783766 51.1127541)",,,
186602813,Marii Skłodowskiej-Curie,residential,,False,False,66.832,"LINESTRING (15.2790726 51.1123414, 15.278734 51.1125422, 15.2783766 51.1127541)",,,
53508476,Polna,residential,,False,False,112.012,"LINESTRING (15.277789 51.1132079, 15.2773076 51.1129979, 15.2769215 51.1128352, 15.2767325 51.1127565, 15.2764631 51.1126406)",,,30
53508476,Polna,residential,,False,True,144.47899999999998,"LINESTRING (15.277789 51.1132079, 15.2786616 51.1135811, 15.2795134 51.1139263)",,,30
186602813,Marii Skłodowskiej-Curie,residential,,False,True,65.029,"LINESTRING (15.277789 51.1132079, 15.278085 51.1129793, 15.2783766 51.1127541)",,,
186602813,Marii Skłodowskiej-Curie,residential,,False,False,65.029,"LINESTRING (15.2783766 51.1127541, 15.278085 51.1129793, 15.277789 51.1132079)",,,
186602813,Marii Skłodowskiej-Curie,residential,,False,True,66.832,"LINESTRING (15.2783766 51.1127541, 15.278734 51.1125422, 15.2790726 51.1123414)",,,
"[186603068, 53508479]","['Gajowa', 'Parkowa']",residential,,False,False,814.605,"LINESTRING (15.2783766 51.1127541, 15.2782968 51.1127024, 15.2778672 51.1124447, 15.2774912 51.1121803, 15.2771232 51.1118946, 15.2767874 51.1116115, 15.2754055 51.1103324, 15.2751894 51.1101178, 15.2751622 51.1100636, 15.2751842 51.1100201, 15.2752347 51.1099694, 15.2753069 51.1099203, 15.2753984 51.1098654, 15.2754933 51.1098305, 15.2758398 51.1097834, 15.2761554 51.109726, 15.2765873 51.1101537, 15.2770815 51.1106736, 15.2774732 51.1110649, 15.2780031 51.1115373, 15.2785908 51.1120097, 15.2790726 51.1123414)",,,
39159904,Aleja Kombatantów,residential,2,False,True,33.958,"LINESTRING (15.2865585 51.1141651, 15.2869141 51.1143735)",,,
"[39159904, 797134801, 213780913]",Aleja Kombatantów,residential,"['2', '4']",False,False,363.55,"LINESTRING (15.2865585 51.1141651, 15.2864008 51.1140674, 15.285265 51.1133814, 15.2849587 51.1132492, 15.2846782 51.1131406, 15.284551 51.1130936, 15.2843823 51.113063, 15.2840567 51.1130168, 15.2837216 51.1129824, 15.2835968 51.1129615, 15.2834791 51.1129257, 15.2834203 51.1128971, 15.2832545 51.1128161, 15.2830965 51.1127294, 15.2829241 51.1126198, 15.2827732 51.1125005, 15.2826615 51.1123744, 15.2825332 51.1122468)",,,
186603899,Adama Mickiewicza,residential,4,False,False,232.362,"LINESTRING (15.2865585 51.1141651, 15.2860938 51.1146096, 15.2860661 51.1146371, 15.284826 51.1158774, 15.2847739 51.115929)",,,
186607415,Słoneczna,living_street,,False,False,53.141,"LINESTRING (15.2871332 51.116263, 15.2877897 51.116505)",,,
186607418,Słoneczna,living_street,,False,False,41.896,"LINESTRING (15.2871332 51.116263, 15.2874409 51.1159395)",,,
186607418,Słoneczna,living_street,,False,True,72.494,"LINESTRING (15.2871332 51.116263, 15.2869071 51.1164852, 15.2868471 51.1165297, 15.2868132 51.1165451, 15.2867731 51.1165519, 15.2867346 51.116549, 15.2866961 51.1165384, 15.2865556 51.1165023, 15.2865227 51.1164963, 15.2864975 51.116495, 15.2864768 51.1164969, 15.2864579 51.1165, 15.2864292 51.11651, 15.2863727 51.1165427)",,,
186602084,Jarosława Dąbrowskiego,unclassified,,False,False,124.25099999999999,"LINESTRING (15.2863727 51.1165427, 15.2865625 51.1166209, 15.2867399 51.1167029, 15.2869162 51.1167924, 15.2871019 51.1168825, 15.2873821 51.1170261, 15.2877781 51.1172274)",,,
186602084,Jarosława Dąbrowskiego,unclassified,,False,True,130.822,"LINESTRING (15.2863727 51.1165427, 15.2860934 51.1164309, 15.2856342 51.1162609, 15.2851975 51.116096, 15.2848886 51.1159741, 15.2847739 51.115929)",,,
186607418,Słoneczna,living_street,,False,False,72.494,"LINESTRING (15.2863727 51.1165427, 15.2864292 51.11651, 15.2864579 51.1165, 15.2864768 51.1164969, 15.2864975 51.116495, 15.2865227 51.1164963, 15.2865556 51.1165023, 15.2866961 51.1165384, 15.2867346 51.116549, 15.2867731 51.1165519, 15.2868132 51.1165451, 15.2868471 51.1165297, 15.2869071 51.1164852, 15.2871332 51.116263)",,,
186607415,Słoneczna,living_street,,False,True,53.141,"LINESTRING (15.2877897 51.116505, 15.2871332 51.116263)",,,
186607416,Słoneczna,living_street,,False,False,71.572,"LINESTRING (15.2874409 51.1159395, 15.2865517 51.115619)",,,
186607418,Słoneczna,living_street,,False,True,41.896,"LINESTRING (15.2874409 51.1159395, 15.2871332 51.116263)",,,
186607416,Słoneczna,living_street,,False,True,71.572,"LINESTRING (15.2865517 51.115619, 15.2874409 51.1159395)",,,
39159904,Aleja Kombatantów,residential,2,False,False,33.958,"LINESTRING (15.2869141 51.1143735, 15.2865585 51.1141651)",,,
"[364372604, 364372701]",Stroma,living_street,,False,"[False, True]",131.128,"LINESTRING (15.2869141 51.1143735, 15.2869522 51.1143471, 15.2877118 51.1138399, 15.2882608 51.1141253)",,,
338907128,Spacerowa,residential,,False,True,15.208,"LINESTRING (15.2827403 51.1156332, 15.2828762 51.1155263)",,,
53508476,Polna,residential,,False,False,37.98,"LINESTRING (15.2764631 51.1126406, 15.2760073 51.1124541)",,,30
364367956,,living_street,,False,False,56.397,"LINESTRING (15.2764631 51.1126406, 15.2760159 51.113063)",,,
53508476,Polna,residential,,False,True,112.012,"LINESTRING (15.2764631 51.1126406, 15.2767325 51.1127565, 15.2769215 51.1128352, 15.2773076 51.1129979, 15.277789 51.1132079)",,,30
364367956,,living_street,,False,True,56.397,"LINESTRING (15.2760159 51.113063, 15.2764631 51.1126406)",,,
53508476,Polna,residential,,False,True,37.98,"LINESTRING (15.2760073 51.1124541, 15.2764631 51.1126406)",,,30
364368005,,living_street,,False,False,54.894,"LINESTRING (15.2760073 51.1124541, 15.275577 51.1128673)",,,
53508476,Polna,residential,,False,False,43.685,"LINESTRING (15.2760073 51.1124541, 15.2756198 51.1122954, 15.2754889 51.1122343)",,,30
364368005,,living_street,,False,True,54.894,"LINESTRING (15.275577 51.1128673, 15.2760073 51.1124541)",,,
"[364372604, 364372701]",Stroma,living_street,,False,"[False, True]",131.12800000000001,"LINESTRING (15.2882608 51.1141253, 15.2877118 51.1138399, 15.2869522 51.1143471, 15.2869141 51.1143735)",,,
366705483,,living_street,,False,True,23.666,"LINESTRING (15.2841056 51.1145485, 15.2840203 51.1145189, 15.2839306 51.114494, 15.2838512 51.1144737, 15.2837967 51.1144617)",,,
366705483,,living_street,,False,False,23.666,"LINESTRING (15.2837967 51.1144617, 15.2838512 51.1144737, 15.2839306 51.114494, 15.2840203 51.1145189, 15.2841056 51.1145485)",,,
366705483,,living_street,,False,True,79.641,"LINESTRING (15.2837967 51.1144617, 15.2835879 51.1144091, 15.2834422 51.114362, 15.2832657 51.1142982, 15.2831098 51.1142419, 15.2830671 51.1142318, 15.283023 51.1142299, 15.282973 51.1142345, 15.2829274 51.1142447, 15.2828744 51.1142632, 15.2827744 51.1143038)",,,
366705484,,living_street,,False,False,49.444,"LINESTRING (15.2837967 51.1144617, 15.2838673 51.1144118, 15.2842516 51.1141209)",,,
366705484,,living_street,,False,True,49.444,"LINESTRING (15.2842516 51.1141209, 15.2838673 51.1144118, 15.2837967 51.1144617)",,,
"[39159904, 213780913, 797134801]",Aleja Kombatantów,residential,"['2', '4']",False,True,363.55,"LINESTRING (15.2825332 51.1122468, 15.2826615 51.1123744, 15.2827732 51.1125005, 15.2829241 51.1126198, 15.2830965 51.1127294, 15.2832545 51.1128161, 15.2834203 51.1128971, 15.2834791 51.1129257, 15.2835968 51.1129615, 15.2837216 51.1129824, 15.2840567 51.1130168, 15.2843823 51.113063, 15.284551 51.1130936, 15.2846782 51.1131406, 15.2849587 51.1132492, 15.285265 51.1133814, 15.2864008 51.1140674, 15.2865585 51.1141651)",,,
797100317,,residential,,False,False,21.022,"LINESTRING (15.2798319 51.1106882, 15.2799733 51.1107106, 15.2801219 51.1106823)",,,
921702855,Sybiraków,unclassified,4,False,False,38.419,"LINESTRING (15.2798319 51.1106882, 15.2798961 51.1107987, 15.2800118 51.1110147)",,,
187361465,,living_street,,False,False,37.752,"LINESTRING (15.2801219 51.1106823, 15.2801088 51.110722, 15.2800118 51.1110147)",,,
797100317,,residential,,False,True,21.022,"LINESTRING (15.2801219 51.1106823, 15.2799733 51.1107106, 15.2798319 51.1106882)",,,
"[53508480, 1050706451]",Karola Miarki,residential,,False,"[False, True]",490.52,"LINESTRING (15.2779353 51.1147865, 15.278049 51.1148449, 15.2786972 51.1151777, 15.2788257 51.1152425, 15.279855 51.1158127, 15.2798928 51.1158321, 15.2799354 51.1158541, 15.2806066 51.1161995, 15.2806159 51.1162044, 15.2810162 51.1164141, 15.2812904 51.1166109, 15.2816074 51.1168233, 15.2816348 51.1168414, 15.281904 51.1170197, 15.2821524 51.1171965, 15.2828466 51.1176083, 15.2831371 51.1177397)",,,
