osmid,oneway,highway,reversed,length,maxspeed,geometry,name
552595353,False,residential,True,77.096,30,"LINESTRING (51.9582078 27.8712215, 51.9579694 27.8716073, 51.958233 27.8717077)",
552452186,False,residential,False,86.209,30,"LINESTRING (51.9636723 27.8757213, 51.9628927 27.8753661)",
552513089,False,residential,False,50.648,30,"LINESTRING (51.9636723 27.8757213, 51.9633572 27.8760817)",
552513089,False,residential,True,65.373,30,"LINESTRING (51.9636723 27.8757213, 51.9639929 27.8752062)",
552452180,False,tertiary,False,26.979,,"LINESTRING (51.9588793 27.8775094, 51.9590327 27.8773082)",مهاجر
552452180,False,tertiary,True,37.204,,"LINESTRING (51.9588793 27.8775094, 51.9586624 27.8777836)",مهاجر
552452171,False,residential,True,156.119,30,"LINESTRING (51.9588793 27.8775094, 51.9595093 27.8778726, 51.9597206 27.8778966, 51.9602475 27.8781907)",
552452186,False,residential,True,93.426,30,"LINESTRING (51.9584543 27.873091, 51.9592268 27.8735805)",
552453781,False,residential,False,47.271,30,"LINESTRING (51.9584543 27.873091, 51.9586976 27.8727243)",
552453781,False,residential,True,47.248,30,"LINESTRING (51.9584543 27.873091, 51.9581695 27.8734333)",
552452173,False,residential,False,45.68,30,"LINESTRING (51.9572054 27.8769983, 51.9573828 27.8766186)",
552452173,False,residential,True,56.991,30,"LINESTRING (51.9572054 27.8769983, 51.9569813 27.877471)",
552452183,False,residential,False,67.049,30,"LINESTRING (51.9572054 27.8769983, 51.9578052 27.8772855)",
552452183,False,residential,True,71.528,30,"LINESTRING (51.9572054 27.8769983, 51.9565543 27.876711)",
552452179,False,residential,True,32.909,30,"LINESTRING (51.9613289 27.8697015, 51.9612432 27.8699876)",
552452180,False,tertiary,False,57.199,,"LINESTRING (51.9610634 27.8745711, 51.961337 27.8741171)",مهاجر
552452180,False,tertiary,True,59.063,,"LINESTRING (51.9610634 27.8745711, 51.9607608 27.87503)",مهاجر
552452186,False,residential,False,80.295,30,"LINESTRING (51.9610634 27.8745711, 51.9603573 27.874208)",
552452186,False,residential,True,72.42699999999999,30,"LINESTRING (51.9610634 27.8745711, 51.9615481 27.8748091, 51.9617302 27.8748181)",
552452180,False,tertiary,False,37.916,,"LINESTRING (51.9624456 27.8728207, 51.9626882 27.8725556)",مهاجر
552452180,False,tertiary,True,59.66,,"LINESTRING (51.9624456 27.8728207, 51.9619585 27.8731408)",مهاجر
552453770,False,residential,True,141.24,30,"LINESTRING (51.9624456 27.8728207, 51.9627465 27.8731103, 51.9636098 27.8735424)",
552452166,False,residential,True,32.153,30,"LINESTRING (51.958324 27.8782095, 51.9584624 27.8784715)",
