osmid,name,highway,oneway,reversed,length,geometry,junction
242948826,رازی شمالی,tertiary,False,True,11.787,"LINESTRING (55.2683217 30.8730451, 55.2682382 30.8731232)",
"[1111063794, 1111063795]",ابن سینا ۷,residential,False,True,151.424,"LINESTRING (55.2683217 30.8730451, 55.2689176 30.8735285, 55.2694863 30.8739698)",
1111063798,,residential,False,True,34.057,"LINESTRING (55.2703943 30.8745336, 55.2706354 30.8743078)",
1111164120,شبستان ۲,residential,False,False,80.566,"LINESTRING (55.2737398 30.8684957, 55.2732885 30.8678834)",
1111164120,شبستان ۲,residential,False,True,80.566,"LINESTRING (55.2732885 30.8678834, 55.2737398 30.8684957)",
1111164117,خیابان طالقانی,tertiary,False,True,79.989,"LINESTRING (55.2732885 30.8678834, 55.272959 30.8680274, 55.2725552 30.868231)",
1111767496,امام خمینی۱۲/۱,residential,False,False,34.336,"LINESTRING (55.2726459 30.8688815, 55.2729427 30.868707)",
134168501,خیابان امام خمینی,tertiary,False,False,84.387,"LINESTRING (55.2729427 30.868707, 55.2734491 30.8693291)",
134168501,خیابان امام خمینی,tertiary,False,True,64.57,"LINESTRING (55.2729427 30.868707, 55.2725552 30.868231)",
1111767496,امام خمینی۱۲/۱,residential,False,True,34.336,"LINESTRING (55.2729427 30.868707, 55.2726459 30.8688815)",
407423337,امامزاده ۳,residential,False,False,54.096,"LINESTRING (55.2762028 30.8767151, 55.2767435 30.8765691)",
407423337,امامزاده ۳,residential,False,True,4.381,"LINESTRING (55.2762028 30.8767151, 55.276159 30.8767269)",
242948995,نواب,tertiary,False,False,46.887,"LINESTRING (55.2712039 30.8718995, 55.2711083 30.8714859)",
242948995,نواب,tertiary,False,True,29.433,"LINESTRING (55.2712039 30.8718995, 55.2712653 30.8721589)",
1112644937,نواب ۷,residential,False,False,58.768,"LINESTRING (55.2712039 30.8718995, 55.2717205 30.8716119)",
1112644937,نواب ۷,residential,False,True,58.768,"LINESTRING (55.2717205 30.8716119, 55.2712039 30.8718995)",
242948995,نواب,tertiary,False,True,90.669,"LINESTRING (55.2722335 30.8734716, 55.2728806 30.8740686)",
1112644938,,residential,False,False,38.565,"LINESTRING (55.2722335 30.8734716, 55.2725272 30.8732334)",
242948995,نواب,tertiary,False,False,92.887,"LINESTRING (55.2722335 30.8734716, 55.2716371 30.8729212, 55.2715796 30.8728536)",
1112644938,,residential,False,True,38.565,"LINESTRING (55.2725272 30.8732334, 55.2722335 30.8734716)",
1113072450,,residential,False,False,18.164,"LINESTRING (55.273481 30.8703718, 55.2733845 30.870231)",
407423302,امام خمینی۱۶,residential,False,True,62.222,"LINESTRING (55.2732089 30.8700051, 55.2737839 30.8697414)",
1113712556,,residential,False,False,5.713,"LINESTRING (55.2732089 30.8700051, 55.2731561 30.8700293)",
1113072450,,residential,False,True,30.289,"LINESTRING (55.2732089 30.8700051, 55.2733362 30.8701509, 55.2733845 30.870231)",
1113712553,امام خمینی۱۲,residential,False,False,30.774,"LINESTRING (55.2721037 30.8681587, 55.2723657 30.8679974)",
134168501,خیابان امام خمینی,tertiary,False,False,31.652,"LINESTRING (55.2723657 30.8679974, 55.2725552 30.868231)",
1113712553,امام خمینی۱۲,residential,False,True,30.774,"LINESTRING (55.2723657 30.8679974, 55.2721037 30.8681587)",
1113712557,,residential,False,True,8.059,"LINESTRING (55.2742915 30.8706509, 55.2743248 30.8707175)",
1113712557,,residential,False,False,8.059,"LINESTRING (55.2743248 30.8707175, 55.2742915 30.8706509)",
1113712558,امام خمینی۲۰,residential,False,True,19.801,"LINESTRING (55.2743248 30.8707175, 55.2745047 30.8706288)",
1113712557,,residential,False,True,34.843,"LINESTRING (55.2743248 30.8707175, 55.2744082 30.8708841, 55.2743228 30.8709939)",
1114979418,امامزاده ۹,residential,False,False,62.436,"LINESTRING (55.2745899 30.8767707, 55.2743157 30.8762609)",
242949019,خیابان امامزاده,tertiary,False,False,2.968,"LINESTRING (55.2743157 30.8762609, 55.2742899 30.8762758)",
242949019,خیابان امامزاده,tertiary,False,True,44.622,"LINESTRING (55.2743157 30.8762609, 55.2747193 30.8760583)",
1114979418,امامزاده ۹,residential,False,True,62.436,"LINESTRING (55.2743157 30.8762609, 55.2745899 30.8767707)",
1114979422,امامزاده ۶,residential,False,False,48.239,"LINESTRING (55.2750812 30.8754106, 55.2753483 30.8757789)",
242949019,خیابان امامزاده,tertiary,False,False,13.206,"LINESTRING (55.2753483 30.8757789, 55.2752222 30.8758278)",
242949019,خیابان امامزاده,tertiary,False,True,38.315,"LINESTRING (55.2753483 30.8757789, 55.2757142 30.8756371)",
1114979422,امامزاده ۶,residential,False,True,48.239,"LINESTRING (55.2753483 30.8757789, 55.2750812 30.8754106)",
1114979423,امامزاده ۸,residential,False,False,47.517,"LINESTRING (55.2747368 30.8755685, 55.2750162 30.8759222)",
242949019,خیابان امامزاده,tertiary,False,False,32.123,"LINESTRING (55.2750162 30.8759222, 55.2747193 30.8760583)",
242949019,خیابان امامزاده,tertiary,False,True,22.287,"LINESTRING (55.2750162 30.8759222, 55.2752222 30.8758278)",
1114979423,امامزاده ۸,residential,False,True,47.517,"LINESTRING (55.2750162 30.8759222, 55.2747368 30.8755685)",
1116734954,شریعتی ۱۵,residential,False,False,14.904,"LINESTRING (55.2700525 30.8762875, 55.2699793 30.8761691)",
1116734955,شریعتی ۱۳,residential,False,False,19.787,"LINESTRING (55.2703646 30.876148, 55.2702568 30.875996)",
242948839,خیابان شریعتی,tertiary,False,False,31.177,"LINESTRING (55.2702568 30.875996, 55.270521 30.8758311)",
242948839,خیابان شریعتی,tertiary,False,True,32.739,"LINESTRING (55.2702568 30.875996, 55.2699793 30.8761691)",
1116734955,شریعتی ۱۳,residential,False,True,19.787,"LINESTRING (55.2702568 30.875996, 55.2703646 30.876148)",
1116734956,شریعتی ۲۰,residential,False,False,20.176,"LINESTRING (55.2702568 30.875996, 55.270141 30.8758442)",
1116734956,شریعتی ۲۰,residential,False,True,20.176,"LINESTRING (55.270141 30.8758442, 55.2702568 30.875996)",
1116734957,شریعتی ۱۴,residential,False,True,35.404,"LINESTRING (55.2709318 30.8751772, 55.2711643 30.8754253)",
1116734959,شریعتی ۱,residential,False,False,12.494,"LINESTRING (55.2754393 30.8723159, 55.2753694 30.8722209)",
1116734960,امام خمینی۲۴,residential,False,False,24.202,"LINESTRING (55.275789 30.8725904, 55.2759941 30.8724624)",
134168501,خیابان امام خمینی,tertiary,False,False,54.417,"LINESTRING (55.2759941 30.8724624, 55.2763201 30.8728639)",
134168501,خیابان امام خمینی,tertiary,False,True,5.968,"LINESTRING (55.2759941 30.8724624, 55.2759583 30.8724184)",
1116734960,امام خمینی۲۴,residential,False,True,24.202,"LINESTRING (55.2759941 30.8724624, 55.275789 30.8725904)",
1261372987,نواب ۱۲,residential,False,False,56.693,"LINESTRING (55.2711318 30.8731886, 55.2715796 30.8728536)",
