osmid,oneway,lanes,highway,junction,reversed,length,name,geometry,maxspeed
"[611090617, 542461042]",True,5,primary,roundabout,False,219.26799999999992,,"LINESTRING (69.2785227 41.3121853, 69.2777768 41.3107249, 69.2777558 41.3106726, 69.2777521 41.3106602, 69.2777491 41.3106479, 69.2777465 41.3106355, 69.2777445 41.3106226, 69.2777407 41.3105873, 69.2777405 41.3105727, 69.2777417 41.3105583, 69.2777447 41.3105463, 69.2777463 41.3105421, 69.277748 41.3105375, 69.277757 41.3105208, 69.2777664 41.3105061, 69.2777763 41.3104926, 69.2777932 41.3104747, 69.2778111 41.310458, 69.2778306 41.3104436, 69.2778512 41.3104305, 69.2778958 41.3104091, 69.2779432 41.3103852)",
138601200,True,3,primary,roundabout,False,84.96499999999999,,"LINESTRING (69.2789397 41.3101334, 69.2798514 41.3099409, 69.2799201 41.30993)",
31954971,False,,residential,,True,7.96,Istiqlol ko'chasi,"LINESTRING (69.284542 41.3097768, 69.2845722 41.3098447)",
422591132,False,,tertiary,,False,233.016,Istiqlol ko'chasi,"LINESTRING (69.284542 41.3097768, 69.2844961 41.3097163, 69.2841851 41.3093882, 69.2832649 41.3084599, 69.2828946 41.3080863)",
183829637,True,5,primary,,False,269.65999999999997,Shahrisabz ko'chasi,"LINESTRING (69.2840909 41.3159217, 69.2839227 41.3159958, 69.2837625 41.3160624, 69.2835952 41.3161298, 69.2834225 41.3161946, 69.2832533 41.3162536, 69.2830093 41.3163327, 69.2829089 41.3163612, 69.2827339 41.3164069, 69.2813907 41.3167226, 69.2812883 41.3167467, 69.2812241 41.3167618, 69.2810897 41.3167936)",
"[97089154, 333272155]",False,,residential,,False,220.966,Zarafshan ko'chasi,"LINESTRING (69.273871 41.3114969, 69.2738278 41.3114006, 69.2736028 41.3108986, 69.273587 41.3108632, 69.2733789 41.310399, 69.2731295 41.3098427, 69.2730237 41.3096144)",
164328097,True,,residential,,False,101.856,Matbuotchilar ko'chasi,"LINESTRING (69.273871 41.3114969, 69.2740808 41.3114402, 69.2749703 41.311196, 69.2750168 41.3111833)",
"[97089154, 333272155]",False,,residential,,True,220.96599999999998,Zarafshan ko'chasi,"LINESTRING (69.2730237 41.3096144, 69.2731295 41.3098427, 69.2733789 41.310399, 69.273587 41.3108632, 69.2736028 41.3108986, 69.2738278 41.3114006, 69.273871 41.3114969)",
633847756,False,,residential,,False,9.373,Istiqlol ko‘chasi,"LINESTRING (69.2758774 41.3161331, 69.2759847 41.3161084)",
422357148,True,,residential,,False,250.24,Zarafshan ko'chasi,"LINESTRING (69.2758774 41.3161331, 69.2758341 41.3160398, 69.2755837 41.3154753, 69.2755652 41.3154333, 69.2749574 41.3140627, 69.2749297 41.3139982)",
111592902,True,3,primary,,False,307.73799999999994,Mustaqillik shoh ko'chasi,"LINESTRING (69.2841265 41.3130919, 69.2828934 41.3125423, 69.2823472 41.312297, 69.2819043 41.3120991, 69.2817117 41.3120274, 69.281618 41.3119974, 69.2815191 41.3119735, 69.2814601 41.3119618, 69.2814312 41.3119586, 69.2814084 41.3119581, 69.2813807 41.3119585, 69.2813409 41.3119637, 69.2813185 41.3119702, 69.2812995 41.3119763, 69.2812789 41.3119834, 69.2812209 41.3120056, 69.2811556 41.3120315, 69.281079 41.3120644, 69.2809946 41.3121042, 69.2809095 41.3121477)",
"[183843544, 633846649, 183840406]",False,,tertiary,,True,370.52600000000007,Istiqlol ko'chasi,"LINESTRING (69.2841265 41.3130919, 69.2839831 41.3132203, 69.2835987 41.3135672, 69.2834044 41.3137426, 69.282703 41.3143679, 69.2825311 41.3144501, 69.2809458 41.3150103, 69.2808285 41.3150425, 69.2806932 41.3150677)",50
422591133,False,,tertiary,,True,9.348,Istiqlol ko'chasi,"LINESTRING (69.2828183 41.3080248, 69.2828946 41.3080863)",
31954971,False,,residential,,False,7.96,Istiqlol ko'chasi,"LINESTRING (69.2845722 41.3098447, 69.284542 41.3097768)",
714532358,True,3,primary,,False,318.349,Mahtumquli ko'chasi,"LINESTRING (69.2845722 41.3098447, 69.2843875 41.3098954, 69.2830943 41.3102479, 69.2818023 41.3106059, 69.281758 41.3106321, 69.2817251 41.3106533, 69.2816892 41.3106788, 69.2816566 41.3107078, 69.2816336 41.3107334, 69.2816059 41.3107824, 69.2815911 41.3108411, 69.2815818 41.3109375, 69.2815787 41.3111945)",70
88484818,True,5,primary,,False,17.957,Shahrisabz ko'chasi,"LINESTRING (69.2808486 41.3166871, 69.2810549 41.3166416)",
184747346,True,,primary,,False,179.296,Amir Temur shoh ko'chasi,"LINESTRING (69.2808486 41.3166871, 69.2808205 41.3165337, 69.2807425 41.3161089, 69.2806089 41.3153808, 69.2805462 41.3150908)",70
422575954,True,,primary,,False,17.15,Amir Temur shoh ko'chasi,"LINESTRING (69.2810549 41.3166416, 69.2810897 41.3167936)",
144216194,True,,residential,,False,152.028,Нуронийлар улица,"LINESTRING (69.2742316 41.3093307, 69.2742022 41.3092613, 69.274154 41.3091412, 69.2737298 41.3080845, 69.2737265 41.3080764, 69.2737053 41.3080219)",
426060207,True,,residential,,False,105.716,Buxoro ko'chasi,"LINESTRING (69.2742316 41.3093307, 69.2732018 41.3095773, 69.2730237 41.3096144)",
591729983,False,,residential,,False,118.663,Нуронийлар улица,"LINESTRING (69.2742316 41.3093307, 69.2742719 41.3094292, 69.274416 41.3097687, 69.2745668 41.3101243, 69.2746137 41.3102349, 69.2746616 41.3103478)",
714757187,True,,primary,roundabout,False,89.438,Amir Temur shoh ko'chasi,"LINESTRING (69.2788883 41.3129413, 69.2785227 41.3121853)",70
"[633840010, 182502629]",True,,residential,,False,339.29900000000004,Mustaqillik shoh ko'chasi,"LINESTRING (69.2788883 41.3129413, 69.2787269 41.3129766, 69.2784501 41.313047, 69.2779501 41.3131754, 69.2766366 41.3135226, 69.2758953 41.3137332, 69.2751426 41.313942, 69.2750611 41.3139634)",
422591133,False,,tertiary,,False,9.348,Istiqlol ko'chasi,"LINESTRING (69.2828946 41.3080863, 69.2828183 41.3080248)",
422591132,False,,tertiary,,True,233.016,Istiqlol ko'chasi,"LINESTRING (69.2828946 41.3080863, 69.2832649 41.3084599, 69.2841851 41.3093882, 69.2844961 41.3097163, 69.284542 41.3097768)",
"[626902466, 426060204, 426060205]",True,,residential,,False,260.036,Matbuotchilar ko'chasi,"LINESTRING (69.2750168 41.3111833, 69.2771292 41.3106034, 69.2772019 41.3105837, 69.2772934 41.3105591, 69.2774819 41.3105093, 69.2776173 41.3104728, 69.2779432 41.3103852)",
591729983,False,,residential,,True,97.526,Нуронийлар улица,"LINESTRING (69.2750168 41.3111833, 69.274985 41.3111097, 69.2749519 41.3110318, 69.2748948 41.3108973, 69.2748818 41.3108666, 69.2748487 41.3107885, 69.2746616 41.3103478)",
"[847323424, 183822026]",True,"['5', '6']",primary,roundabout,False,87.832,,"LINESTRING (69.2779432 41.3103852, 69.2782162 41.3103087, 69.2789397 41.3101334)",
"[518933910, 714741167]",True,,tertiary,,False,320.02599999999995,Istiqbol ko'chasi,"LINESTRING (69.2801887 41.3099131, 69.2804859 41.3098978, 69.2806482 41.3098894, 69.2807978 41.3098792, 69.2808738 41.3098678, 69.2809333 41.3098504, 69.28094 41.3098467, 69.2809893 41.3098196, 69.2810236 41.3097896, 69.2812928 41.3095543, 69.2813532 41.3094943, 69.2819078 41.3089428, 69.2825965 41.3082484, 69.2828183 41.3080248)",
"[714741168, 518933912, 166322136]",True,"['7', '6']",primary,roundabout,False,90.81799999999998,Сквер Амира Тимура,"LINESTRING (69.2801887 41.3099131, 69.2802784 41.3099163, 69.2803663 41.309922, 69.2804048 41.3099258, 69.280516 41.3099367, 69.280565 41.3099419, 69.2806132 41.3099485, 69.2807087 41.3099631, 69.2807318 41.3099679, 69.2807495 41.3099718, 69.2807671 41.3099773, 69.2807868 41.3099841, 69.2808059 41.3099923, 69.2808417 41.3100098, 69.2808728 41.3100271, 69.2809042 41.3100467, 69.2809599 41.3100816, 69.2810387 41.3101359, 69.2810939 41.3101751, 69.2811501 41.3102174)",
591729983,False,,residential,,False,97.52600000000001,Нуронийлар улица,"LINESTRING (69.2746616 41.3103478, 69.2748487 41.3107885, 69.2748818 41.3108666, 69.2748948 41.3108973, 69.2749519 41.3110318, 69.274985 41.3111097, 69.2750168 41.3111833)",
591729983,False,,residential,,True,118.66299999999998,Нуронийлар улица,"LINESTRING (69.2746616 41.3103478, 69.2746137 41.3102349, 69.2745668 41.3101243, 69.274416 41.3097687, 69.2742719 41.3094292, 69.2742316 41.3093307)",
611126189,False,2,residential,,False,37.3,,"LINESTRING (69.2746616 41.3103478, 69.274731 41.3103295, 69.2750834 41.3102376)",5
611126189,False,2,residential,,True,37.3,,"LINESTRING (69.2750834 41.3102376, 69.274731 41.3103295, 69.2746616 41.3103478)",5
633847756,False,,residential,,True,9.373,Istiqlol ko‘chasi,"LINESTRING (69.2759847 41.3161084, 69.2758774 41.3161331)",
633847756,False,,residential,,False,397.47299999999996,Istiqlol ko‘chasi,"LINESTRING (69.2759847 41.3161084, 69.2764277 41.3160079, 69.2771023 41.3158548, 69.2785059 41.3155366, 69.2785622 41.3155247, 69.2794471 41.3153219, 69.28023 41.3151457, 69.2804131 41.3151117, 69.2805462 41.3150908)",
633822746,True,,residential,,False,250.745,,"LINESTRING (69.2750611 41.3139634, 69.275931 41.3160184, 69.2759847 41.3161084)",
633825582,False,,residential,,True,11.637,,"LINESTRING (69.2750611 41.3139634, 69.2749916 41.3139818, 69.2749297 41.3139982)",
633825582,False,,residential,,False,11.637,,"LINESTRING (69.2749297 41.3139982, 69.2749916 41.3139818, 69.2750611 41.3139634)",
