osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction,width,access
4834310,Gasmeterstraat,residential,True,False,150.846,"LINESTRING (3.2835347 51.3425796, 3.2835205 51.342514, 3.2834784 51.3422781, 3.283447 51.342238, 3.2833827 51.3422155, 3.2824359 51.3421941, 3.282394 51.3422099, 3.2823641 51.3422473, 3.2823532 51.3424656, 3.2823492 51.3425453)",,,,,,
248182331,Meerlaan,residential,False,True,25.313,"LINESTRING (3.2835347 51.3425796, 3.2836676 51.3425829, 3.2838983 51.3425944)",,,,,,
1079844767,Meerlaan,residential,False,False,13.222,"LINESTRING (3.2840884 51.3426005, 3.2838983 51.3425944)",,,,,,
4834317,Meerlaan,residential,True,False,54.11099999999999,"LINESTRING (3.2840884 51.3426005, 3.2841543 51.3425737, 3.2842721 51.342526, 3.2842956 51.3425167, 3.2843452 51.3424947, 3.2843969 51.342457, 3.2844952 51.3423933, 3.2846554 51.3422732)",1,,,,,
106625637,Meerlaan,residential,False,True,25.398,"LINESTRING (3.2840884 51.3426005, 3.2842999 51.3426111, 3.2843599 51.3426112, 3.2844528 51.3426176)",,,,,,
"[227748909, 248182327]",Koningslaan,primary,True,False,62.980999999999995,"LINESTRING (3.2846554 51.3422732, 3.2847775 51.3421267, 3.284999 51.3418512, 3.2850391 51.3418062, 3.2850894 51.3417792)",2,N49d,50,,,
"[1211224049, 761238402, 1211224047]","['Natiënlaan', 'Maurice Lippensplein']",primary,True,False,96.58500000000001,"LINESTRING (3.2864044 51.3390973, 3.2863938 51.3391415, 3.2863832 51.3391856, 3.2863816 51.339239, 3.2864067 51.3392738, 3.2864311 51.3392956, 3.2864918 51.339351, 3.2865276 51.339409, 3.2865394 51.3394719, 3.2865276 51.3395171, 3.2864969 51.3395556, 3.2864504 51.3395891, 3.286372 51.3396331, 3.2863101 51.3396827, 3.2862851 51.3397394, 3.2862585 51.3398434, 3.2862492 51.3398855)",1,N49,50,roundabout,3,
26723020,Knokkestraat,tertiary,True,False,12.743,"LINESTRING (3.2855596 51.3411492, 3.2855072 51.3410979, 3.2854848 51.3410815, 3.2854591 51.3410536)",,N359,50,,3,
78812539,Pastoor Opdedrinckplein,primary,True,False,10.65,"LINESTRING (3.2855596 51.3411492, 3.2855799 51.3411178, 3.2856109 51.341059)",2,N49,50,roundabout,,
102021944,Boudewijnlaan,residential,False,True,80.082,"LINESTRING (3.2844528 51.3426176, 3.2845673 51.3426117, 3.2854616 51.3425619, 3.2856013 51.3425545)",,,,,,
106625637,Meerlaan,residential,False,False,25.398,"LINESTRING (3.2844528 51.3426176, 3.2843599 51.3426112, 3.2842999 51.3426111, 3.2840884 51.3426005)",,,,,,
248182328,Koningslaan,primary,True,False,41.226,"LINESTRING (3.2844528 51.3426176, 3.2844685 51.3425242, 3.2845506 51.3424108, 3.2846554 51.3422732)",1,N49d,,,,
79057083,De Klerckstraat,residential,False,False,62.947,"LINESTRING (3.2937165 51.3405774, 3.2946166 51.3405118)",2,,50,,,
"[79057083, 218800029]","['De Klerckstraat', 'Gemeenteplein']",residential,False,True,261.004,"LINESTRING (3.2937165 51.3405774, 3.2925461 51.340657, 3.2923418 51.3406751, 3.2922788 51.340681, 3.2922506 51.3406811, 3.2918588 51.3407087, 3.2917917 51.340713, 3.2902134 51.3408239, 3.2899831 51.3408412)",2,,50,,,
141693341,Sint-Jorisstraat,residential,False,False,207.90800000000002,"LINESTRING (3.2937165 51.3405774, 3.2934467 51.3391391, 3.2934903 51.339127, 3.2939538 51.33906, 3.2939807 51.3390415, 3.294092 51.3390449)",,,,,,
79057083,De Klerckstraat,residential,False,True,49.867,"LINESTRING (3.2953271 51.3404508, 3.2952763 51.3404604, 3.2946166 51.3405118)",2,,50,,,
106431066,De Judestraat,residential,True,False,94.267,"LINESTRING (3.2953271 51.3404508, 3.2953653 51.340552, 3.2952773 51.3407718, 3.29525 51.3408826, 3.2951735 51.3409951, 3.2950483 51.3411341, 3.294941 51.3412377)",,,,,,
1079844767,Meerlaan,residential,False,True,13.222,"LINESTRING (3.2838983 51.3425944, 3.2840884 51.3426005)",,,,,,
42771203,Sportlaan,residential,True,False,103.581,"LINESTRING (3.2838983 51.3425944, 3.2838538 51.3426921, 3.2836692 51.343514)",,,,,,
248182331,Meerlaan,residential,False,False,25.313,"LINESTRING (3.2838983 51.3425944, 3.2836676 51.3425829, 3.2835347 51.3425796)",,,,,,
42771203,Sportlaan,residential,True,False,55.348,"LINESTRING (3.283461 51.3442183, 3.2835076 51.3447152)",,,,,,
106298166,Majoor Vandammestraat,residential,False,True,59.094,"LINESTRING (3.283461 51.3442183, 3.2833859 51.3442143, 3.282669 51.3440297)",,,,,,
42771234,Lispannenlaan,residential,False,True,74.047,"LINESTRING (3.2835076 51.3447152, 3.2824445 51.3447651)",,,,,,
1183395609,Lispannenlaan,residential,False,False,78.81199999999998,"LINESTRING (3.2835076 51.3447152, 3.2837353 51.344706, 3.2839649 51.344699, 3.2842482 51.344693, 3.2843877 51.3446871, 3.2845205 51.3446817, 3.2846406 51.3446773)",,,,,,
87789719,Koningslaan,primary,True,False,131.258,"LINESTRING (3.2846406 51.3446773, 3.2846349 51.3446163, 3.2845296 51.3434989)",1,N49d,,,,
128049119,Nestor de Tièrestraat,residential,False,True,81.579,"LINESTRING (3.2846406 51.3446773, 3.2847483 51.3446731, 3.2856495 51.3446362, 3.2857087 51.3446347, 3.2858128 51.3446311)",,,,,,
1183395609,Lispannenlaan,residential,False,True,78.81200000000001,"LINESTRING (3.2846406 51.3446773, 3.2845205 51.3446817, 3.2843877 51.3446871, 3.2842482 51.344693, 3.2839649 51.344699, 3.2837353 51.344706, 3.2835076 51.3447152)",,,,,,
42771234,Lispannenlaan,residential,False,False,74.047,"LINESTRING (3.2824445 51.3447651, 3.2835076 51.3447152)",,,,,,
102021946,Majoor Vandammestraat,residential,False,False,86.08099999999999,"LINESTRING (3.2824445 51.3447651, 3.282415 51.3446662, 3.2823962 51.344406, 3.282669 51.3440297)",,,,,,
102021946,Majoor Vandammestraat,residential,False,True,86.08099999999999,"LINESTRING (3.282669 51.3440297, 3.2823962 51.344406, 3.282415 51.3446662, 3.2824445 51.3447651)",,,,,,
106298166,Majoor Vandammestraat,residential,False,False,59.094,"LINESTRING (3.282669 51.3440297, 3.2833859 51.3442143, 3.283461 51.3442183)",,,,,,
106303058,Elizabetlaan,tertiary,False,False,65.383,"LINESTRING (3.2898347 51.346821, 3.2906591 51.3471049)",,N360,,,,
106303058,Elizabetlaan,tertiary,False,True,6.362,"LINESTRING (3.2898347 51.346821, 3.2897536 51.3467944)",,N360,,,,
130597418,,residential,True,False,49.083,"LINESTRING (3.2898347 51.346821, 3.2898892 51.3467533, 3.2899284 51.3467046, 3.289967 51.3466332, 3.2899557 51.3465639, 3.2898463 51.3464125)",,,,,,
106303058,Elizabetlaan,tertiary,False,True,19.568,"LINESTRING (3.2922021 51.3477502, 3.2919733 51.3476475)",,N360,,,,
106306592,Tennispad,residential,False,True,73.806,"LINESTRING (3.2922021 51.3477502, 3.2921586 51.3477872, 3.2919147 51.348006, 3.2918805 51.3480111, 3.2917442 51.348012, 3.2915806 51.3478327, 3.2915961 51.3477962)",,,,,,
78799024,Edward Verheyestraat,residential,False,False,109.1,"LINESTRING (3.2888909 51.3409168, 3.2888791 51.3408682, 3.2888718 51.3408069, 3.2888909 51.3407456, 3.2892202 51.3400305, 3.2892521 51.3399697)",,,,,,
"[927260520, 133342666]",Sebastiaan Nachtegaelestraat,residential,False,True,36.602000000000004,"LINESTRING (3.2888909 51.3409168, 3.2887629 51.3409314, 3.2883749 51.3409834)",2,,50,,,
"[78812584, 927260521]","['Sebastiaan Nachtegaelestraat', 'Gemeenteplein']",residential,False,False,33.616,"LINESTRING (3.2888909 51.3409168, 3.2890336 51.3409082, 3.2891774 51.3408987, 3.2893723 51.3408858)",2,,50,,,
"[466718146, 140236982]",Knokkestraat,tertiary,False,True,70.331,"LINESTRING (3.2840428 51.3408853, 3.2846422 51.3409205, 3.2847891 51.3409313, 3.2849198 51.3409422, 3.285048 51.3409581)",2,N359,50,,,
160832473,Jeugdherbergstraat,residential,False,False,50.788,"LINESTRING (3.2840428 51.3408853, 3.2840108 51.3407381, 3.283992 51.3406946, 3.2839813 51.3406359, 3.2840986 51.3404887, 3.2841268 51.3404532)",,,,,,
78812542,Knokkestraat,tertiary,False,True,7.432,"LINESTRING (3.2853608 51.3410272, 3.2854418 51.3410489, 3.2854591 51.3410536)",2,N359,50,,,
"[219333857, 219333858, 219333859, 219333860, 219333861, 78812554, 907144383]",Maurice Lippensplein,residential,True,False,153.11800000000002,"LINESTRING (3.2853608 51.3410272, 3.2853986 51.3409333, 3.2854102 51.3409044, 3.2854552 51.3406139, 3.2854574 51.3405804, 3.2854772 51.3404533, 3.2854731 51.3404286, 3.2854398 51.3404081, 3.2851992 51.3403918, 3.2851563 51.3404079, 3.2851224 51.3404304, 3.2851045 51.3405621, 3.2850692 51.3407656, 3.2850544 51.3408627, 3.2850516 51.3408806, 3.2850503 51.3409093, 3.285048 51.3409581)",,,,,,
"[1119137809, 140236981]",Knokkestraat,tertiary,False,False,23.074,"LINESTRING (3.2853608 51.3410272, 3.28524 51.3409973, 3.2852078 51.3409898, 3.2851668 51.3409792, 3.285048 51.3409581)",2,N359,50,,,
79057093,Sebastiaan Nachtegaelestraat,residential,False,False,85.935,"LINESTRING (3.287153 51.3410997, 3.2872683 51.3410919, 3.2876572 51.3410676, 3.2878479 51.3410485, 3.2882729 51.3409957, 3.2883749 51.3409834)",2,,50,,,
248182341,Maurice Lippensplein,secondary,True,False,11.265,"LINESTRING (3.287153 51.3410997, 3.287151 51.341125, 3.287139 51.3411492, 3.2871176 51.3411707, 3.2870883 51.3411882)",,,50,roundabout,,
87792829,Maurice Lippensplein,secondary,True,False,39.623,"LINESTRING (3.2868451 51.3411468, 3.2867817 51.3411289, 3.286721 51.3411139, 3.2865647 51.3410865, 3.2863746 51.3410736, 3.2862937 51.3410821)",,,50,,,
248182338,Maurice Lippensplein,secondary,True,False,12.831,"LINESTRING (3.2868451 51.3411468, 3.2868323 51.3411092, 3.2868431 51.3410713, 3.286876 51.3410388)",,,50,roundabout,,
79174706,Maurice Lippensplein,secondary,True,False,13.376,"LINESTRING (3.2869985 51.3412078, 3.2869479 51.3412038, 3.2869018 51.3411902, 3.2868685 51.341171, 3.2868451 51.3411468)",,,50,roundabout,,
4834296,Lippenslaan,secondary,True,False,46.83599999999999,"LINESTRING (3.2870883 51.3411882, 3.2872335 51.3413705, 3.2872811 51.3414425, 3.2872986 51.341467, 3.2873249 51.3415048, 3.287362 51.3415726)",,,50,,3,
246969278,Maurice Lippensplein,secondary,True,False,6.6850000000000005,"LINESTRING (3.2870883 51.3411882, 3.2870458 51.3412023, 3.2869985 51.3412078)",,,50,roundabout,,
126551573,Smedenstraat,residential,False,False,12.585,"LINESTRING (3.2870673 51.3410187, 3.2871617 51.3409221)",,,,,,
246969294,Maurice Lippensplein,secondary,True,False,11.216999999999999,"LINESTRING (3.2870673 51.3410187, 3.2871102 51.341039, 3.2871398 51.3410671, 3.287153 51.3410997)",,,50,roundabout,,
248182340,Maurice Lippensplein,secondary,True,False,14.407,"LINESTRING (3.286876 51.3410388, 3.2869091 51.341022, 3.2869601 51.3410093, 3.287015 51.3410082, 3.2870673 51.3410187)",,,50,roundabout,,
80281160,Fincentlaan,residential,False,False,81.32600000000001,"LINESTRING (3.2844879 51.3429959, 3.2845658 51.3429934, 3.2845992 51.3429923, 3.2855327 51.3429621, 3.2856572 51.3429582)",,,,,,
87789719,Koningslaan,primary,True,False,42.136,"LINESTRING (3.2844879 51.3429959, 3.2844624 51.3427216, 3.2844583 51.3426777, 3.2844528 51.3426176)",1,N49d,,,,
80281160,Fincentlaan,residential,False,True,81.32600000000001,"LINESTRING (3.2856572 51.3429582, 3.2855327 51.3429621, 3.2845992 51.3429923, 3.2845658 51.3429934, 3.2844879 51.3429959)",,,,,,
175994804,Fincentlaan,residential,True,False,142.65599999999998,"LINESTRING (3.2856572 51.3429582, 3.2857235 51.3429552, 3.2857738 51.3429526, 3.2877039 51.3428515)",,,,,,
320958754,Paul Parmentierlaan,primary,True,False,79.363,"LINESTRING (3.2856572 51.3429582, 3.2856595 51.3430412, 3.2857293 51.3436704)",1,N49c,,,,
4834296,Lippenslaan,secondary,True,False,37.091,"LINESTRING (3.28783 51.3428505, 3.2878669 51.3431018, 3.2878799 51.3431826)",,,50,,3,
87787836,Julius Sabbelaan,residential,False,True,13.941,"LINESTRING (3.2833205 51.3468655, 3.2833338 51.3469906)",,,,,,
320958732,Elizabetlaan,primary,True,False,64.718,"LINESTRING (3.2833205 51.3468655, 3.2842505 51.3468291)",2,N34,,,6,
87787836,Julius Sabbelaan,residential,False,False,45.667,"LINESTRING (3.2833205 51.3468655, 3.2833168 51.3468322, 3.2832749 51.3464558)",,,,,,
87787836,Julius Sabbelaan,residential,False,False,13.941,"LINESTRING (3.2833338 51.3469906, 3.2833205 51.3468655)",,,,,,
87787836,Julius Sabbelaan,residential,False,True,78.364,"LINESTRING (3.2833338 51.3469906, 3.2833423 51.347061, 3.2833445 51.3470807, 3.2833817 51.3474699, 3.2834032 51.347694)",,,,,,
87787836,Julius Sabbelaan,residential,False,True,45.667,"LINESTRING (3.2832749 51.3464558, 3.2833168 51.3468322, 3.2833205 51.3468655)",,,,,,
87789661,Elizabetlaan,primary,True,False,52.378,"LINESTRING (3.2842505 51.3468291, 3.2842995 51.3468162, 3.2844625 51.3468108, 3.2844934 51.3468079, 3.2845609 51.3467943, 3.2846344 51.3467696, 3.2846905 51.3467381, 3.2847583 51.3466841, 3.2847738 51.3466702, 3.2848081 51.3466264, 3.2848121 51.346588)",1,,,,,
87789667,Elizabetlaan,primary,True,False,31.705000000000002,"LINESTRING (3.2842505 51.3468291, 3.2843002 51.3468422, 3.2844626 51.3468392, 3.2844953 51.3468381, 3.2846164 51.3468352, 3.2846988 51.3468195)",1,N34,,,,
"[130435073, 130435110]",Elizabetlaan,secondary,True,False,74.647,"LINESTRING (3.2859896 51.3467792, 3.2860431 51.3467997, 3.2860929 51.3468057, 3.2861416 51.3468032, 3.2861773 51.3468014, 3.2869347 51.3467633, 3.2869922 51.3467604, 3.2870297 51.3467889)",1,N34,,,"['3', '6']",
1098897098,Abraham Hansplein,primary,True,False,14.051,"LINESTRING (3.2859896 51.3467792, 3.2860134 51.3468463, 3.2860034 51.3469036)",1,N34,,,4,
87787845,Elizabetlaan,primary,True,False,92.329,"LINESTRING (3.2846547 51.3469805, 3.2844999 51.3469516, 3.2844674 51.3469538, 3.2833338 51.3469906)",1,N34,,,3,
1098897100,Abraham Hansplein,primary,True,False,19.218,"LINESTRING (3.2846547 51.3469805, 3.2846345 51.3469469, 3.2846356 51.3469016, 3.2846539 51.3468666, 3.2846988 51.3468195)",1,N34,,,4,
87789670,Paul Parmentierlaan,residential,True,False,15.216999999999999,"LINESTRING (3.2859397 51.3469759, 3.2859918 51.3470274, 3.2860156 51.3470483, 3.2860622 51.3470893)",,,,,,
87789710,Abraham Hansplein,primary,True,False,76.969,"LINESTRING (3.2859397 51.3469759, 3.2858843 51.3470028, 3.2858088 51.3470235, 3.2857398 51.347032, 3.2850424 51.3470588, 3.2849245 51.3470634, 3.2848563 51.3470667)",1,N34,,,4,
320958733,Elizabetlaan,secondary,False,True,5.929,"LINESTRING (3.2870297 51.3467889, 3.2871139 51.3467801)",2,N34,,,3,
"[320958736, 130435074]",Elizabetlaan,secondary,True,False,74.257,"LINESTRING (3.2870297 51.3467889, 3.2869962 51.3468165, 3.2869402 51.3468196, 3.2861793 51.3468615, 3.2861459 51.3468634, 3.2861134 51.3468651, 3.2860838 51.3468712, 3.2860553 51.3468788, 3.2860034 51.3469036)",1,N34,,,3,
1098897099,Abraham Hansplein,primary,True,False,13.056999999999999,"LINESTRING (3.2858715 51.3466901, 3.2859376 51.3467242, 3.2859896 51.3467792)",1,N34,,,4,
87789677,Koningslaan,primary,True,False,16.889,"LINESTRING (3.2848351 51.3467299, 3.2848592 51.3466967, 3.2848647 51.3466674, 3.2848361 51.3466255, 3.2848121 51.346588)",1,N49d,,,,
1098897099,Abraham Hansplein,primary,True,False,73.333,"LINESTRING (3.2848351 51.3467299, 3.2848956 51.3467062, 3.2849561 51.3466979, 3.2856822 51.3466684, 3.285766 51.3466684, 3.2858715 51.3466901)",1,N34,,,4,
87789710,Abraham Hansplein,primary,True,False,9.254999999999999,"LINESTRING (3.2860034 51.3469036, 3.2859799 51.3469415, 3.2859397 51.3469759)",1,N34,,,4,
87789719,Koningslaan,primary,True,False,212.794,"LINESTRING (3.2848121 51.346588, 3.2847309 51.3456679, 3.2846476 51.3447554, 3.2846406 51.3446773)",1,N49d,,,,
566703924,Koningslaan,residential,True,False,16.6,"LINESTRING (3.2848635 51.3472148, 3.2848732 51.3471623, 3.2848717 51.3471275, 3.2848685 51.3471058, 3.2848637 51.3470895, 3.2848563 51.3470667)",,,,,,
87789710,Abraham Hansplein,primary,True,False,17.973,"LINESTRING (3.2848563 51.3470667, 3.2847956 51.347061, 3.2847232 51.3470389, 3.2846785 51.3470084, 3.2846547 51.3469805)",1,N34,,,4,
1098897099,Abraham Hansplein,primary,True,False,13.743,"LINESTRING (3.2846988 51.3468195, 3.2848351 51.3467299)",1,N34,,,4,
160833110,Tramweg,residential,False,False,166.784,"LINESTRING (3.285048 51.3409581, 3.2850459 51.3409929, 3.2850381 51.3411201, 3.28503 51.3411805, 3.2850059 51.3412173, 3.2849549 51.3412492, 3.2848861 51.3412765, 3.2841691 51.3414359, 3.283984 51.3414636, 3.2837962 51.3414938, 3.2831498 51.3416295)",,,,,,
"[466718146, 140236982]",Knokkestraat,tertiary,False,False,70.331,"LINESTRING (3.285048 51.3409581, 3.2849198 51.3409422, 3.2847891 51.3409313, 3.2846422 51.3409205, 3.2840428 51.3408853)",2,N359,50,,,
"[1119137809, 140236981]",Knokkestraat,tertiary,False,True,23.074,"LINESTRING (3.285048 51.3409581, 3.2851668 51.3409792, 3.2852078 51.3409898, 3.28524 51.3409973, 3.2853608 51.3410272)",2,N359,50,,,
78812542,Knokkestraat,tertiary,False,False,7.432,"LINESTRING (3.2854591 51.3410536, 3.2854418 51.3410489, 3.2853608 51.3410272)",2,N359,50,,,
79057098,Knokkestraat,tertiary,True,False,10.701,"LINESTRING (3.2854591 51.3410536, 3.2855019 51.3410537, 3.285552 51.3410497, 3.2856109 51.341059)",1,N359,50,,3,
79057093,Sebastiaan Nachtegaelestraat,residential,False,True,85.93499999999999,"LINESTRING (3.2883749 51.3409834, 3.2882729 51.3409957, 3.2878479 51.3410485, 3.2876572 51.3410676, 3.2872683 51.3410919, 3.287153 51.3410997)",2,,50,,,
126551575,Piers de Raveschootlaan,residential,False,True,47.889,"LINESTRING (3.2883749 51.3409834, 3.2884021 51.3410493, 3.2885166 51.3414048)",,,,,,
"[927260520, 133342666]",Sebastiaan Nachtegaelestraat,residential,False,False,36.602000000000004,"LINESTRING (3.2883749 51.3409834, 3.2887629 51.3409314, 3.2888909 51.3409168)",2,,50,,,
4834305,Alfred Verweeplein,residential,False,True,8.972,"LINESTRING (3.2877508 51.3431854, 3.2878799 51.3431826)",,,,,,
126551572,Lippenslaan,secondary,True,False,37.271,"LINESTRING (3.2877508 51.3431854, 3.2877391 51.3431072, 3.2877039 51.3428515)",,,50,,3,
126551575,Piers de Raveschootlaan,residential,False,True,121.909,"LINESTRING (3.2885166 51.3414048, 3.2888532 51.3424808)",,,,,,
106296624,Pepersstraat,residential,False,False,46.804,"LINESTRING (3.2885166 51.3414048, 3.2885918 51.3413956, 3.2891729 51.3414816)",,,,,,
126551575,Piers de Raveschootlaan,residential,False,False,47.889,"LINESTRING (3.2885166 51.3414048, 3.2884021 51.3410493, 3.2883749 51.3409834)",,,,,,
106295689,Boudewijnlaan,residential,True,False,143.079,"LINESTRING (3.2876519 51.3424325, 3.2875108 51.3424408, 3.2857626 51.3425436, 3.2856013 51.3425545)",,,,,,
126551572,Lippenslaan,secondary,True,False,97.06,"LINESTRING (3.2876519 51.3424325, 3.2875971 51.3422428, 3.2873566 51.3417006, 3.2872837 51.3415923)",,,50,,3,
