osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,access,junction,tunnel,width
"[41455337, 241095389]",True,"['Place Saint-Josse - Sint-Joostplein', 'Rue de la Pacification - Pacificatiestraat']",residential,30,False,115.59599999999999,"LINESTRING (4.3749088 50.8498312, 4.3750006 50.8496499, 4.3750212 50.8496092, 4.3754138 50.8489716, 4.3754598 50.848902, 4.3754884 50.8488586)",,,,,,
689887449,False,Chaussée de Louvain - Leuvense Steenweg,secondary,30,True,37.925999999999995,"LINESTRING (4.3749088 50.8498312, 4.3748543 50.8497971, 4.3747894 50.8497696, 4.3747507 50.8497605, 4.3746995 50.8497478, 4.3746653 50.8497427, 4.3745871 50.8497392, 4.3744132 50.8497541)",4,N2,,,,
3517547,True,Rue Royale - Koningsstraat,secondary,30,False,8.981,"LINESTRING (4.3655333 50.853171, 4.3655455 50.8530906)",,,,,,
32757071,False,Boulevard du Jardin Botanique - Kruidtuinlaan,primary,30,True,15.773,"LINESTRING (4.3655333 50.853171, 4.3656326 50.8531427, 4.3656772 50.8531299, 4.365738 50.8531125)",,,,,,
"[14187484, 1202791916]",True,Boulevard du Jardin Botanique - Kruidtuinlaan,primary,30,False,147.42799999999997,"LINESTRING (4.3655333 50.853171, 4.3653683 50.8532182, 4.3642558 50.8535362, 4.3636966 50.8536961, 4.3636202 50.853718)","['1', '2']",,,,,
693624485,True,,trunk,50,False,54.133,"LINESTRING (4.3693092 50.8474476, 4.369116 50.8469763)",2,R20,,,,
137218222,True,Boulevard du Régent - Regentlaan,primary,50,False,79.822,"LINESTRING (4.3691242 50.8481553, 4.3692047 50.8478651, 4.3692642 50.8475647, 4.3693092 50.8474476)",1,R20a,,,,
14029007,True,Rue Ducale - Hertogstraat,residential,30,False,136.144,"LINESTRING (4.367393 50.8471198, 4.3675061 50.8471513, 4.3679822 50.847336, 4.3683176 50.8480367, 4.368341 50.8480964)",,,,,,
41497287,True,Place Surlet de Chokier - Surlet de Chokierplein,residential,30,False,14.117,"LINESTRING (4.3680827 50.8491078, 4.3681319 50.8489847)",,,,,,
14029747,True,Rue du Nord - Noordstraat,living_street,20,False,57.294,"LINESTRING (4.3680827 50.8491078, 4.3680286 50.8491878, 4.3679245 50.849611)",,,,,,
57036590,False,Rue du Congrès - Congresstraat,living_street,20,True,111.33000000000001,"LINESTRING (4.3680827 50.8491078, 4.3679856 50.8491274, 4.3672218 50.8492968, 4.3670091 50.849344, 4.3667456 50.8494024, 4.366583 50.8494328)",,,,,,
56645286,True,Rue de la Croix de Fer - IJzerenkruisstraat,residential,30,False,95.95,"LINESTRING (4.3681723 50.8487494, 4.3681077 50.8487376, 4.3679867 50.8487137, 4.3669592 50.8485155, 4.366865 50.8484978)",,,,,,
477168344,True,Place Surlet de Chokier - Surlet de Chokierplein,residential,30,False,16.351,"LINESTRING (4.3681723 50.8487494, 4.368222 50.8487821, 4.3683675 50.8488258)",1,,,,,
14029730,False,Petite rue du Nord - Korte Noordstraat,living_street,20,False,39.663,"LINESTRING (4.3679245 50.849611, 4.3680049 50.8496196, 4.3680806 50.8496273, 4.3684822 50.849668)",,,,,,
14029747,True,Rue du Nord - Noordstraat,living_street,20,False,75.647,"LINESTRING (4.3679245 50.849611, 4.3677789 50.8502029, 4.3677586 50.8502832)",,,,,,
14029747,True,Rue du Nord - Noordstraat,living_street,20,False,85.443,"LINESTRING (4.3677586 50.8502832, 4.3677353 50.8503679, 4.3675732 50.8509859, 4.3675547 50.8510407)",,,,,,
30335683,True,Place des Barricades - Barricadenplein,living_street,20,False,29.976,"LINESTRING (4.3675547 50.8510407, 4.3676137 50.851049, 4.367682 50.8510658, 4.367745 50.8510895, 4.3678009 50.8511194, 4.3678482 50.8511548, 4.3678856 50.8511946)",,,,roundabout,,
14026483,True,Rue des Cultes - Eredienststraat,living_street,20,False,23.708,"LINESTRING (4.3674881 50.8501557, 4.3676628 50.8502344, 4.3677586 50.8502832)",,,,,,
13855129,True,Rue du Gouvernement Provisoire - Voorlopig Bewindstraat,living_street,20,False,103.05200000000002,"LINESTRING (4.3661367 50.8504912, 4.3663365 50.8504442, 4.3673549 50.8502324, 4.3673846 50.8502234, 4.3674091 50.8502118, 4.3674402 50.8501896, 4.3674881 50.8501557)",,,,,,
"[466218523, 30335650, 30335643]",True,"['Place de la Liberté - Vrijheidsplein', ""Rue de l'Association - Verenigingstraat""]",living_street,20,False,111.785,"LINESTRING (4.3661367 50.8504912, 4.3661612 50.8504167, 4.3661976 50.8503206, 4.3663195 50.8499989, 4.3663538 50.8499084, 4.3661965 50.8495876, 4.3661519 50.8495227)",,,,,,
"[257033818, 1090659518]",True,Place du Congrès - Congresplein,residential,30,False,76.601,"LINESTRING (4.3634618 50.850474, 4.3633595 50.8502812, 4.3632181 50.8500062, 4.3631209 50.8498196)",,,,,,
13855137,True,Rue de l'Association - Verenigingstraat,living_street,20,False,203.134,"LINESTRING (4.3654997 50.8522729, 4.3655011 50.8522546, 4.3657484 50.8515619, 4.3661065 50.8505833, 4.3661367 50.8504912)",,,,,,
14024916,True,Rue de la Sablonnière - Zavelput,living_street,20,False,154.745,"LINESTRING (4.3671537 50.8514992, 4.3670836 50.8515381, 4.3662198 50.8520177, 4.3656612 50.8523265, 4.3656227 50.8523365, 4.3655927 50.852336, 4.3655644 50.8523309, 4.3655397 50.8523209, 4.3655201 50.8523074, 4.3655062 50.8522905, 4.3654997 50.8522729)",,,,,,
419562684,True,Place des Barricades - Barricadenplein,living_street,20,False,46.251,"LINESTRING (4.3671537 50.8514992, 4.3671145 50.8514658, 4.3670835 50.8514291, 4.3670615 50.8513899, 4.367049 50.851349, 4.3670462 50.8513075, 4.3670532 50.8512661, 4.36707 50.8512259, 4.367096 50.8511876, 4.3671307 50.8511523, 4.3671733 50.8511206)",,,,roundabout,,
507818864,True,Place des Barricades - Barricadenplein,living_street,20,False,29.264999999999997,"LINESTRING (4.3671733 50.8511206, 4.3672193 50.851095, 4.3672705 50.8510736, 4.3673259 50.8510569, 4.3673844 50.8510453, 4.3674448 50.8510388, 4.3675061 50.8510377, 4.3675547 50.8510407)",,,,roundabout,,
"[13855140, 1128426885]",True,Rue de la Révolution - Omwentelingsstraat,living_street,20,False,101.256,"LINESTRING (4.3671733 50.8511206, 4.3670928 50.851067, 4.3669523 50.8509735, 4.3662919 50.8505538, 4.3661367 50.8504912)",,,,,,
13855148,True,Place des Barricades - Barricadenplein,living_street,20,False,26.215,"LINESTRING (4.3678856 50.8511946, 4.3681352 50.8512189, 4.3681834 50.8512236, 4.3682546 50.8512308)",,,,,,
30335683,True,Place des Barricades - Barricadenplein,living_street,20,False,37.355,"LINESTRING (4.3678856 50.8511946, 4.3679101 50.8512336, 4.367925 50.8512746, 4.36793 50.8513164, 4.3679251 50.8513583, 4.3679102 50.8513992, 4.3678858 50.8514383, 4.3678523 50.8514746, 4.3678106 50.8515073)",,,,roundabout,,
30335683,True,Place des Barricades - Barricadenplein,living_street,20,False,30.063,"LINESTRING (4.3678106 50.8515073, 4.3677854 50.851523, 4.3677339 50.8515485, 4.3676769 50.8515689, 4.3676158 50.8515837, 4.3675519 50.8515927, 4.3674866 50.8515956, 4.3674213 50.8515924)",,,,roundabout,,
419562684,True,Place des Barricades - Barricadenplein,living_street,20,False,21.891,"LINESTRING (4.3674213 50.8515924, 4.3673605 50.8515838, 4.3673022 50.8515698, 4.3672476 50.8515508, 4.3671978 50.8515271, 4.3671537 50.8514992)",,,,roundabout,,
30335691,False,Boulevard Bischoffsheim - Bischoffsheimlaan,residential,30,False,36.098,"LINESTRING (4.3671811 50.852498, 4.3676538 50.8523702)",1,,,,,
"[1176539942, 14191415]",False,Boulevard Bischoffsheim - Bischoffsheimlaan,residential,30,True,113.75999999999999,"LINESTRING (4.3671811 50.852498, 4.3658498 50.8528752, 4.3657888 50.8528959, 4.3657212 50.8529187, 4.3657084 50.8529241)",1,,,,,
"[13855145, 1049789878]",True,Rue Van Orley - Van Orleystraat,living_street,20,False,102.101,"LINESTRING (4.3671811 50.852498, 4.3671941 50.8524458, 4.3672234 50.8523357, 4.3674032 50.8516588, 4.3674091 50.8516372, 4.3674213 50.8515924)",,,,,,
961828956,True,Boulevard Bischoffsheim - Bischoffsheimlaan,primary,50,False,62.207,"LINESTRING (4.3682546 50.8512308, 4.3684015 50.8506791)",2,R20a,,,,
961828956,True,Boulevard Bischoffsheim - Bischoffsheimlaan,primary,50,False,35.327,"LINESTRING (4.368173 50.8515443, 4.3682546 50.8512308)",2,R20a,,,,
13855149,True,Place des Barricades - Barricadenplein,living_street,20,False,25.773,"LINESTRING (4.368173 50.8515443, 4.3681037 50.8515382, 4.3680519 50.8515333, 4.3679009 50.851517, 4.3678106 50.8515073)",,,,,,
273449516,True,Boulevard Pachéco - Pachecolaan,tertiary,30,False,7.822,"LINESTRING (4.3635743 50.8536539, 4.3636202 50.853718)",2,,,,,
"[349372032, 33300572]",True,Boulevard du Jardin Botanique - Kruidtuinlaan,primary,30,False,151.89100000000002,"LINESTRING (4.3635743 50.8536539, 4.3642384 50.8534641, 4.3652369 50.8531785, 4.3652864 50.8531644, 4.3653224 50.8531541, 4.3655455 50.8530906)","['2', '3']",,,,,
14029213,True,Rue du Nord - Noordstraat,residential,30,False,73.589,"LINESTRING (4.368341 50.8480964, 4.3683249 50.8481592, 4.3682583 50.8484057, 4.3681788 50.8487, 4.3681723 50.8487494)",,,,,,
258427168,True,Rue de Louvain - Leuvenseweg,residential,30,False,93.26299999999999,"LINESTRING (4.368341 50.8480964, 4.3682046 50.848054, 4.367665 50.8479179, 4.3671912 50.8478052, 4.3671095 50.8477829)",,,,,,
137409056,True,Chaussée de Louvain - Leuvense Steenweg,living_street,20,False,47.779,"LINESTRING (4.3700176 50.8491503, 4.3704468 50.8492682, 4.370517 50.8492888, 4.3706391 50.8493253)",,,,,,
"[649331848, 153282989]",True,Rue de la Charité - Liefdadigheidsstraat,"['living_street', 'residential']","['20', '30']",False,115.929,"LINESTRING (4.3700176 50.8491503, 4.3700304 50.8491304, 4.3700347 50.8491238, 4.370175 50.8489792, 4.3702573 50.8488968, 4.3705654 50.8486072, 4.3708205 50.8482924, 4.3708526 50.8482528)",,,,,,
"[985746842, 41455340]",True,Boulevard Bischoffsheim - Bischoffsheimlaan,primary,50,False,94.268,"LINESTRING (4.3691711 50.849609, 4.3690674 50.8496346, 4.3690105 50.8497272, 4.36899 50.8497755, 4.3688738 50.8501371, 4.3687986 50.8503919)",2,R20a,,,,
"[720476321, 70706441]",True,Avenue de l'Astronomie - Sterrenkundelaan,residential,30,False,165.03699999999998,"LINESTRING (4.3691711 50.849609, 4.3690889 50.849844, 4.3690821 50.849868, 4.3690788 50.8498798, 4.3690298 50.8500535, 4.3690143 50.8501102, 4.3690067 50.8501357, 4.3688949 50.8505291, 4.3688629 50.8507149, 4.3688681 50.8508439, 4.3689144 50.8509459, 4.3689341 50.8509778, 4.3689865 50.8510629)",,,,,,
352228741,True,Chaussée de Louvain - Leuvense Steenweg,living_street,20,False,75.464,"LINESTRING (4.3720334 50.8496124, 4.3722132 50.8496649, 4.3727548 50.8498117, 4.3728134 50.849826, 4.372842 50.849833, 4.3730237 50.8498758)",,,,,,
14183857,False,Rue de Bériot - de Bériotstraat,residential,30,False,80.967,"LINESTRING (4.3689865 50.8510629, 4.3691079 50.8510297, 4.3691288 50.8510254, 4.3693063 50.8509884, 4.3700093 50.8509728, 4.370118 50.8509741)",,,,,,
"[509257313, 352229238]",False,Avenue de l'Astronomie - Sterrenkundelaan,residential,30,False,128.151,"LINESTRING (4.3689865 50.8510629, 4.3690437 50.8511555, 4.3691332 50.8512911, 4.3695878 50.8520363, 4.369648 50.852137)",2,,,,,
517256926,False,Place Quetelet - Queteletplein,residential,30,True,13.386,"LINESTRING (4.3697398 50.8523978, 4.3695778 50.8524613)",,,,,,
27884046,True,Rue de la Limite - Grensstraat,residential,30,False,63.49,"LINESTRING (4.3697398 50.8523978, 4.3697966 50.8524198, 4.3698622 50.8524459, 4.3699132 50.8524942, 4.3701462 50.8528454, 4.3701692 50.8528839)",,,,,,
14191842,True,Rue de l'Union - Uniestraat,residential,30,False,109.885,"LINESTRING (4.3701692 50.8528839, 4.3702175 50.8528664, 4.3715196 50.852478, 4.371583 50.85246)",,,,,,
258332609,True,Rue de l'Union - Uniestraat,residential,30,False,90.04399999999998,"LINESTRING (4.3701692 50.8528839, 4.3701279 50.8528985, 4.3690414 50.8531368, 4.3689563 50.8531388)",,,,,,
32239347,True,Rue de Bériot - de Bériotstraat,residential,30,False,160.421,"LINESTRING (4.3722525 50.850467, 4.3720585 50.850502, 4.3702291 50.8509643, 4.3701733 50.8509732, 4.370118 50.8509741)",,,,,,
14184120,True,Rue Saint-Alphonse - Sint-Alfonsstraat,residential,30,False,65.903,"LINESTRING (4.3704392 50.8512971, 4.370505 50.8512774, 4.3705995 50.8512961, 4.3712197 50.8514326, 4.3713235 50.8514558)",,,,,,
220522553,False,Rue Potagère - Warmoesstraat,residential,30,False,42.447,"LINESTRING (4.3704392 50.8512971, 4.3701756 50.8510445, 4.370118 50.8509741)",,,,,,
14184120,True,Rue Saint-Alphonse - Sint-Alfonsstraat,residential,30,False,125.59200000000001,"LINESTRING (4.3713235 50.8514558, 4.3717226 50.8515477, 4.3727623 50.8518946, 4.3729435 50.8519268)",,,,,,
