osmid,highway,maxspeed,junction,oneway,reversed,length,ref,name,geometry
248931858,secondary,50,roundabout,True,False,44.878,,,"LINESTRING (3.0066499 51.2016378, 3.0066068 51.2016027, 3.0065795 51.201537, 3.0065794 51.2014699, 3.0066129 51.2013981, 3.0066823 51.2013373, 3.0067798 51.2012942)"
188368865,unclassified,70,,False,False,374.44100000000003,,Puidebroekstraat,"LINESTRING (3.008753 51.2050825, 3.0041927 51.2058312, 3.003801 51.2058712, 3.0036874 51.2058623, 3.0035891 51.2058491, 3.0035444 51.2058372)"
799154352,secondary,50,,False,True,31.247,,,"LINESTRING (3.0082781 51.2009684, 3.0078367 51.2010181)"
248931856,secondary,50,roundabout,True,False,22.654,,,"LINESTRING (3.0071369 51.2016796, 3.0070395 51.2017093, 3.0069323 51.2017194, 3.0068252 51.2017088)"
51715337,motorway_link,,,True,False,131.92000000000002,,,"LINESTRING (3.0082907 51.2016945, 3.0079627 51.2017662, 3.0077638 51.2018041, 3.0073771 51.2018572, 3.0070997 51.2018418, 3.0069951 51.2018526, 3.0068838 51.201864, 3.0066746 51.2019329, 3.0065075 51.2020112)"
132063277,motorway_link,,,True,False,83.94,,,"LINESTRING (3.0082907 51.2016945, 3.0077475 51.2017699, 3.007545 51.2017779, 3.0073653 51.2017628, 3.0071369 51.2016796)"
1201063521,secondary,50,,False,True,9.889,N358,Stationsstraat,"LINESTRING (3.0065075 51.2020112, 3.0065532 51.201927)"
"[145628656, 1201063521]",secondary,50,,False,False,359.94599999999997,N358,Stationsstraat,"LINESTRING (3.0065075 51.2020112, 3.0062879 51.202389, 3.0060683 51.2027667, 3.0059701 51.20293, 3.0051443 51.2043024, 3.0051017 51.2043621, 3.0050724 51.2044022, 3.0050266 51.2044549, 3.0049698 51.2045122, 3.004914 51.2045602, 3.0048643 51.2045973, 3.0047953 51.2046393, 3.0045802 51.2047563, 3.0044605 51.2048262, 3.0043975 51.2048714, 3.0043479 51.204905)"
132063275,secondary,50,,True,False,26.134,,,"LINESTRING (3.0071039 51.2012989, 3.0071695 51.201268, 3.0072217 51.2012338, 3.0073572 51.2011272)"
248931856,secondary,50,roundabout,True,False,12.742,,,"LINESTRING (3.0071039 51.2012989, 3.0071682 51.2013273, 3.007242 51.2013734)"
248931856,secondary,50,roundabout,True,False,37.981,,,"LINESTRING (3.007242 51.2013734, 3.0072745 51.2014296, 3.0072905 51.2014993, 3.007271 51.2015687, 3.0072181 51.2016309, 3.0071369 51.2016796)"
163234954,unclassified,,,False,False,6.352,,,"LINESTRING (3.0037807 51.205439, 3.0038578 51.2054695)"
163234952,secondary,50,,True,False,60.795,N358,Stationsstraat,"LINESTRING (3.0037807 51.205439, 3.0039106 51.2052826, 3.0039613 51.2052355, 3.0040283 51.2051783, 3.0040749 51.2051338, 3.0041338 51.2050754, 3.0041967 51.2050067, 3.0042489 51.2049817)"
163234954,unclassified,,,False,True,6.352,,,"LINESTRING (3.0038578 51.2054695, 3.0037807 51.205439)"
163234951,secondary,50,,True,False,46.352000000000004,N358,Stationsstraat,"LINESTRING (3.0038578 51.2054695, 3.0037263 51.2056214, 3.0037103 51.2056404, 3.0035444 51.2058372)"
163234955,unclassified,,,False,False,6.54,,,"LINESTRING (3.0034621 51.2058089, 3.0035444 51.2058372)"
163234952,secondary,50,,True,False,46.738,N358,Stationsstraat,"LINESTRING (3.0034621 51.2058089, 3.0036464 51.2055944, 3.0037807 51.205439)"
799154352,secondary,50,,False,False,31.247,,,"LINESTRING (3.0078367 51.2010181, 3.0082781 51.2009684)"
132063276,secondary,50,,True,False,61.626,,,"LINESTRING (3.0078367 51.2010181, 3.0076546 51.2010544, 3.0075267 51.2010842, 3.0074567 51.2011174, 3.0073928 51.2011569, 3.0073441 51.2012044, 3.0073006 51.2012575, 3.007242 51.2013734)"
