osmid,bridge,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,junction,access
"[103328929, 481264499]",,True,"['2', '3']",A604,motorway,80,False,472.234,"LINESTRING (5.5023693 50.619571, 5.5048899 50.6197762, 5.5057769 50.6198464, 5.5066424 50.6199103, 5.5071947 50.6199233, 5.507666 50.6199138, 5.5080478 50.6198795, 5.5083645 50.6198341, 5.5086633 50.6197855, 5.508985 50.6197078)",,,
10561038,,True,,,residential,,False,72.56299999999999,"LINESTRING (5.503464 50.6160935, 5.5034518 50.616153, 5.5034166 50.616214, 5.5032458 50.6165102, 5.5031309 50.6167095)",Rue des Quatre Grands,,
"[23876504, 1234756470, 1234756471]",,False,,,tertiary,,False,81.959,"LINESTRING (5.503464 50.6160935, 5.5038824 50.6160996, 5.5039613 50.6160899, 5.5044389 50.6159629, 5.5045076 50.6159509, 5.5045812 50.6159488)",Place des Quatre Grands,,
170083368,,False,,,residential,,False,30.876,"LINESTRING (5.5045812 50.6159488, 5.5046217 50.6158927, 5.5046581 50.6158489, 5.5048029 50.6157101)",Place des Quatre Grands,,
793018911,,False,,,tertiary,30,False,120.582,"LINESTRING (5.5045812 50.6159488, 5.5046825 50.6159627, 5.5047644 50.6159814, 5.5048117 50.6160068, 5.5058253 50.616525, 5.5059458 50.6165866)",Rue Grand Vinâve,,
"[23876504, 1234756470, 1234756471]",,False,,,tertiary,,True,81.959,"LINESTRING (5.5045812 50.6159488, 5.5045076 50.6159509, 5.5044389 50.6159629, 5.5039613 50.6160899, 5.5038824 50.6160996, 5.503464 50.6160935)",Place des Quatre Grands,,
25081127,,False,,,tertiary,30,False,9.599,"LINESTRING (5.5073509 50.617247, 5.5074673 50.6172917)",Rue du Pont,,
793018911,,False,,,tertiary,30,True,123.37800000000001,"LINESTRING (5.5073509 50.617247, 5.5072338 50.6171942, 5.5063981 50.6167937, 5.5061283 50.6166701, 5.5059458 50.6165866)",Rue Grand Vinâve,,
1079000486,,True,,,residential,,False,45.156,"LINESTRING (5.5073509 50.617247, 5.5072821 50.6173178, 5.5072127 50.6173952, 5.5071003 50.617524, 5.5070415 50.6176022)",Rue de Quirini,,
10561009,,False,,,residential,,False,92.843,"LINESTRING (5.5059458 50.6165866, 5.5058682 50.6166814, 5.5053186 50.6173206)",Rue Eustache Bougnet,,
793018911,,False,,,tertiary,30,False,123.378,"LINESTRING (5.5059458 50.6165866, 5.5061283 50.6166701, 5.5063981 50.6167937, 5.5072338 50.6171942, 5.5073509 50.617247)",Rue Grand Vinâve,,
793018911,,False,,,tertiary,30,True,120.58200000000001,"LINESTRING (5.5059458 50.6165866, 5.5058253 50.616525, 5.5048117 50.6160068, 5.5047644 50.6159814, 5.5046825 50.6159627, 5.5045812 50.6159488)",Rue Grand Vinâve,,
10561019,,False,,,residential,,False,25.486,"LINESTRING (5.5048192 50.6179441, 5.5051453 50.6180427)",Rue J. Louis,,
1079000488,,False,,,residential,,True,77.77,"LINESTRING (5.5048192 50.6179441, 5.5053186 50.6173206)",Rue Eustache Bougnet,,
10561019,,False,,,residential,,True,25.486,"LINESTRING (5.5051453 50.6180427, 5.5048192 50.6179441)",Rue J. Louis,,
10561023,,False,,,residential,,False,47.149,"LINESTRING (5.5051453 50.6180427, 5.5048936 50.6184355)",Rue Diderot,,
10561021,,False,,,residential,,False,147.363,"LINESTRING (5.5070415 50.6176022, 5.5069349 50.6177922, 5.5068462 50.6179485, 5.5063423 50.618851)",Rue de Quirini,,
231241503,,True,,,residential,,False,160.79000000000002,"LINESTRING (5.5070415 50.6176022, 5.5069831 50.6175905, 5.5069303 50.6175852, 5.506784 50.6175793, 5.506688 50.617582, 5.5066407 50.6175912, 5.5065965 50.6176069, 5.5065565 50.6176319, 5.506523 50.6176674, 5.5064799 50.6177189, 5.5062904 50.6179507, 5.5062616 50.6179793, 5.5062185 50.6179998, 5.5061263 50.6180227, 5.5060254 50.6180461, 5.5059457 50.618057, 5.5058487 50.6180577, 5.5054992 50.618059, 5.505388 50.6180547, 5.5051453 50.6180427)",Rue J. Louis,,
10561021,,False,,,residential,,True,147.363,"LINESTRING (5.5063423 50.618851, 5.5068462 50.6179485, 5.5069349 50.6177922, 5.5070415 50.6176022)",Rue de Quirini,,
243752110,,True,,,residential,,False,219.961,"LINESTRING (5.5063423 50.618851, 5.5067189 50.6188812, 5.506838 50.6188906, 5.5071426 50.6189139, 5.5074705 50.6189404, 5.5078634 50.6189694, 5.5081242 50.6189894, 5.5084332 50.6190163, 5.5086873 50.6190356, 5.5088812 50.6190535, 5.5089813 50.6190663, 5.5090801 50.619085, 5.5091672 50.6191107, 5.5092591 50.6191304, 5.5093307 50.6191369, 5.5094189 50.6191357)",Rue Taque,,
10561023,,False,,,residential,,True,47.149,"LINESTRING (5.5048936 50.6184355, 5.5051453 50.6180427)",Rue Diderot,,
10561028,,True,,,residential,,False,113.67399999999999,"LINESTRING (5.5048936 50.6184355, 5.5049565 50.6184548, 5.5050053 50.6184726, 5.5051261 50.6185213, 5.5056016 50.6187201, 5.5056519 50.6187366, 5.5057333 50.6187567, 5.5058517 50.6187795, 5.5061017 50.6188268, 5.50619 50.6188393, 5.5062552 50.6188458, 5.5063423 50.618851)",Rue Taque,,
231241507,,False,,,residential,,False,56.747,"LINESTRING (5.5048936 50.6184355, 5.5048684 50.6184631, 5.5048428 50.61849, 5.5045702 50.6189022)",Rue Diderot,,
231241507,,False,,,residential,,True,56.747,"LINESTRING (5.5045702 50.6189022, 5.5048428 50.61849, 5.5048684 50.6184631, 5.5048936 50.6184355)",Rue Diderot,,
25082793,,False,,,tertiary,50,False,94.45100000000001,"LINESTRING (5.5096299 50.6192985, 5.5097716 50.6193394, 5.5107022 50.6194886, 5.5109253 50.6194939)",Rue du Gosson,,
757649021,,True,,,tertiary,50,False,17.901000000000003,"LINESTRING (5.5096299 50.6192985, 5.5095911 50.6193193, 5.5095444 50.6193318, 5.5094939 50.6193349, 5.5094442 50.6193283, 5.5093999 50.6193126)",Esplanade du Pont,roundabout,
305304888,,True,,,tertiary,,False,37.486000000000004,"LINESTRING (5.5111995 50.6193767, 5.5112237 50.6194067, 5.5112317 50.61944, 5.5112227 50.6194732, 5.5111975 50.6195029, 5.5111588 50.619526, 5.5111105 50.6195401, 5.5110577 50.6195438, 5.5110058 50.6195366, 5.5109601 50.6195194, 5.5109253 50.6194939)",,roundabout,
1079000487,,False,,,residential,,False,55.082,"LINESTRING (5.5031309 50.6167095, 5.5029109 50.6170589, 5.5028424 50.6171698)",Rue des Quatre Grands,,
25082590,,True,,,residential,,False,166.227,"LINESTRING (5.5028424 50.6171698, 5.5029086 50.6171756, 5.5029757 50.6171872, 5.5033227 50.6172505, 5.5035544 50.6173291, 5.5039955 50.6175594, 5.5042416 50.617697, 5.5048192 50.6179441)",Rue Miville,,
1079000487,,False,,,residential,,True,55.082,"LINESTRING (5.5028424 50.6171698, 5.5029109 50.6170589, 5.5031309 50.6167095)",Rue des Quatre Grands,,
1079000488,,False,,,residential,,False,77.77,"LINESTRING (5.5053186 50.6173206, 5.5048192 50.6179441)",Rue Eustache Bougnet,,
10561009,,False,,,residential,,True,92.843,"LINESTRING (5.5053186 50.6173206, 5.5058682 50.6166814, 5.5059458 50.6165866)",Rue Eustache Bougnet,,
10561043,,True,,,residential,,False,168.646,"LINESTRING (5.5053186 50.6173206, 5.5032304 50.6167373, 5.5031309 50.6167095)",Rue Alfred de Borre,,
1055896617,,True,1,N90z,primary,50,False,24.498,"LINESTRING (5.5108218 50.616058, 5.5110701 50.616212)",,,
"[439360197, 439360206]",,False,2,,busway,50,False,178.062,"LINESTRING (5.5108218 50.616058, 5.5108505 50.6159865, 5.5108695 50.6159414, 5.5109908 50.6156074, 5.5110194 50.6155286, 5.5110617 50.6154121, 5.5111386 50.6151931, 5.5111779 50.6151226, 5.5113976 50.614857, 5.5115678 50.6146473, 5.5116379 50.6145547)",Place Kuborn,,
611864843,,True,1,N90,primary,50,False,50.586999999999996,"LINESTRING (5.5108218 50.616058, 5.5109393 50.616086, 5.5112138 50.6161754, 5.5113699 50.6162192, 5.511468 50.6162538)",Avenue Greiner,,
"[24495786, 103323574, 946464807]",yes,True,"['1', '2']",,motorway_link,"['50', '120']",False,235.84099999999998,"LINESTRING (5.5123109 50.6186173, 5.5122541 50.6186881, 5.5122208 50.6187201, 5.5121876 50.6187467, 5.512142 50.6187713, 5.5120878 50.6187959, 5.5120199 50.6188201, 5.5119499 50.6188403, 5.5117527 50.6188778, 5.511511 50.6189227, 5.5111616 50.6190176, 5.5107905 50.6191597, 5.5102342 50.6194253, 5.5099575 50.6195585, 5.5096835 50.6196757, 5.5095179 50.6197158)",,,
"[103323571, 1122197447]",,True,,,unclassified,,False,130.57600000000002,"LINESTRING (5.5123109 50.6186173, 5.5123138 50.6187059, 5.5122941 50.6187736, 5.5122638 50.618825, 5.512209 50.6188713, 5.5121417 50.6189045, 5.5120709 50.6189291, 5.5120015 50.6189451, 5.5118452 50.6189782, 5.5116348 50.6190189, 5.5115118 50.6190445, 5.5114085 50.619071, 5.5112849 50.619109, 5.5112282 50.6191359, 5.5111921 50.6191575, 5.5111582 50.6191895, 5.5111414 50.6192135, 5.5111277 50.6192391, 5.5110827 50.6193345)",,,
946464811,,True,2,N617,secondary,,False,45.328,"LINESTRING (5.5084016 50.6170552, 5.5086771 50.6171269, 5.50897 50.6172422)",Quai Jules Destrée,,
"[5021658, 1198100292, 1198100293]",,False,"['4', '3']",N617,secondary,70,True,467.6940000000001,"LINESTRING (5.5084016 50.6170552, 5.5077421 50.6167915, 5.5076058 50.6167399, 5.5073829 50.6166487, 5.5071602 50.6165513, 5.5068785 50.6164198, 5.5066617 50.6163108, 5.5065223 50.6162335, 5.50636 50.6161428, 5.5061117 50.6159959, 5.5058686 50.6158456, 5.5055795 50.6156603, 5.5053317 50.615499, 5.5051183 50.6153509, 5.5047008 50.6150385, 5.5046184 50.6149914, 5.5043753 50.6147924, 5.5041597 50.6145983, 5.5039398 50.6143955, 5.5036918 50.6141568)",Quai Jules Destrée,,
25412731,,True,,,residential,30,False,118.82,"LINESTRING (5.5057006 50.6110419, 5.5057705 50.611067, 5.5060511 50.6111672, 5.5065174 50.6113359, 5.5068993 50.6114749, 5.5070323 50.6115221, 5.5071652 50.6115692)",Rue de l'Industrie,,
246648475,,False,,,residential,,False,89.481,"LINESTRING (5.5057006 50.6110419, 5.5055758 50.6111234, 5.5048265 50.6116249)",Rue du Marais,,
246648475,,False,,,residential,,True,89.481,"LINESTRING (5.5048265 50.6116249, 5.5055758 50.6111234, 5.5057006 50.6110419)",Rue du Marais,,
246648473,,True,,,residential,,False,134.79500000000002,"LINESTRING (5.5071652 50.6115692, 5.5072514 50.6116001, 5.507947 50.61185, 5.5086655 50.6121097, 5.5087125 50.6121267, 5.5088264 50.6121678)",Rue de l'Industrie,,
25444612,,True,,,residential,,False,89.045,"LINESTRING (5.5088264 50.6121678, 5.5087647 50.6122382, 5.50836 50.6126998, 5.5082109 50.6128669)",Rue du Commerce,,
246648473,,True,,,residential,,False,66.648,"LINESTRING (5.5088264 50.6121678, 5.5089212 50.6122018, 5.50954 50.6124236, 5.5096488 50.6124626)",Rue de l'Industrie,,
246648473,,True,,,residential,,False,186.331,"LINESTRING (5.5096488 50.6124626, 5.5097747 50.6125075, 5.5102638 50.6126817, 5.5103639 50.6127167, 5.5104189 50.6127315, 5.5104754 50.6127414, 5.5120468 50.6129812, 5.5121314 50.612993)",Rue de l'Industrie,,
439360210,,True,,,residential,,False,92.705,"LINESTRING (5.5096488 50.6124626, 5.5097028 50.6123886, 5.5099295 50.6120778, 5.5101986 50.6117054)",Rue Peetermans,,
25444460,,True,1,N90z,primary,50,False,61.477000000000004,"LINESTRING (5.5111192 50.6163347, 5.5108666 50.6162749, 5.5106975 50.616228, 5.510616 50.6162043, 5.5103976 50.6161416, 5.5103303 50.6161058)",,,
142770962,,True,1,,busway,50,False,25.538,"LINESTRING (5.5111192 50.6163347, 5.5109544 50.6162568, 5.5109166 50.6162354, 5.51088 50.6162134, 5.5108455 50.6161859)",,,
25611475,,True,,,residential,,False,37.922,"LINESTRING (5.5086543 50.6153708, 5.5088752 50.6150599)",Place Communale,,
429243457,,True,2,N90,primary,70,False,38.437,"LINESTRING (5.5086543 50.6153708, 5.5090299 50.6155259, 5.5091148 50.6155552)",Quai Sadoine,,
25444530,,False,,,residential,30,False,44.106,"LINESTRING (5.5079729 50.6142107, 5.5079794 50.6141412, 5.5079855 50.6140763, 5.5079771 50.6139851, 5.5079576 50.6139289, 5.5079387 50.613894, 5.5079175 50.6138602, 5.5078887 50.6138248)",Rue du Halage,,
25444530,,False,,,residential,30,True,45.589,"LINESTRING (5.5079729 50.6142107, 5.5079532 50.6142591, 5.5079304 50.6143104, 5.5078805 50.6143675, 5.5078211 50.614423, 5.5077716 50.6144649, 5.5077184 50.6145006, 5.507636 50.6145513)",Rue du Halage,,
25444530,,False,,,residential,30,True,44.105999999999995,"LINESTRING (5.5078887 50.6138248, 5.5079175 50.6138602, 5.5079387 50.613894, 5.5079576 50.6139289, 5.5079771 50.6139851, 5.5079855 50.6140763, 5.5079794 50.6141412, 5.5079729 50.6142107)",Rue du Halage,,
25456698,,True,,,residential,,False,19.825,"LINESTRING (5.5078887 50.6138248, 5.5079081 50.6138158, 5.5079153 50.613809, 5.5079207 50.6137983, 5.5079258 50.6137841, 5.5079425 50.6137584, 5.507959 50.613743, 5.5079853 50.6137268, 5.5080273 50.613714, 5.5080733 50.613708)",Rue Jean Calas,,
439360211,,False,,,residential,30,False,24.845000000000002,"LINESTRING (5.5078887 50.6138248, 5.5078554 50.6137918, 5.5078203 50.6137575, 5.5077768 50.6137175, 5.5077353 50.6136814, 5.5077128 50.6136614, 5.5076873 50.6136417)",Rue de la Province,,
25444532,,True,,,residential,30,False,162.77800000000002,"LINESTRING (5.5075802 50.613578, 5.5074746 50.613528, 5.5073638 50.6134736, 5.5070877 50.6133292, 5.5069024 50.6132326, 5.5067517 50.6131541, 5.5066915 50.6131204, 5.5065324 50.6130314, 5.5063766 50.6129435, 5.5062395 50.612863, 5.5061651 50.612819, 5.5060681 50.6127636, 5.5059952 50.6127214, 5.5059293 50.6126816, 5.5058365 50.6126211)",Rue de la Province,,
439360211,,False,,,residential,30,True,10.368,"LINESTRING (5.5075802 50.613578, 5.5076572 50.6136212, 5.5076873 50.6136417)",Rue de la Province,,
25444532,,True,,,residential,30,False,131.92399999999998,"LINESTRING (5.5058365 50.6126211, 5.5057942 50.612592, 5.5056195 50.6124449, 5.5055018 50.6123428, 5.5054419 50.6122834, 5.5053993 50.6122404, 5.5048265 50.6116249)",Rue de la Province,,
25456653,,True,,,residential,,False,70.354,"LINESTRING (5.5058365 50.6126211, 5.5063565 50.6123218, 5.5064961 50.6122442, 5.5065764 50.612197)",Rue de la Loi,,
439360194,,True,,,residential,,False,23.849,"LINESTRING (5.5096528 50.6146842, 5.5095131 50.6148795)",Place du 17 Novembre,,
421744080,,False,,,living_street,20,True,89.801,"LINESTRING (5.5096528 50.6146842, 5.5096916 50.6146949, 5.5097237 50.6146985, 5.5097603 50.6147042, 5.5098052 50.6147115, 5.5099006 50.6147401, 5.5103464 50.6148737, 5.5105914 50.6149436, 5.5106214 50.614958, 5.5106616 50.6149753, 5.510808 50.615017)",Rue de Colard-Trouillet,,
439360207,,True,,,residential,,False,70.79,"LINESTRING (5.508887 50.6144708, 5.5080928 50.6142356, 5.5080496 50.6142229, 5.508024 50.6142173, 5.5080011 50.6142138, 5.5079729 50.6142107)",Rue de Colard-Trouillet,,
25456738,,True,,,residential,,False,57.766999999999996,"LINESTRING (5.5101986 50.6117054, 5.5102249 50.6116578, 5.5102465 50.6116195, 5.5103887 50.611421, 5.5104229 50.6113698, 5.5104718 50.6112969, 5.510498 50.6112504, 5.5105099 50.6112254)",Rue Peetermans,,
389662419,,True,,,residential,,False,59.882999999999996,"LINESTRING (5.5101986 50.6117054, 5.5100636 50.6116728, 5.5094873 50.6115337, 5.5094054 50.6115139)",Rue Jean de Seraing,,
25444612,,True,,,residential,,False,83.403,"LINESTRING (5.5094054 50.6115139, 5.5093408 50.6115869, 5.5088793 50.6121081, 5.5088264 50.6121678)",Rue du Commerce,,
25444612,,True,,,residential,,False,90.735,"LINESTRING (5.5082109 50.6128669, 5.5076461 50.6135064, 5.5075802 50.613578)",Rue du Commerce,,
25456646,,True,,,residential,,False,137.295,"LINESTRING (5.5065764 50.612197, 5.5082109 50.6128669)",Rue Pastor,,
25456653,,True,,,residential,,False,81.371,"LINESTRING (5.5065764 50.612197, 5.506609 50.6121772, 5.5066356 50.6121536, 5.5071075 50.6116328, 5.5071652 50.6115692)",Rue de la Loi,,
25456739,,False,,,residential,,False,65.735,"LINESTRING (5.5086198 50.613858, 5.5090148 50.6133226)",Rue Peetermans,,
439360208,,True,,,residential,,False,96.68200000000002,"LINESTRING (5.5086198 50.613858, 5.509046 50.6139822, 5.5091181 50.614003, 5.5091535 50.6140222, 5.5091691 50.6140425, 5.5091734 50.6140685, 5.5091685 50.6141005, 5.5091441 50.6141366, 5.5090871 50.6142151, 5.508887 50.6144708)",Rue Jean Calas,,
25456739,,False,,,residential,,True,65.735,"LINESTRING (5.5090148 50.6133226, 5.5086198 50.613858)",Rue Peetermans,,
439360210,,True,,,residential,,False,105.574,"LINESTRING (5.5090148 50.6133226, 5.5096037 50.6125238, 5.5096488 50.6124626)",Rue Peetermans,,
439360207,,True,,,residential,,False,26.526,"LINESTRING (5.5092342 50.6145623, 5.508887 50.6144708)",Rue de Colard-Trouillet,,
611864846,,True,,,residential,,False,32.497,"LINESTRING (5.5092342 50.6145623, 5.5096528 50.6146842)",Rue de Colard-Trouillet,,
25611544,,True,,,residential,,False,33.497,"LINESTRING (5.5090823 50.6147529, 5.5095131 50.6148795)",Place du 17 Novembre,,
25611451,,True,,,residential,,False,23.860999999999997,"LINESTRING (5.5090823 50.6147529, 5.5091145 50.6147287, 5.5092342 50.6145623)",Place du 17 Novembre,,
439360194,,True,,,residential,,False,24.582,"LINESTRING (5.5095131 50.6148795, 5.5093719 50.6150816)",Place du 17 Novembre,,
25611485,,False,,,residential,,False,32.827,"LINESTRING (5.5088752 50.6150599, 5.5093029 50.6151761)",Place Communale,,
439360196,,True,,,residential,,False,37.159,"LINESTRING (5.5088752 50.6150599, 5.5088935 50.6150224, 5.5090823 50.6147529)",Place du 17 Novembre,,
429243457,,True,2,N90,primary,70,False,92.066,"LINESTRING (5.5091148 50.6155552, 5.5093004 50.6156184, 5.5094283 50.6156563, 5.5098221 50.6157683, 5.5103006 50.6158999)",Quai Sadoine,,
1034848654,,False,,,residential,,False,97.78900000000002,"LINESTRING (5.5091148 50.6155552, 5.5091504 50.6155345, 5.5091768 50.6155265, 5.5092107 50.6155237, 5.5092439 50.6155282, 5.5093477 50.6155564, 5.5097376 50.615667, 5.5100997 50.6157666, 5.5101796 50.6157883, 5.5102233 50.6158074, 5.5102536 50.6158343, 5.5103006 50.6158999)",Quai Sadoine,,
25611485,,False,,,residential,,True,32.827,"LINESTRING (5.5093029 50.6151761, 5.5088752 50.6150599)",Place Communale,,
25611480,,True,,,residential,,False,44.72899999999999,"LINESTRING (5.5093029 50.6151761, 5.5092036 50.6153179, 5.5091373 50.6154129, 5.5091281 50.6154418, 5.5091252 50.6154684, 5.5091215 50.6154976, 5.5091148 50.6155552)",Place Communale,,
859321816,,True,,,residential,,False,11.581,"LINESTRING (5.5093719 50.6150816, 5.5093029 50.6151761)",Place Communale,,
421744083,,False,,,living_street,20,True,101.853,"LINESTRING (5.5093719 50.6150816, 5.5098843 50.6152257, 5.5099206 50.615236, 5.5103106 50.6153464, 5.5106879 50.615458)",Rue Brialmont,,
403584039,,True,2,N683a,tertiary,,False,19.939,"LINESTRING (5.5150658 50.6165531, 5.5150341 50.6166105, 5.5150062 50.6166437, 5.514972 50.6167216)",Rue Jean Potier,,
"[611864845, 389662415]",,False,"['2', '3']",N683a,tertiary,50,True,461.44800000000015,"LINESTRING (5.5150658 50.6165531, 5.5151523 50.6165183, 5.5152891 50.6164933, 5.5153798 50.616459, 5.5154733 50.6163825, 5.5155099 50.6162991, 5.5155225 50.6161071, 5.5155559 50.6155988, 5.5155686 50.6151926, 5.5155682 50.6149716, 5.5155451 50.6149337, 5.5155004 50.6148968, 5.5154227 50.6148696, 5.5153404 50.6148616, 5.5145876 50.614834, 5.5144431 50.6148246, 5.514321 50.6148131, 5.5139676 50.6147631, 5.5135194 50.6147009, 5.5133183 50.6146723, 5.5132212 50.6146584, 5.5122251 50.614519, 5.5120791 50.6145, 5.5119036 50.6144751)",Rue Jean Potier,,
103323565,,False,,,tertiary,,False,49.568,"LINESTRING (5.5095207 50.619122, 5.5095285 50.6190855, 5.509542 50.6190256, 5.5096143 50.6186802)",Esplanade du Pont,,
360625009,,True,,,tertiary,50,False,25.798000000000002,"LINESTRING (5.5095207 50.619122, 5.5095792 50.6191329, 5.5096276 50.6191563, 5.5096598 50.6191892, 5.5096714 50.6192272, 5.509661 50.6192653, 5.5096299 50.6192985)",Esplanade du Pont,roundabout,
946464797,,True,,,tertiary,,False,9.732,"LINESTRING (5.5110827 50.6193345, 5.5111274 50.6193414, 5.5111673 50.6193559, 5.5111995 50.6193767)",,roundabout,
"[103328889, 946464818, 103323555]",yes,True,1,A604,motorway,"['50', '80']",False,217.567,"LINESTRING (5.508985 50.6197078, 5.5091583 50.6196918, 5.5096143 50.6195203, 5.5100098 50.6193366, 5.5104319 50.6191074, 5.5105814 50.619, 5.5108152 50.6188031, 5.5109771 50.6186582, 5.5111082 50.6185061, 5.5111727 50.6184095)",,,
"[103323568, 146981242, 946464802]",yes,True,"['2', '3']",,"['motorway_link', 'secondary_link']",50,False,219.785,"LINESTRING (5.508985 50.6197078, 5.5091299 50.6196422, 5.5094159 50.6195392, 5.5096111 50.6194603, 5.5097676 50.6193754, 5.5099653 50.6192311, 5.5100787 50.6191302, 5.5101381 50.6190646, 5.5101863 50.6189556, 5.5102381 50.6187255, 5.5102803 50.6184852, 5.5103518 50.6180885)",,,
25082793,,False,,,tertiary,50,True,94.45100000000001,"LINESTRING (5.5109253 50.6194939, 5.5107022 50.6194886, 5.5097716 50.6193394, 5.5096299 50.6192985)",Rue du Gosson,,
"[1122195452, 1122196724, 1059868148]",,True,,,tertiary,,False,25.807,"LINESTRING (5.5109253 50.6194939, 5.5109066 50.6194664, 5.5109009 50.6194367, 5.5109087 50.6194071, 5.5109293 50.6193802, 5.5109733 50.6193522, 5.5110255 50.6193372, 5.5110827 50.6193345)",,roundabout,
"[757649020, 757649022]",,True,,,tertiary,50,False,23.183,"LINESTRING (5.5093999 50.6193126, 5.5093677 50.6192918, 5.5093457 50.6192661, 5.5093354 50.6192377, 5.5093376 50.6192085, 5.5093522 50.6191809, 5.509378 50.6191567, 5.5094189 50.6191357)",Esplanade du Pont,roundabout,
946464813,,True,2,,secondary_link,50,False,15.120000000000001,"LINESTRING (5.5123504 50.618484, 5.5123396 50.6185464, 5.5123109 50.6186173)",,,
588501299,,True,2,N617,secondary,70,False,25.195,"LINESTRING (5.5122434 50.6182081, 5.5119028 50.61814)",Quai des Carmes,,
