osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,lanes,ref,tunnel
51269762,Gelmelenstraat,residential,30,True,False,68.81,"LINESTRING (4.4973028 51.2550029, 4.4973215 51.2544822, 4.4972917 51.254386)",,,,
23540991,Rodeborgstraat,residential,30,False,True,24.857,"LINESTRING (4.4999374 51.254038, 4.500285 51.2540894)",,,,
158010135,Rodeborgstraat,residential,30,False,False,86.094,"LINESTRING (4.4999374 51.254038, 4.4987573 51.2538057)",,,,
88355899,Pasteurlaan,residential,30,False,True,87.231,"LINESTRING (4.4999374 51.254038, 4.5001289 51.2535397, 4.5001441 51.2534987, 4.5001962 51.253455, 4.500363 51.2533141)",,,,
158010135,Rodeborgstraat,residential,30,False,False,17.07,"LINESTRING (4.4987573 51.2538057, 4.4985228 51.2537607)",,,,
158010135,Rodeborgstraat,residential,30,False,True,86.094,"LINESTRING (4.4987573 51.2538057, 4.4999374 51.254038)",,,,
28201651,Thuretstraat,residential,30,False,False,137.429,"LINESTRING (4.4987573 51.2538057, 4.4987565 51.253851, 4.4987163 51.2539517, 4.4986801 51.2544931, 4.498626 51.255037)",,,,
71032812,Wilgendaalstraat,residential,30,True,False,171.70499999999998,"LINESTRING (4.4974063 51.2535331, 4.497288 51.2535715, 4.49716 51.2535708, 4.4970112 51.2535725, 4.4968688 51.2535747, 4.4966262 51.2536011, 4.4962495 51.253656, 4.495542 51.2537724, 4.495031 51.2539)",,,,
89428096,Gelmelenstraat,residential,30,False,False,130.59300000000002,"LINESTRING (4.4974063 51.2535331, 4.4973953 51.2534054, 4.4973728 51.2531157, 4.49731 51.2524632, 4.4973051 51.2523604)",,,,
158010135,Rodeborgstraat,residential,30,False,True,81.72,"LINESTRING (4.4974063 51.2535331, 4.4975692 51.2535655, 4.4985228 51.2537607)",,,,
38420057,Filip Bourletstraat,living_street,20,True,False,61.744,"LINESTRING (4.495031 51.2539, 4.4951055 51.2539958, 4.4953407 51.2543672, 4.4954091 51.2543915)",,,,
89427791,Wilgendaalstraat,residential,30,True,False,183.41299999999998,"LINESTRING (4.495031 51.2539, 4.4928161 51.2544602, 4.4926283 51.2545602)",,,,
23540996,Merelstraat,residential,30,False,True,89.821,"LINESTRING (4.4972638 51.2560795, 4.498553 51.2561186)",,,,
51269762,Gelmelenstraat,residential,30,True,False,80.425,"LINESTRING (4.4972638 51.2560795, 4.4972263 51.2560396, 4.4972388 51.2557265, 4.497252 51.2553628)",,,,
