osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,bridge,tunnel
200421236,False,,,residential,30,False,30.122,,"LINESTRING (-9.226458 53.6285709, -9.226272 53.6285575, -9.2260039 53.6285416)",,
200421236,False,,,residential,30,True,154.019,,"LINESTRING (-9.226458 53.6285709, -9.2265005 53.6285739, -9.2268889 53.628602, -9.2271384 53.6286104, -9.2272403 53.6285786, -9.2273663 53.6285002, -9.2274227 53.6284068, -9.2274334 53.6282478, -9.2274334 53.6281396, -9.2274736 53.6280517, -9.2274763 53.627936, -9.2274495 53.6278597, -9.2273288 53.627829, -9.2272054 53.6278385)",,
200421240,False,,,residential,30,True,74.441,,"LINESTRING (-9.226458 53.6285709, -9.2265309 53.6279904, -9.2265577 53.6279045)",,
200421240,False,,,residential,30,False,74.441,,"LINESTRING (-9.2265577 53.6279045, -9.2265309 53.6279904, -9.226458 53.6285709)",,
200421253,False,2,,residential,30,False,120.976,,"LINESTRING (-9.2236984 53.6260116, -9.2240015 53.6260423, -9.2245514 53.6260689, -9.2249403 53.626071, -9.2250288 53.6260371, -9.2250878 53.6259575, -9.225179 53.6257667)",,
200421230,False,,,residential,30,False,29.731,River View,"LINESTRING (-9.2235482 53.6197725, -9.2232908 53.619992)",,
200421230,False,,,residential,30,True,29.731,River View,"LINESTRING (-9.2232908 53.619992, -9.2235482 53.6197725)",,
200421231,False,,,residential,,True,19.923,,"LINESTRING (-9.2232908 53.619992, -9.2230064 53.6199316)",,
200421230,False,,,residential,30,False,102.966,River View,"LINESTRING (-9.2232908 53.619992, -9.2230654 53.6201957, -9.2229421 53.6202784, -9.2228414 53.6202896, -9.2227489 53.6202847, -9.2226148 53.6202497, -9.2224056 53.6201638, -9.2223037 53.6201288, -9.2221389 53.6200971, -9.2220627 53.6200905)",,
200421241,False,2,,residential,30,False,124.89700000000002,Brewery Court,"LINESTRING (-9.2229233 53.6253507, -9.2222822 53.6252099, -9.2223801 53.625058, -9.222368 53.625016, -9.2222887 53.6249412, -9.2222769 53.6249299, -9.2221589 53.6248472, -9.2216792 53.6247442)",,
200421242,False,2,,residential,30,False,28.305,,"LINESTRING (-9.2247713 53.6256871, -9.225179 53.6257667)",,
200421230,False,,,residential,30,True,102.96600000000001,River View,"LINESTRING (-9.2220627 53.6200905, -9.2221389 53.6200971, -9.2223037 53.6201288, -9.2224056 53.6201638, -9.2226148 53.6202497, -9.2227489 53.6202847, -9.2228414 53.6202896, -9.2229421 53.6202784, -9.2230654 53.6201957, -9.2232908 53.619992)",,
259271721,False,2,R334,secondary,50,False,41.727999999999994,Neale Road,"LINESTRING (-9.2220627 53.6200905, -9.2219919 53.6202661, -9.2219221 53.6204, -9.2218823 53.6204492)",,
200421231,False,,,residential,,False,19.923,,"LINESTRING (-9.2230064 53.6199316, -9.2232908 53.619992)",,
54705896,True,1,N84,primary,50,False,177.61,,"LINESTRING (-9.2200929 53.6225728, -9.220112 53.6224304, -9.2201474 53.6222691, -9.2202452 53.6218227, -9.2204281 53.6209881)",,
203480144,False,2,,unclassified,,False,183.205,,"LINESTRING (-9.2200929 53.6225728, -9.2201681 53.6225814, -9.2205496 53.6226251, -9.2206659 53.6226391, -9.2210136 53.6226808, -9.2211444 53.6226939, -9.2214588 53.6227253, -9.221939 53.6227523, -9.222352 53.6228028, -9.2228259 53.6228608)",,
203480144,False,2,,unclassified,,True,183.20499999999998,,"LINESTRING (-9.2228259 53.6228608, -9.222352 53.6228028, -9.221939 53.6227523, -9.2214588 53.6227253, -9.2211444 53.6226939, -9.2210136 53.6226808, -9.2206659 53.6226391, -9.2205496 53.6226251, -9.2201681 53.6225814, -9.2200929 53.6225728)",,
409560754,True,1,N84,primary,50,False,129.132,Main Street,"LINESTRING (-9.2228259 53.6228608, -9.2228008 53.6229455, -9.2226981 53.6232, -9.2225805 53.6234911, -9.222372 53.6239903)",,
203481118,False,,,unclassified,,True,107.58,,"LINESTRING (-9.2245863 53.6223006, -9.224141 53.6223371, -9.2232023 53.6224087, -9.2229671 53.6224054)",,
408750668,False,2,N84,primary,50,True,13.237,,"LINESTRING (-9.2257258 53.6248574, -9.2259129 53.6249005)",,
203481126,False,,,unclassified,,False,116.488,,"LINESTRING (-9.2257258 53.6248574, -9.2257397 53.6248254, -9.2257504 53.6247997, -9.2257154 53.62474, -9.2255304 53.6246325, -9.2252541 53.6244529, -9.2251392 53.624372, -9.2250544 53.6243947, -9.2249444 53.6244098, -9.2248404 53.6244207, -9.2247472 53.6244593, -9.2246372 53.6245181, -9.2246141 53.6245549, -9.2245889 53.6245953)",,
408750668,False,2,N84,primary,50,False,80.47,,"LINESTRING (-9.2257258 53.6248574, -9.2250179 53.624684, -9.2245889 53.6245953)",,
203481126,False,,,unclassified,,True,116.48800000000001,,"LINESTRING (-9.2245889 53.6245953, -9.2246141 53.6245549, -9.2246372 53.6245181, -9.2247472 53.6244593, -9.2248404 53.6244207, -9.2249444 53.6244098, -9.2250544 53.6243947, -9.2251392 53.624372, -9.2252541 53.6244529, -9.2255304 53.6246325, -9.2257154 53.62474, -9.2257504 53.6247997, -9.2257397 53.6248254, -9.2257258 53.6248574)",,
408750668,False,2,N84,primary,50,True,80.47,,"LINESTRING (-9.2245889 53.6245953, -9.2250179 53.624684, -9.2257258 53.6248574)",,
"[189203153, 189203139, 408750668]",False,2,N84,primary,50,False,158.931,Bridge Street,"LINESTRING (-9.2245889 53.6245953, -9.2244411 53.6245712, -9.2240588 53.6244974, -9.2239997 53.6244854, -9.2224662 53.6241382, -9.222403 53.6241118, -9.2223721 53.6240723)",yes,
409560754,True,1,N84,primary,50,False,51.487,Main Street,"LINESTRING (-9.2229671 53.6224054, -9.2228259 53.6228608)",,
203481118,False,,,unclassified,,False,107.58000000000001,,"LINESTRING (-9.2229671 53.6224054, -9.2232023 53.6224087, -9.224141 53.6223371, -9.2245863 53.6223006)",,
"[1195860630, 1195860628, 203481758]",False,,L5639,unclassified,30,True,207.12400000000002,Cloongowla Road,"LINESTRING (-9.2178513 53.6285121, -9.2179363 53.6284191, -9.2181361 53.6282093, -9.218662 53.627701, -9.2194623 53.6269133)",yes,
17713755,False,2,N84,primary,50,True,11.318,Kilmaine Road,"LINESTRING (-9.2217359 53.6203961, -9.2218823 53.6204492)",,
17713755,False,2,N84,primary,50,False,83.926,Kilmaine Road,"LINESTRING (-9.2217359 53.6203961, -9.221295 53.6202163, -9.2207 53.6199579)",,
24001185,False,,,residential,50,True,80.892,,"LINESTRING (-9.2217359 53.6203961, -9.2216917 53.6204505, -9.2215964 53.6204427, -9.2205848 53.6203326)",,
409770007,False,2,L5650,unclassified,50,False,42.25,Creagh Road,"LINESTRING (-9.2291756 53.625674, -9.2285812 53.6255322)",,
"[1270417521, 1270417522, 864638199]",False,1,,residential,,False,76.482,,"LINESTRING (-9.2224044 53.6213402, -9.2224134 53.6212182, -9.2225356 53.6212182, -9.2228508 53.6212851, -9.2231181 53.6213236, -9.2232686 53.6213452, -9.2233336 53.6213546)",,building_passage
"[409560754, 24001190]",True,1,N84,primary,50,False,100.89699999999999,Main Street,"LINESTRING (-9.2233336 53.6213546, -9.2232735 53.6215128, -9.2231165 53.6219203, -9.2230174 53.6222422)",,
"[1270417521, 1270417522, 864638199]",False,1,,residential,,True,76.482,,"LINESTRING (-9.2233336 53.6213546, -9.2232686 53.6213452, -9.2231181 53.6213236, -9.2228508 53.6212851, -9.2225356 53.6212182, -9.2224134 53.6212182, -9.2224044 53.6213402)",,building_passage
409770007,False,2,L5650,unclassified,50,True,42.25,Creagh Road,"LINESTRING (-9.2285812 53.6255322, -9.2291756 53.625674)",,
"[408750666, 409770007]",False,2,L5650,unclassified,50,False,176.61099999999996,Creagh Road,"LINESTRING (-9.2285812 53.6255322, -9.2284838 53.625509, -9.2274978 53.6252809, -9.2262608 53.6249889, -9.2261944 53.6249839, -9.226078 53.6249865)",,
1005949670,False,2,,residential,30,False,82.024,,"LINESTRING (-9.2285812 53.6255322, -9.2282543 53.6260008, -9.2282482 53.6260428, -9.2282774 53.6260766, -9.2284372 53.6261934)",,
1005949670,False,2,,residential,30,True,15.849,,"LINESTRING (-9.2285886 53.6263041, -9.2284372 53.6261934)",,
1005949670,False,2,,residential,30,False,15.849,,"LINESTRING (-9.2284372 53.6261934, -9.2285886 53.6263041)",,
1005949671,False,2,,residential,,False,10.837,,"LINESTRING (-9.2284372 53.6261934, -9.228564 53.6261314)",,
1005949670,False,2,,residential,30,True,82.024,,"LINESTRING (-9.2284372 53.6261934, -9.2282774 53.6260766, -9.2282482 53.6260428, -9.2282543 53.6260008, -9.2285812 53.6255322)",,
1005949671,False,2,,residential,,True,10.837,,"LINESTRING (-9.228564 53.6261314, -9.2284372 53.6261934)",,
189203153,False,2,N84,primary,50,False,9.118,Bridge Street,"LINESTRING (-9.2223721 53.6240723, -9.222372 53.6239903)",,
"[189203153, 189203139, 408750668]",False,2,N84,primary,50,True,158.931,Bridge Street,"LINESTRING (-9.2223721 53.6240723, -9.222403 53.6241118, -9.2224662 53.6241382, -9.2239997 53.6244854, -9.2240588 53.6244974, -9.2244411 53.6245712, -9.2245889 53.6245953)",yes,
942144112,False,2,R331,secondary,50,False,89.558,Abbey Street,"LINESTRING (-9.2223721 53.6240723, -9.2223019 53.6240898, -9.2222496 53.624124, -9.2220514 53.6244384, -9.222 53.6244889, -9.2218857 53.6246011, -9.2218356 53.6246358, -9.2216792 53.6247442)",,
409560754,True,1,N84,primary,50,False,18.447,Main Street,"LINESTRING (-9.2230174 53.6222422, -9.2230063 53.6222782, -9.2229671 53.6224054)",,
"[1195860618, 1195860619, 1195860620]",False,,,residential,30,True,125.854,,"LINESTRING (-9.2230174 53.6222422, -9.2230599 53.6222418, -9.2233954 53.6222335, -9.223453 53.6222217, -9.2235884 53.6221907, -9.2237064 53.6221788, -9.2238539 53.6221589, -9.2240645 53.6221096, -9.2241181 53.6220881, -9.2241463 53.6220523, -9.2241879 53.6219871, -9.2242295 53.6219545, -9.2242791 53.6219338, -9.2243917 53.6219187, -9.2244923 53.6219187, -9.2246157 53.621929, -9.224719 53.6219465)",,building_passage
"[1195860618, 1195860619, 1195860620]",False,,,residential,30,False,125.85400000000001,,"LINESTRING (-9.224719 53.6219465, -9.2246157 53.621929, -9.2244923 53.6219187, -9.2243917 53.6219187, -9.2242791 53.6219338, -9.2242295 53.6219545, -9.2241879 53.6219871, -9.2241463 53.6220523, -9.2241181 53.6220881, -9.2240645 53.6221096, -9.2238539 53.6221589, -9.2237064 53.6221788, -9.2235884 53.6221907, -9.223453 53.6222217, -9.2233954 53.6222335, -9.2230599 53.6222418, -9.2230174 53.6222422)",,building_passage
